ACADIE
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-08;07:00;-991;-991;-991;-991;-991
2024-03-08;08:00;-991;-991;-991;-991;-991
2024-03-08;09:00;-991;-991;-991;-991;-991
2024-03-08;10:00;-991;-991;-991;-991;-991
2024-03-08;11:00;-991;-991;-991;-991;-991
2024-03-08;12:00;-991;-991;-991;-991;-991
2024-03-08;13:00;5.308;70.574;-991;-991;-991
2024-03-08;14:00;5.831;72.355;-991;635.638;-991
2024-03-08;15:00;6.138;71.057;0.0;522.877;-991
2024-03-08;16:00;6.068;69.923;0.0;369.962;-991
2024-03-08;17:00;5.443;74.071;0.0;183.403;-991
2024-03-08;18:00;3.827;75.309;0.0;33.581;-991
2024-03-08;19:00;2.423;76.691;0.0;0.0;-991
2024-03-08;20:00;1.3;77.99;0.0;0.0;-991
2024-03-08;21:00;0.139;80.225;0.0;0.0;-991
2024-03-08;22:00;-0.682;79.606;0.0;0.0;-991
2024-03-08;23:00;-1.409;78.498;0.0;0.0;-991
2024-03-09;00:00;-1.598;82.198;0.0;0.0;-991
2024-03-09;01:00;-1.096;82.076;0.0;0.0;-991
2024-03-09;02:00;-0.809;79.849;0.0;0.0;-991
2024-03-09;03:00;-0.632;78.654;0.0;0.0;-991
2024-03-09;04:00;-0.372;79.406;0.0;0.0;-991
2024-03-09;05:00;-0.032;80.318;0.0;0.0;-991
2024-03-09;06:00;0.374;80.181;0.0;0.0;-991
2024-03-09;07:00;0.734;77.995;0.0;14.393;-991
2024-03-09;08:00;1.414;75.946;0.0;99.822;-991
2024-03-09;09:00;2.744;73.083;0.0;214.92;-991
2024-03-09;10:00;4.531;67.599;0.0;402.975;-991
2024-03-09;11:00;5.319;59.425;0.0;452.878;-991
2024-03-09;12:00;5.69;58.974;0.0;512.196;-991
2024-03-09;13:00;5.538;58.351;0.001;278.085;-991
2024-03-09;14:00;4.981;60.941;0.145;98.132;-991
2024-03-09;15:00;4.86;63.85;0.213;41.321;-991
2024-03-09;16:00;4.559;72.16;0.577;27.753;-991
2024-03-09;17:00;4.576;74.113;0.345;26.631;-991
2024-03-09;18:00;4.256;77.441;0.619;0.976;-991
2024-03-09;19:00;3.641;86.652;1.861;4.525;-991
2024-03-09;20:00;3.024;92.02;1.434;0.0;-991
2024-03-09;21:00;2.789;95.014;1.542;0.564;-991
2024-03-09;22:00;2.8;96.155;1.442;0.131;-991
2024-03-09;23:00;2.563;97.011;1.867;0.0;-991
2024-03-10;00:00;2.459;97.498;1.951;0.0;-991
2024-03-10;01:00;2.443;97.042;1.325;0.0;-991
2024-03-10;02:00;2.242;97.528;2.132;0.0;-991
2024-03-10;03:00;2.042;98.014;2.94;0.0;-991
2024-03-10;04:00;1.572;99.058;3.551;0.0;-991
2024-03-10;05:00;0.41;99.979;3.78;0.0;-991
2024-03-10;06:00;0.104;99.74;6.13;0.0;-991
2024-03-10;07:00;0.111;99.71;3.36;0.0;-991
2024-03-10;08:00;0.574;98.551;2.949;27.778;-991
2024-03-10;09:00;1.038;97.391;2.539;55.556;-991
2024-03-10;10:00;1.501;96.232;2.128;83.333;-991
2024-03-10;11:00;1.964;95.072;1.717;111.111;-991
2024-03-10;12:00;2.428;93.913;1.307;138.889;-991
2024-03-10;13:00;2.891;92.753;0.896;166.667;-991
2024-03-10;14:00;3.354;91.594;0.486;194.444;-991
2024-03-10;15:00;3.269;91.345;0.075;222.222;-991
2024-03-10;16:00;3.333;90.731;0.063;222.222;-991
2024-03-10;17:00;2.982;93.282;0.155;55.556;-991
2024-03-10;18:00;2.709;95.101;0.195;111.111;-991
2024-03-10;19:00;2.327;96.417;0.11;0.0;-991
2024-03-10;20:00;1.984;96.927;0.396;0.0;-991
2024-03-10;21:00;1.346;96.063;0.659;0.0;-991
2024-03-10;22:00;0.991;94.734;0.26;0.0;-991
2024-03-10;23:00;0.54;94.034;0.226;0.0;-991
2024-03-11;00:00;0.06;92.849;0.517;0.0;-991
2024-03-11;01:00;-0.462;90.676;0.105;0.0;-991
2024-03-11;02:00;-1.044;88.268;0.029;0.0;-991
2024-03-11;03:00;-1.705;88.463;0.152;0.0;-991
2024-03-11;04:00;-2.361;87.27;0.438;0.0;-991
2024-03-11;05:00;-2.884;85.876;0.328;0.0;-991
2024-03-11;06:00;-3.377;85.079;0.246;0.0;-991
2024-03-11;07:00;-3.84;84.416;0.226;0.0;-991
2024-03-11;08:00;-4.105;83.395;0.178;55.556;-991
2024-03-11;09:00;-4.057;81.62;0.114;55.556;-991
2024-03-11;10:00;-3.643;79.656;0.118;166.667;-991
2024-03-11;11:00;-3.255;77.577;0.039;277.778;-991
2024-03-11;12:00;-2.558;74.891;0.002;388.889;-991
2024-03-11;13:00;-1.735;72.608;0.001;333.333;-991
2024-03-11;14:00;-0.952;71.332;0.003;388.889;-991
2024-03-11;15:00;-0.309;70.004;0.0;333.333;-991
2024-03-11;16:00;0.187;68.51;0.0;333.333;-991
2024-03-11;17:00;0.875;66.79;0.0;111.111;-991
2024-03-11;18:00;0.864;65.581;0.0;222.222;-991
2024-03-11;19:00;-0.033;65.579;0.0;0.0;-991
2024-03-11;20:00;-0.602;66.769;0.0;0.0;-991
2024-03-11;21:00;-0.929;68.462;0.0;0.0;-991
2024-03-11;22:00;-1.221;69.463;0.0;0.0;-991
2024-03-11;23:00;-1.614;70.087;0.0;0.0;-991
2024-03-12;00:00;-2.111;70.487;0.0;0.0;-991
2024-03-12;01:00;-2.532;70.697;0.0;0.0;-991
2024-03-12;02:00;-3.996;77.449;0.0;0.0;-991
2024-03-12;03:00;-4.229;77.731;0.0;0.0;-991
2024-03-12;04:00;-4.463;78.012;0.0;0.0;-991
2024-03-12;05:00;-4.696;78.294;0.0;0.0;-991
2024-03-12;06:00;-4.842;78.202;0.0;0.0;-991
2024-03-12;07:00;-4.987;78.11;0.0;0.0;-991
2024-03-12;08:00;-5.133;78.017;0.0;0.0;-991
2024-03-12;09:00;-4.097;77.765;0.0;123.457;-991
2024-03-12;10:00;-3.061;77.513;0.0;246.914;-991
2024-03-12;11:00;-2.025;77.261;0.0;370.37;-991
2024-03-12;12:00;-1.086;76.281;0.0;493.827;-991
2024-03-12;13:00;-0.148;75.3;0.0;617.284;-991
2024-03-12;14:00;0.791;74.319;0.0;740.741;-991
2024-03-12;15:00;1.014;74.177;0.0;666.667;-991
2024-03-12;16:00;1.237;74.035;0.0;592.593;-991
2024-03-12;17:00;1.46;73.893;0.0;518.519;-991
2024-03-12;18:00;0.338;74.709;0.0;370.37;-991
2024-03-12;19:00;-0.784;75.525;0.0;222.222;-991
2024-03-12;20:00;-1.906;76.341;0.0;74.074;-991
2024-03-12;21:00;-2.868;76.892;0.0;49.383;-991
2024-03-12;22:00;-3.831;77.443;0.0;24.691;-991
2024-03-12;23:00;-4.793;77.994;0.0;0.0;-991
2024-03-13;00:00;-5.894;79.713;0.0;0.0;-991
2024-03-13;01:00;-6.996;81.433;0.0;0.0;-991
2024-03-13;02:00;-8.097;83.152;0.0;0.0;-991
2024-03-13;03:00;-9.39;84.204;0.0;0.0;-991
2024-03-13;04:00;-10.682;85.256;0.0;0.0;-991
2024-03-13;05:00;-11.975;86.308;0.0;0.0;-991
2024-03-13;06:00;-12.466;86.185;0.0;12.346;-991
2024-03-13;07:00;-12.956;86.062;0.0;24.691;-991
2024-03-13;08:00;-13.447;85.939;0.0;37.037;-991
2024-03-13;09:00;-11.143;86.973;0.0;98.765;-991
2024-03-13;10:00;-8.839;88.006;0.0;160.494;-991
2024-03-13;11:00;-6.535;89.04;0.0;222.222;-991
2024-03-13;12:00;-4.643;86.521;0.0;333.333;-991
2024-03-13;13:00;-2.752;84.002;0.0;444.444;-991
2024-03-13;14:00;-0.86;81.483;0.0;555.556;-991
2024-03-13;15:00;-0.423;82.292;0.0;469.136;-991
2024-03-13;16:00;0.014;83.101;0.0;382.716;-991
2024-03-13;17:00;0.451;83.91;0.0;296.296;-991
2024-03-13;18:00;-0.077;87.294;0.0;209.877;-991
2024-03-13;19:00;-0.605;90.679;0.0;123.457;-991
2024-03-13;20:00;-1.132;94.064;0.0;37.037;-991
2024-03-13;21:00;-2.135;93.455;0.0;24.691;-991
2024-03-13;22:00;-3.139;92.847;0.0;12.346;-991
2024-03-13;23:00;-4.142;92.238;0.0;0.0;-991
2024-03-14;00:00;-4.612;92.283;0.0;0.0;-991
2024-03-14;01:00;-5.083;92.327;0.0;0.0;-991
2024-03-14;02:00;-5.553;92.371;0.0;0.0;-991
2024-03-14;03:00;-5.449;92.262;0.0;0.0;-991
2024-03-14;04:00;-5.345;92.154;0.001;0.0;-991
2024-03-14;05:00;-5.241;92.045;0.001;0.0;-991
2024-03-14;06:00;-4.91;92.032;0.001;0.0;-991
2024-03-14;07:00;-4.579;92.019;0.0;0.0;-991
2024-03-14;08:00;-4.247;92.006;0.0;0.0;-991
2024-03-14;09:00;-3.301;91.94;0.029;61.728;-991
2024-03-14;10:00;-2.354;91.873;0.058;123.457;-991
