BEAUCVLE
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-12;08:00;-3.657;72.009;0.0;-991;-991
2024-03-12;09:00;-3.024;67.683;0.0;219.328;-991
2024-03-12;10:00;-1.532;62.504;0.0;396.889;-991
2024-03-12;11:00;-0.376;59.301;0.0;544.856;-991
2024-03-12;12:00;0.623;56.766;0.0;650.637;-991
2024-03-12;13:00;1.481;55.637;0.0;678.897;-991
2024-03-12;14:00;2.254;54.625;0.0;691.112;-991
2024-03-12;15:00;2.375;55.599;0.0;586.529;-991
2024-03-12;16:00;2.378;56.972;0.0;452.683;-991
2024-03-12;17:00;2.116;59.317;0.0;287.417;-991
2024-03-12;18:00;1.507;63.253;0.0;171.022;-991
2024-03-12;19:00;0.31;69.781;0.0;23.202;-991
2024-03-12;20:00;-0.742;75.367;0.0;0.0;-991
2024-03-12;21:00;-1.898;79.243;0.0;0.0;-991
2024-03-12;22:00;-3.274;84.558;0.0;0.0;-991
2024-03-12;23:00;-4.712;89.178;0.0;0.0;-991
2024-03-13;00:00;-5.912;89.364;0.0;0.0;-991
2024-03-13;01:00;-6.748;88.33;0.0;0.0;-991
2024-03-13;02:00;-6.556;81.104;0.0;0.0;-991
2024-03-13;03:00;-6.304;75.182;0.0;0.0;-991
2024-03-13;04:00;-6.666;74.318;0.0;0.0;-991
2024-03-13;05:00;-7.023;73.916;0.0;0.0;-991
2024-03-13;06:00;-7.133;72.395;0.0;0.0;-991
2024-03-13;07:00;-7.435;72.601;0.0;0.626;-991
2024-03-13;08:00;-8.499;87.431;0.0;50.131;-991
2024-03-13;09:00;-3.742;80.6;0.0;214.769;-991
2024-03-13;10:00;-0.031;69.131;0.0;398.471;-991
2024-03-13;11:00;2.626;60.915;0.0;549.689;-991
2024-03-13;12:00;4.85;59.311;0.0;649.463;-991
2024-03-13;13:00;6.334;56.947;0.0;628.485;-991
2024-03-13;14:00;6.488;57.385;0.0;479.609;-991
2024-03-13;15:00;6.112;60.492;0.0;124.424;-991
2024-03-13;16:00;6.644;59.524;0.0;162.941;-991
2024-03-13;17:00;6.026;63.489;0.0;94.826;-991
2024-03-13;18:00;5.129;69.853;0.003;31.836;-991
2024-03-13;19:00;3.919;77.568;0.009;4.972;-991
2024-03-13;20:00;2.852;80.703;0.0;0.0;-991
2024-03-13;21:00;1.512;89.044;0.0;4.716;-991
2024-03-13;22:00;1.779;80.577;0.002;0.0;-991
2024-03-13;23:00;2.041;82.136;0.0;2.018;-991
2024-03-14;00:00;1.578;85.559;0.0;0.0;-991
2024-03-14;01:00;1.628;88.802;0.244;0.0;-991
2024-03-14;02:00;1.604;96.401;0.179;0.0;-991
2024-03-14;03:00;1.328;96.84;0.0;0.0;-991
2024-03-14;04:00;1.469;96.663;0.0;0.0;-991
2024-03-14;05:00;1.264;97.063;0.0;0.0;-991
2024-03-14;06:00;1.07;97.381;0.0;0.0;-991
2024-03-14;07:00;0.836;98.015;0.0;0.0;-991
2024-03-14;08:00;1.032;98.849;0.002;0.0;-991
2024-03-14;09:00;1.632;98.552;0.241;0.0;-991
2024-03-14;10:00;2.788;97.267;0.138;111.111;-991
2024-03-14;11:00;3.867;94.18;0.088;166.667;-991
2024-03-14;12:00;4.523;85.569;0.026;166.667;-991
2024-03-14;13:00;5.059;77.493;0.019;333.333;-991
2024-03-14;14:00;5.678;71.352;0.004;333.333;-991
2024-03-14;15:00;5.884;69.816;0.003;277.778;-991
2024-03-14;16:00;5.749;70.355;0.003;333.333;-991
2024-03-14;17:00;5.832;70.19;0.001;111.111;-991
2024-03-14;18:00;5.327;73.473;0.0;166.667;-991
2024-03-14;19:00;2.728;86.177;0.0;0.0;-991
2024-03-14;20:00;0.387;96.484;0.0;0.0;-991
2024-03-14;21:00;-1.282;97.213;0.0;0.0;-991
2024-03-14;22:00;-2.679;96.902;0.0;0.0;-991
2024-03-14;23:00;-3.77;96.248;0.0;0.0;-991
2024-03-15;00:00;-4.469;95.545;0.0;0.0;-991
2024-03-15;01:00;-4.725;95.035;0.002;0.0;-991
2024-03-15;02:00;-4.826;94.001;0.004;0.0;-991
2024-03-15;03:00;-4.774;92.925;0.008;0.0;-991
2024-03-15;04:00;-4.857;94.271;0.003;0.0;-991
2024-03-15;05:00;-5.39;94.001;0.002;0.0;-991
2024-03-15;06:00;-5.631;92.238;0.005;0.0;-991
2024-03-15;07:00;-5.307;92.174;0.006;0.0;-991
2024-03-15;08:00;-4.206;90.055;0.009;55.556;-991
2024-03-15;09:00;-2.103;87.444;0.013;55.556;-991
2024-03-15;10:00;0.879;80.094;0.008;222.222;-991
2024-03-15;11:00;2.954;74.639;0.006;222.222;-991
2024-03-15;12:00;5.299;69.485;0.001;444.444;-991
2024-03-15;13:00;6.842;66.921;0.001;500.0;-991
2024-03-15;14:00;7.221;67.473;0.015;333.333;-991
2024-03-15;15:00;7.156;69.839;0.026;333.333;-991
2024-03-15;16:00;7.11;71.123;0.008;333.333;-991
2024-03-15;17:00;6.915;73.977;0.01;111.111;-991
2024-03-15;18:00;6.01;80.394;0.001;111.111;-991
2024-03-15;19:00;3.459;91.291;0.0;111.111;-991
2024-03-15;20:00;-0.69;88.618;0.0;37.037;-991
2024-03-15;21:00;-1.594;90.897;0.0;24.691;-991
2024-03-15;22:00;-2.499;93.177;0.0;12.346;-991
2024-03-15;23:00;-3.404;95.456;0.0;0.0;-991
