COMPTN
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-12;08:00;-4.138;70.095;0.0;-991;-991
2024-03-12;09:00;-3.458;73.471;0.0;215.97;-991
2024-03-12;10:00;-1.949;68.107;0.0;399.407;-991
2024-03-12;11:00;-1.054;65.826;0.0;548.214;-991
2024-03-12;12:00;0.003;63.707;0.0;659.872;-991
2024-03-12;13:00;1.055;62.116;0.0;717.516;-991
2024-03-12;14:00;1.762;61.174;0.0;714.619;-991
2024-03-12;15:00;2.179;60.21;0.0;648.655;-991
2024-03-12;16:00;2.388;59.439;0.0;533.278;-991
2024-03-12;17:00;2.296;59.571;0.0;371.371;-991
2024-03-12;18:00;1.589;63.715;0.0;191.171;-991
2024-03-12;19:00;0.199;71.718;0.0;33.277;-991
2024-03-12;20:00;-0.787;72.692;0.0;0.0;-991
2024-03-12;21:00;-1.983;72.694;0.0;0.0;-991
2024-03-12;22:00;-3.16;71.76;0.0;0.0;-991
2024-03-12;23:00;-4.308;72.668;0.0;0.0;-991
2024-03-13;00:00;-5.156;76.452;0.0;0.0;-991
2024-03-13;01:00;-6.028;79.637;0.0;0.0;-991
2024-03-13;02:00;-6.481;78.891;0.0;0.0;-991
2024-03-13;03:00;-6.564;76.542;0.0;0.0;-991
2024-03-13;04:00;-6.127;72.22;0.0;0.0;-991
2024-03-13;05:00;-5.596;68.612;0.0;0.0;-991
2024-03-13;06:00;-5.63;66.953;0.0;0.0;-991
2024-03-13;07:00;-5.762;66.537;0.0;0.626;-991
2024-03-13;08:00;-5.277;70.068;0.0;45.094;-991
2024-03-13;09:00;-2.975;78.502;0.0;218.127;-991
2024-03-13;10:00;1.437;74.273;0.0;398.471;-991
2024-03-13;11:00;4.034;69.424;0.0;553.047;-991
2024-03-13;12:00;6.01;63.784;0.0;662.896;-991
2024-03-13;13:00;7.874;58.354;0.0;709.081;-991
2024-03-13;14:00;8.804;55.287;0.0;707.962;-991
2024-03-13;15:00;8.066;60.953;0.0;362.851;-991
2024-03-13;16:00;9.535;56.342;0.001;371.146;-991
2024-03-13;17:00;8.992;64.895;0.0;205.644;-991
2024-03-13;18:00;8.167;68.285;0.0;98.999;-991
2024-03-13;19:00;6.726;63.548;0.0;25.12;-991
2024-03-13;20:00;3.918;69.289;0.0;1.248;-991
2024-03-13;21:00;3.269;79.059;0.485;0.0;-991
2024-03-13;22:00;3.342;73.36;0.0;0.0;-991
2024-03-13;23:00;2.825;81.329;0.0;0.0;-991
2024-03-14;00:00;2.183;84.222;0.001;0.0;-991
2024-03-14;01:00;1.234;87.58;0.0;0.0;-991
2024-03-14;02:00;0.866;88.422;0.0;0.0;-991
2024-03-14;03:00;0.443;90.522;0.001;0.0;-991
2024-03-14;04:00;1.236;89.285;0.046;0.0;-991
2024-03-14;05:00;1.489;92.774;0.015;0.0;-991
2024-03-14;06:00;1.296;94.153;0.0;0.0;-991
