DSCHAMBLT
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-08;07:00;-7.64;77.748;-991;-991;-991
2024-03-08;08:00;-7.123;78.963;-991;185.746;-991
2024-03-08;09:00;-4.158;78.882;0.0;368.764;-991
2024-03-08;10:00;-1.461;78.303;0.0;526.806;-991
2024-03-08;11:00;-0.378;73.68;0.0;641.402;-991
2024-03-08;12:00;0.323;69.943;0.0;701.009;-991
2024-03-08;13:00;0.745;67.361;0.0;699.3;-991
2024-03-08;14:00;0.582;64.581;0.0;637.076;-991
2024-03-08;15:00;-0.306;63.985;0.0;521.526;-991
2024-03-08;16:00;-2.359;65.48;0.0;360.106;-991
2024-03-08;17:00;-3.165;59.157;0.0;175.25;-991
2024-03-08;18:00;-4.738;63.726;0.0;23.124;-991
2024-03-08;19:00;-6.046;69.227;0.0;2.589;-991
2024-03-08;20:00;-6.652;73.184;0.0;0.0;-991
2024-03-08;21:00;-6.957;75.013;0.0;0.0;-991
2024-03-08;22:00;-6.439;77.586;0.0;0.113;-991
2024-03-08;23:00;-6.217;82.381;0.0;0.0;-991
2024-03-09;00:00;-6.854;86.229;0.0;0.0;-991
2024-03-09;01:00;-6.634;87.754;0.0;0.0;-991
2024-03-09;02:00;-6.575;88.109;0.0;0.0;-991
2024-03-09;03:00;-7.302;87.824;0.0;0.0;-991
2024-03-09;04:00;-6.326;86.311;0.0;0.0;-991
2024-03-09;05:00;-5.669;84.853;0.0;0.0;-991
2024-03-09;06:00;-5.614;84.018;0.0;0.0;-991
2024-03-09;07:00;-5.151;82.914;0.0;26.865;-991
2024-03-09;08:00;-3.561;80.087;0.0;132.646;-991
2024-03-09;09:00;-1.904;76.927;0.0;255.218;-991
2024-03-09;10:00;-0.225;74.228;0.0;402.975;-991
2024-03-09;11:00;0.926;74.173;0.0;525.469;-991
2024-03-09;12:00;1.871;74.025;0.0;603.062;-991
2024-03-09;13:00;2.673;73.569;0.0;586.088;-991
2024-03-09;14:00;3.162;72.946;0.0;512.994;-991
2024-03-09;15:00;3.595;72.74;0.0;500.361;-991
2024-03-09;16:00;4.957;66.887;0.0;304.971;-991
2024-03-09;17:00;5.015;62.603;0.0;117.819;-991
2024-03-09;18:00;3.976;66.052;0.0;13.127;-991
2024-03-09;19:00;3.349;70.812;0.025;0.539;-991
2024-03-09;20:00;2.888;72.402;0.025;0.0;-991
2024-03-09;21:00;1.671;78.392;0.119;0.0;-991
2024-03-09;22:00;1.166;79.175;0.1;0.141;-991
2024-03-09;23:00;0.974;80.431;0.805;0.0;-991
2024-03-10;00:00;0.604;90.395;0.818;0.0;-991
2024-03-10;01:00;0.697;87.865;1.215;0.0;-991
2024-03-10;02:00;0.774;87.366;1.345;0.0;-991
2024-03-10;03:00;0.85;86.867;1.475;0.0;-991
2024-03-10;04:00;0.788;87.593;1.514;0.0;-991
2024-03-10;05:00;0.475;92.932;2.369;0.0;-991
2024-03-10;06:00;0.224;96.686;2.793;0.0;-991
2024-03-10;07:00;0.136;96.972;3.94;0.0;-991
2024-03-10;08:00;0.425;96.157;3.527;27.778;-991
2024-03-10;09:00;0.713;95.343;3.114;55.556;-991
2024-03-10;10:00;1.001;94.528;2.701;83.333;-991
2024-03-10;11:00;1.289;93.713;2.289;111.111;-991
2024-03-10;12:00;1.578;92.898;1.876;138.889;-991
2024-03-10;13:00;1.866;92.083;1.463;166.667;-991
2024-03-10;14:00;2.154;91.269;1.05;194.444;-991
2024-03-10;15:00;1.944;94.495;0.637;222.222;-991
2024-03-10;16:00;1.858;94.756;0.474;111.111;-991
2024-03-10;17:00;1.757;94.632;0.208;111.111;-991
2024-03-10;18:00;1.509;95.301;0.22;55.556;-991
2024-03-10;19:00;1.127;97.192;0.377;0.0;-991
2024-03-10;20:00;0.734;98.777;0.28;0.0;-991
2024-03-10;21:00;0.346;99.338;0.121;0.0;-991
2024-03-10;22:00;0.166;99.359;0.089;0.0;-991
2024-03-10;23:00;0.34;99.159;0.088;0.0;-991
2024-03-11;00:00;0.56;98.274;0.041;0.0;-991
2024-03-11;01:00;0.713;97.501;0.023;0.0;-991
2024-03-11;02:00;1.156;95.443;0.002;0.0;-991
2024-03-11;03:00;1.396;93.838;0.018;0.0;-991
2024-03-11;04:00;1.214;90.52;0.033;0.0;-991
2024-03-11;05:00;1.041;90.351;0.09;0.0;-991
2024-03-11;06:00;0.698;89.354;0.088;0.0;-991
2024-03-11;07:00;-0.29;80.291;0.042;0.0;-991
2024-03-11;08:00;-0.755;76.845;0.027;0.0;-991
2024-03-11;09:00;-0.732;71.42;0.041;55.556;-991
2024-03-11;10:00;-0.393;65.531;0.011;222.222;-991
2024-03-11;11:00;-0.205;63.227;0.033;222.222;-991
2024-03-11;12:00;-0.058;61.991;0.057;333.333;-991
2024-03-11;13:00;0.09;59.983;0.037;277.778;-991
2024-03-11;14:00;0.148;59.307;0.026;333.333;-991
2024-03-11;15:00;0.016;59.854;0.038;333.333;-991
2024-03-11;16:00;-0.038;60.31;0.05;166.667;-991
2024-03-11;17:00;-0.15;59.34;0.027;222.222;-991
2024-03-11;18:00;-0.561;60.556;0.005;166.667;-991
2024-03-11;19:00;-1.358;63.029;0.0;0.0;-991
2024-03-11;20:00;-1.827;64.144;0.0;0.0;-991
2024-03-11;21:00;-2.029;64.337;0.0;0.0;-991
2024-03-11;22:00;-2.296;64.913;0.0;0.0;-991
2024-03-11;23:00;-2.614;65.912;0.0;0.0;-991
2024-03-12;00:00;-2.886;66.862;0.0;0.0;-991
2024-03-12;01:00;-3.007;67.272;0.0;0.0;-991
2024-03-12;02:00;-2.846;64.699;0.02;0.0;-991
2024-03-12;03:00;-3.054;64.647;0.013;0.0;-991
2024-03-12;04:00;-3.263;64.596;0.007;0.0;-991
2024-03-12;05:00;-3.471;64.544;0.0;0.0;-991
2024-03-12;06:00;-3.525;63.952;0.0;12.346;-991
2024-03-12;07:00;-3.579;63.36;0.0;24.691;-991
2024-03-12;08:00;-3.633;62.767;0.0;37.037;-991
2024-03-12;09:00;-2.914;60.265;0.0;86.42;-991
2024-03-12;10:00;-2.194;57.763;0.0;135.802;-991
2024-03-12;11:00;-1.475;55.261;0.0;185.185;-991
2024-03-12;12:00;-0.67;54.197;0.0;283.951;-991
2024-03-12;13:00;0.136;53.133;0.0;382.716;-991
2024-03-12;14:00;0.941;52.069;0.0;481.481;-991
2024-03-12;15:00;1.247;52.844;0.0;481.481;-991
2024-03-12;16:00;1.553;53.618;0.0;481.481;-991
2024-03-12;17:00;1.86;54.393;0.0;481.481;-991
2024-03-12;18:00;0.738;59.042;0.0;333.333;-991
2024-03-12;19:00;-0.384;63.692;0.0;185.185;-991
2024-03-12;20:00;-1.506;68.341;0.0;37.037;-991
2024-03-12;21:00;-1.852;70.225;0.0;24.691;-991
2024-03-12;22:00;-2.197;72.11;0.0;12.346;-991
2024-03-12;23:00;-2.543;73.994;0.0;0.0;-991
2024-03-13;00:00;-3.111;75.88;0.0;0.0;-991
2024-03-13;01:00;-3.679;77.766;0.0;0.0;-991
2024-03-13;02:00;-4.247;79.652;0.0;0.0;-991
2024-03-13;03:00;-4.723;81.704;0.0;0.0;-991
2024-03-13;04:00;-5.199;83.756;0.0;0.0;-991
2024-03-13;05:00;-5.675;85.808;0.0;0.0;-991
2024-03-13;06:00;-5.782;85.852;0.0;12.346;-991
2024-03-13;07:00;-5.89;85.896;0.0;24.691;-991
2024-03-13;08:00;-5.997;85.939;0.0;37.037;-991
2024-03-13;09:00;-3.56;76.64;0.0;160.494;-991
2024-03-13;10:00;-1.122;67.34;0.0;283.951;-991
2024-03-13;11:00;1.315;58.04;0.0;407.407;-991
