DUNHM
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-08;07:00;-1.351;72.052;-991;-991;-991
2024-03-08;08:00;-0.835;68.287;-991;179.345;-991
2024-03-08;09:00;2.406;57.346;0.0;363.412;-991
2024-03-08;10:00;4.952;46.69;0.0;522.189;-991
2024-03-08;11:00;6.53;38.469;0.0;636.785;-991
2024-03-08;12:00;7.64;32.634;0.0;699.33;-991
2024-03-08;13:00;8.56;30.629;0.0;700.139;-991
2024-03-08;14:00;9.171;28.84;0.0;638.756;-991
2024-03-08;15:00;9.416;29.42;0.0;521.526;-991
2024-03-08;16:00;9.181;27.987;0.0;361.784;-991
2024-03-08;17:00;8.061;30.241;0.0;180.288;-991
2024-03-08;18:00;5.422;43.32;0.0;29.841;-991
2024-03-08;19:00;3.395;51.172;0.0;2.589;-991
2024-03-08;20:00;2.08;57.274;0.0;0.0;-991
2024-03-08;21:00;1.55;64.153;0.0;0.0;-991
2024-03-08;22:00;1.546;63.659;0.0;0.113;-991
2024-03-08;23:00;1.626;62.62;0.0;0.0;-991
2024-03-09;00:00;1.862;60.08;0.0;0.0;-991
2024-03-09;01:00;2.394;53.005;0.0;0.0;-991
2024-03-09;02:00;2.398;56.911;0.0;0.0;-991
2024-03-09;03:00;2.486;59.647;0.0;0.0;-991
2024-03-09;04:00;2.241;61.2;0.0;0.0;-991
2024-03-09;05:00;1.532;61.057;0.0;0.0;-991
2024-03-09;06:00;0.879;60.037;0.0;0.0;-991
2024-03-09;07:00;0.758;61.677;0.0;26.865;-991
2024-03-09;08:00;1.952;55.622;0.0;110.818;-991
2024-03-09;09:00;3.168;49.28;0.0;183.018;-991
2024-03-09;10:00;4.731;45.704;0.0;319.022;-991
2024-03-09;11:00;6.807;42.606;0.0;555.692;-991
2024-03-09;12:00;7.14;42.066;0.0;485.527;-991
2024-03-09;13:00;7.711;43.132;0.0;428.257;-991
2024-03-09;14:00;6.9;43.985;0.0;220.837;-991
2024-03-09;15:00;6.067;48.736;0.006;107.459;-991
2024-03-09;16:00;5.369;53.213;0.008;53.112;-991
2024-03-09;17:00;4.828;59.882;0.029;10.359;-991
2024-03-09;18:00;4.272;63.562;0.087;3.052;-991
2024-03-09;19:00;4.205;63.248;0.023;0.0;-991
2024-03-09;20:00;3.279;74.063;0.178;2.608;-991
2024-03-09;21:00;2.682;89.944;0.216;0.0;-991
2024-03-09;22:00;2.363;92.94;0.317;0.141;-991
2024-03-09;23:00;2.375;93.759;0.707;0.0;-991
2024-03-10;00:00;2.463;93.624;0.784;0.0;-991
2024-03-10;01:00;2.269;94.413;0.933;0.0;-991
2024-03-10;02:00;2.177;94.802;1.177;0.0;-991
2024-03-10;03:00;2.086;95.191;1.42;0.0;-991
2024-03-10;04:00;1.792;94.995;3.554;0.0;-991
2024-03-10;05:00;2.056;94.316;4.569;0.0;-991
2024-03-10;06:00;1.801;94.795;0.122;0.0;-991
2024-03-10;07:00;1.707;95.635;0.219;0.0;-991
2024-03-10;08:00;2.039;95.354;0.228;20.833;-991
