FARNHAM
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-08;07:00;-2.886;81.575;-991;-991;-991
2024-03-08;08:00;-2.166;84.497;-991;173.048;-991
2024-03-08;09:00;0.795;80.058;0.0;356.696;-991
2024-03-08;10:00;3.318;71.893;0.0;515.892;-991
2024-03-08;11:00;5.042;69.183;0.0;631.748;-991
2024-03-08;12:00;6.266;68.859;0.0;689.255;-991
2024-03-08;13:00;7.22;66.554;0.0;689.225;-991
2024-03-08;14:00;7.963;63.082;0.0;630.36;-991
2024-03-08;15:00;8.465;54.577;0.0;514.809;-991
2024-03-08;16:00;8.449;54.458;0.0;351.71;-991
2024-03-08;17:00;7.565;58.557;0.0;180.288;-991
2024-03-08;18:00;5.056;56.947;0.0;29.841;-991
2024-03-08;19:00;3.498;58.574;0.0;0.0;-991
2024-03-08;20:00;1.987;61.424;0.0;2.199;-991
2024-03-08;21:00;0.432;67.842;0.0;0.0;-991
2024-03-08;22:00;-0.222;70.991;0.0;0.113;-991
2024-03-08;23:00;-0.941;78.069;0.0;0.0;-991
2024-03-09;00:00;-0.96;75.922;0.0;0.0;-991
2024-03-09;01:00;-0.189;74.08;0.0;0.0;-991
2024-03-09;02:00;0.096;70.423;0.0;0.0;-991
2024-03-09;03:00;0.356;71.199;0.0;0.0;-991
2024-03-09;04:00;0.547;73.398;0.0;0.0;-991
2024-03-09;05:00;0.749;73.554;0.0;0.0;-991
2024-03-09;06:00;0.537;71.635;0.0;0.0;-991
2024-03-09;07:00;0.426;69.333;0.0;25.186;-991
2024-03-09;08:00;2.012;67.474;0.0;136.004;-991
2024-03-09;09:00;3.74;61.04;0.0;233.39;-991
2024-03-09;10:00;5.273;53.729;0.0;345.887;-991
2024-03-09;11:00;7.267;50.907;0.0;562.408;-991
2024-03-09;12:00;8.094;49.352;0.0;559.406;-991
2024-03-09;13:00;8.088;49.542;0.0;455.121;-991
2024-03-09;14:00;7.473;51.848;0.001;237.628;-991
2024-03-09;15:00;6.68;53.578;0.042;94.027;-991
2024-03-09;16:00;5.287;73.228;0.601;36.321;-991
2024-03-09;17:00;4.093;79.62;0.962;17.076;-991
2024-03-09;18:00;3.909;79.195;0.078;0.0;-991
2024-03-09;19:00;3.598;84.208;0.427;0.539;-991
2024-03-09;20:00;3.295;88.082;0.473;2.608;-991
2024-03-09;21:00;3.006;90.083;0.704;0.193;-991
2024-03-09;22:00;3.028;93.332;0.544;0.141;-991
2024-03-09;23:00;3.058;94.52;0.73;0.0;-991
2024-03-10;00:00;3.091;95.03;1.154;0.0;-991
2024-03-10;01:00;3.004;94.805;0.712;0.0;-991
2024-03-10;02:00;2.808;95.402;1.318;0.0;-991
2024-03-10;03:00;2.612;95.998;1.923;0.0;-991
2024-03-10;04:00;2.275;96.448;4.787;0.0;-991
2024-03-10;05:00;2.253;95.63;3.215;0.0;-991
2024-03-10;06:00;2.196;96.479;2.752;0.0;-991
2024-03-10;07:00;2.001;96.603;1.664;0.0;-991
2024-03-10;08:00;2.312;95.613;1.481;20.833;-991
2024-03-10;09:00;2.623;94.622;1.297;41.667;-991
2024-03-10;10:00;2.935;93.631;1.114;62.5;-991
2024-03-10;11:00;3.246;92.641;0.93;83.333;-991
2024-03-10;12:00;3.557;91.65;0.747;104.167;-991
2024-03-10;13:00;3.868;90.659;0.563;125.0;-991
2024-03-10;14:00;4.179;89.669;0.379;145.833;-991
2024-03-10;15:00;3.919;89.92;0.196;166.667;-991
2024-03-10;16:00;3.983;84.431;0.065;166.667;-991
2024-03-10;17:00;3.457;87.982;0.153;55.556;-991
2024-03-10;18:00;2.784;92.801;0.203;111.111;-991
2024-03-10;19:00;2.302;94.217;0.09;0.0;-991
2024-03-10;20:00;2.209;96.052;0.057;0.0;-991
2024-03-10;21:00;1.946;96.063;0.388;0.0;-991
2024-03-10;22:00;1.491;95.484;0.306;0.0;-991
2024-03-10;23:00;1.24;93.609;0.451;0.0;-991
2024-03-11;00:00;0.61;91.574;0.703;0.0;-991
2024-03-11;01:00;0.363;87.426;0.502;0.0;-991
2024-03-11;02:00;0.006;83.418;0.166;0.0;-991
2024-03-11;03:00;-0.705;82.488;0.346;0.0;-991
2024-03-11;04:00;-1.461;82.645;0.452;0.0;-991
2024-03-11;05:00;-2.059;81.826;0.492;0.0;-991
2024-03-11;06:00;-2.552;80.904;0.362;0.0;-991
2024-03-11;07:00;-3.115;80.416;0.302;0.0;-991
2024-03-11;08:00;-3.48;79.62;0.333;55.556;-991
2024-03-11;09:00;-3.582;77.095;0.346;0.0;-991
2024-03-11;10:00;-3.218;73.581;0.246;166.667;-991
2024-03-11;11:00;-2.805;70.877;0.262;222.222;-991
2024-03-11;12:00;-2.383;69.366;0.222;166.667;-991
2024-03-11;13:00;-1.81;67.258;0.178;333.333;-991
2024-03-11;14:00;-1.077;65.532;0.093;222.222;-991
2024-03-11;15:00;-0.459;64.954;0.076;222.222;-991
2024-03-11;16:00;-0.063;64.71;0.061;222.222;-991
2024-03-11;17:00;0.225;63.115;0.023;111.111;-991
2024-03-11;18:00;0.714;60.706;0.005;55.556;-991
2024-03-11;19:00;0.267;59.179;0.0;0.0;-991
2024-03-11;20:00;-0.277;59.694;0.0;0.0;-991
2024-03-11;21:00;-0.604;61.462;0.0;0.0;-991
2024-03-11;22:00;-0.971;62.988;0.0;0.0;-991
2024-03-11;23:00;-1.389;64.487;0.0;0.0;-991
2024-03-12;00:00;-1.886;65.837;0.0;0.0;-991
2024-03-12;01:00;-2.407;66.747;0.0;0.0;-991
2024-03-12;02:00;-4.246;78.449;0.0;0.0;-991
2024-03-12;03:00;-4.546;79.064;0.0;0.0;-991
2024-03-12;04:00;-4.846;79.679;0.0;0.0;-991
2024-03-12;05:00;-5.146;80.294;0.0;0.0;-991
2024-03-12;06:00;-5.242;80.035;0.0;12.346;-991
2024-03-12;07:00;-5.337;79.776;0.0;24.691;-991
2024-03-12;08:00;-5.433;79.517;0.0;37.037;-991
2024-03-12;09:00;-4.28;78.182;0.0;148.148;-991
2024-03-12;10:00;-3.128;76.847;0.0;259.259;-991
2024-03-12;11:00;-1.975;75.511;0.0;370.37;-991
2024-03-12;12:00;-1.053;75.114;0.0;481.481;-991
2024-03-12;13:00;-0.131;74.716;0.0;592.593;-991
2024-03-12;14:00;0.791;74.319;0.0;703.704;-991
2024-03-12;15:00;1.047;74.594;0.0;641.975;-991
2024-03-12;16:00;1.303;74.868;0.0;580.247;-991
2024-03-12;17:00;1.56;75.143;0.0;518.519;-991
2024-03-12;18:00;0.371;76.459;0.0;358.025;-991
2024-03-12;19:00;-0.817;77.775;0.0;197.531;-991
2024-03-12;20:00;-2.006;79.091;0.0;37.037;-991
2024-03-12;21:00;-2.935;79.392;0.0;24.691;-991
2024-03-12;22:00;-3.864;79.693;0.0;12.346;-991
2024-03-12;23:00;-4.793;79.994;0.0;0.0;-991
2024-03-13;00:00;-6.028;82.63;0.0;0.0;-991
2024-03-13;01:00;-7.262;85.266;0.0;0.0;-991
2024-03-13;02:00;-8.497;87.902;0.0;0.0;-991
2024-03-13;03:00;-9.49;87.954;0.0;0.0;-991
2024-03-13;04:00;-10.482;88.006;0.0;0.0;-991
2024-03-13;05:00;-11.475;88.058;0.0;0.0;-991
2024-03-13;06:00;-11.832;87.602;0.0;24.691;-991
2024-03-13;07:00;-12.19;87.146;0.0;49.383;-991
2024-03-13;08:00;-12.547;86.689;0.0;74.074;-991
2024-03-13;09:00;-9.576;85.39;0.0;123.457;-991
2024-03-13;10:00;-6.606;84.09;0.0;172.84;-991
2024-03-13;11:00;-3.635;82.79;0.0;222.222;-991
2024-03-13;12:00;-2.193;80.688;0.0;358.025;-991
2024-03-13;13:00;-0.752;78.585;0.0;493.827;-991
2024-03-13;14:00;0.69;76.483;0.0;629.63;-991
2024-03-13;15:00;0.877;78.292;0.0;543.21;-991
2024-03-13;16:00;1.064;80.101;0.0;456.79;-991
2024-03-13;17:00;1.251;81.91;0.0;370.37;-991
2024-03-13;18:00;0.39;86.294;0.0;259.259;-991
2024-03-13;19:00;-0.471;90.679;0.0;148.148;-991
2024-03-13;20:00;-1.332;95.064;0.0;37.037;-991
2024-03-13;21:00;-2.077;94.622;0.0;24.691;-991
2024-03-13;22:00;-2.822;94.18;0.0;12.346;-991
2024-03-13;23:00;-3.567;93.738;0.0;0.0;-991
2024-03-14;00:00;-3.871;93.699;0.0;0.0;-991
