GARAGF
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-08;07:00;-1.146;72.583;-991;-991;-991
2024-03-08;08:00;-0.629;68.287;-991;178.925;-991
2024-03-08;09:00;2.765;57.0;0.0;362.993;-991
2024-03-08;10:00;5.295;46.667;0.0;522.609;-991
2024-03-08;11:00;6.989;41.559;0.0;636.365;-991
2024-03-08;12:00;8.124;34.341;0.0;696.811;-991
2024-03-08;13:00;8.954;30.306;0.0;700.139;-991
2024-03-08;14:00;9.516;29.532;0.0;637.076;-991
2024-03-08;15:00;9.771;28.636;0.0;521.526;-991
2024-03-08;16:00;9.51;26.719;0.0;361.784;-991
2024-03-08;17:00;8.386;31.809;0.0;180.288;-991
2024-03-08;18:00;5.801;44.357;0.0;31.52;-991
2024-03-08;19:00;3.753;51.103;0.0;0.91;-991
2024-03-08;20:00;2.322;57.251;0.0;0.0;-991
2024-03-08;21:00;1.769;62.469;0.0;0.0;-991
2024-03-08;22:00;1.597;65.457;0.0;0.113;-991
2024-03-08;23:00;1.492;65.41;0.0;0.0;-991
2024-03-09;00:00;1.64;62.11;0.0;0.0;-991
2024-03-09;01:00;2.109;56.348;0.0;0.0;-991
2024-03-09;02:00;2.211;58.294;0.0;0.0;-991
2024-03-09;03:00;2.3;60.915;0.0;0.0;-991
2024-03-09;04:00;1.982;63.252;0.0;0.0;-991
2024-03-09;05:00;1.294;63.732;0.0;0.0;-991
2024-03-09;06:00;0.759;62.389;0.0;0.0;-991
2024-03-09;07:00;0.638;63.499;0.0;26.865;-991
2024-03-09;08:00;1.864;57.605;0.0;94.028;-991
2024-03-09;09:00;3.14;51.378;0.0;177.981;-991
2024-03-09;10:00;5.064;46.304;0.0;362.678;-991
2024-03-09;11:00;6.943;43.206;0.0;555.692;-991
2024-03-09;12:00;7.14;43.196;0.0;458.662;-991
2024-03-09;13:00;7.853;44.054;0.0;428.257;-991
2024-03-09;14:00;6.99;45.553;0.0;234.269;-991
2024-03-09;15:00;6.092;50.949;0.006;117.533;-991
2024-03-09;16:00;5.314;56.073;0.005;46.396;-991
2024-03-09;17:00;4.77;62.234;0.025;17.076;-991
2024-03-09;18:00;4.347;65.614;0.038;3.052;-991
2024-03-09;19:00;4.126;66.776;0.018;0.0;-991
2024-03-09;20:00;3.201;76.138;0.16;2.608;-991
2024-03-09;21:00;2.683;90.728;0.184;0.0;-991
2024-03-09;22:00;2.323;93.771;0.289;0.141;-991
2024-03-09;23:00;2.254;94.589;0.683;0.0;-991
2024-03-10;00:00;2.303;94.108;0.727;0.0;-991
2024-03-10;01:00;2.141;94.575;0.86;0.0;-991
2024-03-10;02:00;2.08;94.906;1.204;0.0;-991
2024-03-10;03:00;2.018;95.237;1.547;0.0;-991
2024-03-10;04:00;2.245;94.557;3.34;0.0;-991
2024-03-10;05:00;2.251;93.785;3.61;0.0;-991
2024-03-10;06:00;1.917;94.888;0.231;0.0;-991
2024-03-10;07:00;1.781;95.612;0.269;0.0;-991
2024-03-10;08:00;2.102;95.334;0.272;20.833;-991
2024-03-10;09:00;2.423;95.057;0.275;41.667;-991
2024-03-10;10:00;2.744;94.779;0.278;62.5;-991
2024-03-10;11:00;3.066;94.501;0.281;83.333;-991
2024-03-10;12:00;3.387;94.224;0.284;104.167;-991
2024-03-10;13:00;3.708;93.946;0.287;125.0;-991
2024-03-10;14:00;4.029;93.669;0.29;145.833;-991
2024-03-10;15:00;3.494;95.995;0.293;166.667;-991
2024-03-10;16:00;3.358;94.256;0.175;111.111;-991
2024-03-10;17:00;2.832;96.132;0.296;55.556;-991
2024-03-10;18:00;2.259;97.651;0.34;111.111;-991
2024-03-10;19:00;1.802;98.367;0.369;0.0;-991
2024-03-10;20:00;1.609;98.177;0.265;0.0;-991
2024-03-10;21:00;1.471;98.413;0.513;0.0;-991
2024-03-10;22:00;0.816;96.159;0.86;0.0;-991
2024-03-10;23:00;0.29;94.159;0.923;0.0;-991
