HEMGFD
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-08;07:00;-3.759;82.636;-991;-991;-991
2024-03-08;08:00;-2.41;77.649;-991;167.277;-991
2024-03-08;09:00;0.727;66.615;0.0;351.134;-991
2024-03-08;10:00;3.434;57.781;0.0;511.695;-991
2024-03-08;11:00;5.706;51.497;0.0;629.649;-991
2024-03-08;12:00;7.233;45.916;0.0;694.293;-991
2024-03-08;13:00;8.139;42.734;0.0;696.781;-991
2024-03-08;14:00;8.636;41.753;0.0;637.076;-991
2024-03-08;15:00;8.739;43.647;0.0;519.846;-991
2024-03-08;16:00;8.363;48.74;0.0;358.426;-991
2024-03-08;17:00;7.468;55.006;0.0;180.288;-991
2024-03-08;18:00;5.314;67.485;0.0;34.878;-991
2024-03-08;19:00;3.341;76.283;0.0;0.0;-991
2024-03-08;20:00;2.098;77.611;0.0;2.2;-991
2024-03-08;21:00;1.478;78.541;0.0;0.0;-991
2024-03-08;22:00;0.826;69.285;0.0;0.113;-991
2024-03-08;23:00;0.852;63.634;0.0;0.0;-991
2024-03-09;00:00;1.117;67.505;0.0;0.0;-991
2024-03-09;01:00;1.347;68.569;0.0;0.0;-991
2024-03-09;02:00;1.414;69.316;0.0;0.0;-991
2024-03-09;03:00;1.348;68.409;0.0;0.0;-991
2024-03-09;04:00;0.914;69.616;0.0;0.0;-991
2024-03-09;05:00;0.577;72.194;0.0;0.0;-991
2024-03-09;06:00;0.736;72.558;0.0;0.0;-991
2024-03-09;07:00;1.589;65.597;0.0;15.112;-991
2024-03-09;08:00;2.412;57.974;0.0;136.004;-991
2024-03-09;09:00;3.672;50.756;0.0;324.059;-991
2024-03-09;10:00;4.973;45.335;0.0;439.914;-991
2024-03-09;11:00;5.643;42.998;0.0;424.725;-991
2024-03-09;12:00;5.353;43.472;0.0;267.249;-991
2024-03-09;13:00;5.878;45.899;0.008;236.843;-991
2024-03-09;14:00;5.185;58.581;0.12;52.931;-991
2024-03-09;15:00;5.649;58.513;0.173;57.087;-991
2024-03-09;16:00;4.148;83.281;0.747;32.962;-991
2024-03-09;17:00;5.521;60.297;0.039;17.076;-991
2024-03-09;18:00;5.232;70.687;0.084;0.0;-991
2024-03-09;19:00;4.153;83.724;0.193;0.538;-991
2024-03-09;20:00;3.119;90.964;0.395;2.608;-991
2024-03-09;21:00;2.778;95.801;0.284;0.0;-991
2024-03-09;22:00;2.761;96.722;0.356;0.142;-991
2024-03-09;23:00;2.503;97.287;0.746;0.0;-991
2024-03-10;00:00;2.635;97.359;0.463;0.0;-991
2024-03-10;01:00;2.267;97.042;0.826;0.0;-991
2024-03-10;02:00;1.859;97.788;1.186;0.0;-991
2024-03-10;03:00;1.451;98.535;1.545;0.0;-991
2024-03-10;04:00;1.222;99.007;3.124;0.0;-991
2024-03-10;05:00;0.925;99.988;3.976;0.0;-991
2024-03-10;06:00;0.52;99.914;3.664;0.0;-991
2024-03-10;07:00;0.129;99.878;3.729;0.0;-991
2024-03-10;08:00;0.608;98.673;3.272;27.778;-991
2024-03-10;09:00;1.086;97.468;2.814;55.556;-991
2024-03-10;10:00;1.565;96.263;2.357;83.333;-991
2024-03-10;11:00;2.043;95.058;1.899;111.111;-991
2024-03-10;12:00;2.522;93.853;1.442;138.889;-991
2024-03-10;13:00;3.001;92.648;0.984;166.667;-991
2024-03-10;14:00;3.479;91.444;0.527;194.444;-991
2024-03-10;15:00;3.269;89.645;0.069;222.222;-991
2024-03-10;16:00;3.083;88.981;0.083;166.667;-991
2024-03-10;17:00;2.857;90.207;0.071;111.111;-991
2024-03-10;18:00;2.859;90.276;0.07;111.111;-991
2024-03-10;19:00;2.327;96.717;0.473;0.0;-991
2024-03-10;20:00;1.709;94.227;0.223;0.0;-991
2024-03-10;21:00;1.046;89.563;0.168;0.0;-991
2024-03-10;22:00;0.666;86.434;0.133;0.0;-991
2024-03-10;23:00;0.19;85.459;0.257;0.0;-991
2024-03-11;00:00;-0.29;84.374;0.331;0.0;-991
2024-03-11;01:00;-0.837;83.226;0.364;0.0;-991
2024-03-11;02:00;-1.369;81.418;0.102;0.0;-991
2024-03-11;03:00;-1.955;81.138;0.3;0.0;-991
2024-03-11;04:00;-2.486;79.795;0.366;0.0;-991
2024-03-11;05:00;-2.984;78.476;0.253;0.0;-991
2024-03-11;06:00;-3.427;77.654;0.266;0.0;-991
2024-03-11;07:00;-3.84;76.791;0.26;0.0;-991
2024-03-11;08:00;-4.08;74.945;0.196;55.556;-991
2024-03-11;09:00;-4.007;72.67;0.158;55.556;-991
2024-03-11;10:00;-3.718;70.181;0.12;166.667;-991
2024-03-11;11:00;-3.28;67.902;0.025;222.222;-991
2024-03-11;12:00;-2.533;64.416;0.019;277.778;-991
2024-03-11;13:00;-1.71;63.083;0.026;388.889;-991
2024-03-11;14:00;-0.852;61.507;0.013;333.333;-991
2024-03-11;15:00;0.116;58.404;0.001;333.333;-991
2024-03-11;16:00;1.262;55.41;0.0;277.778;-991
2024-03-11;17:00;1.95;52.365;0.0;333.333;-991
2024-03-11;18:00;1.614;54.206;0.0;222.222;-991
