HFLEUR
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-08;07:00;-3.22;61.63;-991;-991;-991
2024-03-08;08:00;-3.888;67.295;-991;194.666;-991
2024-03-08;09:00;-2.41;67.607;0.0;372.018;-991
2024-03-08;10:00;-1.366;69.817;0.0;521.769;-991
2024-03-08;11:00;-0.605;70.982;0.0;625.871;-991
2024-03-08;12:00;0.004;70.081;0.0;678.342;-991
2024-03-08;13:00;0.308;69.874;0.0;669.916;-991
2024-03-08;14:00;0.291;69.63;0.0;606.853;-991
2024-03-08;15:00;0.254;68.689;0.0;489.623;-991
2024-03-08;16:00;0.269;69.077;0.0;334.919;-991
2024-03-08;17:00;-1.252;75.574;0.0;155.102;-991
2024-03-08;18:00;-2.2;79.844;0.0;18.087;-991
2024-03-08;19:00;-2.373;81.333;0.0;2.589;-991
2024-03-08;20:00;-2.192;80.263;0.0;0.0;-991
2024-03-08;21:00;-2.803;83.037;0.0;0.0;-991
2024-03-08;22:00;-4.233;89.553;0.0;0.113;-991
2024-03-08;23:00;-4.715;86.623;0.0;0.0;-991
2024-03-09;00:00;-4.558;76.521;0.0;0.0;-991
2024-03-09;01:00;-4.733;71.014;0.0;0.0;-991
2024-03-09;02:00;-5.781;72.129;0.0;0.0;-991
2024-03-09;03:00;-6.826;80.561;0.0;0.0;-991
2024-03-09;04:00;-6.42;80.5;0.0;0.0;-991
2024-03-09;05:00;-6.311;82.709;0.0;0.0;-991
2024-03-09;06:00;-5.647;83.81;0.0;0.0;-991
2024-03-09;07:00;-4.305;78.602;0.0;28.544;-991
2024-03-09;08:00;-1.795;71.994;0.0;122.572;-991
2024-03-09;09:00;0.176;67.288;0.0;235.069;-991
2024-03-09;10:00;1.669;63.459;0.0;298.873;-991
2024-03-09;11:00;3.5;58.009;0.0;374.353;-991
2024-03-09;12:00;4.946;52.857;0.0;495.602;-991
2024-03-09;13:00;5.479;51.318;0.0;643.177;-991
2024-03-09;14:00;5.417;52.724;0.0;573.441;-991
2024-03-09;15:00;4.524;57.198;0.0;376.109;-991
2024-03-09;16:00;3.888;60.799;0.0;281.464;-991
2024-03-09;17:00;2.795;64.932;0.0;97.67;-991
2024-03-09;18:00;2.035;71.77;0.0;13.127;-991
2024-03-09;19:00;1.721;71.434;0.0;0.539;-991
2024-03-09;20:00;1.511;70.881;0.0;0.0;-991
2024-03-09;21:00;1.203;71.497;0.021;3.552;-991
2024-03-09;22:00;0.805;72.903;0.0;0.0;-991
2024-03-09;23:00;0.722;73.675;0.0;0.0;-991
2024-03-10;00:00;0.594;75.753;0.005;0.0;-991
2024-03-10;01:00;0.436;80.025;0.007;0.0;-991
2024-03-10;02:00;0.398;80.183;0.006;0.0;-991
2024-03-10;03:00;0.36;80.342;0.004;0.0;-991
2024-03-10;04:00;0.206;83.512;0.063;0.0;-991
2024-03-10;05:00;-0.331;92.678;0.552;0.0;-991
2024-03-10;06:00;-0.374;93.988;0.436;0.0;-991
2024-03-10;07:00;-0.354;98.379;2.534;0.0;-991
2024-03-10;08:00;-0.074;97.945;2.358;20.833;-991
2024-03-10;09:00;0.206;97.512;2.182;41.667;-991
2024-03-10;10:00;0.485;97.078;2.007;62.5;-991
2024-03-10;11:00;0.765;96.644;1.831;83.333;-991
2024-03-10;12:00;1.045;96.211;1.655;104.167;-991
2024-03-10;13:00;1.325;95.777;1.48;125.0;-991
2024-03-10;14:00;1.604;95.344;1.304;145.833;-991
2024-03-10;15:00;1.744;94.845;1.128;166.667;-991
2024-03-10;16:00;1.783;93.981;0.694;166.667;-991
2024-03-10;17:00;1.507;93.457;0.462;166.667;-991
2024-03-10;18:00;1.034;93.601;0.339;55.556;-991
2024-03-10;19:00;0.677;94.467;0.113;0.0;-991
2024-03-10;20:00;0.459;95.302;0.113;0.0;-991
2024-03-10;21:00;0.296;95.663;0.15;0.0;-991
2024-03-10;22:00;0.166;95.734;0.175;0.0;-991
2024-03-10;23:00;-0.01;95.759;0.265;0.0;-991
2024-03-11;00:00;-0.165;95.549;0.333;0.0;-991
2024-03-11;01:00;-0.312;95.126;0.436;0.0;-991
2024-03-11;02:00;-0.419;94.468;0.524;0.0;-991
2024-03-11;03:00;-0.505;93.763;0.421;0.0;-991
2024-03-11;04:00;-0.561;93.595;0.357;0.0;-991
2024-03-11;05:00;-0.684;94.876;0.355;0.0;-991
2024-03-11;06:00;-0.777;97.129;0.879;0.0;-991
2024-03-11;07:00;-0.79;98.016;1.09;0.0;-991
2024-03-11;08:00;-0.555;94.97;0.427;0.0;-991
2024-03-11;09:00;-0.107;93.545;0.279;55.556;-991
2024-03-11;10:00;-0.118;90.106;0.244;166.667;-991
2024-03-11;11:00;-0.455;86.852;0.281;111.111;-991
2024-03-11;12:00;-0.483;83.216;0.217;222.222;-991
2024-03-11;13:00;-0.21;79.233;0.096;333.333;-991
2024-03-11;14:00;-0.227;76.682;0.016;333.333;-991
2024-03-11;15:00;-0.284;74.429;0.002;388.889;-991
2024-03-11;16:00;-0.563;74.01;0.006;222.222;-991
2024-03-11;17:00;-1.225;76.14;0.011;222.222;-991
2024-03-11;18:00;-2.111;79.606;0.027;55.556;-991
2024-03-11;19:00;-3.008;80.829;0.009;55.556;-991
2024-03-11;20:00;-3.552;79.944;0.0;0.0;-991
2024-03-11;21:00;-3.854;77.962;0.0;0.0;-991
2024-03-11;22:00;-4.071;76.763;0.0;0.0;-991
2024-03-11;23:00;-4.364;76.662;0.0;0.0;-991
2024-03-12;00:00;-4.661;77.087;0.001;0.0;-991
2024-03-12;01:00;-4.882;77.597;0.011;0.0;-991
2024-03-12;02:00;-3.221;78.449;0.02;0.0;-991
2024-03-12;03:00;-3.671;78.397;0.031;0.0;-991
2024-03-12;04:00;-4.121;78.346;0.043;0.0;-991
2024-03-12;05:00;-4.571;78.294;0.054;0.0;-991
2024-03-12;06:00;-4.758;77.618;0.041;0.0;-991
2024-03-12;07:00;-4.946;76.943;0.028;0.0;-991
2024-03-12;08:00;-5.133;76.267;0.015;0.0;-991
2024-03-12;09:00;-4.264;73.265;0.01;123.457;-991
2024-03-12;10:00;-3.394;70.263;0.005;246.914;-991
2024-03-12;11:00;-2.525;67.261;0.0;370.37;-991
2024-03-12;12:00;-1.686;66.114;0.0;456.79;-991
2024-03-12;13:00;-0.848;64.966;0.0;543.21;-991
2024-03-12;14:00;-0.009;63.819;0.0;629.63;-991
2024-03-12;15:00;0.081;65.094;0.0;580.247;-991
2024-03-12;16:00;0.17;66.368;0.0;530.864;-991
2024-03-12;17:00;0.26;67.643;0.0;481.481;-991
2024-03-12;18:00;-0.412;69.292;0.0;345.679;-991
2024-03-12;19:00;-1.084;70.942;0.0;209.877;-991
2024-03-12;20:00;-1.756;72.591;0.0;74.074;-991
2024-03-12;21:00;-2.202;74.475;0.0;49.383;-991
2024-03-12;22:00;-2.647;76.36;0.0;24.691;-991
2024-03-12;23:00;-3.093;78.244;0.0;0.0;-991
2024-03-13;00:00;-3.878;81.213;0.0;0.0;-991
2024-03-13;01:00;-4.662;84.183;0.0;0.0;-991
2024-03-13;02:00;-5.447;87.152;0.0;0.0;-991
2024-03-13;03:00;-5.956;87.454;0.0;0.0;-991
2024-03-13;04:00;-6.466;87.756;0.0;0.0;-991
2024-03-13;05:00;-6.975;88.058;0.0;0.0;-991
2024-03-13;06:00;-6.966;87.768;0.0;12.346;-991
2024-03-13;07:00;-6.956;87.479;0.0;24.691;-991
2024-03-13;08:00;-6.947;87.189;0.0;37.037;-991
2024-03-13;09:00;-4.876;80.723;0.0;135.802;-991
2024-03-13;10:00;-2.806;74.256;0.0;234.568;-991
2024-03-13;11:00;-0.735;67.79;0.0;333.333;-991
2024-03-13;12:00;0.473;66.188;0.0;444.444;-991
2024-03-13;13:00;1.682;64.585;0.0;555.556;-991
2024-03-13;14:00;2.89;62.983;0.0;666.667;-991
2024-03-13;15:00;3.11;63.792;0.0;592.593;-991
