HRYVIL
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-08;07:00;-2.925;82.913;-991;-991;-991
2024-03-08;08:00;-1.919;86.711;-991;170.845;-991
2024-03-08;09:00;0.681;84.508;0.0;353.863;-991
2024-03-08;10:00;3.016;77.496;0.0;514.633;-991
2024-03-08;11:00;4.651;75.386;0.0;631.328;-991
2024-03-08;12:00;6.024;73.563;0.0;692.614;-991
2024-03-08;13:00;6.985;72.249;0.0;694.262;-991
2024-03-08;14:00;7.68;70.945;0.0;630.36;-991
2024-03-08;15:00;8.134;66.844;0.0;513.13;-991
2024-03-08;16:00;8.177;63.266;0.0;358.426;-991
2024-03-08;17:00;7.419;64.76;0.0;178.609;-991
2024-03-08;18:00;4.75;68.523;0.0;31.519;-991
2024-03-08;19:00;2.329;76.167;0.0;0.0;-991
2024-03-08;20:00;3.782;48.95;0.0;0.521;-991
2024-03-08;21:00;1.709;72.062;0.0;1.543;-991
2024-03-08;22:00;-0.882;79.339;0.0;0.113;-991
2024-03-08;23:00;-1.418;87.523;0.0;0.0;-991
2024-03-09;00:00;-0.885;84.914;0.0;0.0;-991
2024-03-09;01:00;0.096;73.181;0.0;0.0;-991
2024-03-09;02:00;0.631;68.532;0.0;0.0;-991
2024-03-09;03:00;0.98;68.893;0.0;0.0;-991
2024-03-09;04:00;0.868;69.985;0.0;0.0;-991
2024-03-09;05:00;0.448;70.834;0.0;0.0;-991
2024-03-09;06:00;0.263;68.269;0.0;0.0;-991
2024-03-09;07:00;0.346;66.727;0.0;21.828;-991
2024-03-09;08:00;1.953;65.076;0.0;100.744;-991
2024-03-09;09:00;2.98;62.585;0.0;184.697;-991
2024-03-09;10:00;5.831;55.919;0.0;490.286;-991
2024-03-09;11:00;6.47;53.698;0.0;548.976;-991
2024-03-09;12:00;6.772;53.18;0.003;465.379;-991
2024-03-09;13:00;7.198;53.693;0.003;297.289;-991
2024-03-09;14:00;6.598;54.938;0.007;136.884;-991
2024-03-09;15:00;6.149;58.167;0.12;57.087;-991
2024-03-09;16:00;5.644;60.315;0.05;22.888;-991
2024-03-09;17:00;5.265;63.225;0.1;10.359;-991
2024-03-09;18:00;5.129;65.96;0.111;3.053;-991
2024-03-09;19:00;4.733;72.103;0.291;3.897;-991
2024-03-09;20:00;4.039;80.035;0.613;0.0;-991
2024-03-09;21:00;3.375;88.791;0.96;0.193;-991
2024-03-09;22:00;3.141;93.171;0.582;0.141;-991
2024-03-09;23:00;2.863;95.788;1.233;0.0;-991
2024-03-10;00:00;2.815;94.385;0.884;0.0;-991
2024-03-10;01:00;2.62;95.013;1.066;0.0;-991
2024-03-10;02:00;2.543;95.575;1.304;0.0;-991
2024-03-10;03:00;2.466;96.137;1.541;0.0;-991
2024-03-10;04:00;2.506;96.701;4.133;0.0;-991
