KAMRSKA
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-12;02:00;-1.735;76.504;0.0;-991;-991
2024-03-12;03:00;-2.158;78.298;0.0;0.0;-991
2024-03-12;04:00;-2.016;78.04;0.0;0.0;-991
2024-03-12;05:00;-1.86;76.326;0.0;0.0;-991
2024-03-12;06:00;-1.876;76.095;0.0;0.0;-991
2024-03-12;07:00;-1.971;77.055;0.0;0.0;-991
2024-03-12;08:00;-1.938;76.337;0.0;7.136;-991
2024-03-12;09:00;-1.51;74.125;0.0;45.335;-991
2024-03-12;10:00;-0.834;71.68;0.0;93.188;-991
2024-03-12;11:00;-0.076;68.923;0.0;141.461;-991
2024-03-12;12:00;0.533;66.762;0.0;152.795;-991
2024-03-12;13:00;1.355;64.856;0.0;191.612;-991
2024-03-12;14:00;1.853;66.012;0.0;205.399;-991
2024-03-12;15:00;2.145;63.008;0.0;130.225;-991
2024-03-12;16:00;2.042;65.471;0.0;125.569;-991
2024-03-12;17:00;1.562;68.84;0.0;87.346;-991
2024-03-12;18:00;1.167;71.771;0.0;48.919;-991
2024-03-12;19:00;0.644;75.624;0.001;3.265;-991
2024-03-12;20:00;0.486;78.851;0.001;1.432;-991
2024-03-12;21:00;0.451;80.909;0.0;0.0;-991
2024-03-12;22:00;0.045;84.269;0.001;0.0;-991
2024-03-12;23:00;-0.535;87.957;0.004;0.0;-991
2024-03-13;00:00;-0.731;89.115;0.003;0.0;-991
2024-03-13;01:00;-0.702;88.525;0.003;0.0;-991
2024-03-13;02:00;-0.413;86.703;0.0;0.0;-991
2024-03-13;03:00;-0.26;86.519;0.0;0.0;-991
2024-03-13;04:00;-0.407;87.003;0.0;0.0;-991
2024-03-13;05:00;-0.326;84.919;0.0;0.0;-991
2024-03-13;06:00;-2.343;93.317;0.0;0.0;-991
2024-03-13;07:00;-4.404;90.905;0.0;0.0;-991
2024-03-13;08:00;-4.031;92.198;0.0;54.674;-991
2024-03-13;09:00;0.527;81.386;0.0;209.787;-991
2024-03-13;10:00;2.652;75.296;0.0;345.613;-991
2024-03-13;11:00;3.247;72.638;0.0;470.646;-991
2024-03-13;12:00;3.601;69.93;0.0;617.189;-991
2024-03-13;13:00;4.05;67.143;0.0;668.328;-991
2024-03-13;14:00;4.091;65.693;0.0;666.918;-991
2024-03-13;15:00;4.117;67.214;0.0;593.019;-991
2024-03-13;16:00;3.823;69.208;0.0;478.111;-991
2024-03-13;17:00;2.824;73.779;0.0;327.492;-991
2024-03-13;18:00;0.74;84.073;0.0;127.923;-991
2024-03-13;19:00;-0.39;91.142;0.0;16.164;-991
2024-03-13;20:00;-1.423;95.143;0.0;1.033;-991
2024-03-13;21:00;-1.31;95.244;0.002;0.0;-991
2024-03-13;22:00;-1.132;97.335;0.0;1.775;-991
2024-03-13;23:00;-0.799;97.81;0.0;1.186;-991
2024-03-14;00:00;-0.466;97.695;0.0;0.0;-991
2024-03-14;01:00;-0.784;97.638;0.005;0.0;-991
2024-03-14;02:00;-0.615;93.537;0.015;0.0;-991
2024-03-14;03:00;-0.572;93.188;0.0;0.0;-991
2024-03-14;04:00;-0.528;92.907;0.004;0.0;-991
2024-03-14;05:00;-0.524;93.74;0.026;0.0;-991
2024-03-14;06:00;-0.522;94.703;0.051;0.0;-991
2024-03-14;07:00;-0.514;95.308;0.116;0.0;-991
2024-03-14;08:00;-0.149;93.948;0.327;55.556;-991
2024-03-14;09:00;0.215;92.423;0.666;55.556;-991
2024-03-14;10:00;0.429;91.997;0.625;166.667;-991
2024-03-14;11:00;0.52;91.36;0.447;55.556;-991
2024-03-14;12:00;0.77;90.741;0.369;222.222;-991
2024-03-14;13:00;1.464;87.934;0.091;166.667;-991
2024-03-14;14:00;2.271;85.697;0.029;277.778;-991
2024-03-14;15:00;2.913;84.764;0.057;388.889;-991
2024-03-14;16:00;2.637;86.333;0.007;444.444;-991
2024-03-14;17:00;2.493;86.645;0.0;277.778;-991
2024-03-14;18:00;1.892;90.493;0.0;111.111;-991
2024-03-14;19:00;-0.08;95.999;0.0;0.0;-991
2024-03-14;20:00;-1.064;95.707;0.0;0.0;-991
2024-03-14;21:00;-1.632;94.537;0.0;0.0;-991
2024-03-14;22:00;-1.352;93.221;0.0;0.0;-991
2024-03-14;23:00;-1.132;93.806;0.0;0.0;-991
2024-03-15;00:00;-0.659;94.012;0.0;0.0;-991
2024-03-15;01:00;-0.501;94.523;0.0;0.0;-991
2024-03-15;02:00;-1.022;95.105;0.0;0.0;-991
2024-03-15;03:00;-1.128;95.253;0.0;0.0;-991
2024-03-15;04:00;-1.381;95.427;0.0;0.0;-991
2024-03-15;05:00;-1.883;94.856;0.0;0.0;-991
