LAPECHE
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-08;07:00;-991;-991;-991;-991;-991
2024-03-08;08:00;-991;-991;-991;-991;-991
2024-03-08;09:00;-991;-991;-991;-991;-991
2024-03-08;10:00;-991;-991;-991;-991;-991
2024-03-08;11:00;-991;-991;-991;-991;-991
2024-03-08;12:00;-991;-991;-991;-991;-991
2024-03-08;13:00;4.485;45.486;-991;-991;-991
2024-03-08;14:00;3.971;49.734;-991;647.391;-991
2024-03-08;15:00;3.233;51.804;0.0;522.457;-991
2024-03-08;16:00;1.61;56.434;0.0;389.691;-991
2024-03-08;17:00;0.85;60.029;0.0;218.663;-991
2024-03-08;18:00;-0.828;67.838;0.0;51.212;-991
2024-03-08;19:00;-3.94;79.988;0.0;0.0;-991
2024-03-08;20:00;-4.599;83.271;0.0;0.0;-991
2024-03-08;21:00;-3.957;84.813;0.0;0.0;-991
2024-03-08;22:00;-3.266;85.74;0.0;0.0;-991
2024-03-08;23:00;-2.454;85.899;0.0;0.0;-991
2024-03-09;00:00;-1.806;82.82;0.0;0.0;-991
2024-03-09;01:00;-1.333;78.433;0.0;0.0;-991
2024-03-09;02:00;-0.99;75.468;0.0;0.0;-991
2024-03-09;03:00;-0.538;74.388;0.001;0.0;-991
2024-03-09;04:00;0.107;73.942;0.012;0.0;-991
2024-03-09;05:00;0.309;84.307;0.12;0.0;-991
2024-03-09;06:00;0.462;80.481;0.038;0.0;-991
2024-03-09;07:00;1.093;72.23;0.0;4.319;-991
2024-03-09;08:00;2.433;62.111;0.0;76.315;-991
2024-03-09;09:00;3.526;57.749;0.0;122.572;-991
2024-03-09;10:00;4.3;57.499;0.001;218.278;-991
2024-03-09;11:00;3.252;80.454;0.146;65.014;-991
2024-03-09;12:00;2.851;88.811;1.244;95.788;-991
2024-03-09;13:00;2.774;93.446;1.825;105.142;-991
2024-03-09;14:00;2.867;96.567;2.092;99.811;-991
2024-03-09;15:00;2.665;97.077;1.719;71.544;-991
2024-03-09;16:00;2.578;97.455;1.843;51.26;-991
2024-03-09;17:00;2.772;97.932;1.878;33.347;-991
2024-03-09;18:00;2.941;98.009;2.297;4.334;-991
2024-03-09;19:00;3.223;98.066;2.124;1.167;-991
2024-03-09;20:00;3.247;97.877;4.055;0.811;-991
2024-03-09;21:00;3.405;97.505;2.406;0.564;-991
2024-03-09;22:00;3.538;97.585;3.955;0.131;-991
2024-03-09;23:00;3.442;97.011;3.334;0.0;-991
2024-03-10;00:00;3.327;97.014;2.552;0.0;-991
2024-03-10;01:00;3.378;97.042;2.437;0.0;-991
2024-03-10;02:00;3.286;97.332;2.417;0.0;-991
2024-03-10;03:00;3.193;97.622;2.398;0.0;-991
2024-03-10;04:00;2.627;97.859;2.644;0.0;-991
2024-03-10;05:00;2.266;97.903;2.059;0.0;-991
2024-03-10;06:00;2.066;98.311;1.318;0.0;-991
2024-03-10;07:00;1.914;98.419;1.142;0.0;-991
2024-03-10;08:00;1.902;96.733;1.032;34.722;-991
2024-03-10;09:00;1.89;95.047;0.922;69.444;-991
2024-03-10;10:00;1.878;93.362;0.812;104.167;-991
2024-03-10;11:00;1.866;91.676;0.702;138.889;-991
2024-03-10;12:00;1.854;89.99;0.593;173.611;-991
2024-03-10;13:00;1.841;88.304;0.483;208.333;-991
2024-03-10;14:00;1.829;86.619;0.373;243.056;-991
2024-03-10;15:00;1.619;76.345;0.263;277.778;-991
2024-03-10;16:00;0.883;75.656;0.329;111.111;-991
2024-03-10;17:00;0.107;75.932;0.334;166.667;-991
2024-03-10;18:00;-0.616;76.451;0.327;55.556;-991
2024-03-10;19:00;-1.373;77.317;0.349;0.0;-991
2024-03-10;20:00;-2.041;77.027;0.344;0.0;-991
2024-03-10;21:00;-2.579;75.513;0.3;0.0;-991
2024-03-10;22:00;-3.009;73.609;0.197;0.0;-991
2024-03-10;23:00;-3.335;72.259;0.168;0.0;-991
2024-03-11;00:00;-3.665;71.174;0.15;0.0;-991
2024-03-11;01:00;-3.937;69.576;0.094;0.0;-991
2024-03-11;02:00;-4.244;68.643;0.076;0.0;-991
2024-03-11;03:00;-4.505;67.788;0.065;0.0;-991
2024-03-11;04:00;-4.686;67.17;0.077;0.0;-991
2024-03-11;05:00;-4.834;66.326;0.084;0.0;-991
2024-03-11;06:00;-4.977;65.804;0.038;0.0;-991
2024-03-11;07:00;-5.065;65.516;0.03;0.0;-991
2024-03-11;08:00;-5.005;65.07;0.023;0.0;-991
2024-03-11;09:00;-4.657;61.67;0.017;55.556;-991
2024-03-11;10:00;-3.743;56.656;0.0;333.333;-991
2024-03-11;11:00;-2.305;52.177;0.0;500.0;-991
2024-03-11;12:00;-0.883;48.291;0.0;611.111;-991
2024-03-11;13:00;0.465;44.933;0.0;666.667;-991
2024-03-11;14:00;1.573;43.507;0.0;722.222;-991
2024-03-11;15:00;2.416;43.004;0.0;666.667;-991
2024-03-11;16:00;2.787;42.185;0.0;611.111;-991
2024-03-11;17:00;2.725;41.715;0.0;333.333;-991
2024-03-11;18:00;2.189;42.681;0.0;222.222;-991
2024-03-11;19:00;1.217;44.179;0.0;55.556;-991
2024-03-11;20:00;0.648;45.519;0.0;0.0;-991
2024-03-11;21:00;0.246;49.062;0.0;0.0;-991
2024-03-11;22:00;-0.121;53.713;0.0;0.0;-991
2024-03-11;23:00;-0.289;57.487;0.0;0.0;-991
2024-03-12;00:00;-0.561;61.837;0.0;0.0;-991
2024-03-12;01:00;-1.057;65.697;0.0;0.0;-991
2024-03-12;02:00;-2.246;62.199;0.0;0.0;-991
2024-03-12;03:00;-2.788;64.897;0.0;0.0;-991
2024-03-12;04:00;-3.329;67.596;0.0;0.0;-991
2024-03-12;05:00;-3.871;70.294;0.0;0.0;-991
2024-03-12;06:00;-4.325;71.702;0.0;0.0;-991
2024-03-12;07:00;-4.779;73.11;0.0;0.0;-991
2024-03-12;08:00;-5.233;74.517;0.0;0.0;-991
2024-03-12;09:00;-3.114;65.099;0.0;123.457;-991
2024-03-12;10:00;-0.994;55.68;0.0;246.914;-991
2024-03-12;11:00;1.125;46.261;0.0;370.37;-991
2024-03-12;12:00;2.464;42.614;0.0;456.79;-991
2024-03-12;13:00;3.802;38.966;0.0;543.21;-991
2024-03-12;14:00;5.141;35.319;0.0;629.63;-991
2024-03-12;15:00;5.381;36.177;0.0;617.284;-991
2024-03-12;16:00;5.62;37.035;0.0;604.938;-991
2024-03-12;17:00;5.86;37.893;0.0;592.593;-991
2024-03-12;18:00;4.188;45.542;0.0;407.407;-991
2024-03-12;19:00;2.516;53.192;0.0;222.222;-991
2024-03-12;20:00;0.844;60.841;0.0;37.037;-991
2024-03-12;21:00;-0.518;66.142;0.0;24.691;-991
2024-03-12;22:00;-1.881;71.443;0.0;12.346;-991
2024-03-12;23:00;-3.243;76.744;0.0;0.0;-991
2024-03-13;00:00;-3.878;77.713;0.0;0.0;-991
2024-03-13;01:00;-4.512;78.683;0.0;0.0;-991
2024-03-13;02:00;-5.147;79.652;0.0;0.0;-991
2024-03-13;03:00;-5.056;77.954;0.0;0.0;-991
2024-03-13;04:00;-4.966;76.256;0.0;0.0;-991
2024-03-13;05:00;-4.875;74.558;0.0;0.0;-991
2024-03-13;06:00;-4.266;71.018;0.0;24.691;-991
2024-03-13;07:00;-3.656;67.479;0.0;49.383;-991
2024-03-13;08:00;-3.047;63.939;0.0;74.074;-991
2024-03-13;09:00;-1.81;60.723;0.0;74.074;-991
2024-03-13;10:00;-0.572;57.506;0.0;74.074;-991
2024-03-13;11:00;0.665;54.29;0.0;74.074;-991
2024-03-13;12:00;1.173;57.354;0.109;135.802;-991
2024-03-13;13:00;1.682;60.419;0.217;197.531;-991
2024-03-13;14:00;2.19;63.483;0.326;259.259;-991
2024-03-13;15:00;2.344;66.709;0.232;234.568;-991
2024-03-13;16:00;2.497;69.934;0.138;209.877;-991
2024-03-13;17:00;2.651;73.16;0.044;185.185;-991
2024-03-13;18:00;2.073;78.461;0.04;123.457;-991
2024-03-13;19:00;1.495;83.762;0.037;61.728;-991
2024-03-13;20:00;0.918;89.064;0.033;0.0;-991
2024-03-13;21:00;-0.01;91.372;0.048;0.0;-991
2024-03-13;22:00;-0.939;93.68;0.063;0.0;-991
2024-03-13;23:00;-1.867;95.988;0.079;0.0;-991
2024-03-14;00:00;-1.962;96.116;0.085;0.0;-991
2024-03-14;01:00;-2.058;96.243;0.092;0.0;-991
2024-03-14;02:00;-2.153;96.371;0.099;0.0;-991
2024-03-14;03:00;-1.774;95.012;0.122;0.0;-991
2024-03-14;04:00;-1.395;93.654;0.144;0.0;-991
2024-03-14;05:00;-1.016;92.295;0.167;0.0;-991
2024-03-14;06:00;-0.943;90.865;0.127;0.0;-991
2024-03-14;07:00;-0.87;89.436;0.088;0.0;-991
2024-03-14;08:00;-0.797;88.006;0.048;0.0;-991
2024-03-14;09:00;-0.001;86.356;0.049;61.728;-991
2024-03-14;10:00;0.796;84.706;0.05;123.457;-991
