MAMTY
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-12;02:00;-1.817;70.463;0.0;-991;-991
2024-03-12;03:00;-2.482;75.301;0.0;0.0;-991
2024-03-12;04:00;-2.593;77.163;0.0;0.0;-991
2024-03-12;05:00;-3.01;77.571;0.0;0.0;-991
2024-03-12;06:00;-3.322;77.963;0.0;0.0;-991
2024-03-12;07:00;-3.588;78.461;0.0;0.0;-991
2024-03-12;08:00;-3.495;77.559;0.0;32.532;-991
2024-03-12;09:00;-1.967;74.171;0.0;164.338;-991
2024-03-12;10:00;0.099;67.53;0.0;389.543;-991
2024-03-12;11:00;1.191;62.605;0.0;537.72;-991
2024-03-12;12:00;2.044;60.606;0.0;639.723;-991
2024-03-12;13:00;2.819;58.838;0.0;687.776;-991
2024-03-12;14:00;3.375;57.342;0.0;678.894;-991
2024-03-12;15:00;3.683;57.267;0.0;605.4;-991
2024-03-12;16:00;2.998;62.889;0.001;338.811;-991
2024-03-12;17:00;2.45;69.647;0.0;228.387;-991
2024-03-12;18:00;1.158;73.362;0.0;75.784;-991
2024-03-12;19:00;0.225;74.955;0.0;9.981;-991
2024-03-12;20:00;-0.206;75.508;0.0;0.0;-991
2024-03-12;21:00;-0.426;76.62;0.0;0.0;-991
2024-03-12;22:00;-0.795;78.504;0.0;0.0;-991
2024-03-12;23:00;-1.446;82.008;0.0;0.0;-991
2024-03-13;00:00;-2.97;82.728;0.0;0.0;-991
2024-03-13;01:00;-3.758;80.869;0.0;0.0;-991
2024-03-13;02:00;-4.681;84.974;0.0;0.0;-991
2024-03-13;03:00;-4.388;84.582;0.0;0.0;-991
2024-03-13;04:00;-3.243;82.922;0.0;0.0;-991
2024-03-13;05:00;-3.543;82.613;0.0;0.0;-991
2024-03-13;06:00;-4.759;85.224;0.0;0.0;-991
2024-03-13;07:00;-5.372;82.765;0.0;0.0;-991
2024-03-13;08:00;-5.206;85.857;0.0;51.316;-991
2024-03-13;09:00;-2.436;78.85;0.0;218.182;-991
2024-03-13;10:00;-0.1;75.412;0.0;392.627;-991
2024-03-13;11:00;1.635;72.038;0.0;537.809;-991
2024-03-13;12:00;2.121;69.608;0.0;637.338;-991
2024-03-13;13:00;2.329;72.538;0.0;685.118;-991
2024-03-13;14:00;3.033;72.518;0.0;676.992;-991
2024-03-13;15:00;3.976;72.771;0.0;613.168;-991
2024-03-13;16:00;3.812;76.817;0.0;384.084;-991
2024-03-13;17:00;3.583;81.411;0.0;267.046;-991
2024-03-13;18:00;2.232;87.07;0.0;70.835;-991
2024-03-13;19:00;1.579;87.799;0.04;6.09;-991
2024-03-13;20:00;0.916;92.999;0.237;0.0;-991
2024-03-13;21:00;0.18;94.644;0.002;0.0;-991
2024-03-13;22:00;-0.031;96.182;0.017;1.775;-991
2024-03-13;23:00;-0.036;97.118;0.75;1.186;-991
2024-03-14;00:00;-0.106;97.557;0.112;0.0;-991
2024-03-14;01:00;-0.184;97.638;0.025;0.0;-991
2024-03-14;02:00;-0.49;94.212;0.0;0.0;-991
2024-03-14;03:00;-0.622;93.838;0.0;0.0;-991
2024-03-14;04:00;-0.978;94.932;0.0;0.0;-991
2024-03-14;05:00;-1.174;95.215;0.0;0.0;-991
2024-03-14;06:00;-1.097;94.978;0.0;0.0;-991
2024-03-14;07:00;-0.914;95.083;0.016;0.0;-991
2024-03-14;08:00;-0.624;95.448;0.261;0.0;-991
2024-03-14;09:00;-0.06;92.923;0.079;111.111;-991
2024-03-14;10:00;0.404;92.722;0.174;166.667;-991
2024-03-14;11:00;0.42;93.36;0.222;111.111;-991
2024-03-14;12:00;1.12;91.141;0.153;333.333;-991
2024-03-14;13:00;2.189;87.834;0.015;500.0;-991
2024-03-14;14:00;2.921;85.772;0.007;555.556;-991
2024-03-14;15:00;3.513;84.639;0.007;444.444;-991
2024-03-14;16:00;3.837;84.858;0.0;388.889;-991
2024-03-14;17:00;3.093;89.77;0.0;277.778;-991
2024-03-14;18:00;1.642;96.268;0.0;222.222;-991
2024-03-14;19:00;0.82;97.524;0.0;0.0;-991
2024-03-14;20:00;0.711;96.932;0.0;0.0;-991
2024-03-14;21:00;0.593;96.287;0.0;0.0;-991
2024-03-14;22:00;0.273;96.221;0.0;0.0;-991
2024-03-14;23:00;-0.757;96.631;0.0;0.0;-991
2024-03-15;00:00;-1.359;96.162;0.0;0.0;-991
2024-03-15;01:00;-1.451;96.423;0.0;0.0;-991
2024-03-15;02:00;-1.347;96.055;0.001;0.0;-991
2024-03-15;03:00;-0.678;95.428;0.002;0.0;-991
2024-03-15;04:00;-0.281;95.177;0.005;0.0;-991
2024-03-15;05:00;-0.333;96.106;0.007;0.0;-991
2024-03-15;06:00;-0.529;96.7;0.008;0.0;-991
2024-03-15;07:00;-0.848;97.015;0.004;0.0;-991
2024-03-15;08:00;-0.613;95.605;0.0;55.556;-991
2024-03-15;09:00;0.472;93.704;0.0;166.667;-991
2024-03-15;10:00;0.83;92.121;0.0;277.778;-991
2024-03-15;11:00;0.637;91.731;0.079;222.222;-991
2024-03-15;12:00;0.799;92.908;0.209;277.778;-991
2024-03-15;13:00;0.898;95.931;0.347;277.778;-991
2024-03-15;14:00;3.606;66.334;0.0;666.667;-991
2024-03-15;15:00;3.478;67.851;0.0;604.938;-991
2024-03-15;16:00;3.351;69.368;0.0;543.21;-991
2024-03-15;17:00;3.223;70.885;0.0;481.481;-991
2024-03-15;18:00;1.61;77.213;0.0;345.679;-991
2024-03-15;19:00;-0.002;83.54;0.0;209.877;-991
2024-03-15;20:00;-1.615;89.868;0.0;74.074;-991
2024-03-15;21:00;-1.861;88.647;0.0;49.383;-991
2024-03-15;22:00;-2.108;87.427;0.0;24.691;-991
2024-03-15;23:00;-2.354;86.206;0.0;0.0;-991
2024-03-16;00:00;-2.255;85.637;0.003;0.0;-991
2024-03-16;01:00;-2.155;85.067;0.006;0.0;-991
