MTLAURIER
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-12;02:00;-2.255;60.571;0.0;-991;-991
2024-03-12;03:00;-6.725;83.925;0.0;0.0;-991
2024-03-12;04:00;-7.611;86.064;0.0;0.0;-991
2024-03-12;05:00;-8.818;86.172;0.0;0.0;-991
2024-03-12;06:00;-9.683;82.897;0.0;0.0;-991
2024-03-12;07:00;-9.844;77.931;0.0;0.0;-991
2024-03-12;08:00;-11.078;86.229;0.0;19.729;-991
2024-03-12;09:00;-6.668;80.166;0.0;162.869;-991
2024-03-12;10:00;-2.421;66.216;0.0;344.208;-991
2024-03-12;11:00;0.394;54.973;0.0;503.299;-991
2024-03-12;12:00;3.218;44.626;0.0;622.093;-991
2024-03-12;13:00;4.844;30.776;0.0;691.973;-991
2024-03-12;14:00;5.771;25.245;0.0;702.401;-991
2024-03-12;15:00;6.523;30.565;0.0;655.772;-991
2024-03-12;16:00;7.191;36.971;0.0;550.372;-991
2024-03-12;17:00;7.387;39.279;0.0;401.331;-991
2024-03-12;18:00;6.459;39.95;0.0;225.22;-991
2024-03-12;19:00;2.943;49.291;0.0;60.353;-991
2024-03-12;20:00;1.091;55.977;0.0;0.0;-991
2024-03-12;21:00;-1.017;51.809;0.0;0.0;-991
2024-03-12;22:00;-2.264;49.381;0.0;0.0;-991
2024-03-12;23:00;-2.605;50.026;0.0;0.0;-991
2024-03-13;00:00;-2.511;49.962;0.0;0.0;-991
2024-03-13;01:00;-7.077;78.425;0.0;0.0;-991
2024-03-13;02:00;-7.035;79.509;0.0;0.0;-991
2024-03-13;03:00;-7.116;75.474;0.0;0.0;-991
2024-03-13;04:00;-6.921;72.177;0.0;0.0;-991
2024-03-13;05:00;-6.724;70.184;0.0;0.0;-991
2024-03-13;06:00;-6.118;68.668;0.0;0.0;-991
2024-03-13;07:00;-4.867;65.033;0.0;0.0;-991
2024-03-13;08:00;-3.514;61.369;0.0;4.302;-991
2024-03-13;09:00;-2.537;58.627;0.002;20.053;-991
2024-03-13;10:00;-1.306;63.905;0.167;43.382;-991
2024-03-13;11:00;1.104;58.895;0.004;144.908;-991
2024-03-13;12:00;2.441;55.058;0.0;157.126;-991
2024-03-13;13:00;3.71;54.115;0.004;131.027;-991
2024-03-13;14:00;4.34;54.763;0.002;126.259;-991
2024-03-13;15:00;5.838;53.632;0.0;216.909;-991
2024-03-13;16:00;6.128;51.499;0.0;209.461;-991
2024-03-13;17:00;5.833;53.879;0.0;78.991;-991
2024-03-13;18:00;5.362;57.256;0.0;43.97;-991
2024-03-13;19:00;4.806;60.036;0.0;29.597;-991
2024-03-13;20:00;3.678;64.637;0.0;0.0;-991
2024-03-13;21:00;2.868;69.211;0.0;1.186;-991
2024-03-13;22:00;2.32;71.302;0.0;1.775;-991
2024-03-13;23:00;1.876;73.714;0.0;0.0;-991
2024-03-14;00:00;1.476;76.113;0.0;0.0;-991
2024-03-14;01:00;1.28;76.932;0.0;0.0;-991
2024-03-14;02:00;-1.615;98.287;0.0;0.0;-991
2024-03-14;03:00;-1.847;97.863;0.012;0.0;-991
2024-03-14;04:00;-1.878;98.082;0.021;0.0;-991
2024-03-14;05:00;-2.024;97.665;0.019;0.0;-991
2024-03-14;06:00;-2.247;97.403;0.019;0.0;-991
2024-03-14;07:00;-2.389;97.133;0.021;0.0;-991
2024-03-14;08:00;-2.499;95.623;0.026;0.0;-991
2024-03-14;09:00;-2.035;94.023;0.026;111.111;-991
2024-03-14;10:00;-0.396;92.172;0.023;222.222;-991
2024-03-14;11:00;1.945;90.01;0.016;333.333;-991
2024-03-14;12:00;4.295;83.541;0.003;555.556;-991
2024-03-14;13:00;6.464;72.734;0.0;611.111;-991
2024-03-14;14:00;8.071;66.297;0.0;666.667;-991
2024-03-14;15:00;8.938;64.339;0.0;611.111;-991
2024-03-14;16:00;8.712;65.983;0.0;333.333;-991
2024-03-14;17:00;8.243;67.895;0.0;333.333;-991
2024-03-14;18:00;7.392;72.443;0.0;111.111;-991
2024-03-14;19:00;5.345;82.774;0.0;55.556;-991
2024-03-14;20:00;3.236;93.607;0.0;0.0;-991
2024-03-14;21:00;1.868;97.162;0.0;0.0;-991
2024-03-14;22:00;0.748;97.646;0.0;0.0;-991
2024-03-14;23:00;0.043;97.681;0.0;0.0;-991
2024-03-15;00:00;0.041;97.212;0.001;0.0;-991
2024-03-15;01:00;0.574;95.798;0.018;0.0;-991
2024-03-15;02:00;1.253;94.405;0.089;0.0;-991
