NRICHMOND
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-08;07:00;-991;-991;-991;-991;-991
2024-03-08;08:00;-991;-991;-991;-991;-991
2024-03-08;09:00;-991;-991;-991;-991;-991
2024-03-08;10:00;-991;-991;-991;-991;-991
2024-03-08;11:00;-991;-991;-991;-991;-991
2024-03-08;12:00;-991;-991;-991;-991;-991
2024-03-08;13:00;4.194;42.88;-991;-991;-991
2024-03-08;14:00;4.17;52.686;-991;549.166;-991
2024-03-08;15:00;1.355;63.448;0.0;420.035;-991
2024-03-08;16:00;-0.069;63.698;0.0;258.724;-991
2024-03-08;17:00;-1.806;74.371;0.0;91.894;-991
2024-03-08;18:00;-3.743;85.086;0.0;2.519;-991
2024-03-08;19:00;-5.036;89.188;0.0;0.0;-991
2024-03-08;20:00;-6.041;88.574;0.0;0.0;-991
2024-03-08;21:00;-6.822;77.458;0.0;0.0;-991
2024-03-08;22:00;-7.722;73.196;0.0;0.0;-991
2024-03-08;23:00;-8.079;73.056;0.0;0.0;-991
2024-03-09;00:00;-8.449;73.159;0.0;0.0;-991
2024-03-09;01:00;-8.221;69.924;0.0;0.0;-991
2024-03-09;02:00;-8.271;69.173;0.0;0.0;-991
2024-03-09;03:00;-8.387;69.454;0.0;0.0;-991
2024-03-09;04:00;-8.609;70.183;0.0;0.0;-991
2024-03-09;05:00;-8.688;70.541;0.0;0.0;-991
2024-03-09;06:00;-8.901;72.11;0.0;1.569;-991
2024-03-09;07:00;-7.598;71.077;0.0;76.518;-991
2024-03-09;08:00;-3.998;65.593;0.0;245.9;-991
2024-03-09;09:00;-0.962;70.224;0.0;402.975;-991
2024-03-09;10:00;0.572;66.699;0.0;512.114;-991
2024-03-09;11:00;0.749;68.695;0.0;595.599;-991
2024-03-09;12:00;1.532;66.26;0.0;644.842;-991
2024-03-09;13:00;2.427;63.977;0.0;605.502;-991
2024-03-09;14:00;2.747;67.444;0.0;449.057;-991
2024-03-09;15:00;2.6;66.548;0.0;273.031;-991
2024-03-09;16:00;2.011;67.41;0.0;178.869;-991
2024-03-09;17:00;0.707;68.556;0.0;66.928;-991
2024-03-09;18:00;-0.413;70.385;0.0;4.334;-991
2024-03-09;19:00;-1.004;73.325;0.0;1.167;-991
2024-03-09;20:00;-1.598;78.946;0.0;0.0;-991
2024-03-09;21:00;-2.222;83.624;0.0;0.564;-991
2024-03-09;22:00;-2.63;85.825;0.0;0.132;-991
2024-03-09;23:00;-3.183;88.087;0.0;0.0;-991
2024-03-10;00:00;-2.657;85.877;0.0;0.0;-991
2024-03-10;01:00;-2.365;85.813;0.0;0.0;-991
2024-03-10;02:00;-2.579;87.625;0.0;0.0;-991
2024-03-10;03:00;-2.793;89.436;0.0;0.0;-991
2024-03-10;04:00;-2.874;90.066;0.0;0.0;-991
2024-03-10;05:00;-2.656;90.017;0.0;0.0;-991
2024-03-10;06:00;-2.951;90.356;0.0;0.0;-991
2024-03-10;07:00;-3.013;90.487;0.0;3.358;-991
2024-03-10;08:00;-2.525;88.227;0.123;23.771;-991
2024-03-10;09:00;-2.037;85.967;0.246;44.185;-991
2024-03-10;10:00;-1.549;83.708;0.369;64.599;-991
2024-03-10;11:00;-1.06;81.448;0.491;85.012;-991
2024-03-10;12:00;-0.572;79.188;0.614;105.426;-991
2024-03-10;13:00;-0.084;76.928;0.737;125.839;-991
2024-03-10;14:00;0.404;74.669;0.86;146.253;-991
2024-03-10;15:00;0.344;77.97;0.983;166.667;-991
2024-03-10;16:00;0.283;80.781;1.747;55.556;-991
2024-03-10;17:00;0.307;82.682;1.889;0.0;-991
2024-03-10;18:00;0.284;85.776;2.84;111.111;-991
2024-03-10;19:00;0.077;88.967;5.785;0.0;-991
2024-03-10;20:00;-0.091;90.477;7.589;0.0;-991
2024-03-10;21:00;-0.154;90.238;6.49;0.0;-991
2024-03-10;22:00;-0.084;89.509;5.881;0.0;-991
2024-03-10;23:00;-0.085;90.259;6.071;0.0;-991
2024-03-11;00:00;-0.04;90.074;6.081;0.0;-991
2024-03-11;01:00;0.263;88.576;3.897;0.0;-991
2024-03-11;02:00;0.306;85.718;1.451;0.0;-991
2024-03-11;03:00;0.295;88.388;2.031;0.0;-991
2024-03-11;04:00;0.464;89.42;3.435;0.0;-991
2024-03-11;05:00;0.716;86.176;1.787;0.0;-991
2024-03-11;06:00;0.273;89.129;3.145;0.0;-991
2024-03-11;07:00;0.51;86.166;1.144;0.0;-991
2024-03-11;08:00;0.745;85.345;0.559;0.0;-991
2024-03-11;09:00;1.093;85.645;0.523;55.556;-991
2024-03-11;10:00;1.782;84.856;0.408;55.556;-991
2024-03-11;11:00;2.12;86.902;0.364;222.222;-991
2024-03-11;12:00;2.092;91.716;0.362;166.667;-991
2024-03-11;13:00;2.365;92.283;0.283;55.556;-991
2024-03-11;14:00;2.323;92.082;0.215;166.667;-991
2024-03-11;15:00;2.366;91.904;0.198;55.556;-991
2024-03-11;16:00;2.187;91.985;0.222;166.667;-991
2024-03-11;17:00;1.6;92.965;0.521;55.556;-991
2024-03-11;18:00;0.889;92.406;0.793;0.0;-991
2024-03-11;19:00;0.842;87.929;0.155;0.0;-991
2024-03-11;20:00;0.723;87.019;0.056;0.0;-991
2024-03-11;21:00;0.521;88.437;0.313;0.0;-991
2024-03-11;22:00;0.454;87.463;0.378;0.0;-991
2024-03-11;23:00;0.286;89.087;1.137;0.0;-991
2024-03-12;00:00;0.489;86.287;0.515;0.0;-991
2024-03-12;01:00;0.693;83.747;0.063;0.0;-991
2024-03-12;02:00;0.654;79.949;1.015;0.0;-991
2024-03-12;03:00;0.654;78.814;1.187;0.0;-991
2024-03-12;04:00;0.654;77.679;1.358;0.0;-991
2024-03-12;05:00;0.654;76.544;1.529;0.0;-991
2024-03-12;06:00;0.742;76.702;1.377;0.0;-991
2024-03-12;07:00;0.829;76.86;1.225;0.0;-991
2024-03-12;08:00;0.917;77.017;1.074;0.0;-991
2024-03-12;09:00;1.32;76.349;0.904;49.383;-991
2024-03-12;10:00;1.722;75.68;0.735;98.765;-991
2024-03-12;11:00;2.125;75.011;0.566;148.148;-991
2024-03-12;12:00;2.114;77.614;0.635;160.494;-991
2024-03-12;13:00;2.102;80.216;0.704;172.84;-991
2024-03-12;14:00;2.091;82.819;0.773;185.185;-991
2024-03-12;15:00;2.181;80.51;0.598;172.84;-991
2024-03-12;16:00;2.27;78.201;0.422;160.494;-991
2024-03-12;17:00;2.36;75.893;0.247;148.148;-991
2024-03-12;18:00;2.221;76.209;0.165;98.765;-991
2024-03-12;19:00;2.083;76.525;0.084;49.383;-991
2024-03-12;20:00;1.944;76.841;0.003;0.0;-991
2024-03-12;21:00;1.915;77.475;0.013;0.0;-991
2024-03-12;22:00;1.886;78.11;0.024;0.0;-991
2024-03-12;23:00;1.857;78.744;0.034;0.0;-991
2024-03-13;00:00;1.622;79.63;0.023;0.0;-991
2024-03-13;01:00;1.388;80.516;0.012;0.0;-991
2024-03-13;02:00;1.153;81.402;0.001;0.0;-991
2024-03-13;03:00;0.994;81.954;0.001;0.0;-991
2024-03-13;04:00;0.834;82.506;0.001;0.0;-991
2024-03-13;05:00;0.675;83.058;0.001;0.0;-991
2024-03-13;06:00;0.968;81.435;0.045;12.346;-991
2024-03-13;07:00;1.26;79.812;0.09;24.691;-991
2024-03-13;08:00;1.553;78.189;0.134;37.037;-991
2024-03-13;09:00;2.057;74.973;0.111;98.765;-991
2024-03-13;10:00;2.561;71.756;0.089;160.494;-991
2024-03-13;11:00;3.065;68.54;0.066;222.222;-991
2024-03-13;12:00;3.307;67.771;0.044;259.259;-991
2024-03-13;13:00;3.548;67.002;0.022;296.296;-991
2024-03-13;14:00;3.79;66.233;0.0;333.333;-991
2024-03-13;15:00;3.427;67.375;0.0;296.296;-991
2024-03-13;16:00;3.064;68.517;0.0;259.259;-991
2024-03-13;17:00;2.701;69.66;0.0;222.222;-991
2024-03-13;18:00;2.023;72.044;0.0;148.148;-991
2024-03-13;19:00;1.345;74.429;0.0;74.074;-991
2024-03-13;20:00;0.668;76.814;0.0;0.0;-991
2024-03-13;21:00;0.073;79.205;0.0;0.0;-991
2024-03-13;22:00;-0.522;81.597;0.0;0.0;-991
2024-03-13;23:00;-1.117;83.988;0.0;0.0;-991
2024-03-14;00:00;-0.921;83.533;0.0;0.0;-991
2024-03-14;01:00;-0.724;83.077;0.0;0.0;-991
2024-03-14;02:00;-0.528;82.621;0.0;0.0;-991
2024-03-14;03:00;-0.958;84.679;0.0;0.0;-991
2024-03-14;04:00;-1.387;86.737;0.0;0.0;-991
2024-03-14;05:00;-1.816;88.795;0.0;0.0;-991
2024-03-14;06:00;-1.676;88.199;0.0;24.691;-991
2024-03-14;07:00;-1.537;87.602;0.0;49.383;-991
2024-03-14;08:00;-1.397;87.006;0.0;74.074;-991
2024-03-14;09:00;-0.184;83.69;0.0;135.802;-991
2024-03-14;10:00;1.029;80.373;0.0;197.531;-991
