OKA
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-08;07:00;-991;-991;-991;-991;-991
2024-03-08;08:00;-991;-991;-991;-991;-991
2024-03-08;09:00;-991;-991;-991;-991;-991
2024-03-08;10:00;-991;-991;-991;-991;-991
2024-03-08;11:00;-991;-991;-991;-991;-991
2024-03-08;12:00;-991;-991;-991;-991;-991
2024-03-08;13:00;4.571;47.239;-991;-991;-991
2024-03-08;14:00;4.585;48.305;-991;635.218;-991
2024-03-08;15:00;4.351;51.089;0.0;530.853;-991
2024-03-08;16:00;3.255;57.633;0.0;374.16;-991
2024-03-08;17:00;1.144;68.745;0.0;184.242;-991
2024-03-08;18:00;-0.489;77.546;0.0;37.779;-991
2024-03-08;19:00;-1.886;82.34;0.0;0.0;-991
2024-03-08;20:00;-1.548;79.997;0.0;0.0;-991
2024-03-08;21:00;-1.416;76.743;0.0;0.0;-991
2024-03-08;22:00;-1.74;75.156;0.0;0.0;-991
2024-03-08;23:00;-1.775;76.538;0.0;0.0;-991
2024-03-09;00:00;-1.48;77.009;0.0;0.0;-991
2024-03-09;01:00;-1.284;76.357;0.0;0.0;-991
2024-03-09;02:00;-1.002;74.407;0.0;0.0;-991
2024-03-09;03:00;-0.751;73.489;0.0;0.0;-991
2024-03-09;04:00;-0.546;73.457;0.0;0.0;-991
2024-03-09;05:00;-0.401;72.617;0.0;0.0;-991
2024-03-09;06:00;-0.388;74.485;0.0;0.0;-991
2024-03-09;07:00;-0.312;80.07;0.0;16.072;-991
2024-03-09;08:00;1.293;75.255;0.0;126.687;-991
2024-03-09;09:00;3.17;64.321;0.0;339.171;-991
2024-03-09;10:00;4.061;57.338;0.0;466.78;-991
2024-03-09;11:00;4.906;52.508;0.0;504.929;-991
2024-03-09;12:00;5.111;51.041;0.0;436.638;-991
2024-03-09;13:00;4.254;53.555;0.006;348.606;-991
2024-03-09;14:00;3.058;59.835;0.048;66.23;-991
2024-03-09;15:00;1.957;77.962;0.25;31.246;-991
2024-03-09;16:00;1.438;89.223;0.447;24.395;-991
2024-03-09;17:00;1.475;91.73;0.66;13.198;-991
2024-03-09;18:00;1.404;94.965;1.087;0.976;-991
2024-03-09;19:00;1.469;96.982;1.271;1.167;-991
2024-03-09;20:00;1.672;98.246;1.652;0.0;-991
2024-03-09;21:00;1.639;98.612;1.647;0.564;-991
2024-03-09;22:00;1.627;98.807;1.595;0.131;-991
2024-03-09;23:00;1.596;98.74;1.136;0.0;-991
2024-03-10;00:00;1.451;99.343;0.9;0.0;-991
2024-03-10;01:00;1.283;99.856;1.677;0.0;-991
2024-03-10;02:00;0.704;99.926;2.505;0.0;-991
2024-03-10;03:00;0.125;99.997;3.333;0.0;-991
2024-03-10;04:00;0.08;99.796;5.257;0.0;-991
2024-03-10;05:00;0.071;99.794;5.666;0.0;-991
2024-03-10;06:00;0.067;99.786;5.859;0.0;-991
2024-03-10;07:00;0.033;99.779;3.129;0.0;-991
2024-03-10;08:00;0.447;97.706;2.743;27.778;-991
2024-03-10;09:00;0.861;95.633;2.357;55.556;-991
2024-03-10;10:00;1.274;93.56;1.971;83.333;-991
2024-03-10;11:00;1.688;91.488;1.585;111.111;-991
2024-03-10;12:00;2.102;89.415;1.198;138.889;-991
2024-03-10;13:00;2.516;87.342;0.812;166.667;-991
2024-03-10;14:00;2.929;85.269;0.426;194.444;-991
2024-03-10;15:00;3.119;85.045;0.04;222.222;-991
2024-03-10;16:00;3.033;88.856;0.118;111.111;-991
2024-03-10;17:00;2.832;95.407;0.167;111.111;-991
2024-03-10;18:00;2.609;97.351;0.126;55.556;-991
2024-03-10;19:00;2.377;97.717;0.264;55.556;-991
2024-03-10;20:00;2.109;96.552;0.341;0.0;-991
2024-03-10;21:00;1.196;94.413;0.247;0.0;-991
2024-03-10;22:00;0.566;90.484;0.139;0.0;-991
2024-03-10;23:00;0.215;87.409;0.174;0.0;-991
2024-03-11;00:00;-0.39;84.349;0.21;0.0;-991
2024-03-11;01:00;-0.937;81.876;0.043;0.0;-991
2024-03-11;02:00;-1.494;80.343;0.102;0.0;-991
2024-03-11;03:00;-2.03;77.638;0.163;0.0;-991
2024-03-11;04:00;-2.486;75.995;0.12;0.0;-991
2024-03-11;05:00;-2.959;74.951;0.155;0.0;-991
2024-03-11;06:00;-3.377;73.979;0.208;0.0;-991
2024-03-11;07:00;-3.74;72.966;0.165;0.0;-991
2024-03-11;08:00;-3.855;70.095;0.048;0.0;-991
2024-03-11;09:00;-3.457;66.87;0.014;166.667;-991
2024-03-11;10:00;-3.118;65.531;0.01;222.222;-991
2024-03-11;11:00;-2.53;62.377;0.016;277.778;-991
2024-03-11;12:00;-1.483;58.466;0.001;444.444;-991
2024-03-11;13:00;-0.535;57.158;0.0;444.444;-991
2024-03-11;14:00;0.323;56.007;0.0;500.0;-991
2024-03-11;15:00;1.041;54.804;0.0;555.556;-991
2024-03-11;16:00;1.987;52.01;0.0;611.111;-991
2024-03-11;17:00;2.3;50.14;0.0;333.333;-991
2024-03-11;18:00;1.614;52.631;0.0;222.222;-991
2024-03-11;19:00;0.492;56.629;0.0;0.0;-991
2024-03-11;20:00;0.073;59.269;0.0;0.0;-991
2024-03-11;21:00;-0.204;60.412;0.0;0.0;-991
2024-03-11;22:00;-0.521;60.913;0.0;0.0;-991
2024-03-11;23:00;-0.814;60.887;0.0;0.0;-991
2024-03-12;00:00;-0.736;59.762;0.0;0.0;-991
2024-03-12;01:00;-0.707;58.672;0.0;0.0;-991
2024-03-12;02:00;-2.496;64.949;0.0;0.0;-991
2024-03-12;03:00;-2.779;65.397;0.0;0.0;-991
2024-03-12;04:00;-3.063;65.846;0.0;0.0;-991
2024-03-12;05:00;-3.346;66.294;0.0;0.0;-991
2024-03-12;06:00;-3.508;66.452;0.0;0.0;-991
2024-03-12;07:00;-3.671;66.61;0.0;0.0;-991
2024-03-12;08:00;-3.833;66.767;0.0;0.0;-991
2024-03-12;09:00;-2.347;61.099;0.0;123.457;-991
2024-03-12;10:00;-0.861;55.43;0.0;246.914;-991
2024-03-12;11:00;0.625;49.761;0.0;370.37;-991
2024-03-12;12:00;1.647;47.947;0.0;481.481;-991
2024-03-12;13:00;2.669;46.133;0.0;592.593;-991
2024-03-12;14:00;3.691;44.319;0.0;703.704;-991
2024-03-12;15:00;3.864;45.427;0.0;641.975;-991
2024-03-12;16:00;4.037;46.535;0.0;580.247;-991
2024-03-12;17:00;4.21;47.643;0.0;518.519;-991
2024-03-12;18:00;2.755;51.542;0.0;382.716;-991
2024-03-12;19:00;1.299;55.442;0.0;246.914;-991
2024-03-12;20:00;-0.156;59.341;0.0;111.111;-991
2024-03-12;21:00;-1.368;63.559;0.0;74.074;-991
2024-03-12;22:00;-2.581;67.777;0.0;37.037;-991
2024-03-12;23:00;-3.793;71.994;0.0;0.0;-991
2024-03-13;00:00;-4.844;76.13;0.0;0.0;-991
2024-03-13;01:00;-5.896;80.266;0.0;0.0;-991
2024-03-13;02:00;-6.947;84.402;0.0;0.0;-991
2024-03-13;03:00;-7.506;85.287;0.0;0.0;-991
2024-03-13;04:00;-8.066;86.173;0.0;0.0;-991
2024-03-13;05:00;-8.625;87.058;0.0;0.0;-991
2024-03-13;06:00;-8.566;87.185;0.0;0.0;-991
2024-03-13;07:00;-8.506;87.312;0.0;0.0;-991
2024-03-13;08:00;-8.447;87.439;0.0;0.0;-991
2024-03-13;09:00;-6.293;82.723;0.0;49.383;-991
2024-03-13;10:00;-4.139;78.006;0.0;98.765;-991
2024-03-13;11:00;-1.985;73.29;0.0;148.148;-991
2024-03-13;12:00;-1.193;71.688;0.0;209.877;-991
2024-03-13;13:00;-0.402;70.085;0.0;271.605;-991
2024-03-13;14:00;0.39;68.483;0.0;333.333;-991
2024-03-13;15:00;0.86;68.625;0.0;320.988;-991
2024-03-13;16:00;1.331;68.767;0.0;308.642;-991
2024-03-13;17:00;1.801;68.91;0.0;296.296;-991
2024-03-13;18:00;0.99;74.294;0.0;209.877;-991
2024-03-13;19:00;0.179;79.679;0.0;123.457;-991
2024-03-13;20:00;-0.632;85.064;0.0;37.037;-991
2024-03-13;21:00;-1.252;87.622;0.0;24.691;-991
2024-03-13;22:00;-1.872;90.18;0.0;12.346;-991
2024-03-13;23:00;-2.492;92.738;0.0;0.0;-991
2024-03-14;00:00;-2.621;92.699;0.0;0.0;-991
2024-03-14;01:00;-2.749;92.66;0.0;0.0;-991
2024-03-14;02:00;-2.878;92.621;0.0;0.0;-991
2024-03-14;03:00;-2.633;90.429;0.0;0.0;-991
2024-03-14;04:00;-2.387;88.237;0.001;0.0;-991
2024-03-14;05:00;-2.141;86.045;0.001;0.0;-991
2024-03-14;06:00;-2.118;86.282;0.007;0.0;-991
2024-03-14;07:00;-2.095;86.519;0.013;0.0;-991
2024-03-14;08:00;-2.072;86.756;0.02;0.0;-991
2024-03-14;09:00;-1.117;83.94;0.037;74.074;-991
2024-03-14;10:00;-0.163;81.123;0.054;148.148;-991
