ORLEAN
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-08;07:00;-991;-991;-991;-991;-991
2024-03-08;08:00;-991;-991;-991;-991;-991
2024-03-08;09:00;-991;-991;-991;-991;-991
2024-03-08;10:00;-991;-991;-991;-991;-991
2024-03-08;11:00;-991;-991;-991;-991;-991
2024-03-08;12:00;-991;-991;-991;-991;-991
2024-03-08;13:00;0.408;54.871;-991;-991;-991
2024-03-08;14:00;-0.369;55.684;-991;601.847;-991
2024-03-08;15:00;-0.344;54.617;0.0;487.407;-991
2024-03-08;16:00;-2.017;63.283;0.0;330.924;-991
2024-03-08;17:00;-4.216;76.608;0.0;155.698;-991
2024-03-08;18:00;-4.899;75.562;0.0;18.47;-991
2024-03-08;19:00;-3.883;62.371;0.0;0.0;-991
2024-03-08;20:00;-3.496;62.011;0.0;0.0;-991
2024-03-08;21:00;-3.298;65.698;0.0;0.0;-991
2024-03-08;22:00;-3.083;67.639;0.0;0.0;-991
2024-03-08;23:00;-4.045;81.956;0.0;0.0;-991
2024-03-09;00:00;-4.685;88.838;0.0;0.0;-991
2024-03-09;01:00;-5.707;71.792;0.0;0.0;-991
2024-03-09;02:00;-5.863;70.995;0.0;0.0;-991
2024-03-09;03:00;-5.475;86.171;0.0;0.0;-991
2024-03-09;04:00;-4.903;91.673;0.0;0.0;-991
2024-03-09;05:00;-5.148;86.129;0.0;0.0;-991
2024-03-09;06:00;-4.342;81.68;0.0;0.0;-991
2024-03-09;07:00;-3.452;83.137;0.0;26.147;-991
2024-03-09;08:00;-1.97;76.085;0.0;113.254;-991
2024-03-09;09:00;0.07;68.31;0.0;231.711;-991
2024-03-09;10:00;1.115;61.857;0.0;307.269;-991
2024-03-09;11:00;1.977;58.826;0.0;384.037;-991
2024-03-09;12:00;2.936;56.76;0.0;424.885;-991
2024-03-09;13:00;3.809;55.699;0.0;555.131;-991
2024-03-09;14:00;3.776;57.736;0.0;514.54;-991
2024-03-09;15:00;3.481;60.46;0.0;434.222;-991
2024-03-09;16:00;2.06;62.591;0.0;202.376;-991
2024-03-09;17:00;1.001;66.619;0.0;97.151;-991
2024-03-09;18:00;0.024;67.295;0.0;14.408;-991
2024-03-09;19:00;0.427;66.153;0.0;0.0;-991
2024-03-09;20:00;0.579;67.233;0.002;4.169;-991
2024-03-09;21:00;0.617;70.365;0.0;0.0;-991
2024-03-09;22:00;0.651;71.99;0.0;0.132;-991
2024-03-09;23:00;0.708;71.993;0.065;0.0;-991
2024-03-10;00:00;0.745;72.618;0.082;0.0;-991
2024-03-10;01:00;0.8;76.705;0.412;0.0;-991
2024-03-10;02:00;0.814;79.243;0.701;0.0;-991
2024-03-10;03:00;0.828;81.781;0.99;0.0;-991
2024-03-10;04:00;0.416;94.078;3.349;0.0;-991
2024-03-10;05:00;0.098;97.65;3.556;0.0;-991
2024-03-10;06:00;-0.07;98.979;3.808;0.0;-991
2024-03-10;07:00;-0.154;98.696;3.525;0.0;-991
2024-03-10;08:00;0.09;97.067;3.218;27.778;-991
2024-03-10;09:00;0.334;95.438;2.91;55.556;-991
2024-03-10;10:00;0.578;93.809;2.603;83.333;-991
2024-03-10;11:00;0.822;92.18;2.296;111.111;-991
2024-03-10;12:00;1.066;90.551;1.988;138.889;-991
2024-03-10;13:00;1.31;88.922;1.681;166.667;-991
2024-03-10;14:00;1.554;87.294;1.374;194.444;-991
2024-03-10;15:00;1.444;89.245;1.066;222.222;-991
2024-03-10;16:00;1.508;88.756;0.461;111.111;-991
2024-03-10;17:00;1.482;90.882;0.456;166.667;-991
2024-03-10;18:00;1.334;92.876;0.469;55.556;-991
2024-03-10;19:00;1.277;93.392;0.46;55.556;-991
2024-03-10;20:00;1.409;93.227;0.303;0.0;-991
2024-03-10;21:00;1.496;92.613;0.193;0.0;-991
2024-03-10;22:00;1.441;92.334;0.168;0.0;-991
2024-03-10;23:00;1.34;91.884;0.155;0.0;-991
2024-03-11;00:00;1.185;91.474;0.2;0.0;-991
2024-03-11;01:00;0.788;93.276;0.294;0.0;-991
2024-03-11;02:00;0.181;96.968;0.434;0.0;-991
2024-03-11;03:00;-0.205;98.363;0.395;0.0;-991
2024-03-11;04:00;-0.361;98.545;0.481;0.0;-991
2024-03-11;05:00;-0.434;98.926;0.416;0.0;-991
2024-03-11;06:00;-0.602;98.529;0.436;0.0;-991
2024-03-11;07:00;-0.84;98.316;0.211;0.0;-991
2024-03-11;08:00;-0.605;97.645;0.146;0.0;-991
2024-03-11;09:00;0.418;96.445;0.081;111.111;-991
2024-03-11;10:00;1.707;88.631;0.017;222.222;-991
2024-03-11;11:00;2.62;83.527;0.018;166.667;-991
2024-03-11;12:00;3.192;69.316;0.006;333.333;-991
2024-03-11;13:00;3.09;63.133;0.0;444.444;-991
2024-03-11;14:00;3.073;60.232;0.0;388.889;-991
2024-03-11;15:00;2.866;59.304;0.0;388.889;-991
2024-03-11;16:00;2.487;59.135;0.0;277.778;-991
2024-03-11;17:00;1.625;62.04;0.004;222.222;-991
2024-03-11;18:00;0.539;66.206;0.029;166.667;-991
2024-03-11;19:00;-0.358;67.254;0.027;0.0;-991
2024-03-11;20:00;-0.802;65.544;0.007;0.0;-991
2024-03-11;21:00;-1.029;63.512;0.0;0.0;-991
2024-03-11;22:00;-1.221;62.563;0.0;0.0;-991
2024-03-11;23:00;-1.364;62.487;0.003;0.0;-991
2024-03-12;00:00;-1.511;62.412;0.007;0.0;-991
2024-03-12;01:00;-1.857;62.397;0.003;0.0;-991
2024-03-12;02:00;-1.396;66.449;0.0;0.0;-991
2024-03-12;03:00;-1.679;66.814;0.0;0.0;-991
2024-03-12;04:00;-1.963;67.179;0.0;0.0;-991
2024-03-12;05:00;-2.246;67.544;0.0;0.0;-991
2024-03-12;06:00;-2.475;67.535;0.0;12.346;-991
2024-03-12;07:00;-2.704;67.526;0.0;24.691;-991
2024-03-12;08:00;-2.933;67.517;0.0;37.037;-991
2024-03-12;09:00;-1.78;64.515;0.0;135.802;-991
2024-03-12;10:00;-0.628;61.513;0.0;234.568;-991
2024-03-12;11:00;0.525;58.511;0.0;333.333;-991
2024-03-12;12:00;1.214;57.697;0.0;432.099;-991
2024-03-12;13:00;1.902;56.883;0.0;530.864;-991
2024-03-12;14:00;2.591;56.069;0.0;629.63;-991
2024-03-12;15:00;2.231;57.844;0.0;580.247;-991
2024-03-12;16:00;1.87;59.618;0.0;530.864;-991
2024-03-12;17:00;1.51;61.393;0.0;481.481;-991
2024-03-12;18:00;0.871;62.875;0.0;320.988;-991
2024-03-12;19:00;0.233;64.358;0.0;160.494;-991
2024-03-12;20:00;-0.406;65.841;0.0;0.0;-991
2024-03-12;21:00;-0.802;67.642;0.0;0.0;-991
2024-03-12;22:00;-1.197;69.443;0.0;0.0;-991
2024-03-12;23:00;-1.593;71.244;0.0;0.0;-991
2024-03-13;00:00;-2.378;74.38;0.0;0.0;-991
2024-03-13;01:00;-3.162;77.516;0.0;0.0;-991
2024-03-13;02:00;-3.947;80.652;0.0;0.0;-991
2024-03-13;03:00;-4.856;82.871;0.0;0.0;-991
2024-03-13;04:00;-5.766;85.089;0.0;0.0;-991
2024-03-13;05:00;-6.675;87.308;0.0;0.0;-991
2024-03-13;06:00;-6.932;87.018;0.0;24.691;-991
2024-03-13;07:00;-7.19;86.729;0.0;49.383;-991
2024-03-13;08:00;-7.447;86.439;0.0;74.074;-991
2024-03-13;09:00;-5.443;81.64;0.0;160.494;-991
2024-03-13;10:00;-3.439;76.84;0.0;246.914;-991
2024-03-13;11:00;-1.435;72.04;0.0;333.333;-991
2024-03-13;12:00;-0.01;69.854;0.0;432.099;-991
2024-03-13;13:00;1.415;67.669;0.0;530.864;-991
2024-03-13;14:00;2.84;65.483;0.0;629.63;-991
2024-03-13;15:00;2.944;66.209;0.0;580.247;-991
2024-03-13;16:00;3.047;66.934;0.0;530.864;-991
2024-03-13;17:00;3.151;67.66;0.0;481.481;-991
2024-03-13;18:00;1.398;75.044;0.0;333.333;-991
2024-03-13;19:00;-0.355;82.429;0.0;185.185;-991
2024-03-13;20:00;-2.107;89.814;0.0;37.037;-991
2024-03-13;21:00;-2.835;90.455;0.0;24.691;-991
2024-03-13;22:00;-3.564;91.097;0.0;12.346;-991
2024-03-13;23:00;-4.292;91.738;0.0;0.0;-991
2024-03-14;00:00;-4.579;91.699;0.0;0.0;-991
2024-03-14;01:00;-4.866;91.66;0.0;0.0;-991
2024-03-14;02:00;-5.153;91.621;0.0;0.0;-991
2024-03-14;03:00;-5.524;91.512;0.0;0.0;-991
2024-03-14;04:00;-5.895;91.404;0.0;0.0;-991
2024-03-14;05:00;-6.266;91.295;0.0;0.0;-991
2024-03-14;06:00;-6.068;90.949;0.0;24.691;-991
2024-03-14;07:00;-5.87;90.602;0.0;49.383;-991
2024-03-14;08:00;-5.672;90.256;0.0;74.074;-991
2024-03-14;09:00;-3.168;86.273;0.0;172.84;-991
2024-03-14;10:00;-0.663;82.29;0.0;271.605;-991
