ORMTWN
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-08;07:00;-991;-991;-991;-991;-991
2024-03-08;08:00;-991;-991;-991;-991;-991
2024-03-08;09:00;-991;-991;-991;-991;-991
2024-03-08;10:00;-991;-991;-991;-991;-991
2024-03-08;11:00;-991;-991;-991;-991;-991
2024-03-08;12:00;-991;-991;-991;-991;-991
2024-03-08;13:00;6.318;64.924;-991;-991;-991
2024-03-08;14:00;6.501;65.829;-991;638.366;-991
2024-03-08;15:00;6.793;61.419;0.0;531.482;-991
2024-03-08;16:00;6.504;60.677;0.0;368.703;-991
2024-03-08;17:00;5.705;63.903;0.0;182.563;-991
2024-03-08;18:00;3.834;68.668;0.0;36.1;-991
2024-03-08;19:00;1.943;78.858;0.0;0.0;-991
2024-03-08;20:00;0.637;83.686;0.0;0.0;-991
2024-03-08;21:00;-0.46;84.952;0.0;0.0;-991
2024-03-08;22:00;-1.721;88.876;0.0;0.0;-991
2024-03-08;23:00;-2.137;89.035;0.0;0.0;-991
2024-03-09;00:00;-1.819;87.524;0.0;0.0;-991
2024-03-09;01:00;-1.256;77.51;0.0;0.0;-991
2024-03-09;02:00;-1.069;73.093;0.0;0.0;-991
2024-03-09;03:00;-0.731;74.273;0.0;0.0;-991
2024-03-09;04:00;-0.468;77.031;0.0;0.0;-991
2024-03-09;05:00;-0.714;81.148;0.0;0.0;-991
2024-03-09;06:00;-0.448;81.126;0.0;1.569;-991
2024-03-09;07:00;-0.202;82.929;0.0;16.072;-991
2024-03-09;08:00;2.068;72.903;0.0;128.366;-991
2024-03-09;09:00;4.508;66.004;0.0;344.208;-991
2024-03-09;10:00;6.325;59.067;0.0;419.766;-991
2024-03-09;11:00;8.427;49.579;0.0;417.618;-991
2024-03-09;12:00;8.862;47.352;0.0;419.847;-991
2024-03-09;13:00;7.031;52.609;0.06;158.871;-991
2024-03-09;14:00;5.713;60.227;0.26;71.267;-991
2024-03-09;15:00;4.647;74.365;0.42;34.604;-991
2024-03-09;16:00;4.29;81.429;0.718;31.112;-991
2024-03-09;17:00;4.042;89.539;1.399;19.914;-991
2024-03-09;18:00;3.66;93.467;1.64;4.334;-991
2024-03-09;19:00;3.618;94.677;1.629;0.0;-991
2024-03-09;20:00;3.593;94.833;2.123;0.811;-991
2024-03-09;21:00;3.458;94.945;2.912;3.922;-991
2024-03-09;22:00;3.265;94.979;2.463;0.131;-991
2024-03-09;23:00;3.129;95.904;2.638;0.0;-991
2024-03-10;00:00;3.101;96.069;3.072;0.0;-991
2024-03-10;01:00;2.798;96.074;1.3;0.0;-991
2024-03-10;02:00;2.407;96.79;1.402;0.0;-991
2024-03-10;03:00;2.016;97.507;1.504;0.0;-991
2024-03-10;04:00;0.598;99.981;2.457;0.0;-991
2024-03-10;05:00;0.118;99.817;4.247;0.0;-991
2024-03-10;06:00;0.104;99.74;4.279;0.0;-991
2024-03-10;07:00;0.105;99.71;2.498;0.0;-991
2024-03-10;08:00;0.423;98.465;2.196;27.778;-991
2024-03-10;09:00;0.741;97.22;1.895;55.556;-991
2024-03-10;10:00;1.058;95.975;1.593;83.333;-991
2024-03-10;11:00;1.376;94.729;1.292;111.111;-991
2024-03-10;12:00;1.694;93.484;0.99;138.889;-991
2024-03-10;13:00;2.012;92.239;0.688;166.667;-991
2024-03-10;14:00;2.329;90.994;0.387;194.444;-991
2024-03-10;15:00;2.469;89.97;0.085;222.222;-991
2024-03-10;16:00;2.433;92.606;0.156;111.111;-991
2024-03-10;17:00;2.607;94.232;0.084;166.667;-991
2024-03-10;18:00;2.584;94.801;0.08;55.556;-991
2024-03-10;19:00;1.577;97.017;0.511;111.111;-991
2024-03-10;20:00;0.584;94.177;0.546;0.0;-991
2024-03-10;21:00;0.121;92.588;0.676;0.0;-991
2024-03-10;22:00;-0.359;92.059;0.965;0.0;-991
2024-03-10;23:00;-0.885;91.184;1.361;0.0;-991
2024-03-11;00:00;-1.415;90.124;1.342;0.0;-991
2024-03-11;01:00;-1.937;89.251;1.625;0.0;-991
2024-03-11;02:00;-2.444;88.043;1.256;0.0;-991
2024-03-11;03:00;-2.905;86.713;1.207;0.0;-991
2024-03-11;04:00;-3.336;85.195;1.19;0.0;-991
2024-03-11;05:00;-3.809;83.976;1.186;0.0;-991
2024-03-11;06:00;-4.177;82.779;1.106;0.0;-991
2024-03-11;07:00;-4.54;82.016;0.963;0.0;-991
2024-03-11;08:00;-4.73;80.52;0.772;0.0;-991
2024-03-11;09:00;-4.657;78.42;0.622;55.556;-991
2024-03-11;10:00;-4.368;77.481;0.471;166.667;-991
2024-03-11;11:00;-3.805;73.727;0.353;111.111;-991
2024-03-11;12:00;-2.933;70.066;0.137;222.222;-991
2024-03-11;13:00;-1.96;67.833;0.052;277.778;-991
2024-03-11;14:00;-0.952;65.282;0.009;333.333;-991
2024-03-11;15:00;0.366;62.054;0.001;333.333;-991
2024-03-11;16:00;1.387;59.185;0.0;444.444;-991
2024-03-11;17:00;1.375;60.19;0.0;388.889;-991
2024-03-11;18:00;0.964;62.856;0.0;166.667;-991
2024-03-11;19:00;0.317;65.854;0.0;55.556;-991
2024-03-11;20:00;-0.027;65.894;0.0;0.0;-991
2024-03-11;21:00;-0.229;64.412;0.0;0.0;-991
2024-03-11;22:00;-0.371;63.138;0.0;0.0;-991
2024-03-11;23:00;-0.439;61.512;0.0;0.0;-991
2024-03-12;00:00;-0.561;60.412;0.0;0.0;-991
2024-03-12;01:00;-0.707;61.197;0.0;0.0;-991
2024-03-12;02:00;-3.246;75.699;0.0;0.0;-991
2024-03-12;03:00;-3.504;75.731;0.0;0.0;-991
2024-03-12;04:00;-3.763;75.762;0.0;0.0;-991
2024-03-12;05:00;-4.021;75.794;0.0;0.0;-991
2024-03-12;06:00;-4.158;76.202;0.0;0.0;-991
2024-03-12;07:00;-4.296;76.61;0.0;0.0;-991
2024-03-12;08:00;-4.433;77.017;0.0;0.0;-991
2024-03-12;09:00;-3.297;74.932;0.0;123.457;-991
2024-03-12;10:00;-2.161;72.847;0.0;246.914;-991
2024-03-12;11:00;-1.025;70.761;0.0;370.37;-991
2024-03-12;12:00;-0.07;69.281;0.0;481.481;-991
2024-03-12;13:00;0.886;67.8;0.0;592.593;-991
2024-03-12;14:00;1.841;66.319;0.0;703.704;-991
2024-03-12;15:00;2.014;67.01;0.0;654.321;-991
2024-03-12;16:00;2.187;67.701;0.0;604.938;-991
2024-03-12;17:00;2.36;68.393;0.0;555.556;-991
2024-03-12;18:00;1.338;71.459;0.0;395.062;-991
2024-03-12;19:00;0.316;74.525;0.0;234.568;-991
2024-03-12;20:00;-0.706;77.591;0.0;74.074;-991
2024-03-12;21:00;-1.918;79.392;0.0;49.383;-991
2024-03-12;22:00;-3.131;81.193;0.0;24.691;-991
2024-03-12;23:00;-4.343;82.994;0.0;0.0;-991
2024-03-13;00:00;-5.144;83.38;0.0;0.0;-991
2024-03-13;01:00;-5.946;83.766;0.0;0.0;-991
2024-03-13;02:00;-6.747;84.152;0.0;0.0;-991
2024-03-13;03:00;-7.19;84.954;0.0;0.0;-991
2024-03-13;04:00;-7.632;85.756;0.0;0.0;-991
2024-03-13;05:00;-8.075;86.558;0.0;0.0;-991
2024-03-13;06:00;-8.232;86.518;0.0;0.0;-991
2024-03-13;07:00;-8.39;86.479;0.0;0.0;-991
2024-03-13;08:00;-8.547;86.439;0.0;0.0;-991
2024-03-13;09:00;-6.46;84.056;0.0;74.074;-991
2024-03-13;10:00;-4.372;81.673;0.0;148.148;-991
2024-03-13;11:00;-2.285;79.29;0.0;222.222;-991
2024-03-13;12:00;-1.327;78.938;0.0;296.296;-991
2024-03-13;13:00;-0.368;78.585;0.0;370.37;-991
2024-03-13;14:00;0.59;78.233;0.0;444.444;-991
2024-03-13;15:00;0.944;80.375;0.082;382.716;-991
2024-03-13;16:00;1.297;82.517;0.163;320.988;-991
2024-03-13;17:00;1.651;84.66;0.245;259.259;-991
2024-03-13;18:00;1.207;87.128;0.193;172.84;-991
2024-03-13;19:00;0.762;89.596;0.141;86.42;-991
2024-03-13;20:00;0.318;92.064;0.089;0.0;-991
2024-03-13;21:00;0.023;92.455;0.077;0.0;-991
2024-03-13;22:00;-0.272;92.847;0.065;0.0;-991
2024-03-13;23:00;-0.567;93.238;0.053;0.0;-991
2024-03-14;00:00;-1.312;93.866;0.036;0.0;-991
2024-03-14;01:00;-2.058;94.493;0.019;0.0;-991
2024-03-14;02:00;-2.803;95.121;0.002;0.0;-991
2024-03-14;03:00;-2.783;95.012;0.003;0.0;-991
2024-03-14;04:00;-2.762;94.904;0.004;0.0;-991
2024-03-14;05:00;-2.741;94.795;0.006;0.0;-991
2024-03-14;06:00;-2.676;94.199;0.013;0.0;-991
2024-03-14;07:00;-2.612;93.602;0.021;0.0;-991
2024-03-14;08:00;-2.547;93.006;0.029;0.0;-991
2024-03-14;09:00;-1.784;92.44;0.083;74.074;-991
2024-03-14;10:00;-1.021;91.873;0.136;148.148;-991
