ROUGEM
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-12;08:00;-1.332;62.693;0.0;-991;-991
2024-03-12;09:00;-2.818;68.974;0.0;203.377;-991
2024-03-12;10:00;-0.866;64.787;0.0;391.012;-991
2024-03-12;11:00;0.786;57.963;0.0;553.251;-991
2024-03-12;12:00;1.719;54.299;0.0;669.107;-991
2024-03-12;13:00;2.887;49.665;0.0;730.948;-991
2024-03-12;14:00;4.27;45.033;0.0;731.41;-991
2024-03-12;15:00;5.124;44.484;0.0;672.161;-991
2024-03-12;16:00;5.235;44.451;0.0;553.427;-991
2024-03-12;17:00;4.893;47.35;0.0;398.236;-991
2024-03-12;18:00;3.624;51.079;0.0;211.319;-991
2024-03-12;19:00;1.184;55.07;0.0;41.672;-991
2024-03-12;20:00;-0.615;59.641;0.0;0.0;-991
2024-03-12;21:00;-1.635;62.272;0.0;0.0;-991
2024-03-12;22:00;-2.346;72.959;0.0;0.0;-991
2024-03-12;23:00;-2.66;68.518;0.0;0.0;-991
2024-03-13;00:00;-3.175;65.522;0.0;0.0;-991
2024-03-13;01:00;-4.033;67.232;0.0;0.0;-991
2024-03-13;02:00;-4.835;71.281;0.0;0.0;-991
2024-03-13;03:00;-5.353;74.951;0.0;0.0;-991
2024-03-13;04:00;-6.048;78.33;0.0;0.0;-991
2024-03-13;05:00;-6.626;83.647;0.0;0.0;-991
2024-03-13;06:00;-6.849;85.492;0.0;0.0;-991
2024-03-13;07:00;-6.628;82.171;0.0;0.626;-991
2024-03-13;08:00;-6.807;86.394;0.0;36.699;-991
2024-03-13;09:00;-3.239;73.913;0.0;184.546;-991
2024-03-13;10:00;0.407;65.072;0.0;368.247;-991
2024-03-13;11:00;3.454;67.026;0.0;526.182;-991
2024-03-13;12:00;5.706;60.879;0.0;494.99;-991
2024-03-13;13:00;6.502;63.335;0.0;413.565;-991
2024-03-13;14:00;6.564;67.508;0.0;294.912;-991
2024-03-13;15:00;6.581;71.191;0.0;255.391;-991
2024-03-13;16:00;6.404;71.861;0.0;223.388;-991
2024-03-13;17:00;6.213;72.528;0.0;148.556;-991
2024-03-13;18:00;5.351;74.465;0.0;115.789;-991
2024-03-13;19:00;3.829;81.926;0.0;21.762;-991
2024-03-13;20:00;2.793;85.522;0.0;1.248;-991
2024-03-13;21:00;1.811;93.194;0.0;1.358;-991
2024-03-13;22:00;0.364;93.997;0.0;0.0;-991
2024-03-13;23:00;-0.785;94.956;0.0;2.018;-991
2024-03-14;00:00;-0.679;96.812;0.001;0.0;-991
2024-03-14;01:00;-0.102;97.149;0.308;0.0;-991
2024-03-14;02:00;-0.015;97.346;0.0;0.0;-991
2024-03-14;03:00;-0.351;97.946;0.0;0.0;-991
2024-03-14;04:00;-1.602;97.747;0.0;0.0;-991
2024-03-14;05:00;-2.043;97.686;0.0;0.0;-991
2024-03-14;06:00;-1.431;97.266;0.0;0.0;-991
2024-03-14;07:00;-1.513;95.087;0.0;0.0;-991
2024-03-14;08:00;-3.218;95.124;0.0;0.0;-991
2024-03-14;09:00;-0.668;86.752;0.005;166.667;-991
2024-03-14;10:00;2.963;72.742;0.002;333.333;-991
2024-03-14;11:00;6.142;61.155;0.0;500.0;-991
2024-03-14;12:00;8.448;54.444;0.0;611.111;-991
2024-03-14;13:00;10.059;52.893;0.0;777.778;-991
2024-03-14;14:00;11.028;51.552;0.0;611.111;-991
2024-03-14;15:00;11.609;49.616;0.0;666.667;-991
2024-03-14;16:00;11.899;47.405;0.0;500.0;-991
2024-03-14;17:00;11.832;46.69;0.0;388.889;-991
2024-03-14;18:00;11.226;48.623;0.0;222.222;-991
2024-03-14;19:00;8.503;58.152;0.0;0.0;-991
2024-03-14;20:00;5.487;71.859;0.0;0.0;-991
2024-03-14;21:00;3.368;85.338;0.0;0.0;-991
2024-03-14;22:00;1.871;94.377;0.0;0.0;-991
2024-03-14;23:00;1.08;95.873;0.0;0.0;-991
