RVLOUP
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-08;07:00;-991;-991;-991;-991;-991
2024-03-08;08:00;-991;-991;-991;-991;-991
2024-03-08;09:00;-991;-991;-991;-991;-991
2024-03-08;10:00;-991;-991;-991;-991;-991
2024-03-08;11:00;-991;-991;-991;-991;-991
2024-03-08;12:00;-991;-991;-991;-991;-991
2024-03-08;13:00;-0.167;68.545;-991;-991;-991
2024-03-08;14:00;-0.587;73.392;-991;578.55;-991
2024-03-08;15:00;-0.899;69.974;0.0;460.332;-991
2024-03-08;16:00;-1.444;68.309;0.0;305.738;-991
2024-03-08;17:00;-2.497;70.797;0.0;133.031;-991
2024-03-08;18:00;-4.055;75.516;0.0;12.593;-991
2024-03-08;19:00;-5.443;79.781;0.0;0.0;-991
2024-03-08;20:00;-6.441;79.305;0.0;0.0;-991
2024-03-08;21:00;-6.922;81.654;0.0;0.0;-991
2024-03-08;22:00;-7.151;80.713;0.0;0.0;-991
2024-03-08;23:00;-7.388;79.489;0.0;0.0;-991
2024-03-09;00:00;-7.129;76.456;0.0;0.0;-991
2024-03-09;01:00;-7.386;77.141;0.0;0.0;-991
2024-03-09;02:00;-7.575;77.313;0.0;0.0;-991
2024-03-09;03:00;-8.232;80.13;0.0;0.0;-991
2024-03-09;04:00;-7.399;77.838;0.0;0.0;-991
2024-03-09;05:00;-7.3;78.658;0.0;0.0;-991
2024-03-09;06:00;-7.199;78.982;0.0;0.0;-991
2024-03-09;07:00;-6.234;78.133;0.0;36.221;-991
2024-03-09;08:00;-3.777;73.364;0.0;119.97;-991
2024-03-09;09:00;-1.211;66.742;0.0;206.525;-991
2024-03-09;10:00;1.352;61.649;0.0;384.506;-991
2024-03-09;11:00;2.51;60.394;0.0;491.497;-991
2024-03-09;12:00;3.534;59.758;0.0;517.233;-991
2024-03-09;13:00;4.62;57.313;0.0;511.475;-991
2024-03-09;14:00;5.376;53.839;0.0;407.08;-991
2024-03-09;15:00;5.599;47.594;0.0;336.836;-991
2024-03-09;16:00;4.611;50.347;0.0;205.734;-991
2024-03-09;17:00;3.451;53.107;0.0;87.077;-991
2024-03-09;18:00;1.948;57.034;0.0;11.05;-991
2024-03-09;19:00;1.236;62.072;0.0;1.167;-991
2024-03-09;20:00;0.846;65.134;0.0;0.0;-991
2024-03-09;21:00;0.739;69.489;0.0;0.564;-991
2024-03-09;22:00;0.833;70.745;0.0;0.131;-991
2024-03-09;23:00;0.903;70.909;0.0;0.0;-991
2024-03-10;00:00;0.804;70.312;0.0;0.0;-991
2024-03-10;01:00;0.219;71.355;0.0;0.0;-991
2024-03-10;02:00;0.378;71.461;0.019;0.0;-991
2024-03-10;03:00;0.536;71.566;0.038;0.0;-991
2024-03-10;04:00;0.449;73.002;0.047;0.0;-991
2024-03-10;05:00;0.094;76.136;0.0;0.0;-991
2024-03-10;06:00;0.153;78.019;0.003;0.0;-991
2024-03-10;07:00;-0.572;91.548;0.222;0.0;-991
2024-03-10;08:00;-0.261;91.89;0.733;13.889;-991
2024-03-10;09:00;0.05;92.232;1.244;27.778;-991
2024-03-10;10:00;0.361;92.574;1.754;41.667;-991
2024-03-10;11:00;0.672;92.917;2.265;55.556;-991
2024-03-10;12:00;0.983;93.259;2.775;69.444;-991
2024-03-10;13:00;1.293;93.601;3.286;83.333;-991
2024-03-10;14:00;1.604;93.944;3.797;97.222;-991
2024-03-10;15:00;1.419;98.945;4.307;111.111;-991
2024-03-10;16:00;1.758;98.406;1.856;111.111;-991
2024-03-10;17:00;1.582;99.032;2.504;111.111;-991
2024-03-10;18:00;1.459;98.476;1.865;0.0;-991
2024-03-10;19:00;1.152;98.042;1.581;0.0;-991
2024-03-10;20:00;1.084;97.102;0.676;0.0;-991
2024-03-10;21:00;1.096;95.838;0.309;0.0;-991
2024-03-10;22:00;0.891;95.159;0.384;0.0;-991
2024-03-10;23:00;0.59;94.584;0.356;0.0;-991
2024-03-11;00:00;0.31;94.574;0.331;0.0;-991
2024-03-11;01:00;0.113;94.301;0.47;0.0;-991
2024-03-11;02:00;0.006;93.543;0.539;0.0;-991
2024-03-11;03:00;-0.055;93.063;0.411;0.0;-991
2024-03-11;04:00;-0.111;93.17;0.147;0.0;-991
2024-03-11;05:00;-0.109;94.476;0.131;0.0;-991
2024-03-11;06:00;-0.102;96.279;0.36;0.0;-991
2024-03-11;07:00;0.01;96.641;0.367;0.0;-991
2024-03-11;08:00;0.045;96.795;0.852;0.0;-991
2024-03-11;09:00;0.168;95.795;1.214;55.556;-991
2024-03-11;10:00;0.407;93.081;0.695;55.556;-991
2024-03-11;11:00;0.67;89.652;0.362;166.667;-991
2024-03-11;12:00;0.842;88.191;0.429;222.222;-991
2024-03-11;13:00;1.015;88.258;0.46;222.222;-991
2024-03-11;14:00;1.323;86.582;0.24;222.222;-991
2024-03-11;15:00;1.441;86.529;0.27;111.111;-991
2024-03-11;16:00;0.737;87.16;0.616;166.667;-991
2024-03-11;17:00;-0.125;84.39;0.658;55.556;-991
2024-03-11;18:00;-0.461;80.281;0.368;111.111;-991
2024-03-11;19:00;-0.808;77.854;0.083;0.0;-991
2024-03-11;20:00;-1.052;78.119;0.181;0.0;-991
2024-03-11;21:00;-1.429;79.762;0.433;0.0;-991
2024-03-11;22:00;-1.671;80.088;0.551;0.0;-991
2024-03-11;23:00;-1.814;78.587;0.652;0.0;-991
2024-03-12;00:00;-1.886;75.887;0.297;0.0;-991
2024-03-12;01:00;-2.182;75.097;0.054;0.0;-991
2024-03-12;02:00;-1.721;82.199;1.32;0.0;-991
2024-03-12;03:00;-2.013;80.647;1.005;0.0;-991
2024-03-12;04:00;-2.304;79.096;0.69;0.0;-991
2024-03-12;05:00;-2.596;77.544;0.375;0.0;-991
2024-03-12;06:00;-2.775;77.118;0.372;0.0;-991
2024-03-12;07:00;-2.954;76.693;0.369;0.0;-991
2024-03-12;08:00;-3.133;76.267;0.366;0.0;-991
2024-03-12;09:00;-2.88;74.515;0.31;49.383;-991
2024-03-12;10:00;-2.628;72.763;0.254;98.765;-991
2024-03-12;11:00;-2.375;71.011;0.197;148.148;-991
2024-03-12;12:00;-1.886;70.364;0.154;197.531;-991
2024-03-12;13:00;-1.398;69.716;0.11;246.914;-991
2024-03-12;14:00;-0.909;69.069;0.067;296.296;-991
2024-03-12;15:00;-0.753;70.26;0.082;271.605;-991
2024-03-12;16:00;-0.597;71.451;0.097;246.914;-991
2024-03-12;17:00;-0.44;72.643;0.112;222.222;-991
2024-03-12;18:00;-0.546;74.875;0.178;148.148;-991
2024-03-12;19:00;-0.651;77.108;0.244;74.074;-991
2024-03-12;20:00;-0.756;79.341;0.31;0.0;-991
2024-03-12;21:00;-0.702;79.642;0.33;0.0;-991
2024-03-12;22:00;-0.647;79.943;0.35;0.0;-991
2024-03-12;23:00;-0.593;80.244;0.37;0.0;-991
2024-03-13;00:00;-0.678;80.63;0.365;0.0;-991
2024-03-13;01:00;-0.762;81.016;0.359;0.0;-991
2024-03-13;02:00;-0.847;81.402;0.354;0.0;-991
2024-03-13;03:00;-0.973;81.454;0.286;0.0;-991
2024-03-13;04:00;-1.099;81.506;0.219;0.0;-991
2024-03-13;05:00;-1.225;81.558;0.151;0.0;-991
2024-03-13;06:00;-1.232;82.518;0.199;0.0;-991
2024-03-13;07:00;-1.24;83.479;0.247;0.0;-991
2024-03-13;08:00;-1.247;84.439;0.294;0.0;-991
2024-03-13;09:00;-0.61;83.306;0.278;61.728;-991
2024-03-13;10:00;0.028;82.173;0.261;123.457;-991
2024-03-13;11:00;0.665;81.04;0.245;185.185;-991
2024-03-13;12:00;1.323;80.688;0.17;246.914;-991
2024-03-13;13:00;1.982;80.335;0.095;308.642;-991
2024-03-13;14:00;2.64;79.983;0.021;370.37;-991
2024-03-13;15:00;2.677;79.709;0.014;370.37;-991
2024-03-13;16:00;2.714;79.434;0.007;370.37;-991
2024-03-13;17:00;2.751;79.16;0.0;370.37;-991
2024-03-13;18:00;1.223;84.461;0.0;259.259;-991
2024-03-13;19:00;-0.305;89.762;0.0;148.148;-991
2024-03-13;20:00;-1.832;95.064;0.0;37.037;-991
2024-03-13;21:00;-2.427;94.372;0.0;24.691;-991
2024-03-13;22:00;-3.022;93.68;0.0;12.346;-991
2024-03-13;23:00;-3.617;92.988;0.0;0.0;-991
2024-03-14;00:00;-4.112;92.199;0.0;0.0;-991
2024-03-14;01:00;-4.608;91.41;0.0;0.0;-991
2024-03-14;02:00;-5.103;90.621;0.0;0.0;-991
2024-03-14;03:00;-5.324;90.346;0.0;0.0;-991
2024-03-14;04:00;-5.545;90.07;0.001;0.0;-991
2024-03-14;05:00;-5.766;89.795;0.001;0.0;-991
2024-03-14;06:00;-5.201;88.949;0.011;0.0;-991
2024-03-14;07:00;-4.637;88.102;0.02;0.0;-991
2024-03-14;08:00;-4.072;87.256;0.03;0.0;-991
2024-03-14;09:00;-2.334;82.94;0.024;111.111;-991
