SIMCOE
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-06;13:00;9.955;78.275;0.0;-991;-991
2024-03-06;14:00;9.94;76.686;0.0;238.468;-991
2024-03-06;15:00;9.381;78.707;0.002;183.762;-991
2024-03-06;16:00;8.812;80.821;0.004;132.409;-991
2024-03-06;17:00;8.18;82.088;0.008;78.31;-991
2024-03-06;18:00;7.524;81.958;0.008;25.186;-991
2024-03-06;19:00;6.919;81.007;0.0;0.0;-991
2024-03-06;20:00;6.36;81.1;0.0;0.0;-991
2024-03-06;21:00;5.784;82.497;0.0;0.0;-991
2024-03-06;22:00;5.231;83.488;0.0;0.0;-991
2024-03-06;23:00;4.84;85.284;0.0;0.0;-991
2024-03-07;00:00;4.582;86.409;0.0;0.0;-991
2024-03-07;01:00;4.352;86.986;0.0;0.0;-991
2024-03-07;02:00;4.202;86.954;0.0;0.0;-991
2024-03-07;03:00;4.02;88.634;0.0;0.0;-991
2024-03-07;04:00;3.721;88.025;0.0;0.0;-991
2024-03-07;05:00;4.139;69.592;0.002;0.0;-991
2024-03-07;06:00;3.993;67.687;0.0;0.0;-991
2024-03-07;07:00;3.741;67.903;0.0;1.93;-991
2024-03-07;08:00;3.886;66.397;0.0;42.095;-991
2024-03-07;09:00;4.696;64.906;0.0;134.871;-991
2024-03-07;10:00;6.197;61.999;0.0;378.6;-991
2024-03-07;11:00;7.519;59.968;0.0;598.456;-991
2024-03-07;12:00;8.574;57.684;0.0;691.679;-991
2024-03-07;13:00;9.372;55.431;0.0;728.599;-991
2024-03-07;14:00;9.814;53.669;0.0;696.405;-991
2024-03-07;15:00;9.758;52.865;0.0;606.965;-991
2024-03-07;16:00;9.23;52.704;0.0;469.986;-991
2024-03-07;17:00;8.262;53.466;0.0;293.404;-991
2024-03-07;18:00;6.671;54.614;0.0;100.744;-991
2024-03-07;19:00;5.199;53.705;0.0;3.358;-991
2024-03-07;20:00;4.604;54.429;0.0;0.0;-991
2024-03-07;21:00;4.197;54.647;0.0;0.0;-991
2024-03-07;22:00;3.748;55.622;0.0;0.0;-991
2024-03-07;23:00;3.189;57.553;0.0;0.0;-991
2024-03-08;00:00;2.722;60.862;0.0;0.0;-991
2024-03-08;01:00;2.371;63.456;0.0;0.0;-991
2024-03-08;02:00;2.066;65.763;0.0;0.0;-991
2024-03-08;03:00;1.704;68.209;0.0;0.0;-991
2024-03-08;04:00;1.323;70.958;0.0;0.0;-991
2024-03-08;05:00;0.973;74.044;0.0;0.0;-991
2024-03-08;06:00;0.582;77.772;0.0;1.729;-991
2024-03-08;07:00;0.298;81.008;0.0;0.0;-991
2024-03-08;08:00;2.134;74.046;0.0;78.753;-991
2024-03-08;09:00;5.298;63.687;0.0;244.253;-991
