STANCT
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-12;02:00;1.381;55.729;0.0;-991;-991
2024-03-12;03:00;-0.597;71.15;0.0;0.0;-991
2024-03-12;04:00;-0.546;70.891;0.0;0.0;-991
2024-03-12;05:00;-0.9;71.46;0.0;0.0;-991
2024-03-12;06:00;-2.911;75.034;0.0;0.0;-991
2024-03-12;07:00;-3.546;78.646;0.0;0.0;-991
2024-03-12;08:00;-3.146;81.802;0.0;26.235;-991
2024-03-12;09:00;-1.311;79.544;0.0;180.709;-991
2024-03-12;10:00;0.078;76.799;0.0;367.715;-991
2024-03-12;11:00;1.276;76.532;0.0;531.004;-991
2024-03-12;12:00;2.454;68.353;0.0;649.798;-991
2024-03-12;13:00;3.433;64.856;0.0;716.32;-991
2024-03-12;14:00;4.302;63.383;0.0;720.871;-991
2024-03-12;15:00;5.022;64.277;0.0;667.526;-991
2024-03-12;16:00;5.426;64.042;0.0;557.089;-991
2024-03-12;17:00;5.593;61.899;0.0;403.01;-991
2024-03-12;18:00;5.108;66.375;0.0;221.862;-991
2024-03-12;19:00;3.836;64.118;0.0;51.958;-991
2024-03-12;20:00;2.992;61.696;0.0;0.0;-991
2024-03-12;21:00;2.392;60.11;0.0;0.0;-991
2024-03-12;22:00;1.711;60.565;0.0;0.0;-991
2024-03-12;23:00;0.707;64.737;0.0;0.0;-991
2024-03-13;00:00;-1.376;69.884;0.0;0.0;-991
2024-03-13;01:00;-2.516;71.9;0.0;0.0;-991
2024-03-13;02:00;-3.194;73.606;0.0;0.0;-991
2024-03-13;03:00;-2.962;73.468;0.0;0.0;-991
2024-03-13;04:00;-2.958;72.177;0.0;0.0;-991
2024-03-13;05:00;-3.077;72.628;0.0;0.0;-991
2024-03-13;06:00;-2.589;74.363;0.0;0.0;-991
2024-03-13;07:00;-2.81;77.323;0.0;1.49;-991
2024-03-13;08:00;-2.835;78.225;0.0;16.056;-991
