STANNB
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-08;07:00;-991;-991;-991;-991;-991
2024-03-08;08:00;-991;-991;-991;-991;-991
2024-03-08;09:00;-991;-991;-991;-991;-991
2024-03-08;10:00;-991;-991;-991;-991;-991
2024-03-08;11:00;-991;-991;-991;-991;-991
2024-03-08;12:00;-991;-991;-991;-991;-991
2024-03-08;13:00;4.949;49.06;-991;-991;-991
2024-03-08;14:00;5.753;50.265;-991;638.366;-991
2024-03-08;15:00;6.062;49.475;0.0;531.902;-991
2024-03-08;16:00;5.918;48.802;0.0;375.839;-991
2024-03-08;17:00;4.989;52.189;0.0;184.242;-991
2024-03-08;18:00;3.098;60.159;0.0;36.939;-991
2024-03-08;19:00;2.42;64.562;0.0;0.0;-991
2024-03-08;20:00;2.314;64.985;0.0;0.0;-991
2024-03-08;21:00;1.959;63.899;0.0;0.0;-991
2024-03-08;22:00;1.072;64.872;0.0;0.0;-991
2024-03-08;23:00;0.603;67.245;0.0;0.0;-991
2024-03-09;00:00;0.721;69.031;0.0;0.0;-991
2024-03-09;01:00;0.551;70.178;0.0;0.0;-991
2024-03-09;02:00;0.738;68.435;0.0;0.0;-991
2024-03-09;03:00;0.629;69.477;0.0;0.0;-991
2024-03-09;04:00;0.366;70.852;0.0;0.0;-991
2024-03-09;05:00;-0.012;72.04;0.0;0.0;-991
2024-03-09;06:00;0.226;74.67;0.0;0.0;-991
2024-03-09;07:00;0.621;76.519;0.0;17.751;-991
2024-03-09;08:00;2.085;72.326;0.0;126.687;-991
2024-03-09;09:00;3.631;63.791;0.0;335.813;-991
2024-03-09;10:00;4.564;58.052;0.0;473.496;-991
2024-03-09;11:00;5.386;53.292;0.0;501.571;-991
2024-03-09;12:00;5.808;51.387;0.0;443.354;-991
2024-03-09;13:00;5.511;52.909;0.036;316.704;-991
2024-03-09;14:00;4.332;60.48;0.191;64.551;-991
2024-03-09;15:00;3.524;73.557;0.476;37.963;-991
2024-03-09;16:00;3.566;76.841;0.557;24.395;-991
2024-03-09;17:00;3.521;83.313;0.734;9.84;-991
2024-03-09;18:00;3.238;89.501;1.11;0.976;-991
2024-03-09;19:00;3.052;93.316;1.043;4.525;-991
2024-03-09;20:00;2.856;94.833;1.411;0.0;-991
2024-03-09;21:00;2.758;95.798;1.593;0.564;-991
2024-03-09;22:00;2.703;95.993;1.582;0.131;-991
2024-03-09;23:00;2.626;96.388;1.163;0.0;-991
2024-03-10;00:00;2.458;97.037;1.084;0.0;-991
2024-03-10;01:00;2.158;97.527;2.936;0.0;-991
2024-03-10;02:00;1.683;98.52;3.415;0.0;-991
2024-03-10;03:00;1.207;99.513;3.894;0.0;-991
2024-03-10;04:00;0.144;99.681;4.506;0.0;-991
2024-03-10;05:00;0.142;99.656;5.054;0.0;-991
2024-03-10;06:00;0.145;99.625;5.398;0.0;-991
2024-03-10;07:00;0.156;99.618;2.782;0.0;-991
2024-03-10;08:00;0.531;98.018;2.44;27.778;-991
2024-03-10;09:00;0.905;96.418;2.098;55.556;-991
2024-03-10;10:00;1.28;94.818;1.756;83.333;-991
2024-03-10;11:00;1.655;93.218;1.413;111.111;-991
2024-03-10;12:00;2.03;91.618;1.071;138.889;-991
2024-03-10;13:00;2.405;90.018;0.729;166.667;-991
2024-03-10;14:00;2.779;88.419;0.386;194.444;-991
2024-03-10;15:00;3.019;87.72;0.044;222.222;-991
2024-03-10;16:00;2.933;90.956;0.105;111.111;-991
2024-03-10;17:00;2.632;96.057;0.155;111.111;-991
2024-03-10;18:00;2.384;97.651;0.083;55.556;-991
2024-03-10;19:00;2.152;97.917;0.228;0.0;-991
2024-03-10;20:00;1.934;97.277;0.515;0.0;-991
2024-03-10;21:00;1.246;94.888;0.211;0.0;-991
2024-03-10;22:00;0.541;92.484;0.141;0.0;-991
2024-03-10;23:00;0.165;89.534;0.143;0.0;-991
2024-03-11;00:00;-0.39;86.999;0.234;0.0;-991
2024-03-11;01:00;-0.962;84.051;0.024;0.0;-991
2024-03-11;02:00;-1.494;82.543;0.054;0.0;-991
2024-03-11;03:00;-2.055;80.188;0.237;0.0;-991
2024-03-11;04:00;-2.536;78.295;0.153;0.0;-991
2024-03-11;05:00;-2.984;77.301;0.181;0.0;-991
2024-03-11;06:00;-3.402;76.429;0.248;0.0;-991
2024-03-11;07:00;-3.74;75.291;0.219;0.0;-991
2024-03-11;08:00;-3.855;72.345;0.075;0.0;-991
2024-03-11;09:00;-3.457;68.82;0.027;166.667;-991
2024-03-11;10:00;-3.118;67.031;0.003;166.667;-991
2024-03-11;11:00;-2.58;64.652;0.007;333.333;-991
2024-03-11;12:00;-1.558;60.441;0.0;333.333;-991
2024-03-11;13:00;-0.66;59.133;0.0;444.444;-991
2024-03-11;14:00;0.123;58.282;0.0;444.444;-991
2024-03-11;15:00;0.941;56.729;0.0;555.556;-991
2024-03-11;16:00;1.862;54.26;0.0;555.556;-991
2024-03-11;17:00;2.2;52.565;0.0;333.333;-991
2024-03-11;18:00;1.539;54.681;0.0;222.222;-991
2024-03-11;19:00;0.492;58.354;0.0;55.556;-991
2024-03-11;20:00;0.098;60.769;0.0;0.0;-991
2024-03-11;21:00;-0.129;61.887;0.0;0.0;-991
2024-03-11;22:00;-0.471;62.413;0.0;0.0;-991
2024-03-11;23:00;-0.839;62.662;0.0;0.0;-991
2024-03-12;00:00;-0.886;61.962;0.0;0.0;-991
2024-03-12;01:00;-0.857;60.672;0.0;0.0;-991
2024-03-12;02:00;-2.746;66.949;0.0;0.0;-991
2024-03-12;03:00;-3.004;67.314;0.0;0.0;-991
2024-03-12;04:00;-3.263;67.679;0.0;0.0;-991
2024-03-12;05:00;-3.521;68.044;0.0;0.0;-991
2024-03-12;06:00;-3.658;68.118;0.0;0.0;-991
2024-03-12;07:00;-3.796;68.193;0.0;0.0;-991
2024-03-12;08:00;-3.933;68.267;0.0;0.0;-991
2024-03-12;09:00;-2.48;63.015;0.0;123.457;-991
2024-03-12;10:00;-1.028;57.763;0.0;246.914;-991
2024-03-12;11:00;0.425;52.511;0.0;370.37;-991
2024-03-12;12:00;1.414;50.697;0.0;469.136;-991
2024-03-12;13:00;2.402;48.883;0.0;567.901;-991
2024-03-12;14:00;3.391;47.069;0.0;666.667;-991
2024-03-12;15:00;3.547;48.427;0.0;629.63;-991
2024-03-12;16:00;3.703;49.785;0.0;592.593;-991
2024-03-12;17:00;3.86;51.143;0.0;555.556;-991
2024-03-12;18:00;2.438;54.459;0.0;395.062;-991
2024-03-12;19:00;1.016;57.775;0.0;234.568;-991
2024-03-12;20:00;-0.406;61.091;0.0;74.074;-991
2024-03-12;21:00;-1.518;64.475;0.0;49.383;-991
2024-03-12;22:00;-2.631;67.86;0.0;24.691;-991
2024-03-12;23:00;-3.743;71.244;0.0;0.0;-991
2024-03-13;00:00;-4.778;75.297;0.0;0.0;-991
2024-03-13;01:00;-5.812;79.349;0.0;0.0;-991
2024-03-13;02:00;-6.847;83.402;0.0;0.0;-991
2024-03-13;03:00;-7.423;84.371;0.0;0.0;-991
2024-03-13;04:00;-7.999;85.339;0.0;0.0;-991
2024-03-13;05:00;-8.575;86.308;0.0;0.0;-991
2024-03-13;06:00;-8.682;86.852;0.0;0.0;-991
2024-03-13;07:00;-8.79;87.396;0.0;0.0;-991
2024-03-13;08:00;-8.897;87.939;0.0;0.0;-991
2024-03-13;09:00;-6.726;83.89;0.0;74.074;-991
2024-03-13;10:00;-4.556;79.84;0.0;148.148;-991
2024-03-13;11:00;-2.385;75.79;0.0;222.222;-991
2024-03-13;12:00;-1.593;74.188;0.0;259.259;-991
2024-03-13;13:00;-0.802;72.585;0.0;296.296;-991
2024-03-13;14:00;-0.01;70.983;0.0;333.333;-991
2024-03-13;15:00;0.46;71.292;0.0;320.988;-991
2024-03-13;16:00;0.931;71.601;0.0;308.642;-991
2024-03-13;17:00;1.401;71.91;0.0;296.296;-991
2024-03-13;18:00;0.64;77.211;0.0;197.531;-991
2024-03-13;19:00;-0.121;82.512;0.0;98.765;-991
2024-03-13;20:00;-0.882;87.814;0.0;0.0;-991
2024-03-13;21:00;-1.552;89.789;0.0;0.0;-991
2024-03-13;22:00;-2.222;91.763;0.0;0.0;-991
2024-03-13;23:00;-2.892;93.738;0.0;0.0;-991
2024-03-14;00:00;-3.162;93.783;0.0;0.0;-991
2024-03-14;01:00;-3.433;93.827;0.0;0.0;-991
2024-03-14;02:00;-3.703;93.871;0.0;0.0;-991
2024-03-14;03:00;-3.433;91.846;0.0;0.0;-991
2024-03-14;04:00;-3.162;89.82;0.0;0.0;-991
2024-03-14;05:00;-2.891;87.795;0.001;0.0;-991
2024-03-14;06:00;-2.826;87.949;0.006;0.0;-991
2024-03-14;07:00;-2.762;88.102;0.012;0.0;-991
2024-03-14;08:00;-2.697;88.256;0.017;0.0;-991
2024-03-14;09:00;-1.684;85.44;0.031;61.728;-991
2024-03-14;10:00;-0.671;82.623;0.045;123.457;-991
