STCHRISAR
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-08;07:00;-991;-991;-991;-991;-991
2024-03-08;08:00;-991;-991;-991;-991;-991
2024-03-08;09:00;-991;-991;-991;-991;-991
2024-03-08;10:00;-991;-991;-991;-991;-991
2024-03-08;11:00;-991;-991;-991;-991;-991
2024-03-08;12:00;-991;-991;-991;-991;-991
2024-03-08;13:00;6.43;38.107;-991;-991;-991
2024-03-08;14:00;7.031;37.56;-991;617.168;-991
2024-03-08;15:00;7.136;37.899;0.0;503.148;-991
2024-03-08;16:00;6.669;39.924;0.0;346.875;-991
2024-03-08;17:00;5.379;43.404;0.0;169.131;-991
2024-03-08;18:00;2.477;46.463;0.0;23.507;-991
2024-03-08;19:00;0.468;48.905;0.0;0.0;-991
2024-03-08;20:00;-0.559;52.695;0.0;0.0;-991
2024-03-08;21:00;-0.665;54.376;0.0;0.0;-991
2024-03-08;22:00;0.171;54.219;0.0;0.0;-991
2024-03-08;23:00;0.43;52.396;0.0;0.0;-991
2024-03-09;00:00;0.075;53.582;0.0;0.0;-991
2024-03-09;01:00;-0.126;53.483;0.0;0.0;-991
2024-03-09;02:00;0.027;53.586;0.0;0.0;-991
2024-03-09;03:00;-0.224;54.812;0.0;0.0;-991
2024-03-09;04:00;-0.568;54.988;0.0;0.0;-991
2024-03-09;05:00;-0.705;54.562;0.0;0.0;-991
2024-03-09;06:00;-0.751;55.393;0.0;0.0;-991
2024-03-09;07:00;-0.413;56.182;0.0;22.788;-991
2024-03-09;08:00;0.679;55.286;0.0;111.575;-991
2024-03-09;09:00;2.164;52.699;0.0;209.883;-991
2024-03-09;10:00;3.803;49.567;0.0;287.12;-991
2024-03-09;11:00;6.127;45.498;0.0;511.645;-991
2024-03-09;12:00;7.219;41.426;0.0;567.605;-991
2024-03-09;13:00;8.076;39.212;0.0;566.884;-991
2024-03-09;14:00;7.217;42.702;0.0;395.327;-991
2024-03-09;15:00;7.007;43.582;0.0;256.241;-991
2024-03-09;16:00;6.231;45.182;0.0;162.078;-991
2024-03-09;17:00;5.112;50.294;0.012;13.198;-991
2024-03-09;18:00;4.365;57.426;0.048;4.334;-991
2024-03-09;19:00;3.782;57.622;0.0;0.0;-991
2024-03-09;20:00;3.359;58.931;0.0;0.811;-991
2024-03-09;21:00;3.132;61.026;0.036;0.564;-991
2024-03-09;22:00;1.644;88.845;0.47;0.131;-991
2024-03-09;23:00;1.292;90.301;0.504;0.0;-991
2024-03-10;00:00;1.16;93.694;1.125;0.0;-991
2024-03-10;01:00;1.099;94.829;1.005;0.0;-991
2024-03-10;02:00;0.97;96.053;1.673;0.0;-991
2024-03-10;03:00;0.841;97.276;2.342;0.0;-991
2024-03-10;04:00;0.685;97.79;1.589;0.0;-991
2024-03-10;05:00;0.464;98.134;2.825;0.0;-991
2024-03-10;06:00;0.406;96.835;3.589;0.0;-991
2024-03-10;07:00;0.244;97.658;3.736;0.0;-991
2024-03-10;08:00;0.642;97.363;3.359;20.833;-991
2024-03-10;09:00;1.04;97.068;2.983;41.667;-991
2024-03-10;10:00;1.438;96.773;2.606;62.5;-991
2024-03-10;11:00;1.835;96.478;2.229;83.333;-991
2024-03-10;12:00;2.233;96.183;1.853;104.167;-991
2024-03-10;13:00;2.631;95.888;1.476;125.0;-991
2024-03-10;14:00;3.029;95.594;1.1;145.833;-991
2024-03-10;15:00;3.094;95.595;0.723;166.667;-991
2024-03-10;16:00;3.158;95.381;0.306;166.667;-991
2024-03-10;17:00;2.832;96.907;0.264;55.556;-991
2024-03-10;18:00;2.334;98.276;0.145;0.0;-991
2024-03-10;19:00;1.527;98.817;0.102;0.0;-991
2024-03-10;20:00;0.709;98.977;0.232;0.0;-991
2024-03-10;21:00;0.171;98.538;0.185;0.0;-991
2024-03-10;22:00;-0.059;98.009;0.119;0.0;-991
2024-03-10;23:00;-0.06;98.109;0.182;0.0;-991
2024-03-11;00:00;-0.14;99.024;0.463;0.0;-991
2024-03-11;01:00;0.013;98.901;0.328;0.0;-991
2024-03-11;02:00;0.056;98.818;0.419;0.0;-991
2024-03-11;03:00;-0.055;98.663;0.742;0.0;-991
2024-03-11;04:00;0.014;97.945;0.717;0.0;-991
2024-03-11;05:00;-0.109;97.551;1.06;0.0;-991
2024-03-11;06:00;-0.902;94.679;0.999;0.0;-991
2024-03-11;07:00;-1.89;90.291;0.73;0.0;-991
2024-03-11;08:00;-2.405;87.245;0.619;0.0;-991
2024-03-11;09:00;-2.607;83.545;0.372;55.556;-991
2024-03-11;10:00;-2.593;80.206;0.517;166.667;-991
2024-03-11;11:00;-2.43;77.077;0.609;222.222;-991
2024-03-11;12:00;-2.283;75.241;0.546;222.222;-991
2024-03-11;13:00;-2.16;73.333;0.452;222.222;-991
2024-03-11;14:00;-2.002;72.457;0.409;277.778;-991
2024-03-11;15:00;-1.884;71.354;0.342;222.222;-991
2024-03-11;16:00;-1.513;67.96;0.231;222.222;-991
2024-03-11;17:00;-1.475;65.765;0.112;55.556;-991
2024-03-11;18:00;-1.636;65.781;0.091;55.556;-991
2024-03-11;19:00;-2.008;67.854;0.079;111.111;-991
2024-03-11;20:00;-2.302;69.919;0.075;0.0;-991
2024-03-11;21:00;-2.529;69.737;0.072;0.0;-991
2024-03-11;22:00;-2.721;69.613;0.069;0.0;-991
2024-03-11;23:00;-2.789;70.012;0.074;0.0;-991
2024-03-12;00:00;-2.861;70.712;0.065;0.0;-991
2024-03-12;01:00;-2.957;70.022;0.059;0.0;-991
2024-03-12;02:00;-3.971;73.449;0.509;0.0;-991
2024-03-12;03:00;-4.063;73.314;0.443;0.0;-991
2024-03-12;04:00;-4.154;73.179;0.377;0.0;-991
2024-03-12;05:00;-4.246;73.044;0.312;0.0;-991
2024-03-12;06:00;-4.292;72.952;0.285;0.0;-991
2024-03-12;07:00;-4.337;72.86;0.259;0.0;-991
2024-03-12;08:00;-4.383;72.767;0.232;0.0;-991
2024-03-12;09:00;-3.947;70.432;0.22;49.383;-991
2024-03-12;10:00;-3.511;68.097;0.209;98.765;-991
2024-03-12;11:00;-3.075;65.761;0.197;148.148;-991
2024-03-12;12:00;-2.37;64.114;0.158;185.185;-991
2024-03-12;13:00;-1.664;62.466;0.119;222.222;-991
2024-03-12;14:00;-0.959;60.819;0.079;259.259;-991
2024-03-12;15:00;-0.403;60.094;0.053;271.605;-991
2024-03-12;16:00;0.153;59.368;0.027;283.951;-991
2024-03-12;17:00;0.71;58.643;0.001;296.296;-991
2024-03-12;18:00;-0.245;63.125;0.001;209.877;-991
2024-03-12;19:00;-1.201;67.608;0.0;123.457;-991
2024-03-12;20:00;-2.156;72.091;0.0;37.037;-991
2024-03-12;21:00;-2.852;74.559;0.0;24.691;-991
2024-03-12;22:00;-3.547;77.027;0.0;12.346;-991
2024-03-12;23:00;-4.243;79.494;0.0;0.0;-991
2024-03-13;00:00;-5.061;82.88;0.0;0.0;-991
2024-03-13;01:00;-5.879;86.266;0.0;0.0;-991
2024-03-13;02:00;-6.697;89.652;0.0;0.0;-991
2024-03-13;03:00;-7.29;89.704;0.0;0.0;-991
2024-03-13;04:00;-7.882;89.756;0.0;0.0;-991
2024-03-13;05:00;-8.475;89.808;0.0;0.0;-991
2024-03-13;06:00;-8.582;89.435;0.0;0.0;-991
2024-03-13;07:00;-8.69;89.062;0.0;0.0;-991
2024-03-13;08:00;-8.797;88.689;0.0;0.0;-991
2024-03-13;09:00;-6.343;80.223;0.0;135.802;-991
2024-03-13;10:00;-3.889;71.756;0.0;271.605;-991
2024-03-13;11:00;-1.435;63.29;0.0;407.407;-991
2024-03-13;12:00;0.04;59.438;0.0;493.827;-991
2024-03-13;13:00;1.515;55.585;0.0;580.247;-991
2024-03-13;14:00;2.99;51.733;0.0;666.667;-991
2024-03-13;15:00;3.36;51.959;0.0;617.284;-991
2024-03-13;16:00;3.731;52.184;0.0;567.901;-991
2024-03-13;17:00;4.101;52.41;0.0;518.519;-991
2024-03-13;18:00;2.115;63.128;0.0;370.37;-991
2024-03-13;19:00;0.129;73.846;0.0;222.222;-991
2024-03-13;20:00;-1.857;84.564;0.0;74.074;-991
2024-03-13;21:00;-2.735;86.539;0.0;49.383;-991
2024-03-13;22:00;-3.614;88.513;0.0;24.691;-991
2024-03-13;23:00;-4.492;90.488;0.0;0.0;-991
2024-03-14;00:00;-4.729;90.616;0.0;0.0;-991
2024-03-14;01:00;-4.966;90.743;0.0;0.0;-991
2024-03-14;02:00;-5.203;90.871;0.0;0.0;-991
2024-03-14;03:00;-5.491;90.929;0.0;0.0;-991
2024-03-14;04:00;-5.778;90.987;0.0;0.0;-991
2024-03-14;05:00;-6.066;91.045;0.0;0.0;-991
2024-03-14;06:00;-5.576;90.699;0.0;0.0;-991
2024-03-14;07:00;-5.087;90.352;0.0;0.0;-991
2024-03-14;08:00;-4.597;90.006;0.0;0.0;-991
2024-03-14;09:00;-1.851;80.523;0.0;74.074;-991
2024-03-14;10:00;0.896;71.04;0.0;148.148;-991
