STGDG
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-08;07:00;-991;-991;-991;-991;-991
2024-03-08;08:00;-991;-991;-991;-991;-991
2024-03-08;09:00;-991;-991;-991;-991;-991
2024-03-08;10:00;-991;-991;-991;-991;-991
2024-03-08;11:00;-991;-991;-991;-991;-991
2024-03-08;12:00;-991;-991;-991;-991;-991
2024-03-08;13:00;6.541;40.367;-991;-991;-991
2024-03-08;14:00;7.388;37.882;-991;622.625;-991
2024-03-08;15:00;7.512;38.407;0.0;510.284;-991
2024-03-08;16:00;7.078;40.432;0.0;353.591;-991
2024-03-08;17:00;5.946;45.986;0.0;176.686;-991
2024-03-08;18:00;3.385;54.141;0.0;28.544;-991
2024-03-08;19:00;1.404;64.654;0.0;0.0;-991
2024-03-08;20:00;-0.228;72.918;0.0;0.0;-991
2024-03-08;21:00;-0.834;65.283;0.0;0.0;-991
2024-03-08;22:00;-1.113;61.874;0.0;0.0;-991
2024-03-08;23:00;-1.615;69.205;0.0;0.0;-991
2024-03-09;00:00;-1.321;75.234;0.0;0.0;-991
2024-03-09;01:00;0.058;66.973;0.0;0.0;-991
2024-03-09;02:00;0.77;60.987;0.0;0.0;-991
2024-03-09;03:00;0.91;62.213;0.0;0.0;-991
2024-03-09;04:00;0.868;63.542;0.0;0.0;-991
2024-03-09;05:00;0.538;64.062;0.0;0.0;-991
2024-03-09;06:00;0.704;62.172;0.0;0.0;-991
2024-03-09;07:00;1.147;59.548;0.0;19.43;-991
2024-03-09;08:00;2.268;56.416;0.0;109.896;-991
2024-03-09;09:00;3.709;52.492;0.0;211.562;-991
2024-03-09;10:00;5.787;47.469;0.0;426.482;-991
2024-03-09;11:00;7.064;43.814;0.0;464.632;-991
2024-03-09;12:00;7.846;41.472;0.0;607.903;-991
2024-03-09;13:00;8.314;40.25;0.0;561.847;-991
2024-03-09;14:00;8.356;39.797;0.0;356.708;-991
2024-03-09;15:00;7.512;41.944;0.003;219.301;-991
2024-03-09;16:00;5.538;60.17;0.258;37.828;-991
2024-03-09;17:00;4.376;74.067;0.222;13.198;-991
2024-03-09;18:00;4.264;69.44;0.021;7.692;-991
2024-03-09;19:00;4.367;72.033;0.138;1.167;-991
2024-03-09;20:00;3.436;87.962;0.443;0.0;-991
2024-03-09;21:00;2.984;91.556;0.67;0.564;-991
2024-03-09;22:00;2.555;95.486;0.961;0.132;-991
2024-03-09;23:00;2.371;94.659;0.907;0.0;-991
2024-03-10;00:00;2.207;95.723;1.086;0.0;-991
2024-03-10;01:00;2.177;96.466;1.357;0.0;-991
2024-03-10;02:00;2.089;96.744;1.575;0.0;-991
2024-03-10;03:00;2.001;97.023;1.793;0.0;-991
2024-03-10;04:00;1.137;99.358;2.255;0.0;-991
2024-03-10;05:00;0.317;99.979;3.533;0.0;-991
2024-03-10;06:00;0.138;99.994;4.223;0.0;-991
2024-03-10;07:00;0.079;99.849;7.21;0.0;-991
2024-03-10;08:00;0.529;99.248;6.35;27.778;-991
2024-03-10;09:00;0.979;98.647;5.49;55.556;-991
2024-03-10;10:00;1.429;98.046;4.63;83.333;-991
2024-03-10;11:00;1.879;97.446;3.769;111.111;-991
2024-03-10;12:00;2.329;96.845;2.909;138.889;-991
2024-03-10;13:00;2.779;96.244;2.049;166.667;-991
2024-03-10;14:00;3.229;95.644;1.189;194.444;-991
2024-03-10;15:00;3.419;95.37;0.329;222.222;-991
2024-03-10;16:00;3.233;96.856;0.522;55.556;-991
2024-03-10;17:00;2.732;98.207;0.373;55.556;-991
2024-03-10;18:00;1.959;98.576;0.115;0.0;-991
2024-03-10;19:00;1.127;98.642;0.144;111.111;-991
2024-03-10;20:00;0.759;98.377;0.097;0.0;-991
2024-03-10;21:00;0.596;98.513;0.093;0.0;-991
2024-03-10;22:00;0.441;98.834;0.063;0.0;-991
2024-03-10;23:00;0.315;99.159;0.086;0.0;-991
2024-03-11;00:00;0.31;99.299;0.104;0.0;-991
2024-03-11;01:00;0.563;99.126;0.163;0.0;-991
2024-03-11;02:00;0.906;98.343;0.287;0.0;-991
2024-03-11;03:00;0.57;96.688;0.603;0.0;-991
2024-03-11;04:00;-0.086;89.245;0.082;0.0;-991
2024-03-11;05:00;-0.834;85.676;0.075;0.0;-991
2024-03-11;06:00;-1.377;83.629;0.187;0.0;-991
2024-03-11;07:00;-1.94;82.591;0.157;0.0;-991
2024-03-11;08:00;-2.255;81.27;0.077;0.0;-991
2024-03-11;09:00;-2.157;77.645;0.117;55.556;-991
2024-03-11;10:00;-2.068;74.831;0.166;111.111;-991
2024-03-11;11:00;-1.655;70.377;0.137;222.222;-991
2024-03-11;12:00;-1.358;67.616;0.159;222.222;-991
2024-03-11;13:00;-1.21;67.233;0.239;333.333;-991
2024-03-11;14:00;-0.602;62.907;0.132;222.222;-991
2024-03-11;15:00;0.066;60.179;0.026;166.667;-991
2024-03-11;16:00;0.187;61.185;0.025;222.222;-991
2024-03-11;17:00;0.35;61.015;0.013;222.222;-991
2024-03-11;18:00;0.239;62.081;0.001;111.111;-991
2024-03-11;19:00;-0.283;63.854;0.0;0.0;-991
2024-03-11;20:00;-0.502;63.794;0.0;0.0;-991
2024-03-11;21:00;-0.754;64.587;0.0;0.0;-991
2024-03-11;22:00;-1.271;64.463;0.0;0.0;-991
2024-03-11;23:00;-2.339;64.037;0.0;0.0;-991
2024-03-12;00:00;-3.311;66.237;0.0;0.0;-991
2024-03-12;01:00;-4.132;69.322;0.0;0.0;-991
2024-03-12;02:00;-2.771;73.699;0.048;0.0;-991
2024-03-12;03:00;-3.213;73.147;0.032;0.0;-991
2024-03-12;04:00;-3.654;72.596;0.016;0.0;-991
2024-03-12;05:00;-4.096;72.044;0.0;0.0;-991
2024-03-12;06:00;-4.708;72.202;0.0;0.0;-991
2024-03-12;07:00;-5.321;72.36;0.0;0.0;-991
2024-03-12;08:00;-5.933;72.517;0.0;0.0;-991
2024-03-12;09:00;-4.547;68.849;0.0;111.111;-991
2024-03-12;10:00;-3.161;65.18;0.0;222.222;-991
2024-03-12;11:00;-1.775;61.511;0.0;333.333;-991
2024-03-12;12:00;-0.603;60.947;0.0;444.444;-991
2024-03-12;13:00;0.569;60.383;0.0;555.556;-991
2024-03-12;14:00;1.741;59.819;0.0;666.667;-991
2024-03-12;15:00;2.147;61.094;0.0;604.938;-991
2024-03-12;16:00;2.553;62.368;0.0;543.21;-991
2024-03-12;17:00;2.96;63.643;0.0;481.481;-991
2024-03-12;18:00;1.221;72.375;0.0;345.679;-991
2024-03-12;19:00;-0.517;81.108;0.0;209.877;-991
2024-03-12;20:00;-2.256;89.841;0.0;74.074;-991
2024-03-12;21:00;-3.335;89.809;0.0;49.383;-991
2024-03-12;22:00;-4.414;89.777;0.0;24.691;-991
2024-03-12;23:00;-5.493;89.744;0.0;0.0;-991
2024-03-13;00:00;-5.994;89.38;0.0;0.0;-991
2024-03-13;01:00;-6.496;89.016;0.0;0.0;-991
2024-03-13;02:00;-6.997;88.652;0.0;0.0;-991
2024-03-13;03:00;-7.573;88.621;0.0;0.0;-991
2024-03-13;04:00;-8.149;88.589;0.0;0.0;-991
2024-03-13;05:00;-8.725;88.558;0.0;0.0;-991
2024-03-13;06:00;-9.049;88.352;0.0;12.346;-991
2024-03-13;07:00;-9.373;88.146;0.0;24.691;-991
2024-03-13;08:00;-9.697;87.939;0.0;37.037;-991
2024-03-13;09:00;-7.126;82.056;0.0;135.802;-991
2024-03-13;10:00;-4.556;76.173;0.0;234.568;-991
2024-03-13;11:00;-1.985;70.29;0.0;333.333;-991
2024-03-13;12:00;-0.643;68.188;0.0;444.444;-991
2024-03-13;13:00;0.698;66.085;0.0;555.556;-991
2024-03-13;14:00;2.04;63.983;0.0;666.667;-991
2024-03-13;15:00;2.194;64.875;0.0;617.284;-991
2024-03-13;16:00;2.347;65.767;0.0;567.901;-991
2024-03-13;17:00;2.501;66.66;0.0;518.519;-991
2024-03-13;18:00;0.823;75.794;0.0;358.025;-991
2024-03-13;19:00;-0.855;84.929;0.0;197.531;-991
2024-03-13;20:00;-2.532;94.064;0.0;37.037;-991
2024-03-13;21:00;-3.269;93.789;0.0;24.691;-991
2024-03-13;22:00;-4.005;93.513;0.0;12.346;-991
2024-03-13;23:00;-4.742;93.238;0.0;0.0;-991
2024-03-14;00:00;-5.287;93.033;0.0;0.0;-991
2024-03-14;01:00;-5.833;92.827;0.0;0.0;-991
2024-03-14;02:00;-6.378;92.621;0.0;0.0;-991
2024-03-14;03:00;-6.708;92.429;0.0;0.0;-991
2024-03-14;04:00;-7.037;92.237;0.0;0.0;-991
2024-03-14;05:00;-7.366;92.045;0.0;0.0;-991
2024-03-14;06:00;-6.643;91.365;0.0;0.0;-991
2024-03-14;07:00;-5.92;90.686;0.0;0.0;-991
2024-03-14;08:00;-5.197;90.006;0.0;0.0;-991
2024-03-14;09:00;-2.951;85.19;0.0;61.728;-991
2024-03-14;10:00;-0.704;80.373;0.0;123.457;-991
