STGREG
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-08;07:00;-991;-991;-991;-991;-991
2024-03-08;08:00;-991;-991;-991;-991;-991
2024-03-08;09:00;-991;-991;-991;-991;-991
2024-03-08;10:00;-991;-991;-991;-991;-991
2024-03-08;11:00;-991;-991;-991;-991;-991
2024-03-08;12:00;-991;-991;-991;-991;-991
2024-03-08;13:00;5.805;62.895;-991;-991;-991
2024-03-08;14:00;6.331;62.371;-991;633.119;-991
2024-03-08;15:00;6.515;61.465;0.0;519.519;-991
2024-03-08;16:00;6.339;62.914;0.0;366.604;-991
2024-03-08;17:00;5.567;68.007;0.0;184.242;-991
2024-03-08;18:00;3.537;74.041;0.0;31.902;-991
2024-03-08;19:00;1.877;75.676;0.0;0.0;-991
2024-03-08;20:00;0.846;77.137;0.0;0.0;-991
2024-03-08;21:00;0.175;75.036;0.0;0.0;-991
2024-03-08;22:00;-0.59;76.724;0.0;0.0;-991
2024-03-08;23:00;-1.328;76.146;0.0;0.0;-991
2024-03-09;00:00;-1.569;80.745;0.0;0.0;-991
2024-03-09;01:00;-0.854;75.896;0.0;0.0;-991
2024-03-09;02:00;-0.43;72.517;0.0;0.0;-991
2024-03-09;03:00;-0.274;73.535;0.0;0.0;-991
2024-03-09;04:00;-0.2;77.031;0.0;0.0;-991
2024-03-09;05:00;0.42;77.782;0.0;0.0;-991
2024-03-09;06:00;0.795;76.376;0.0;0.0;-991
2024-03-09;07:00;1.047;73.614;0.0;14.393;-991
2024-03-09;08:00;1.768;72.418;0.0;96.464;-991
2024-03-09;09:00;3.065;69.578;0.0;209.883;-991
2024-03-09;10:00;4.47;66.861;0.0;315.664;-991
2024-03-09;11:00;5.503;63.299;0.0;456.236;-991
2024-03-09;12:00;6.399;61.233;0.0;535.703;-991
2024-03-09;13:00;6.203;60.61;0.0;343.569;-991
2024-03-09;14:00;5.185;62.625;0.025;98.133;-991
2024-03-09;15:00;4.717;67.585;0.163;41.321;-991
2024-03-09;16:00;3.895;81.13;0.457;21.037;-991
2024-03-09;17:00;4.073;77.918;0.067;29.989;-991
2024-03-09;18:00;4.05;78.409;0.131;4.334;-991
2024-03-09;19:00;3.416;88.266;1.228;0.0;-991
2024-03-09;20:00;3.155;92.251;1.254;4.169;-991
2024-03-09;21:00;2.747;94.692;1.408;0.564;-991
2024-03-09;22:00;2.68;96.132;1.414;0.131;-991
2024-03-09;23:00;2.593;96.296;0.991;0.0;-991
2024-03-10;00:00;2.651;96.691;1.388;0.0;-991
2024-03-10;01:00;2.724;96.604;1.097;0.0;-991
2024-03-10;02:00;2.67;96.664;1.684;0.0;-991
2024-03-10;03:00;2.617;96.723;2.27;0.0;-991
2024-03-10;04:00;2.302;97.421;3.508;0.0;-991
2024-03-10;05:00;0.587;99.979;3.606;0.0;-991
2024-03-10;06:00;0.083;99.81;6.987;0.0;-991
2024-03-10;07:00;0.1;99.802;3.876;0.0;-991
2024-03-10;08:00;0.632;98.123;3.411;20.833;-991
2024-03-10;09:00;1.165;96.443;2.945;41.667;-991
2024-03-10;10:00;1.698;94.763;2.48;62.5;-991
2024-03-10;11:00;2.231;93.083;2.015;83.333;-991
2024-03-10;12:00;2.764;91.403;1.549;104.167;-991
2024-03-10;13:00;3.297;89.723;1.084;125.0;-991
2024-03-10;14:00;3.829;88.044;0.618;145.833;-991
2024-03-10;15:00;3.769;86.845;0.153;166.667;-991
2024-03-10;16:00;3.983;82.831;0.057;166.667;-991
2024-03-10;17:00;3.432;87.107;0.146;166.667;-991
2024-03-10;18:00;2.859;90.251;0.168;55.556;-991
2024-03-10;19:00;2.477;92.517;0.063;0.0;-991
2024-03-10;20:00;2.259;95.852;0.101;0.0;-991
2024-03-10;21:00;1.871;95.388;0.434;0.0;-991
2024-03-10;22:00;1.716;94.659;0.228;0.0;-991
2024-03-10;23:00;1.315;92.634;0.381;0.0;-991
2024-03-11;00:00;0.71;90.124;0.602;0.0;-991
2024-03-11;01:00;0.463;85.226;0.279;0.0;-991
2024-03-11;02:00;0.081;81.868;0.101;0.0;-991
2024-03-11;03:00;-0.655;80.913;0.238;0.0;-991
2024-03-11;04:00;-1.336;80.695;0.307;0.0;-991
2024-03-11;05:00;-1.959;80.201;0.323;0.0;-991
2024-03-11;06:00;-2.502;79.604;0.257;0.0;-991
2024-03-11;07:00;-3.065;79.241;0.196;0.0;-991
2024-03-11;08:00;-3.405;78.17;0.216;0.0;-991
2024-03-11;09:00;-3.432;75.02;0.193;111.111;-991
2024-03-11;10:00;-2.943;71.031;0.127;111.111;-991
2024-03-11;11:00;-2.455;67.527;0.114;277.778;-991
2024-03-11;12:00;-1.933;65.416;0.062;222.222;-991
2024-03-11;13:00;-1.235;62.833;0.04;333.333;-991
2024-03-11;14:00;-0.502;61.507;0.018;277.778;-991
2024-03-11;15:00;0.091;60.329;0.014;277.778;-991
2024-03-11;16:00;0.462;59.785;0.013;222.222;-991
2024-03-11;17:00;0.8;58.515;0.003;166.667;-991
2024-03-11;18:00;1.214;56.331;0.0;55.556;-991
2024-03-11;19:00;0.467;55.679;0.0;55.556;-991
2024-03-11;20:00;-0.077;56.819;0.0;0.0;-991
2024-03-11;21:00;-0.479;58.937;0.0;0.0;-991
2024-03-11;22:00;-0.821;60.513;0.0;0.0;-991
2024-03-11;23:00;-1.314;62.112;0.0;0.0;-991
2024-03-12;00:00;-1.811;63.412;0.0;0.0;-991
2024-03-12;01:00;-2.282;64.247;0.0;0.0;-991
2024-03-12;02:00;-4.271;78.699;0.0;0.0;-991
2024-03-12;03:00;-4.513;78.981;0.0;0.0;-991
2024-03-12;04:00;-4.754;79.262;0.0;0.0;-991
2024-03-12;05:00;-4.996;79.544;0.0;0.0;-991
2024-03-12;06:00;-5.125;79.535;0.0;12.346;-991
2024-03-12;07:00;-5.254;79.526;0.0;24.691;-991
2024-03-12;08:00;-5.383;79.517;0.0;37.037;-991
2024-03-12;09:00;-4.347;79.432;0.0;160.494;-991
2024-03-12;10:00;-3.311;79.347;0.0;283.951;-991
2024-03-12;11:00;-2.275;79.261;0.0;407.407;-991
2024-03-12;12:00;-1.336;78.697;0.0;493.827;-991
2024-03-12;13:00;-0.398;78.133;0.0;580.247;-991
2024-03-12;14:00;0.541;77.569;0.0;666.667;-991
2024-03-12;15:00;0.764;77.344;0.0;617.284;-991
2024-03-12;16:00;0.987;77.118;0.0;567.901;-991
2024-03-12;17:00;1.21;76.893;0.0;518.519;-991
2024-03-12;18:00;0.071;77.459;0.0;382.716;-991
2024-03-12;19:00;-1.067;78.025;0.0;246.914;-991
2024-03-12;20:00;-2.206;78.591;0.0;111.111;-991
2024-03-12;21:00;-3.152;78.809;0.0;74.074;-991
2024-03-12;22:00;-4.097;79.027;0.0;37.037;-991
2024-03-12;23:00;-5.043;79.244;0.0;0.0;-991
2024-03-13;00:00;-6.294;81.213;0.0;0.0;-991
2024-03-13;01:00;-7.546;83.183;0.0;0.0;-991
2024-03-13;02:00;-8.797;85.152;0.0;0.0;-991
2024-03-13;03:00;-9.923;85.787;0.0;0.0;-991
2024-03-13;04:00;-11.049;86.423;0.0;0.0;-991
2024-03-13;05:00;-12.175;87.058;0.0;0.0;-991
2024-03-13;06:00;-12.716;86.685;0.0;0.0;-991
2024-03-13;07:00;-13.256;86.312;0.0;0.0;-991
2024-03-13;08:00;-13.797;85.939;0.0;0.0;-991
2024-03-13;09:00;-11.176;86.973;0.0;98.765;-991
2024-03-13;10:00;-8.556;88.006;0.0;197.531;-991
2024-03-13;11:00;-5.935;89.04;0.0;296.296;-991
2024-03-13;12:00;-4.127;86.354;0.0;370.37;-991
2024-03-13;13:00;-2.318;83.669;0.0;444.444;-991
2024-03-13;14:00;-0.51;80.983;0.0;518.519;-991
2024-03-13;15:00;-0.156;82.375;0.0;444.444;-991
2024-03-13;16:00;0.197;83.767;0.0;370.37;-991
2024-03-13;17:00;0.551;85.16;0.0;296.296;-991
2024-03-13;18:00;-0.085;88.294;0.0;209.877;-991
2024-03-13;19:00;-0.721;91.429;0.0;123.457;-991
2024-03-13;20:00;-1.357;94.564;0.0;37.037;-991
2024-03-13;21:00;-2.327;93.789;0.0;24.691;-991
2024-03-13;22:00;-3.297;93.013;0.0;12.346;-991
2024-03-13;23:00;-4.267;92.238;0.0;0.0;-991
2024-03-14;00:00;-4.587;92.449;0.0;0.0;-991
2024-03-14;01:00;-4.908;92.66;0.0;0.0;-991
2024-03-14;02:00;-5.228;92.871;0.0;0.0;-991
2024-03-14;03:00;-5.416;92.679;0.0;0.0;-991
2024-03-14;04:00;-5.603;92.487;0.0;0.0;-991
2024-03-14;05:00;-5.791;92.295;0.0;0.0;-991
2024-03-14;06:00;-5.31;92.282;0.0;24.691;-991
2024-03-14;07:00;-4.829;92.269;0.0;49.383;-991
2024-03-14;08:00;-4.347;92.256;0.0;74.074;-991
2024-03-14;09:00;-3.351;92.19;0.025;111.111;-991
2024-03-14;10:00;-2.354;92.123;0.05;148.148;-991
