STJOS
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-08;07:00;-991;-991;-991;-991;-991
2024-03-08;08:00;-991;-991;-991;-991;-991
2024-03-08;09:00;-991;-991;-991;-991;-991
2024-03-08;10:00;-991;-991;-991;-991;-991
2024-03-08;11:00;-991;-991;-991;-991;-991
2024-03-08;12:00;-991;-991;-991;-991;-991
2024-03-08;13:00;4.73;47.123;-991;-991;-991
2024-03-08;14:00;4.564;48.42;-991;634.798;-991
2024-03-08;15:00;4.308;50.743;0.0;530.433;-991
2024-03-08;16:00;3.279;56.849;0.0;373.32;-991
2024-03-08;17:00;1.344;67.315;0.0;185.921;-991
2024-03-08;18:00;-0.178;75.447;0.0;36.1;-991
2024-03-08;19:00;-1.598;79.296;0.0;0.0;-991
2024-03-08;20:00;-1.539;78.29;0.0;0.0;-991
2024-03-08;21:00;-1.62;76.305;0.0;0.0;-991
2024-03-08;22:00;-2.002;76.032;0.0;0.0;-991
2024-03-08;23:00;-2.052;77.783;0.0;0.0;-991
2024-03-09;00:00;-1.716;78.208;0.0;0.0;-991
2024-03-09;01:00;-1.472;76.888;0.0;0.0;-991
2024-03-09;02:00;-1.215;75.076;0.0;0.0;-991
2024-03-09;03:00;-0.957;74.204;0.0;0.0;-991
2024-03-09;04:00;-0.712;73.988;0.0;0.0;-991
2024-03-09;05:00;-0.501;73.101;0.0;0.0;-991
2024-03-09;06:00;-0.678;75.454;0.0;1.569;-991
2024-03-09;07:00;-0.358;79.955;0.0;16.072;-991
2024-03-09;08:00;1.28;75.047;0.0;125.008;-991
2024-03-09;09:00;3.28;63.376;0.0;335.813;-991
2024-03-09;10:00;4.214;56.162;0.0;468.459;-991
2024-03-09;11:00;4.98;51.493;0.0;501.571;-991
2024-03-09;12:00;5.188;50.004;0.0;446.713;-991
2024-03-09;13:00;4.493;52.125;0.004;367.076;-991
2024-03-09;14:00;3.214;58.82;0.045;67.909;-991
2024-03-09;15:00;1.839;84.533;0.245;34.604;-991
2024-03-09;16:00;1.536;89.223;0.486;21.037;-991
2024-03-09;17:00;1.581;91.522;0.678;13.198;-991
2024-03-09;18:00;1.518;94.758;1.088;0.976;-991
2024-03-09;19:00;1.56;96.798;1.364;1.167;-991
2024-03-09;20:00;1.711;97.969;1.693;0.811;-991
2024-03-09;21:00;1.648;98.358;1.647;0.564;-991
2024-03-09;22:00;1.594;98.576;1.657;0.131;-991
2024-03-09;23:00;1.556;98.556;1.188;0.0;-991
2024-03-10;00:00;1.454;99.043;0.964;0.0;-991
2024-03-10;01:00;1.289;99.671;1.615;0.0;-991
2024-03-10;02:00;0.708;99.834;2.501;0.0;-991
2024-03-10;03:00;0.126;99.997;3.387;0.0;-991
2024-03-10;04:00;0.077;99.796;5.316;0.0;-991
2024-03-10;05:00;0.064;99.794;5.657;0.0;-991
2024-03-10;06:00;0.061;99.763;5.987;0.0;-991
2024-03-10;07:00;0.033;99.779;3.214;0.0;-991
2024-03-10;08:00;0.536;97.221;2.82;20.833;-991
2024-03-10;09:00;1.039;94.662;2.425;41.667;-991
2024-03-10;10:00;1.542;92.103;2.031;62.5;-991
2024-03-10;11:00;2.045;89.545;1.637;83.333;-991
2024-03-10;12:00;2.548;86.986;1.242;104.167;-991
2024-03-10;13:00;3.051;84.427;0.848;125.0;-991
2024-03-10;14:00;3.554;81.869;0.454;145.833;-991
2024-03-10;15:00;3.619;82.845;0.059;166.667;-991
2024-03-10;16:00;3.583;86.506;0.108;166.667;-991
2024-03-10;17:00;3.357;94.782;0.202;55.556;-991
2024-03-10;18:00;3.109;96.876;0.158;111.111;-991
2024-03-10;19:00;2.677;97.717;0.284;55.556;-991
2024-03-10;20:00;2.209;96.327;0.21;0.0;-991
2024-03-10;21:00;1.121;94.363;0.268;0.0;-991
2024-03-10;22:00;0.541;89.784;0.099;0.0;-991
2024-03-10;23:00;0.115;86.884;0.189;0.0;-991
2024-03-11;00:00;-0.465;83.399;0.177;0.0;-991
2024-03-11;01:00;-1.037;81.201;0.099;0.0;-991
2024-03-11;02:00;-1.594;79.193;0.159;0.0;-991
2024-03-11;03:00;-2.104;76.463;0.144;0.0;-991
2024-03-11;04:00;-2.586;74.62;0.14;0.0;-991
2024-03-11;05:00;-3.059;73.226;0.167;0.0;-991
2024-03-11;06:00;-3.477;72.054;0.2;0.0;-991
2024-03-11;07:00;-3.84;71.091;0.156;0.0;-991
2024-03-11;08:00;-3.955;68.445;0.064;0.0;-991
2024-03-11;09:00;-3.507;65.245;0.04;111.111;-991
2024-03-11;10:00;-3.093;63.456;0.053;222.222;-991
2024-03-11;11:00;-2.53;59.752;0.028;333.333;-991
2024-03-11;12:00;-1.358;56.266;0.0;333.333;-991
2024-03-11;13:00;-0.16;54.308;0.0;444.444;-991
2024-03-11;14:00;0.673;53.182;0.0;666.667;-991
2024-03-11;15:00;1.366;51.879;0.0;555.556;-991
2024-03-11;16:00;2.387;48.71;0.0;555.556;-991
2024-03-11;17:00;2.55;47.39;0.0;388.889;-991
2024-03-11;18:00;1.839;50.431;0.0;166.667;-991
2024-03-11;19:00;0.717;55.079;0.0;55.556;-991
2024-03-11;20:00;0.148;58.044;0.0;0.0;-991
2024-03-11;21:00;-0.179;59.237;0.0;0.0;-991
2024-03-11;22:00;-0.496;59.513;0.0;0.0;-991
2024-03-11;23:00;-0.739;59.112;0.0;0.0;-991
2024-03-12;00:00;-0.611;57.487;0.0;0.0;-991
2024-03-12;01:00;-0.607;56.322;0.0;0.0;-991
2024-03-12;02:00;-2.721;62.699;0.0;0.0;-991
2024-03-12;03:00;-3.013;63.231;0.0;0.0;-991
2024-03-12;04:00;-3.304;63.762;0.0;0.0;-991
2024-03-12;05:00;-3.596;64.294;0.0;0.0;-991
2024-03-12;06:00;-3.775;63.785;0.0;0.0;-991
2024-03-12;07:00;-3.954;63.276;0.0;0.0;-991
2024-03-12;08:00;-4.133;62.767;0.0;0.0;-991
2024-03-12;09:00;-2.247;55.599;0.0;123.457;-991
2024-03-12;10:00;-0.361;48.43;0.0;246.914;-991
2024-03-12;11:00;1.525;41.261;0.0;370.37;-991
2024-03-12;12:00;2.547;40.281;0.0;469.136;-991
2024-03-12;13:00;3.569;39.3;0.0;567.901;-991
2024-03-12;14:00;4.591;38.319;0.0;666.667;-991
2024-03-12;15:00;4.697;39.594;0.0;629.63;-991
2024-03-12;16:00;4.803;40.868;0.0;592.593;-991
2024-03-12;17:00;4.91;42.143;0.0;555.556;-991
2024-03-12;18:00;3.154;46.459;0.0;382.716;-991
2024-03-12;19:00;1.399;50.775;0.0;209.877;-991
2024-03-12;20:00;-0.356;55.091;0.0;37.037;-991
2024-03-12;21:00;-1.585;59.225;0.0;24.691;-991
2024-03-12;22:00;-2.814;63.36;0.0;12.346;-991
2024-03-12;23:00;-4.043;67.494;0.0;0.0;-991
2024-03-13;00:00;-5.144;72.463;0.0;0.0;-991
2024-03-13;01:00;-6.246;77.433;0.0;0.0;-991
2024-03-13;02:00;-7.347;82.402;0.0;0.0;-991
2024-03-13;03:00;-7.99;83.954;0.0;0.0;-991
2024-03-13;04:00;-8.632;85.506;0.0;0.0;-991
2024-03-13;05:00;-9.275;87.058;0.0;0.0;-991
2024-03-13;06:00;-9.466;87.185;0.0;12.346;-991
2024-03-13;07:00;-9.656;87.312;0.0;24.691;-991
2024-03-13;08:00;-9.847;87.439;0.0;37.037;-991
2024-03-13;09:00;-7.076;80.223;0.0;98.765;-991
2024-03-13;10:00;-4.306;73.006;0.0;160.494;-991
2024-03-13;11:00;-1.535;65.79;0.0;222.222;-991
2024-03-13;12:00;-0.693;64.604;0.0;259.259;-991
2024-03-13;13:00;0.148;63.419;0.0;296.296;-991
2024-03-13;14:00;0.99;62.233;0.0;333.333;-991
2024-03-13;15:00;1.544;61.959;0.0;296.296;-991
2024-03-13;16:00;2.097;61.684;0.0;259.259;-991
2024-03-13;17:00;2.651;61.41;0.0;222.222;-991
2024-03-13;18:00;1.548;69.294;0.0;172.84;-991
2024-03-13;19:00;0.445;77.179;0.0;123.457;-991
2024-03-13;20:00;-0.657;85.064;0.0;74.074;-991
2024-03-13;21:00;-1.327;88.289;0.0;49.383;-991
2024-03-13;22:00;-1.997;91.513;0.0;24.691;-991
2024-03-13;23:00;-2.667;94.738;0.0;0.0;-991
2024-03-14;00:00;-3.129;94.699;0.0;0.0;-991
2024-03-14;01:00;-3.591;94.66;0.0;0.0;-991
2024-03-14;02:00;-4.053;94.621;0.0;0.0;-991
2024-03-14;03:00;-3.683;92.679;0.0;0.0;-991
2024-03-14;04:00;-3.312;90.737;0.0;0.0;-991
2024-03-14;05:00;-2.941;88.795;0.0;0.0;-991
2024-03-14;06:00;-2.901;88.365;0.0;0.0;-991
2024-03-14;07:00;-2.862;87.936;0.001;0.0;-991
2024-03-14;08:00;-2.822;87.506;0.001;0.0;-991
2024-03-14;09:00;-1.467;82.856;0.007;61.728;-991
2024-03-14;10:00;-0.113;78.206;0.012;123.457;-991
