TILLY
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-12;02:00;-2.291;73.83;0.0;-991;-991
2024-03-12;03:00;-2.628;76.016;0.0;0.0;-991
2024-03-12;04:00;-2.758;75.895;0.0;0.0;-991
2024-03-12;05:00;-3.305;76.164;0.0;0.0;-991
2024-03-12;06:00;-3.819;77.179;0.0;0.0;-991
2024-03-12;07:00;-4.489;78.023;0.0;0.0;-991
2024-03-12;08:00;-6.028;79.081;0.0;42.816;-991
2024-03-12;09:00;-4.518;79.728;0.0;211.982;-991
2024-03-12;10:00;-2.687;79.451;0.0;395.839;-991
2024-03-12;11:00;-1.039;74.757;0.0;550.733;-991
2024-03-12;12:00;0.111;70.844;0.0;661.551;-991
2024-03-12;13:00;0.88;69.606;0.0;712.961;-991
2024-03-12;14:00;1.447;69.425;0.0;710.797;-991
2024-03-12;15:00;1.861;69.165;0.0;644.019;-991
2024-03-12;16:00;2.077;69.345;0.0;526.866;-991
2024-03-12;17:00;0.121;70.454;0.0;364.391;-991
2024-03-12;18:00;-0.161;61.741;0.0;184.923;-991
2024-03-12;19:00;-0.797;58.238;0.0;30.13;-991
2024-03-12;20:00;-2.219;62.411;0.0;0.0;-991
2024-03-12;21:00;-3.406;65.806;0.0;0.0;-991
2024-03-12;22:00;-4.672;70.111;0.0;0.0;-991
2024-03-12;23:00;-5.856;72.946;0.0;0.0;-991
2024-03-13;00:00;-6.596;73.343;0.0;0.0;-991
2024-03-13;01:00;-7.239;73.698;0.0;0.0;-991
2024-03-13;02:00;-7.826;74.897;0.0;0.0;-991
2024-03-13;03:00;-8.073;74.206;0.0;0.0;-991
2024-03-13;04:00;-8.294;73.745;0.0;0.0;-991
2024-03-13;05:00;-8.611;74.335;0.0;0.0;-991
2024-03-13;06:00;-9.081;76.877;0.0;0.0;-991
2024-03-13;07:00;-9.07;78.684;0.0;1.49;-991
2024-03-13;08:00;-9.288;88.808;0.0;47.958;-991
2024-03-13;09:00;-7.238;92.8;0.0;218.182;-991
2024-03-13;10:00;-5.087;88.693;0.0;395.984;-991
2024-03-13;11:00;-3.619;83.867;0.0;554.599;-991
2024-03-13;12:00;-1.613;78.808;0.0;664.204;-991
2024-03-13;13:00;0.591;82.384;0.0;664.969;-991
2024-03-13;14:00;1.818;82.18;0.0;509.086;-991
2024-03-13;15:00;2.673;80.518;0.0;640.033;-991
2024-03-13;16:00;2.844;81.867;0.0;461.321;-991
2024-03-13;17:00;2.946;81.526;0.0;142.795;-991
2024-03-13;18:00;2.414;81.698;0.0;60.761;-991
2024-03-13;19:00;1.239;84.962;0.0;29.597;-991
2024-03-13;20:00;1.205;87.119;1.115;1.032;-991
2024-03-13;21:00;0.799;91.439;0.017;1.187;-991
2024-03-13;22:00;0.64;91.824;0.002;0.0;-991
2024-03-13;23:00;0.627;91.93;0.209;0.0;-991
2024-03-14;00:00;0.489;92.461;0.062;0.0;-991
2024-03-14;01:00;0.511;92.242;0.001;0.0;-991
2024-03-14;02:00;0.46;86.862;0.0;0.0;-991
2024-03-14;03:00;0.528;87.513;0.017;0.0;-991
2024-03-14;04:00;0.447;89.332;0.06;0.0;-991
2024-03-14;05:00;0.251;90.065;0.005;0.0;-991
2024-03-14;06:00;0.228;90.578;0.011;0.0;-991
2024-03-14;07:00;0.111;92.558;0.088;0.0;-991
2024-03-14;08:00;0.301;93.148;0.094;0.0;-991
2024-03-14;09:00;0.99;91.373;0.059;111.111;-991
2024-03-14;10:00;1.954;87.322;0.025;111.111;-991
2024-03-14;11:00;3.545;83.535;0.026;333.333;-991
2024-03-14;12:00;5.445;77.141;0.0;611.111;-991
2024-03-14;13:00;6.289;72.309;0.001;555.556;-991
2024-03-14;14:00;7.196;67.747;0.0;611.111;-991
2024-03-14;15:00;8.063;64.164;0.0;555.556;-991
2024-03-14;16:00;8.512;62.933;0.0;444.444;-991
2024-03-14;17:00;8.068;67.47;0.0;388.889;-991
2024-03-14;18:00;6.492;76.743;0.0;111.111;-991
2024-03-14;19:00;3.97;88.774;0.0;55.556;-991
2024-03-14;20:00;1.986;95.432;0.0;0.0;-991
2024-03-14;21:00;0.293;97.262;0.0;0.0;-991
2024-03-14;22:00;-0.852;97.871;0.0;0.0;-991
2024-03-14;23:00;-1.932;97.581;0.0;0.0;-991
2024-03-15;00:00;-2.934;97.012;0.0;0.0;-991
2024-03-15;01:00;-3.726;96.223;0.0;0.0;-991
2024-03-15;02:00;-3.972;95.855;0.002;0.0;-991
2024-03-15;03:00;-3.853;95.528;0.009;0.0;-991
2024-03-15;04:00;-3.031;95.727;0.013;0.0;-991
2024-03-15;05:00;-2.108;96.481;0.013;0.0;-991
2024-03-15;06:00;-1.304;96.725;0.009;0.0;-991
2024-03-15;07:00;-0.723;96.64;0.005;0.0;-991
2024-03-15;08:00;0.237;94.405;0.002;0.0;-991
2024-03-15;09:00;1.422;91.054;0.002;166.667;-991
2024-03-15;10:00;2.155;88.821;0.028;166.667;-991
2024-03-15;11:00;2.612;89.831;0.337;222.222;-991
2024-03-15;12:00;2.299;96.783;0.491;222.222;-991
2024-03-15;13:00;2.048;98.131;0.889;166.667;-991
2024-03-15;14:00;5.456;55.084;0.0;629.63;-991
2024-03-15;15:00;5.403;55.768;0.0;567.901;-991
2024-03-15;16:00;5.351;56.452;0.0;506.173;-991
2024-03-15;17:00;5.298;57.135;0.0;444.444;-991
2024-03-15;18:00;3.044;68.13;0.0;320.988;-991
2024-03-15;19:00;0.79;79.124;0.0;197.531;-991
2024-03-15;20:00;-1.465;90.118;0.0;74.074;-991
2024-03-15;21:00;-1.736;90.397;0.0;49.383;-991
2024-03-15;22:00;-2.008;90.677;0.0;24.691;-991
2024-03-15;23:00;-2.279;90.956;0.0;0.0;-991
2024-03-16;00:00;-1.896;87.97;0.026;0.0;-991
2024-03-16;01:00;-1.514;84.984;0.052;0.0;-991
2024-03-16;02:00;-1.131;81.998;0.078;0.0;-991
2024-03-16;03:00;-1.214;84.412;0.505;0.0;-991
2024-03-16;04:00;-1.296;86.826;0.932;0.0;-991
2024-03-16;05:00;-1.379;89.24;1.359;0.0;-991
2024-03-16;06:00;-1.304;88.577;1.327;0.0;-991
2024-03-16;07:00;-1.229;87.914;1.295;0.0;-991
2024-03-16;08:00;-1.153;87.251;1.263;0.0;-991
2024-03-16;09:00;-0.493;84.043;0.873;49.383;-991
2024-03-16;10:00;0.167;80.835;0.483;98.765;-991
2024-03-16;11:00;0.827;77.626;0.092;148.148;-991
2024-03-16;12:00;1.377;76.283;0.075;246.914;-991
2024-03-16;13:00;1.926;74.94;0.058;345.679;-991
2024-03-16;14:00;2.475;73.597;0.041;444.444;-991
2024-03-16;15:00;2.705;73.018;0.028;407.407;-991
2024-03-16;16:00;2.935;72.44;0.015;370.37;-991
2024-03-16;17:00;3.165;71.862;0.002;333.333;-991
2024-03-16;18:00;2.073;75.826;0.001;234.568;-991
2024-03-16;19:00;0.981;79.79;0.001;135.802;-991
2024-03-16;20:00;-0.111;83.754;0.0;37.037;-991
2024-03-16;21:00;-0.399;85.843;0.014;24.691;-991
2024-03-16;22:00;-0.686;87.932;0.027;12.346;-991
2024-03-16;23:00;-0.974;90.02;0.041;0.0;-991
2024-03-17;00:00;-0.773;91.079;0.313;0.0;-991
2024-03-17;01:00;-0.573;92.137;0.585;0.0;-991
2024-03-17;02:00;-0.372;93.196;0.857;0.0;-991
2024-03-17;03:00;-0.056;95.066;1.288;0.0;-991
2024-03-17;04:00;0.261;96.936;1.72;0.0;-991
2024-03-17;05:00;0.577;98.805;2.151;0.0;-991
2024-03-17;06:00;0.825;98.537;2.132;0.0;-991
2024-03-17;07:00;1.072;98.27;2.113;0.0;-991
2024-03-17;08:00;1.32;98.002;2.093;0.0;-991
2024-03-17;09:00;2.267;97.052;1.79;37.037;-991
2024-03-17;10:00;3.214;96.102;1.486;74.074;-991
2024-03-17;11:00;4.161;95.152;1.182;111.111;-991
2024-03-17;12:00;2.495;75.327;0.002;246.914;-991
2024-03-17;13:00;3.186;73.94;0.001;345.679;-991
2024-03-17;14:00;6.275;81.401;0.56;185.185;-991
2024-03-17;15:00;3.781;73.74;0.013;345.679;-991
2024-03-17;16:00;3.684;74.926;0.026;246.914;-991
2024-03-17;17:00;3.163;92.119;1.271;148.148;-991
2024-03-17;18:00;2.575;82.474;0.034;123.457;-991
2024-03-17;19:00;1.564;88.836;0.031;98.765;-991
2024-03-17;20:00;3.726;94.873;2.282;74.074;-991
2024-03-17;21:00;-0.323;95.662;0.018;49.383;-991
2024-03-17;22:00;-1.198;96.126;0.009;24.691;-991
2024-03-17;23:00;3.588;96.659;2.21;0.0;-991
2024-03-18;00:00;-2.389;96.472;0.014;0.0;-991
2024-03-18;01:00;-2.705;96.353;0.028;0.0;-991
2024-03-18;02:00;2.779;97.61;3.064;0.0;-991
2024-03-18;03:00;-2.851;95.765;0.065;0.0;-991
2024-03-18;04:00;-2.68;95.296;0.089;0.0;-991
2024-03-18;05:00;-3.917;94.618;0.0;0.0;-991
2024-03-18;06:00;-2.296;94.144;0.095;0.0;-991
2024-03-18;07:00;-2.082;93.462;0.077;0.0;-991
2024-03-18;08:00;0.279;91.514;0.006;37.037;-991
2024-03-18;09:00;-1.812;81.198;0.076;49.383;-991
2024-03-18;10:00;-1.757;69.616;0.093;98.765;-991
2024-03-18;11:00;3.503;86.91;0.061;185.185;-991
2024-03-18;12:00;-1.326;56.043;0.091;246.914;-991
2024-03-18;13:00;-0.952;54.051;0.073;345.679;-991
2024-03-18;14:00;5.89;62.985;0.031;444.444;-991
2024-03-18;15:00;-0.692;52.293;0.039;370.37;-991
2024-03-18;16:00;-0.807;52.527;0.023;296.296;-991
2024-03-18;17:00;2.919;72.643;0.055;296.296;-991
2024-03-18;18:00;-1.566;53.946;0.006;148.148;-991
2024-03-18;19:00;-2.21;55.132;0.005;74.074;-991
2024-03-18;20:00;1.188;98.457;0.453;37.037;-991
2024-03-18;21:00;-4.954;59.057;0.003;0.0;-991
2024-03-18;22:00;-7.055;61.797;0.001;0.0;-991
2024-03-18;23:00;-1.037;95.639;2.655;0.0;-991
2024-03-19;00:00;-9.737;65.987;0.0;0.0;-991
2024-03-19;01:00;-10.318;67.438;0.0;0.0;-991
2024-03-19;02:00;-2.114;91.0;0.056;0.0;-991
2024-03-19;03:00;-11.283;69.118;0.0;0.0;-991
2024-03-19;04:00;-11.668;69.348;0.0;0.0;-991
2024-03-19;05:00;-3.007;74.982;0.288;0.0;-991
2024-03-19;06:00;-11.889;66.719;0.0;0.0;-991
2024-03-19;07:00;-11.726;63.859;0.0;0.0;-991
2024-03-19;08:00;-2.924;86.045;0.048;0.0;-991
2024-03-19;09:00;-8.721;59.651;0.008;98.765;-991
2024-03-19;10:00;-5.881;58.302;0.015;197.531;-991
2024-03-19;11:00;-2.828;65.954;0.425;148.148;-991
2024-03-19;12:00;-2.313;57.048;0.031;320.988;-991
2024-03-19;13:00;-1.586;57.144;0.039;345.679;-991
2024-03-19;14:00;-1.741;60.721;0.19;370.37;-991
2024-03-19;15:00;-0.637;59.314;0.098;345.679;-991
2024-03-19;16:00;-0.414;61.389;0.148;320.988;-991
2024-03-19;17:00;-1.351;56.407;0.03;296.296;-991
2024-03-19;18:00;-0.629;66.092;0.278;197.531;-991
2024-03-19;19:00;-1.068;68.719;0.357;98.765;-991
2024-03-19;20:00;-3.695;59.535;0.0;0.0;-991
2024-03-19;21:00;-1.69;75.551;0.558;0.0;-991
2024-03-19;22:00;-1.873;79.756;0.681;0.0;-991
2024-03-19;23:00;-4.012;62.876;0.0;0.0;-991
2024-03-20;00:00;-1.916;84.564;0.746;0.0;-991
2024-03-20;01:00;-1.777;85.167;0.689;0.0;-991
2024-03-20;02:00;-5.22;63.62;0.0;0.0;-991
2024-03-20;03:00;-1.309;86.743;0.709;0.0;-991
