VCASSIDY
DATE;TIME;AIRTEMP;AIRHUM;RAIN;GLOBALRAD;LW1
2024-03-08;07:00;-1.878;75.972;-991;-991;-991
2024-03-08;08:00;-1.856;75.712;-991;165.283;-991
2024-03-08;09:00;0.766;66.154;0.0;349.35;-991
2024-03-08;10:00;3.114;58.196;0.0;511.275;-991
2024-03-08;11:00;5.024;51.175;0.0;630.488;-991
2024-03-08;12:00;6.602;46.977;0.0;695.132;-991
2024-03-08;13:00;7.606;43.518;0.0;699.3;-991
2024-03-08;14:00;8.157;42.767;0.0;635.397;-991
2024-03-08;15:00;8.389;41.295;0.0;529.921;-991
2024-03-08;16:00;7.981;40.646;0.0;361.784;-991
2024-03-08;17:00;7.072;50.003;0.0;181.967;-991
2024-03-08;18:00;5.374;61.905;0.0;34.878;-991
2024-03-08;19:00;3.847;73.839;0.0;0.0;-991
2024-03-08;20:00;3.054;77.657;0.0;0.521;-991
2024-03-08;21:00;2.64;82.853;0.0;1.543;-991
2024-03-08;22:00;2.032;69.101;0.0;0.113;-991
2024-03-08;23:00;2.186;61.328;0.0;0.0;-991
2024-03-09;00:00;2.527;63.654;0.0;0.0;-991
2024-03-09;01:00;2.68;66.356;0.0;0.0;-991
2024-03-09;02:00;2.598;67.056;0.0;0.0;-991
2024-03-09;03:00;2.407;67.394;0.0;0.0;-991
2024-03-09;04:00;1.916;69.524;0.0;0.0;-991
2024-03-09;05:00;1.195;71.617;0.0;0.0;-991
2024-03-09;06:00;0.602;76.824;0.0;0.0;-991
2024-03-09;07:00;1.097;75.605;0.0;16.791;-991
2024-03-09;08:00;2.659;63.001;0.0;162.869;-991
2024-03-09;09:00;5.051;46.052;0.0;293.836;-991
2024-03-09;10:00;6.205;40.608;0.0;355.962;-991
2024-03-09;11:00;6.669;40.67;0.0;350.846;-991
2024-03-09;12:00;5.795;44.28;0.0;210.161;-991
2024-03-09;13:00;5.316;47.767;0.001;142.815;-991
2024-03-09;14:00;4.314;63.147;0.086;42.857;-991
2024-03-09;15:00;3.43;84.522;0.235;33.58;-991
2024-03-09;16:00;3.068;87.755;0.876;26.246;-991
2024-03-09;17:00;4.146;72.011;0.059;10.359;-991
2024-03-09;18:00;3.248;90.332;0.363;3.052;-991
2024-03-09;19:00;2.75;91.887;0.531;3.897;-991
2024-03-09;20:00;2.544;93.455;0.647;0.0;-991
2024-03-09;21:00;2.595;94.371;0.395;3.552;-991
2024-03-09;22:00;2.653;94.947;0.763;0.142;-991
2024-03-09;23:00;2.643;95.12;0.59;0.0;-991
2024-03-10;00:00;2.4;95.976;0.57;0.0;-991
2024-03-10;01:00;2.291;96.396;1.384;0.0;-991
2024-03-10;02:00;2.021;96.877;2.344;0.0;-991
2024-03-10;03:00;1.751;97.359;3.304;0.0;-991
2024-03-10;04:00;1.376;97.67;5.851;0.0;-991
2024-03-10;05:00;0.315;99.896;5.584;0.0;-991
2024-03-10;06:00;-0.037;99.776;2.32;0.0;-991
2024-03-10;07:00;-0.017;99.739;1.99;0.0;-991
2024-03-10;08:00;0.351;98.158;1.754;20.833;-991
2024-03-10;09:00;0.718;96.576;1.519;41.667;-991
2024-03-10;10:00;1.085;94.995;1.283;62.5;-991
2024-03-10;11:00;1.453;93.413;1.048;83.333;-991
2024-03-10;12:00;1.82;91.832;0.812;104.167;-991
2024-03-10;13:00;2.187;90.25;0.576;125.0;-991
2024-03-10;14:00;2.554;88.669;0.341;145.833;-991
2024-03-10;15:00;2.519;87.27;0.105;166.667;-991
2024-03-10;16:00;2.258;89.656;0.157;111.111;-991
2024-03-10;17:00;2.382;90.307;0.085;166.667;-991
2024-03-10;18:00;2.384;91.201;0.067;55.556;-991
2024-03-10;19:00;1.527;96.092;0.475;111.111;-991
2024-03-10;20:00;0.484;91.127;0.41;0.0;-991
2024-03-10;21:00;-0.054;88.863;0.444;0.0;-991
2024-03-10;22:00;-0.534;88.184;0.635;0.0;-991
2024-03-10;23:00;-1.01;88.259;0.99;0.0;-991
2024-03-11;00:00;-1.515;87.399;0.911;0.0;-991
2024-03-11;01:00;-2.037;86.451;1.026;0.0;-991
2024-03-11;02:00;-2.569;85.168;0.821;0.0;-991
2024-03-11;03:00;-3.055;84.188;0.798;0.0;-991
2024-03-11;04:00;-3.561;82.895;0.857;0.0;-991
2024-03-11;05:00;-4.034;81.726;0.868;0.0;-991
2024-03-11;06:00;-4.427;80.654;0.829;0.0;-991
2024-03-11;07:00;-4.79;79.791;0.698;0.0;-991
2024-03-11;08:00;-4.98;78.42;0.569;0.0;-991
2024-03-11;09:00;-4.932;76.37;0.527;55.556;-991
2024-03-11;10:00;-4.693;75.106;0.383;166.667;-991
2024-03-11;11:00;-4.205;72.177;0.277;111.111;-991
2024-03-11;12:00;-3.383;68.416;0.162;222.222;-991
2024-03-11;13:00;-2.435;65.808;0.079;277.778;-991
2024-03-11;14:00;-1.502;63.057;0.028;333.333;-991
2024-03-11;15:00;-0.134;58.754;0.002;333.333;-991
2024-03-11;16:00;1.087;54.86;0.0;388.889;-991
2024-03-11;17:00;1.225;55.29;0.0;444.444;-991
2024-03-11;18:00;0.839;58.231;0.0;111.111;-991
2024-03-11;19:00;0.217;61.304;0.0;111.111;-991
2024-03-11;20:00;-0.027;60.844;0.0;0.0;-991
2024-03-11;21:00;-0.129;58.812;0.0;0.0;-991
2024-03-11;22:00;-0.271;57.213;0.0;0.0;-991
2024-03-11;23:00;-0.364;55.362;0.0;0.0;-991
2024-03-12;00:00;-0.486;54.037;0.0;0.0;-991
2024-03-12;01:00;-0.632;54.747;0.0;0.0;-991
2024-03-12;02:00;-2.621;65.199;0.0;0.0;-991
2024-03-12;03:00;-2.871;65.147;0.0;0.0;-991
2024-03-12;04:00;-3.121;65.096;0.0;0.0;-991
2024-03-12;05:00;-3.371;65.044;0.0;0.0;-991
2024-03-12;06:00;-3.475;65.285;0.0;12.346;-991
2024-03-12;07:00;-3.579;65.526;0.0;24.691;-991
2024-03-12;08:00;-3.683;65.767;0.0;37.037;-991
2024-03-12;09:00;-2.614;61.515;0.0;148.148;-991
2024-03-12;10:00;-1.544;57.263;0.0;259.259;-991
2024-03-12;11:00;-0.475;53.011;0.0;370.37;-991
2024-03-12;12:00;0.547;50.364;0.0;469.136;-991
2024-03-12;13:00;1.569;47.716;0.0;567.901;-991
2024-03-12;14:00;2.591;45.069;0.0;666.667;-991
2024-03-12;15:00;2.797;46.344;0.0;629.63;-991
2024-03-12;16:00;3.003;47.618;0.0;592.593;-991
2024-03-12;17:00;3.21;48.893;0.0;555.556;-991
2024-03-12;18:00;2.505;52.875;0.0;395.062;-991
2024-03-12;19:00;1.799;56.858;0.0;234.568;-991
2024-03-12;20:00;1.094;60.841;0.0;74.074;-991
2024-03-12;21:00;0.598;61.725;0.0;49.383;-991
2024-03-12;22:00;0.103;62.61;0.0;24.691;-991
2024-03-12;23:00;-0.393;63.494;0.0;0.0;-991
2024-03-13;00:00;-1.328;64.713;0.0;0.0;-991
2024-03-13;01:00;-2.262;65.933;0.0;0.0;-991
2024-03-13;02:00;-3.197;67.152;0.0;0.0;-991
2024-03-13;03:00;-3.756;70.121;0.0;0.0;-991
2024-03-13;04:00;-4.316;73.089;0.0;0.0;-991
2024-03-13;05:00;-4.875;76.058;0.0;0.0;-991
2024-03-13;06:00;-4.816;75.518;0.0;0.0;-991
2024-03-13;07:00;-4.756;74.979;0.0;0.0;-991
2024-03-13;08:00;-4.697;74.439;0.0;0.0;-991
2024-03-13;09:00;-2.826;68.14;0.0;86.42;-991
2024-03-13;10:00;-0.956;61.84;0.0;172.84;-991
2024-03-13;11:00;0.915;55.54;0.0;259.259;-991
2024-03-13;12:00;1.74;55.854;0.0;296.296;-991
2024-03-13;13:00;2.565;56.169;0.0;333.333;-991
2024-03-13;14:00;3.39;56.483;0.0;370.37;-991
2024-03-13;15:00;3.31;64.709;0.034;345.679;-991
2024-03-13;16:00;3.231;72.934;0.069;320.988;-991
2024-03-13;17:00;3.151;81.16;0.103;296.296;-991
2024-03-13;18:00;2.64;84.628;0.133;197.531;-991
2024-03-13;19:00;2.129;88.096;0.163;98.765;-991
2024-03-13;20:00;1.618;91.564;0.192;0.0;-991
2024-03-13;21:00;1.415;92.872;0.155;0.0;-991
2024-03-13;22:00;1.211;94.18;0.118;0.0;-991
2024-03-13;23:00;1.008;95.488;0.08;0.0;-991
2024-03-14;00:00;0.379;96.283;0.057;0.0;-991
2024-03-14;01:00;-0.249;97.077;0.034;0.0;-991
2024-03-14;02:00;-0.878;97.871;0.011;0.0;-991
2024-03-14;03:00;-0.899;97.846;0.01;0.0;-991
2024-03-14;04:00;-0.92;97.82;0.008;0.0;-991
2024-03-14;05:00;-0.941;97.795;0.007;0.0;-991
2024-03-14;06:00;-1.01;97.532;0.007;0.0;-991
2024-03-14;07:00;-1.079;97.269;0.006;0.0;-991
2024-03-14;08:00;-1.147;97.006;0.006;0.0;-991
2024-03-14;09:00;0.066;95.106;0.057;49.383;-991
2024-03-14;10:00;1.279;93.206;0.109;98.765;-991
2024-03-14;11:00;2.492;91.307;0.16;148.148;-991
2024-03-14;12:00;3.835;86.854;0.13;234.568;-991
