Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-11 02:00:00;-3.556;91.907;0.357;nan
2024-03-11 03:00:00;-4.383;88.484;0.229;0.0
2024-03-11 04:00:00;-4.431;87.601;0.101;0.0
2024-03-11 05:00:00;-4.45;87.385;0.17;0.0
2024-03-11 06:00:00;-4.582;87.385;0.25;0.0
2024-03-11 07:00:00;-4.594;86.233;0.135;0.0
2024-03-11 08:00:00;-4.49;86.281;0.114;16.371
2024-03-11 09:00:00;-4.202;86.831;0.117;88.99
2024-03-11 10:00:00;-3.732;86.47;0.1;205.266
2024-03-11 11:00:00;-3.054;85.097;0.062;343.369
2024-03-11 12:00:00;-2.341;84.128;0.014;477.694
2024-03-11 13:00:00;-1.753;84.354;0.004;565.437
2024-03-11 14:00:00;-1.76;84.84;0.01;501.713
2024-03-11 15:00:00;-1.287;84.17;0.01;393.136
2024-03-11 16:00:00;-0.661;83.265;0.003;268.066
2024-03-11 17:00:00;-0.108;82.209;0.0;255.071
2024-03-11 18:00:00;-0.566;79.234;0.0;209.153
2024-03-11 19:00:00;-1.356;78.33;0.0;43.508
2024-03-11 20:00:00;-1.963;75.953;0.0;0.0
2024-03-11 21:00:00;-2.399;77.148;0.0;0.367
2024-03-11 22:00:00;-2.861;78.234;0.0;0.0
2024-03-11 23:00:00;-3.475;78.58;0.0;0.0
2024-03-12 00:00:00;-4.005;79.261;0.0;0.0
2024-03-12 01:00:00;-4.462;79.713;0.0;0.0
2024-03-12 02:00:00;-4.743;80.005;0.0;0.0
2024-03-12 03:00:00;-4.895;80.214;0.0;0.0
2024-03-12 04:00:00;-5.122;80.39;0.0;0.0
2024-03-12 05:00:00;-5.422;80.617;0.0;0.0
2024-03-12 06:00:00;-5.916;80.583;0.0;0.0
2024-03-12 07:00:00;-6.721;80.308;0.0;0.0
2024-03-12 08:00:00;-6.901;80.32;0.0;35.26
2024-03-12 09:00:00;-5.319;82.119;0.0;206.525
2024-03-12 10:00:00;-3.137;84.016;0.0;399.617
2024-03-12 11:00:00;-1.329;84.465;0.0;567.524
2024-03-12 12:00:00;-0.006;82.712;0.0;690.636
2024-03-12 13:00:00;0.786;84.573;0.0;752.348
2024-03-12 14:00:00;1.535;82.877;0.0;751.371
2024-03-12 15:00:00;2.35;78.706;0.0;687.285
2024-03-12 16:00:00;2.926;76.478;0.0;563.699
2024-03-12 17:00:00;3.171;78.086;0.0;404.3
2024-03-12 18:00:00;2.651;78.555;0.0;212.17
2024-03-12 19:00:00;1.046;73.441;0.0;48.143
2024-03-12 20:00:00;-0.228;70.028;0.0;0.0
2024-03-12 21:00:00;-0.328;64.668;0.0;0.142
2024-03-12 22:00:00;-0.799;62.489;0.0;0.0
2024-03-12 23:00:00;-2.748;71.314;0.0;0.0
2024-03-13 00:00:00;-4.288;77.999;0.0;0.0
2024-03-13 01:00:00;-5.122;79.281;0.0;0.0
2024-03-13 02:00:00;-6.37;84.561;0.0;0.0
2024-03-13 03:00:00;-7.224;86.63;0.0;0.0
2024-03-13 04:00:00;-7.867;87.243;0.0;0.0
2024-03-13 05:00:00;-8.167;86.851;0.0;0.0
2024-03-13 06:00:00;-8.602;87.445;0.0;0.0
2024-03-13 07:00:00;-9.157;88.17;0.0;0.0
2024-03-13 08:00:00;-9.12;87.68;0.0;55.556
2024-03-13 09:00:00;-7.509;86.461;0.0;222.222
2024-03-13 10:00:00;-4.28;85.722;0.0;333.333
2024-03-13 11:00:00;-1.286;82.235;0.0;388.889
2024-03-13 12:00:00;0.76;78.416;0.0;388.889
2024-03-13 13:00:00;2.186;73.879;0.0;333.333
2024-03-13 14:00:00;3.242;71.356;0.0;277.778
2024-03-13 15:00:00;4.33;68.598;0.0;388.889
2024-03-13 16:00:00;4.97;68.745;0.0;333.333
2024-03-13 17:00:00;5.024;73.159;0.0;333.333
2024-03-13 18:00:00;4.308;79.44;0.0;111.111
2024-03-13 19:00:00;3.15;82.096;0.019;0.0
2024-03-13 20:00:00;2.12;83.421;0.0;0.0
2024-03-13 21:00:00;1.78;84.542;0.0;0.0
2024-03-13 22:00:00;1.796;85.773;0.0;0.0
2024-03-13 23:00:00;1.901;87.14;0.0;0.0
2024-03-14 00:00:00;1.964;88.834;0.0;0.0
2024-03-14 01:00:00;1.617;91.866;0.0;0.0
2024-03-14 02:00:00;0.527;95.661;0.0;0.0
2024-03-14 03:00:00;-0.37;97.292;0.0;0.0
2024-03-14 04:00:00;-0.881;97.587;0.01;0.0
2024-03-14 05:00:00;-0.987;97.199;0.003;0.0
2024-03-14 06:00:00;-0.83;97.296;0.008;0.0
2024-03-14 07:00:00;-0.541;97.704;0.024;0.0
2024-03-14 08:00:00;-0.243;96.899;0.005;111.111
2024-03-14 09:00:00;1.13;93.404;0.008;111.111
2024-03-14 10:00:00;2.779;90.691;0.001;222.222
2024-03-14 11:00:00;4.638;88.582;0.0;500.0
2024-03-14 12:00:00;5.908;86.309;0.0;611.111
2024-03-14 13:00:00;6.985;83.326;0.0;666.667
2024-03-14 14:00:00;5.255;86.853;0.15;333.333
2024-03-14 15:00:00;5.706;86.389;0.102;296.296
