Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-11 02:00:00;0.109;95.481;0.23;nan
2024-03-11 03:00:00;-0.339;97.753;0.238;0.0
2024-03-11 04:00:00;-0.35;95.256;0.247;0.0
2024-03-11 05:00:00;-1.064;92.965;0.126;0.0
2024-03-11 06:00:00;-1.76;91.835;0.195;0.0
2024-03-11 07:00:00;-2.223;90.015;0.175;0.0
2024-03-11 08:00:00;-2.402;90.201;0.153;9.864
2024-03-11 09:00:00;-2.027;92.042;0.315;43.026
2024-03-11 10:00:00;-1.106;89.652;0.219;65.483
2024-03-11 11:00:00;-0.332;82.699;0.029;113.337
2024-03-11 12:00:00;-0.341;82.491;0.047;139.362
2024-03-11 13:00:00;-0.488;79.42;0.013;108.732
2024-03-11 14:00:00;-0.28;77.093;0.001;113.85
2024-03-11 15:00:00;-0.381;76.399;0.002;114.412
2024-03-11 16:00:00;-1.053;80.383;0.013;83.369
2024-03-11 17:00:00;-1.782;80.779;0.148;23.36
2024-03-11 18:00:00;-2.346;81.494;0.159;16.061
2024-03-11 19:00:00;-2.915;82.85;0.159;4.89
2024-03-11 20:00:00;-3.46;85.914;0.216;0.0
2024-03-11 21:00:00;-3.596;81.091;0.181;0.0
2024-03-11 22:00:00;-3.999;81.393;0.172;0.0
2024-03-11 23:00:00;-4.269;83.168;0.188;1.195
2024-03-12 00:00:00;-4.423;83.389;0.143;0.0
2024-03-12 01:00:00;-4.602;83.748;0.107;0.0
2024-03-12 02:00:00;-4.737;82.749;0.064;0.0
2024-03-12 03:00:00;-4.732;81.159;0.029;0.0
2024-03-12 04:00:00;-4.528;79.836;0.015;0.0
2024-03-12 05:00:00;-4.517;79.649;0.009;0.0
2024-03-12 06:00:00;-4.475;80.191;0.009;0.0
2024-03-12 07:00:00;-4.535;81.069;0.004;0.0
2024-03-12 08:00:00;-4.438;79.375;0.0;45.335
2024-03-12 09:00:00;-2.837;72.112;0.0;216.599
2024-03-12 10:00:00;-1.422;65.362;0.0;399.617
2024-03-12 11:00:00;-0.154;60.576;0.0;537.3
2024-03-12 12:00:00;0.703;58.824;0.0;589.892
2024-03-12 13:00:00;1.41;57.71;0.0;577.726
2024-03-12 14:00:00;1.917;57.374;0.0;596.897
2024-03-12 15:00:00;1.679;60.098;0.0;354.831
2024-03-12 16:00:00;1.534;61.882;0.0;237.96
2024-03-12 17:00:00;1.61;63.121;0.0;169.232
2024-03-12 18:00:00;1.343;64.743;0.0;77.844
2024-03-12 19:00:00;0.577;68.599;0.0;17.92
2024-03-12 20:00:00;0.076;71.089;0.0;0.0
2024-03-12 21:00:00;-0.254;72.116;0.0;0.143
2024-03-12 22:00:00;-0.632;73.718;0.0;0.0
2024-03-12 23:00:00;-1.108;76.11;0.0;0.0
2024-03-13 00:00:00;-2.782;83.58;0.0;0.0
2024-03-13 01:00:00;-4.056;88.758;0.0;0.0
2024-03-13 02:00:00;-5.97;88.636;0.016;0.0
2024-03-13 03:00:00;-6.924;90.705;0.0;0.0
2024-03-13 04:00:00;-7.892;91.318;0.0;0.0
2024-03-13 05:00:00;-8.717;91.151;0.0;0.0
2024-03-13 06:00:00;-9.377;90.77;0.0;0.0
2024-03-13 07:00:00;-9.907;90.27;0.0;0.0
2024-03-13 08:00:00;-9.17;87.955;0.0;55.556
