Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-11 02:00:00;-2.818;84.713;0.022;nan
2024-03-11 03:00:00;-4.04;86.501;0.039;0.0
2024-03-11 04:00:00;-4.502;86.586;0.057;0.0
2024-03-11 05:00:00;-4.813;86.394;0.057;0.0
2024-03-11 06:00:00;-5.045;86.048;0.052;0.0
2024-03-11 07:00:00;-5.159;86.21;0.04;0.0
2024-03-11 08:00:00;-5.169;86.443;0.069;10.704
2024-03-11 09:00:00;-4.807;85.862;0.098;56.878
2024-03-11 10:00:00;-4.18;84.764;0.085;111.238
2024-03-11 11:00:00;-3.533;83.137;0.08;159.511
2024-03-11 12:00:00;-3.239;82.007;0.046;141.041
2024-03-11 13:00:00;-3.091;81.034;0.03;107.892
2024-03-11 14:00:00;-2.848;81.866;0.022;92.022
2024-03-11 15:00:00;-2.393;84.077;0.043;100.979
2024-03-11 16:00:00;-2.307;85.478;0.107;106.876
2024-03-11 17:00:00;-2.523;86.106;0.076;75.411
2024-03-11 18:00:00;-2.591;87.927;0.099;61.395
2024-03-11 19:00:00;-2.783;89.906;0.185;11.606
2024-03-11 20:00:00;-2.63;91.333;0.257;0.0
2024-03-11 21:00:00;-2.416;86.302;0.293;0.367
2024-03-11 22:00:00;-2.08;76.435;0.047;1.208
2024-03-11 23:00:00;-2.161;75.743;0.011;0.0
2024-03-12 00:00:00;-2.45;71.744;0.002;0.0
2024-03-12 01:00:00;-2.773;71.481;0.0;0.0
2024-03-12 02:00:00;-3.157;72.027;0.0;0.0
2024-03-12 03:00:00;-3.592;72.697;0.0;0.0
2024-03-12 04:00:00;-4.008;73.656;0.0;0.0
2024-03-12 05:00:00;-4.329;74.461;0.0;0.0
2024-03-12 06:00:00;-4.625;75.025;0.0;0.0
2024-03-12 07:00:00;-4.891;75.558;0.0;0.0
2024-03-12 08:00:00;-4.864;75.34;0.0;30.223
2024-03-12 09:00:00;-4.192;73.057;0.0;169.585
2024-03-12 10:00:00;-2.909;69.72;0.0;379.468
2024-03-12 11:00:00;-1.78;67.517;0.0;510.435
2024-03-12 12:00:00;-0.535;65.211;0.0;623.473
2024-03-12 13:00:00;0.554;63.867;0.0;685.186
2024-03-12 14:00:00;1.31;63.485;0.0;711.074
2024-03-12 15:00:00;1.651;63.326;0.0;646.988
2024-03-12 16:00:00;1.884;61.651;0.0;533.474
2024-03-12 17:00:00;2.037;61.276;0.0;370.719
2024-03-12 18:00:00;1.488;62.737;0.0;192.021
2024-03-12 19:00:00;-0.224;67.423;0.0;34.71
2024-03-12 20:00:00;-1.818;72.403;0.0;0.0
2024-03-12 21:00:00;-3.253;78.619;0.0;3.502
2024-03-12 22:00:00;-4.179;81.904;0.0;0.0
2024-03-12 23:00:00;-5.127;82.728;0.0;0.0
2024-03-13 00:00:00;-6.072;83.003;0.0;0.0
2024-03-13 01:00:00;-6.729;81.54;0.0;0.0
2024-03-13 02:00:00;-6.07;89.036;0.237;0.0
2024-03-13 03:00:00;-6.724;90.555;0.0;0.0
2024-03-13 04:00:00;-7.292;90.768;0.0;0.0
2024-03-13 05:00:00;-7.792;90.851;0.0;0.0
2024-03-13 06:00:00;-8.302;90.87;0.0;0.0
2024-03-13 07:00:00;-8.707;90.645;0.0;0.0
2024-03-13 08:00:00;-8.07;89.83;0.0;55.556
2024-03-13 09:00:00;-5.009;79.836;0.0;166.667
2024-03-13 10:00:00;-1.355;69.372;0.0;444.444
2024-03-13 11:00:00;1.689;60.51;0.0;500.0
