Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-12 08:00:00;-4.399;73.0;0.0;nan
2024-03-12 09:00:00;-4.774;78.221;0.0;208.204
2024-03-12 10:00:00;-2.537;75.117;0.0;391.222
2024-03-12 11:00:00;-1.053;71.014;0.0;548.214
2024-03-12 12:00:00;0.104;68.411;0.0;659.872
2024-03-12 13:00:00;0.991;67.881;0.0;716.676
2024-03-12 14:00:00;1.64;67.999;0.0;712.94
2024-03-12 15:00:00;2.153;67.774;0.0;650.334
2024-03-12 16:00:00;2.502;67.74;0.0;529.92
2024-03-12 17:00:00;0.963;66.511;0.0;371.37
2024-03-12 18:00:00;0.887;57.743;0.0;187.813
2024-03-12 19:00:00;-0.036;55.392;0.0;31.597
2024-03-12 20:00:00;-1.389;60.725;0.0;0.0
2024-03-12 21:00:00;-2.652;65.661;0.0;0.0
2024-03-12 22:00:00;-3.903;70.284;0.0;0.0
2024-03-12 23:00:00;-4.781;71.931;0.0;0.0
2024-03-13 00:00:00;-5.503;71.01;0.0;0.0
2024-03-13 01:00:00;-6.407;72.259;0.0;0.0
2024-03-13 02:00:00;-7.269;74.902;0.0;0.0
2024-03-13 03:00:00;-7.859;73.752;0.0;0.0
2024-03-13 04:00:00;-8.06;72.589;0.0;0.0
2024-03-13 05:00:00;-7.971;71.449;0.0;0.0
2024-03-13 06:00:00;-7.509;70.366;0.0;0.0
2024-03-13 07:00:00;-8.305;71.518;0.0;0.626
2024-03-13 08:00:00;-9.163;83.834;0.0;45.094
2024-03-13 09:00:00;-7.409;91.023;0.0;216.448
2024-03-13 10:00:00;-4.698;84.326;0.0;385.038
2024-03-13 11:00:00;-2.669;81.391;0.0;405.29
2024-03-13 12:00:00;-1.19;79.349;0.0;505.064
2024-03-13 13:00:00;0.152;81.85;0.0;285.956
2024-03-13 14:00:00;0.464;88.722;0.0;496.4
2024-03-13 15:00:00;1.307;83.827;0.0;487.102
2024-03-13 16:00:00;1.748;85.488;0.0;330.848
2024-03-13 17:00:00;2.189;82.743;0.0;309.746
2024-03-13 18:00:00;1.059;83.158;0.0;72.133
2024-03-13 19:00:00;1.934;85.546;0.0;35.194
2024-03-13 20:00:00;1.579;84.692;0.053;1.248
2024-03-13 21:00:00;0.859;86.253;0.0;1.357
2024-03-13 22:00:00;0.724;85.811;0.001;0.0
2024-03-13 23:00:00;0.368;86.632;0.0;2.018
2024-03-14 00:00:00;0.294;87.243;0.001;0.0
2024-03-14 01:00:00;0.296;87.58;0.004;0.0
2024-03-14 02:00:00;0.352;88.053;0.001;0.0
2024-03-14 03:00:00;0.249;88.608;0.001;0.0
2024-03-14 04:00:00;0.133;89.1;0.0;0.0
2024-03-14 05:00:00;0.037;89.592;0.0;0.0
2024-03-14 06:00:00;-0.3;90.625;0.0;0.0
2024-03-14 07:00:00;-0.744;92.089;0.001;0.0
2024-03-14 08:00:00;0.532;94.524;0.0;0.0
2024-03-14 09:00:00;1.582;92.077;0.009;111.111
2024-03-14 10:00:00;3.088;85.692;0.004;222.222
2024-03-14 11:00:00;4.692;78.68;0.0;444.444
2024-03-14 12:00:00;6.048;72.344;0.0;611.111
2024-03-14 13:00:00;6.884;68.893;0.0;666.667
2024-03-14 14:00:00;7.578;66.652;0.0;500.0
2024-03-14 15:00:00;8.359;63.891;0.0;555.556
2024-03-14 16:00:00;8.549;63.93;0.0;500.0
2024-03-14 17:00:00;7.807;70.29;0.0;388.889
2024-03-14 18:00:00;6.126;80.098;0.0;166.667
2024-03-14 19:00:00;3.778;90.402;0.0;0.0
2024-03-14 20:00:00;2.012;95.434;0.0;0.0
2024-03-14 21:00:00;1.043;97.188;0.0;0.0
2024-03-14 22:00:00;-0.429;98.102;0.0;0.0
2024-03-14 23:00:00;-1.495;97.648;0.0;0.0
2024-03-15 00:00:00;-1.894;97.47;0.0;0.0
2024-03-15 01:00:00;-2.55;97.01;0.0;0.0
2024-03-15 02:00:00;-3.276;96.326;0.0;0.0
2024-03-15 03:00:00;-3.974;95.85;0.0;0.0
2024-03-15 04:00:00;-4.707;95.171;0.0;0.0
2024-03-15 05:00:00;-5.14;94.551;0.001;0.0
2024-03-15 06:00:00;-5.231;93.588;0.002;0.0
2024-03-15 07:00:00;-4.607;93.399;0.004;0.0
2024-03-15 08:00:00;-3.856;92.18;0.004;55.556
2024-03-15 09:00:00;-1.978;88.444;0.003;111.111
2024-03-15 10:00:00;0.554;81.344;0.0;388.889
2024-03-15 11:00:00;2.804;74.939;0.0;500.0
2024-03-15 12:00:00;4.424;71.66;0.0;500.0
2024-03-15 13:00:00;5.667;69.296;0.0;666.667
2024-03-15 14:00:00;6.471;66.923;0.0;666.667
2024-03-15 15:00:00;6.931;65.114;0.0;555.556
2024-03-15 16:00:00;7.01;64.698;0.0;444.444
2024-03-15 17:00:00;6.79;65.777;0.0;333.333
2024-03-15 18:00:00;5.71;75.019;0.0;111.111
2024-03-15 19:00:00;3.184;85.491;0.0;111.111
2024-03-15 20:00:00;-0.59;84.868;0.0;74.074
2024-03-15 21:00:00;-1.319;87.397;0.0;49.383
2024-03-15 22:00:00;-2.049;89.927;0.0;24.691
2024-03-15 23:00:00;-2.779;92.456;0.0;0.0
2024-03-16 00:00:00;-2.055;88.387;0.037;0.0
2024-03-16 01:00:00;-1.33;84.317;0.074;0.0
2024-03-16 02:00:00;-0.606;80.248;0.111;0.0
2024-03-16 03:00:00;-0.664;82.828;0.413;0.0
2024-03-16 04:00:00;-0.721;85.409;0.714;0.0
2024-03-16 05:00:00;-0.779;87.99;1.015;0.0
2024-03-16 06:00:00;-0.67;87.66;1.15;0.0
2024-03-16 07:00:00;-0.562;87.331;1.285;0.0
2024-03-16 08:00:00;-0.453;87.001;1.42;0.0
2024-03-16 09:00:00;0.123;83.46;1.098;49.383
2024-03-16 10:00:00;0.7;79.918;0.776;98.765
2024-03-16 11:00:00;1.277;76.376;0.454;148.148
2024-03-16 12:00:00;1.793;75.116;0.353;185.185
2024-03-16 13:00:00;2.309;73.857;0.252;222.222
2024-03-16 14:00:00;2.825;72.597;0.151;259.259
2024-03-16 15:00:00;3.022;72.435;0.11;246.914
2024-03-16 16:00:00;3.218;72.273;0.07;234.568
2024-03-16 17:00:00;3.415;72.112;0.029;222.222
2024-03-16 18:00:00;2.706;74.909;0.026;172.84
2024-03-16 19:00:00;1.998;77.706;0.023;123.457
2024-03-16 20:00:00;1.289;80.504;0.02;74.074
2024-03-16 21:00:00;0.943;82.676;0.065;49.383
2024-03-16 22:00:00;0.597;84.848;0.111;24.691
2024-03-16 23:00:00;0.251;87.02;0.156;0.0
2024-03-17 00:00:00;0.21;89.662;0.442;0.0
2024-03-17 01:00:00;0.169;92.304;0.727;0.0
2024-03-17 02:00:00;0.128;94.946;1.012;0.0
2024-03-17 03:00:00;0.236;96.399;1.371;0.0
2024-03-17 04:00:00;0.344;97.852;1.729;0.0
2024-03-17 05:00:00;0.452;99.305;2.088;0.0
2024-03-17 06:00:00;0.833;98.704;1.54;0.0
2024-03-17 07:00:00;1.214;98.103;0.992;0.0
2024-03-17 08:00:00;1.595;97.502;0.444;0.0
2024-03-17 09:00:00;2.434;96.969;0.717;24.691
2024-03-17 10:00:00;3.272;96.435;0.991;49.383
2024-03-17 11:00:00;4.111;95.902;1.264;74.074
2024-03-17 12:00:00;4.632;95.318;1.191;148.148
2024-03-17 13:00:00;5.153;94.735;1.119;222.222
2024-03-17 14:00:00;5.675;94.151;1.046;296.296
2024-03-17 15:00:00;4.431;71.49;0.05;320.988
2024-03-17 16:00:00;4.234;73.926;0.092;271.605
2024-03-17 17:00:00;5.732;97.019;2.124;222.222
2024-03-17 18:00:00;3.125;83.058;0.121;172.84
2024-03-17 19:00:00;2.214;89.753;0.107;123.457
2024-03-17 20:00:00;4.226;96.873;3.565;0.0
2024-03-17 21:00:00;0.085;96.912;0.063;49.383
2024-03-17 22:00:00;-1.132;97.376;0.031;24.691
2024-03-17 23:00:00;3.888;98.159;2.791;0.0
2024-03-18 00:00:00;-2.123;97.389;0.117;0.0
2024-03-18 01:00:00;-1.897;96.937;0.234;0.0
2024-03-18 02:00:00;3.529;98.11;1.166;0.0
