Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-11 02:00:00;-3.948;88.794;1.003;nan
2024-03-11 03:00:00;-4.995;90.029;0.877;0.0
2024-03-11 04:00:00;-5.11;89.1;0.75;0.0
2024-03-11 05:00:00;-5.125;88.838;0.537;0.0
2024-03-11 06:00:00;-5.264;89.622;0.762;0.0
2024-03-11 07:00:00;-5.351;89.623;0.856;0.0
2024-03-11 08:00:00;-5.353;89.371;0.824;5.457
2024-03-11 09:00:00;-5.157;88.86;0.688;28.964
2024-03-11 10:00:00;-4.826;88.131;0.641;60.027
2024-03-11 11:00:00;-4.377;86.25;0.482;90.25
2024-03-11 12:00:00;-3.724;82.676;0.317;116.695
2024-03-11 13:00:00;-2.889;78.082;0.118;144.832
2024-03-11 14:00:00;-2.521;78.199;0.047;123.924
2024-03-11 15:00:00;-2.6;81.011;0.099;92.584
2024-03-11 16:00:00;-2.279;83.196;0.203;66.579
2024-03-11 17:00:00;-1.73;82.071;0.28;46.867
2024-03-11 18:00:00;-0.876;73.354;0.096;31.172
2024-03-11 19:00:00;-0.533;67.262;0.0;9.927
2024-03-11 20:00:00;-1.376;68.828;0.0;0.0
2024-03-11 21:00:00;-1.887;65.573;0.0;0.367
2024-03-11 22:00:00;-2.414;67.096;0.0;0.0
2024-03-11 23:00:00;-2.926;69.31;0.0;0.0
2024-03-12 00:00:00;-3.379;69.046;0.0;0.0
2024-03-12 01:00:00;-3.821;69.359;0.0;0.0
2024-03-12 02:00:00;-4.281;71.612;0.0;0.0
2024-03-12 03:00:00;-4.624;73.826;0.0;0.0
2024-03-12 04:00:00;-4.903;74.394;0.0;0.0
2024-03-12 05:00:00;-5.274;75.06;0.0;0.0
2024-03-12 06:00:00;-5.74;76.271;0.0;0.0
2024-03-12 07:00:00;-6.255;78.118;0.0;0.0
2024-03-12 08:00:00;-6.21;77.161;0.0;38.618
2024-03-12 09:00:00;-4.126;67.892;0.0;208.204
2024-03-12 10:00:00;-1.853;60.935;0.0;396.259
2024-03-12 11:00:00;-0.449;55.065;0.0;557.449
2024-03-12 12:00:00;0.469;50.892;0.0;673.845
2024-03-12 13:00:00;1.432;47.564;0.0;735.558
2024-03-12 14:00:00;2.381;49.742;0.0;734.58
2024-03-12 15:00:00;3.157;49.929;0.0;673.853
2024-03-12 16:00:00;3.719;49.684;0.0;556.982
2024-03-12 17:00:00;3.9;47.418;0.0;394.226
2024-03-12 18:00:00;3.372;49.087;0.0;208.812
2024-03-12 19:00:00;1.896;58.361;0.0;38.068
2024-03-12 20:00:00;0.312;61.958;0.0;1.966
2024-03-12 21:00:00;-0.888;57.174;0.0;0.143
2024-03-12 22:00:00;-2.028;59.814;0.0;0.0
2024-03-12 23:00:00;-3.444;69.054;0.0;0.0
2024-03-13 00:00:00;-4.333;75.878;0.0;0.0
2024-03-13 01:00:00;-4.434;77.459;0.0;0.0
2024-03-13 02:00:00;-3.695;71.186;0.0;0.0
2024-03-13 03:00:00;-4.524;77.43;0.0;0.0
2024-03-13 04:00:00;-5.467;84.718;0.0;0.0
2024-03-13 05:00:00;-6.292;89.726;0.0;0.0
2024-03-13 06:00:00;-6.727;90.445;0.0;0.0
2024-03-13 07:00:00;-6.907;90.195;0.0;0.0
2024-03-13 08:00:00;-6.32;89.28;0.0;55.556
2024-03-13 09:00:00;-3.309;77.261;0.0;166.667
2024-03-13 10:00:00;0.57;65.197;0.0;388.889
2024-03-13 11:00:00;3.364;54.535;0.0;555.556
2024-03-13 12:00:00;4.81;49.716;0.0;444.444
2024-03-13 13:00:00;5.486;48.304;0.0;333.333
2024-03-13 14:00:00;6.242;47.506;0.0;388.889
2024-03-13 15:00:00;6.93;46.873;0.0;333.333
2024-03-13 16:00:00;7.645;45.72;0.0;388.889
2024-03-13 17:00:00;7.999;44.734;0.0;277.778
2024-03-13 18:00:00;7.308;50.465;0.0;166.667
2024-03-13 19:00:00;5.125;60.021;0.0;0.0
2024-03-13 20:00:00;3.62;75.446;0.05;0.0
2024-03-13 21:00:00;3.38;76.492;0.003;0.0
2024-03-13 22:00:00;3.546;73.973;0.0;0.0
2024-03-13 23:00:00;3.726;72.265;0.0;0.0
2024-03-14 00:00:00;3.614;72.459;0.0;0.0
2024-03-14 01:00:00;3.042;75.291;0.0;0.0
2024-03-14 02:00:00;2.727;78.711;0.0;0.0
2024-03-14 03:00:00;1.73;86.092;0.0;0.0
2024-03-14 04:00:00;0.869;92.687;0.0;0.0
2024-03-14 05:00:00;0.463;95.324;0.004;0.0
2024-03-14 06:00:00;0.345;96.846;0.017;0.0
2024-03-14 07:00:00;0.234;97.279;0.039;0.0
2024-03-14 08:00:00;0.082;98.174;0.382;0.0
2024-03-14 09:00:00;0.23;97.079;0.344;55.556
2024-03-14 10:00:00;0.904;93.866;0.145;55.556
2024-03-14 11:00:00;2.338;88.157;0.033;222.222
2024-03-14 12:00:00;3.983;82.909;0.011;388.889
2024-03-14 13:00:00;5.41;78.426;0.007;333.333
2024-03-14 14:00:00;3.804;91.353;0.357;259.259
2024-03-14 15:00:00;4.173;88.472;0.254;246.914
2024-03-14 16:00:00;4.541;85.591;0.152;234.568
2024-03-14 17:00:00;4.909;82.71;0.049;222.222
2024-03-14 18:00:00;4.1;87.808;0.044;148.148
2024-03-14 19:00:00;3.29;92.905;0.039;74.074
2024-03-14 20:00:00;2.481;98.003;0.033;0.0
2024-03-14 21:00:00;2.074;97.866;0.023;0.0
2024-03-14 22:00:00;1.668;97.729;0.012;0.0
2024-03-14 23:00:00;1.261;97.592;0.002;0.0
2024-03-15 00:00:00;0.837;97.819;0.001;0.0
2024-03-15 01:00:00;0.412;98.045;0.001;0.0
2024-03-15 02:00:00;-0.012;98.272;0.0;0.0
2024-03-15 03:00:00;-0.054;98.118;0.0;0.0
2024-03-15 04:00:00;-0.095;97.963;0.0;0.0
2024-03-15 05:00:00;-0.137;97.809;0.0;0.0
2024-03-15 06:00:00;-0.09;97.685;0.0;0.0
2024-03-15 07:00:00;-0.044;97.562;0.0;0.0
2024-03-15 08:00:00;0.003;97.438;0.0;0.0
2024-03-15 09:00:00;1.57;91.95;0.001;61.728
2024-03-15 10:00:00;3.136;86.461;0.002;123.457
2024-03-15 11:00:00;4.703;80.973;0.002;185.185
2024-03-15 12:00:00;5.15;82.655;0.154;197.531
2024-03-15 13:00:00;5.597;84.338;0.306;209.877
2024-03-15 14:00:00;6.044;86.02;0.458;222.222
2024-03-15 15:00:00;6.295;84.165;0.312;222.222
2024-03-15 16:00:00;6.546;82.309;0.167;222.222
2024-03-15 17:00:00;6.797;80.454;0.021;222.222
2024-03-15 18:00:00;6.038;85.916;0.311;160.494
2024-03-15 19:00:00;5.278;91.379;0.6;98.765
2024-03-15 20:00:00;4.519;96.841;0.89;37.037
