Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-11 02:00:00;-3.402;92.23;0.312;nan
2024-03-11 03:00:00;-4.343;90.19;0.221;0.0
2024-03-11 04:00:00;-4.394;87.578;0.131;0.0
2024-03-11 05:00:00;-4.571;89.714;0.124;0.0
2024-03-11 06:00:00;-4.725;89.991;0.291;0.0
2024-03-11 07:00:00;-4.79;89.531;0.322;0.0
2024-03-11 08:00:00;-4.7;89.002;0.251;9.655
2024-03-11 09:00:00;-4.333;88.537;0.18;55.829
2024-03-11 10:00:00;-3.726;86.586;0.123;123.411
2024-03-11 11:00:00;-3.001;84.636;0.075;188.055
2024-03-11 12:00:00;-2.089;80.969;0.044;262.773
2024-03-11 13:00:00;-1.256;79.028;0.015;327.01
2024-03-11 14:00:00;-1.092;79.099;0.005;249.854
2024-03-11 15:00:00;-1.297;81.264;0.033;231.946
2024-03-11 16:00:00;-1.134;81.697;0.045;175.718
2024-03-11 17:00:00;-0.737;80.964;0.05;112.351
2024-03-11 18:00:00;-0.426;79.326;0.011;51.321
2024-03-11 19:00:00;-1.406;78.699;0.0;25.038
2024-03-11 20:00:00;-2.206;78.697;0.0;3.028
2024-03-11 21:00:00;-2.866;75.88;0.0;0.366
2024-03-11 22:00:00;-3.133;76.896;0.0;0.0
2024-03-11 23:00:00;-3.5;77.726;0.0;0.0
2024-03-12 00:00:00;-3.914;77.855;0.0;0.0
2024-03-12 01:00:00;-4.45;78.283;0.0;0.0
2024-03-12 02:00:00;-4.993;79.037;0.0;0.0
2024-03-12 03:00:00;-5.274;79.822;0.0;0.0
2024-03-12 04:00:00;-5.571;80.643;0.0;0.0
2024-03-12 05:00:00;-6.193;81.816;0.0;0.0
2024-03-12 06:00:00;-7.11;82.888;0.0;0.0
2024-03-12 07:00:00;-8.074;83.536;0.0;0.0
2024-03-12 08:00:00;-7.966;83.964;0.0;36.939
2024-03-12 09:00:00;-4.686;80.367;0.0;208.204
2024-03-12 10:00:00;-2.182;76.776;0.0;396.259
2024-03-12 11:00:00;-0.834;72.728;0.0;557.449
2024-03-12 12:00:00;0.218;68.393;0.0;677.203
2024-03-12 13:00:00;1.277;67.21;0.0;735.558
2024-03-12 14:00:00;2.165;67.797;0.0;741.297
2024-03-12 15:00:00;3.051;66.393;0.0;673.853
2024-03-12 16:00:00;3.733;66.701;0.0;553.624
2024-03-12 17:00:00;3.912;67.871;0.0;394.226
2024-03-12 18:00:00;2.864;71.707;0.0;212.169
2024-03-12 19:00:00;0.551;74.271;0.0;41.427
2024-03-12 20:00:00;-1.16;70.397;0.0;1.966
2024-03-12 21:00:00;-2.5;72.785;0.0;0.143
