Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-11 02:00:00;-4.397;89.994;1.446;nan
2024-03-11 03:00:00;-4.946;86.87;0.988;0.0
2024-03-11 04:00:00;-4.849;84.903;0.531;0.0
2024-03-11 05:00:00;-4.659;82.382;0.336;0.0
2024-03-11 06:00:00;-4.351;77.147;0.126;0.0
2024-03-11 07:00:00;-4.185;76.019;0.054;0.0
2024-03-11 08:00:00;-4.099;75.605;0.07;3.778
2024-03-11 09:00:00;-3.987;74.84;0.086;23.927
2024-03-11 10:00:00;-3.691;73.212;0.07;59.187
2024-03-11 11:00:00;-3.275;71.931;0.025;93.608
2024-03-11 12:00:00;-2.834;71.792;0.012;116.695
2024-03-11 13:00:00;-2.474;71.511;0.015;122.164
2024-03-11 14:00:00;-1.658;69.483;0.006;133.998
2024-03-11 15:00:00;-0.271;64.362;0.0;206.761
2024-03-11 16:00:00;0.893;59.353;0.0;276.462
2024-03-11 17:00:00;2.387;51.611;0.0;397.791
2024-03-11 18:00:00;2.066;50.111;0.0;214.19
2024-03-11 19:00:00;1.142;55.595;0.0;48.545
2024-03-11 20:00:00;0.538;56.008;0.0;0.0
2024-03-11 21:00:00;0.081;55.75;0.0;0.367
2024-03-11 22:00:00;-0.073;55.729;0.0;0.0
2024-03-11 23:00:00;-0.176;55.752;0.0;1.195
2024-03-12 00:00:00;-0.258;55.234;0.0;0.0
2024-03-12 01:00:00;-0.282;55.201;0.0;0.0
2024-03-12 02:00:00;-0.338;56.024;0.0;0.0
2024-03-12 03:00:00;-0.472;57.501;0.0;0.0
2024-03-12 04:00:00;-0.612;59.798;0.0;0.0
2024-03-12 05:00:00;-0.769;61.409;0.0;0.0
2024-03-12 06:00:00;-0.94;62.966;0.0;0.0
2024-03-12 07:00:00;-1.252;65.528;0.0;0.0
2024-03-12 08:00:00;-1.71;68.422;0.0;25.186
2024-03-12 09:00:00;-0.75;65.563;0.0;189.734
2024-03-12 10:00:00;0.851;59.044;0.0;376.11
2024-03-12 11:00:00;2.375;51.168;0.0;540.658
2024-03-12 12:00:00;3.602;41.876;0.0;657.054
2024-03-12 13:00:00;4.719;39.263;0.0;722.125
2024-03-12 14:00:00;5.77;37.152;0.0;727.864
2024-03-12 15:00:00;6.462;38.515;0.0;667.137
2024-03-12 16:00:00;6.79;41.567;0.0;556.982
2024-03-12 17:00:00;6.6;45.62;0.0;404.301
2024-03-12 18:00:00;5.813;51.093;0.0;212.169
2024-03-12 19:00:00;4.18;57.3;0.0;48.143
