Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-11 02:00:00;-3.779;87.987;0.874;nan
2024-03-11 03:00:00;-4.789;89.36;0.747;0.0
2024-03-11 04:00:00;-4.868;88.039;0.62;0.0
2024-03-11 05:00:00;-4.875;87.916;0.448;0.0
2024-03-11 06:00:00;-5.03;88.999;0.713;0.0
2024-03-11 07:00:00;-5.106;89.024;0.746;0.0
2024-03-11 08:00:00;-5.101;88.679;0.712;5.457
2024-03-11 09:00:00;-4.899;87.96;0.584;31.902
2024-03-11 10:00:00;-4.583;87.231;0.535;63.804
2024-03-11 11:00:00;-4.148;85.074;0.391;91.089
2024-03-11 12:00:00;-3.471;81.038;0.237;114.176
2024-03-11 13:00:00;-2.704;76.883;0.079;128.041
2024-03-11 14:00:00;-2.335;77.231;0.028;118.887
2024-03-11 15:00:00;-2.312;79.835;0.073;85.868
2024-03-11 16:00:00;-1.949;82.043;0.167;71.616
2024-03-11 17:00:00;-1.298;78.612;0.198;50.225
2024-03-11 18:00:00;-0.557;71.463;0.033;29.493
2024-03-11 19:00:00;-0.386;67.608;0.0;13.285
2024-03-11 20:00:00;-1.32;70.027;0.0;0.0
2024-03-11 21:00:00;-1.89;66.564;0.0;0.367
2024-03-11 22:00:00;-2.463;69.056;0.0;0.0
2024-03-11 23:00:00;-2.978;70.509;0.0;1.195
2024-03-12 00:00:00;-3.426;70.476;0.0;0.0
2024-03-12 01:00:00;-3.839;71.55;0.0;0.0
2024-03-12 02:00:00;-4.243;73.341;0.0;0.0
2024-03-12 03:00:00;-4.52;74.334;0.0;0.0
2024-03-12 04:00:00;-4.79;75.132;0.0;0.0
2024-03-12 05:00:00;-5.193;76.075;0.0;0.0
2024-03-12 06:00:00;-5.713;77.331;0.0;0.0
2024-03-12 07:00:00;-6.261;78.648;0.0;0.0
2024-03-12 08:00:00;-6.208;77.138;0.0;38.618
2024-03-12 09:00:00;-4.049;67.5;0.0;208.204
2024-03-12 10:00:00;-1.715;60.405;0.0;396.259
2024-03-12 11:00:00;-0.271;55.204;0.0;557.449
2024-03-12 12:00:00;0.695;49.439;0.0;680.562
2024-03-12 13:00:00;1.733;45.535;0.0;732.2
2024-03-12 14:00:00;2.769;47.989;0.0;737.938
2024-03-12 15:00:00;3.526;47.716;0.0;677.211
2024-03-12 16:00:00;4.04;48.047;0.0;560.34
2024-03-12 17:00:00;4.191;47.188;0.0;394.226
2024-03-12 18:00:00;3.664;49.686;0.0;208.812
2024-03-12 19:00:00;2.223;58.545;0.0;44.784
2024-03-12 20:00:00;0.684;59.836;0.0;0.0
2024-03-12 21:00:00;-0.734;59.619;0.0;3.502
2024-03-12 22:00:00;-1.907;59.076;0.0;0.0
2024-03-12 23:00:00;-3.166;66.541;0.0;0.0
2024-03-13 00:00:00;-4.095;73.641;0.0;0.0
2024-03-13 01:00:00;-4.282;76.421;0.0;0.0
2024-03-13 02:00:00;-3.695;71.186;0.0;0.0
2024-03-13 03:00:00;-4.524;77.43;0.0;0.0
2024-03-13 04:00:00;-5.467;84.718;0.0;0.0
2024-03-13 05:00:00;-6.292;89.726;0.0;0.0
2024-03-13 06:00:00;-6.727;90.445;0.0;0.0
2024-03-13 07:00:00;-6.907;90.195;0.0;0.0
2024-03-13 08:00:00;-6.32;89.28;0.0;55.556
2024-03-13 09:00:00;-3.309;77.261;0.0;166.667
2024-03-13 10:00:00;0.57;65.197;0.0;388.889
2024-03-13 11:00:00;3.364;54.535;0.0;555.556
2024-03-13 12:00:00;4.81;49.716;0.0;444.444
2024-03-13 13:00:00;5.486;48.304;0.0;333.333
2024-03-13 14:00:00;6.242;47.506;0.0;388.889
2024-03-13 15:00:00;6.93;46.873;0.0;333.333
2024-03-13 16:00:00;7.645;45.72;0.0;388.889
