Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-11 02:00:00;-3.527;86.927;0.809;nan
2024-03-11 03:00:00;-4.171;83.826;0.612;0.0
2024-03-11 04:00:00;-4.192;84.396;0.415;0.0
2024-03-11 05:00:00;-4.06;81.99;0.473;0.0
2024-03-11 06:00:00;-3.896;78.692;0.343;0.0
2024-03-11 07:00:00;-3.751;76.733;0.257;0.0
2024-03-11 08:00:00;-3.617;76.274;0.166;8.185
2024-03-11 09:00:00;-3.393;75.97;0.198;53.52
2024-03-11 10:00:00;-3.008;74.296;0.247;125.09
2024-03-11 11:00:00;-2.305;70.017;0.144;194.352
2024-03-11 12:00:00;-1.554;68.103;0.044;281.243
2024-03-11 13:00:00;-1.429;69.136;0.029;262.366
2024-03-11 14:00:00;-0.906;68.63;0.031;234.742
2024-03-11 15:00:00;-0.031;66.023;0.009;223.551
2024-03-11 16:00:00;1.211;61.659;0.0;305.006
2024-03-11 17:00:00;2.35;57.49;0.0;315.517
2024-03-11 18:00:00;2.589;50.941;0.0;212.511
2024-03-11 19:00:00;1.744;53.174;0.0;43.508
2024-03-11 20:00:00;1.155;56.676;0.0;0.0
2024-03-11 21:00:00;0.654;57.41;0.0;0.366
2024-03-11 22:00:00;0.19;58.104;0.0;0.0
2024-03-11 23:00:00;0.05;57.85;0.0;0.0
2024-03-12 00:00:00;-0.104;58.163;0.0;0.0
2024-03-12 01:00:00;-0.088;57.415;0.0;0.0
2024-03-12 02:00:00;0.062;56.07;0.0;0.0
2024-03-12 03:00:00;-0.004;56.579;0.0;0.0
2024-03-12 04:00:00;-0.194;59.084;0.0;0.0
2024-03-12 05:00:00;-0.423;61.732;0.0;0.0
2024-03-12 06:00:00;-1.237;66.125;0.0;0.0
2024-03-12 07:00:00;-1.786;69.286;0.0;0.0
2024-03-12 08:00:00;-1.909;70.405;0.0;31.902
2024-03-12 09:00:00;-0.477;65.01;0.0;196.451
2024-03-12 10:00:00;1.247;57.545;0.0;386.184
2024-03-12 11:00:00;2.61;50.846;0.0;547.375
2024-03-12 12:00:00;3.787;44.274;0.0;667.129
2024-03-12 13:00:00;4.867;39.125;0.0;738.916
2024-03-12 14:00:00;5.76;36.437;0.0;737.938
2024-03-12 15:00:00;6.312;36.993;0.0;683.928
2024-03-12 16:00:00;6.667;41.129;0.0;563.698
2024-03-12 17:00:00;6.687;46.634;0.0;400.942
2024-03-12 18:00:00;5.888;51.162;0.0;215.528
2024-03-12 19:00:00;4.11;57.531;0.0;48.143
2024-03-12 20:00:00;2.419;59.19;0.0;1.966
2024-03-12 21:00:00;0.762;60.91;0.0;0.143
2024-03-12 22:00:00;-1.033;66.224;0.0;0.0
2024-03-12 23:00:00;-2.51;69.885;0.0;0.0
2024-03-13 00:00:00;-3.138;69.26;0.0;0.0
2024-03-13 01:00:00;-3.598;69.319;0.0;0.0
2024-03-13 02:00:00;-3.795;75.261;0.0;0.0
2024-03-13 03:00:00;-4.349;76.88;0.0;0.0
2024-03-13 04:00:00;-4.942;79.418;0.0;0.0
2024-03-13 05:00:00;-5.592;82.076;0.0;0.0
2024-03-13 06:00:00;-6.127;84.32;0.0;0.0
2024-03-13 07:00:00;-6.757;86.82;0.0;0.0
2024-03-13 08:00:00;-6.695;84.13;0.0;55.556
2024-03-13 09:00:00;-4.284;72.361;0.0;166.667
2024-03-13 10:00:00;-1.43;62.947;0.0;277.778
2024-03-13 11:00:00;0.589;58.91;0.0;277.778
2024-03-13 12:00:00;2.01;56.016;0.0;222.222
2024-03-13 13:00:00;3.511;51.954;0.0;277.778
2024-03-13 14:00:00;4.792;48.106;0.0;277.778
2024-03-13 15:00:00;5.88;45.298;0.0;388.889
2024-03-13 16:00:00;6.895;43.47;0.0;444.444
2024-03-13 17:00:00;6.949;46.334;0.0;277.778
2024-03-13 18:00:00;6.283;53.49;0.013;111.111
2024-03-13 19:00:00;4.925;66.346;0.03;111.111
2024-03-13 20:00:00;4.12;72.146;0.0;0.0
2024-03-13 21:00:00;3.555;75.042;0.0;0.0
2024-03-13 22:00:00;2.896;78.523;0.0;0.0
2024-03-13 23:00:00;2.076;83.015;0.0;0.0
2024-03-14 00:00:00;1.689;84.884;0.0;0.0
2024-03-14 01:00:00;0.717;91.141;0.0;0.0
2024-03-14 02:00:00;-0.273;96.561;0.0;0.0
2024-03-14 03:00:00;-0.17;95.342;0.0;0.0
2024-03-14 04:00:00;0.194;95.387;0.001;0.0
2024-03-14 05:00:00;0.088;97.424;0.0;0.0
2024-03-14 06:00:00;-0.205;98.071;0.0;0.0
2024-03-14 07:00:00;0.059;97.329;0.004;0.0
2024-03-14 08:00:00;0.657;94.149;0.009;0.0
2024-03-14 09:00:00;2.38;85.479;0.005;111.111
2024-03-14 10:00:00;4.804;76.916;0.0;388.889
2024-03-14 11:00:00;6.738;71.782;0.0;500.0
2024-03-14 12:00:00;8.283;66.259;0.0;666.667
2024-03-14 13:00:00;9.36;62.776;0.0;611.111
2024-03-14 14:00:00;6.604;72.353;0.069;407.407
2024-03-14 15:00:00;7.173;71.056;0.046;407.407
2024-03-14 16:00:00;7.741;69.758;0.023;407.407
2024-03-14 17:00:00;8.309;68.46;0.0;407.407
2024-03-14 18:00:00;6.741;76.974;0.0;296.296
2024-03-14 19:00:00;5.174;85.488;0.0;185.185
2024-03-14 20:00:00;3.606;94.003;0.0;74.074
2024-03-14 21:00:00;3.024;95.033;0.0;49.383
2024-03-14 22:00:00;2.443;96.062;0.0;24.691
2024-03-14 23:00:00;1.861;97.092;0.0;0.0
2024-03-15 00:00:00;1.77;97.152;0.0;0.0
2024-03-15 01:00:00;1.679;97.212;0.0;0.0
2024-03-15 02:00:00;1.588;97.272;0.0;0.0
2024-03-15 03:00:00;1.538;97.451;0.0;0.0
2024-03-15 04:00:00;1.488;97.63;0.0;0.0
2024-03-15 05:00:00;1.438;97.809;0.0;0.0
2024-03-15 06:00:00;1.493;97.185;0.0;0.0
2024-03-15 07:00:00;1.548;96.562;0.0;0.0
2024-03-15 08:00:00;1.603;95.938;0.0;0.0
2024-03-15 09:00:00;2.32;95.033;0.126;49.383
2024-03-15 10:00:00;3.036;94.128;0.253;98.765
2024-03-15 11:00:00;3.753;93.223;0.379;148.148
2024-03-15 12:00:00;4.166;90.989;0.427;160.494
2024-03-15 13:00:00;4.58;88.754;0.475;172.84
2024-03-15 14:00:00;4.994;86.52;0.523;185.185
2024-03-15 15:00:00;5.178;87.248;0.369;197.531
2024-03-15 16:00:00;5.363;87.976;0.216;209.877
2024-03-15 17:00:00;5.547;88.704;0.063;222.222
2024-03-15 18:00:00;5.379;92.0;0.717;148.148
