Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-12 08:00:00;-4.21;75.513;0.0;nan
2024-03-12 09:00:00;-3.68;78.244;0.0;217.019
2024-03-12 10:00:00;-2.28;74.126;0.0;394.16
2024-03-12 11:00:00;-1.164;72.167;0.0;543.177
2024-03-12 12:00:00;-0.145;70.44;0.0;648.119
2024-03-12 13:00:00;0.808;68.434;0.0;696.527
2024-03-12 14:00:00;1.506;67.054;0.0;691.112
2024-03-12 15:00:00;2.026;66.69;0.0;623.469
2024-03-12 16:00:00;2.406;66.195;0.0;508.092
2024-03-12 17:00:00;2.207;66.673;0.0;344.505
2024-03-12 18:00:00;1.289;69.11;0.0;169.343
2024-03-12 19:00:00;-0.33;73.862;0.0;29.919
2024-03-12 20:00:00;-1.737;79.149;0.0;0.0
2024-03-12 21:00:00;-3.134;84.523;0.0;0.0
2024-03-12 22:00:00;-4.473;87.463;0.0;0.0
2024-03-12 23:00:00;-5.249;85.097;0.0;0.0
2024-03-13 00:00:00;-5.785;83.392;0.0;0.0
2024-03-13 01:00:00;-5.996;81.989;0.0;0.0
2024-03-13 02:00:00;-7.31;87.607;0.0;0.0
2024-03-13 03:00:00;-7.875;89.409;0.0;0.0
2024-03-13 04:00:00;-8.048;89.052;0.0;0.0
2024-03-13 05:00:00;-8.197;89.388;0.0;0.0
2024-03-13 06:00:00;-8.146;87.867;0.0;0.0
2024-03-13 07:00:00;-7.676;83.162;0.0;0.0
2024-03-13 08:00:00;-7.464;86.786;0.0;48.452
2024-03-13 09:00:00;-4.324;86.388;0.0;203.016
2024-03-13 10:00:00;-0.118;76.486;0.0;398.471
2024-03-13 11:00:00;2.554;74.727;0.0;542.973
2024-03-13 12:00:00;4.042;71.417;0.0;649.463
2024-03-13 13:00:00;4.924;69.261;0.0;631.843
2024-03-13 14:00:00;4.799;69.537;0.0;446.028
2024-03-13 15:00:00;4.233;71.906;0.0;205.019
2024-03-13 16:00:00;4.564;71.446;0.0;263.685
2024-03-13 17:00:00;4.585;73.196;0.0;336.611
2024-03-13 18:00:00;3.352;79.1;0.0;75.492
2024-03-13 19:00:00;2.429;83.194;0.0;18.404
2024-03-13 20:00:00;1.791;87.044;0.012;0.0
2024-03-13 21:00:00;1.308;91.534;0.002;0.0
2024-03-13 22:00:00;1.227;92.291;0.014;3.138
2024-03-13 23:00:00;1.424;90.345;0.04;0.0
2024-03-14 00:00:00;0.533;94.621;0.0;0.0
2024-03-14 01:00:00;0.211;95.212;0.0;0.0
2024-03-14 02:00:00;0.785;93.657;0.101;0.0
2024-03-14 03:00:00;0.664;95.156;0.003;0.0
2024-03-14 04:00:00;0.676;96.248;0.009;0.0
2024-03-14 05:00:00;-0.017;98.516;0.0;0.0
2024-03-14 06:00:00;-0.117;98.419;0.005;0.0
2024-03-14 07:00:00;0.198;97.623;0.065;0.0
2024-03-14 08:00:00;0.182;97.574;0.002;0.0
2024-03-14 09:00:00;0.582;96.727;0.062;55.556
2024-03-14 10:00:00;0.813;94.592;0.042;166.667
2024-03-14 11:00:00;1.167;91.405;0.128;166.667
2024-03-14 12:00:00;2.348;87.994;0.025;277.778
2024-03-14 13:00:00;4.259;81.918;0.0;555.556
2024-03-14 14:00:00;5.253;77.652;0.0;611.111
2024-03-14 15:00:00;5.409;77.416;0.0;444.444
2024-03-14 16:00:00;5.674;76.98;0.0;388.889
