Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-11 02:00:00;-2.791;88.218;0.149;nan
2024-03-11 03:00:00;-3.992;84.841;0.086;0.0
2024-03-11 04:00:00;-4.031;81.767;0.023;0.0
2024-03-11 05:00:00;-4.151;85.518;0.15;0.0
2024-03-11 06:00:00;-4.245;82.727;0.164;0.0
2024-03-11 07:00:00;-4.301;81.53;0.149;0.0
2024-03-11 08:00:00;-4.128;80.747;0.109;12.173
2024-03-11 09:00:00;-3.569;77.699;0.078;70.94
2024-03-11 10:00:00;-2.611;73.419;0.047;178.401
2024-03-11 11:00:00;-1.71;69.556;0.034;282.502
2024-03-11 12:00:00;-0.947;66.719;0.013;324.059
2024-03-11 13:00:00;0.122;63.533;0.004;437.828
2024-03-11 14:00:00;-0.019;64.203;0.002;427.834
2024-03-11 15:00:00;-0.424;67.937;0.005;268.886
2024-03-11 16:00:00;-0.523;70.029;0.003;172.36
2024-03-11 17:00:00;-0.109;70.68;0.003;93.881
2024-03-11 18:00:00;0.253;68.95;0.0;56.358
2024-03-11 19:00:00;-0.504;69.776;0.0;36.792
2024-03-11 20:00:00;-0.944;69.428;0.0;1.349
2024-03-11 21:00:00;-1.321;62.022;0.0;0.0
2024-03-11 22:00:00;-1.696;63.822;0.0;1.208
2024-03-11 23:00:00;-2.119;66.082;0.0;0.0
2024-03-12 00:00:00;-2.591;67.524;0.0;0.0
2024-03-12 01:00:00;-3.114;68.967;0.0;0.0
2024-03-12 02:00:00;-3.696;70.805;0.0;0.0
2024-03-12 03:00:00;-4.134;71.751;0.0;0.0
2024-03-12 04:00:00;-4.482;73.034;0.0;0.0
2024-03-12 05:00:00;-4.892;74.968;0.0;0.0
2024-03-12 06:00:00;-5.387;76.962;0.0;0.0
2024-03-12 07:00:00;-5.96;78.994;0.0;0.0
2024-03-12 08:00:00;-5.815;76.862;0.0;36.939
2024-03-12 09:00:00;-3.712;68.422;0.0;199.809
2024-03-12 10:00:00;-1.589;61.581;0.0;386.185
2024-03-12 11:00:00;0.039;54.812;0.0;550.733
2024-03-12 12:00:00;1.464;49.139;0.0;663.771
2024-03-12 13:00:00;3.023;46.596;0.0;718.767
2024-03-12 14:00:00;4.824;46.122;0.0;727.864
2024-03-12 15:00:00;5.82;38.953;0.0;667.137
2024-03-12 16:00:00;5.944;38.063;0.0;550.265
2024-03-12 17:00:00;5.684;41.377;0.0;394.227
2024-03-12 18:00:00;4.724;43.668;0.0;208.811
2024-03-12 19:00:00;2.764;46.44;0.0;41.427
2024-03-12 20:00:00;1.174;51.881;0.0;1.966
