Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-11 02:00:00;-3.474;90.824;0.301;nan
2024-03-11 03:00:00;-4.337;89.729;0.233;0.0
2024-03-11 04:00:00;-4.283;88.2;0.164;0.0
2024-03-11 05:00:00;-4.338;89.299;0.288;0.0
2024-03-11 06:00:00;-4.457;90.313;0.442;0.0
2024-03-11 07:00:00;-4.454;89.0;0.362;0.0
2024-03-11 08:00:00;-4.346;88.241;0.239;11.544
2024-03-11 09:00:00;-4.102;88.698;0.211;66.533
2024-03-11 10:00:00;-3.696;88.361;0.182;146.498
2024-03-11 11:00:00;-3.047;86.227;0.105;243.044
2024-03-11 12:00:00;-2.21;83.114;0.044;346.727
2024-03-11 13:00:00;-1.707;83.294;0.011;441.186
2024-03-11 14:00:00;-1.45;83.849;0.023;442.946
2024-03-11 15:00:00;-0.967;84.054;0.043;367.95
2024-03-11 16:00:00;-0.341;82.965;0.036;244.56
2024-03-11 17:00:00;0.165;81.448;0.001;174.476
2024-03-11 18:00:00;-0.174;78.773;0.0;178.93
2024-03-11 19:00:00;-1.022;78.861;0.0;41.829
2024-03-11 20:00:00;-1.589;76.576;0.0;1.349
2024-03-11 21:00:00;-2.132;78.163;0.0;0.0
2024-03-11 22:00:00;-2.656;79.018;0.0;1.208
2024-03-11 23:00:00;-3.177;79.317;0.0;0.0
2024-03-12 00:00:00;-3.636;79.676;0.0;0.0
2024-03-12 01:00:00;-3.975;80.151;0.0;0.0
2024-03-12 02:00:00;-4.117;80.904;0.0;0.0
2024-03-12 03:00:00;-4.12;81.205;0.0;0.0
2024-03-12 04:00:00;-4.333;81.542;0.0;0.0
2024-03-12 05:00:00;-4.732;82.37;0.0;0.0
2024-03-12 06:00:00;-5.458;82.981;0.0;0.0
2024-03-12 07:00:00;-6.408;83.26;0.0;0.0
2024-03-12 08:00:00;-6.247;81.704;0.0;36.939
2024-03-12 09:00:00;-4.052;80.367;0.0;204.846
2024-03-12 10:00:00;-1.98;80.096;0.0;399.617
2024-03-12 11:00:00;-0.467;78.977;0.0;564.165
2024-03-12 12:00:00;0.584;77.109;0.0;683.919
2024-03-12 13:00:00;1.453;74.981;0.0;745.632
2024-03-12 14:00:00;2.313;73.723;0.0;751.371
2024-03-12 15:00:00;3.166;72.826;0.0;683.927
2024-03-12 16:00:00;3.86;73.965;0.0;563.699
2024-03-12 17:00:00;4.102;76.08;0.0;404.3
2024-03-12 18:00:00;3.281;77.287;0.0;212.169
2024-03-12 19:00:00;1.304;77.684;0.0;44.784
2024-03-12 20:00:00;-0.584;71.803;0.0;0.0
2024-03-12 21:00:00;-2.073;75.275;0.0;3.501
2024-03-12 22:00:00;-3.001;74.479;0.0;0.0
2024-03-12 23:00:00;-3.499;70.53;0.0;0.0
2024-03-13 00:00:00;-5.123;78.668;0.0;0.0
2024-03-13 01:00:00;-6.94;83.454;0.0;0.0
2024-03-13 02:00:00;-6.995;86.761;0.0;0.0
2024-03-13 03:00:00;-7.574;87.755;0.0;0.0
2024-03-13 04:00:00;-7.942;87.768;0.0;0.0
2024-03-13 05:00:00;-8.317;87.776;0.0;0.0
2024-03-13 06:00:00;-9.077;88.72;0.0;0.0
2024-03-13 07:00:00;-9.732;88.645;0.0;0.0
2024-03-13 08:00:00;-9.445;86.23;0.0;55.556
2024-03-13 09:00:00;-7.259;77.561;0.0;222.222
2024-03-13 10:00:00;-3.83;68.747;0.0;333.333
2024-03-13 11:00:00;-0.736;63.085;0.0;388.889
2024-03-13 12:00:00;1.06;61.241;0.0;333.333
2024-03-13 13:00:00;2.536;58.204;0.0;333.333
2024-03-13 14:00:00;3.792;56.131;0.0;388.889
2024-03-13 15:00:00;4.73;56.048;0.0;333.333
2024-03-13 16:00:00;5.245;59.27;0.0;388.889
2024-03-13 17:00:00;5.449;63.434;0.0;277.778
