Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-11 02:00:00;-0.637;99.355;0.185;nan
2024-03-11 03:00:00;-0.96;96.993;0.202;0.0
2024-03-11 04:00:00;-0.875;96.893;0.22;0.0
2024-03-11 05:00:00;-0.718;96.885;0.12;0.0
2024-03-11 06:00:00;-0.619;98.246;0.844;0.0
2024-03-11 07:00:00;-0.524;98.893;2.401;0.0
2024-03-11 08:00:00;-0.649;98.433;3.398;5.877
2024-03-11 09:00:00;-0.57;95.016;0.824;20.988
2024-03-11 10:00:00;-0.233;91.935;0.116;39.878
2024-03-11 11:00:00;0.602;85.927;0.018;110.398
2024-03-11 12:00:00;1.54;78.663;0.023;266.971
2024-03-11 13:00:00;1.416;78.959;0.007;237.18
2024-03-11 14:00:00;0.906;81.128;0.003;128.961
2024-03-11 15:00:00;1.298;79.535;0.0;116.091
2024-03-11 16:00:00;1.478;79.575;0.001;123.667
2024-03-11 17:00:00;0.825;83.892;0.006;67.016
2024-03-11 18:00:00;0.802;81.885;0.033;34.53
2024-03-11 19:00:00;0.513;81.766;0.033;1.532
2024-03-11 20:00:00;0.451;81.049;0.094;0.0
2024-03-11 21:00:00;0.267;80.538;0.074;0.366
2024-03-11 22:00:00;-0.483;79.755;0.022;2.887
2024-03-11 23:00:00;-0.825;78.28;0.004;0.0
2024-03-12 00:00:00;-0.918;77.117;0.003;0.0
2024-03-12 01:00:00;-1.091;76.3;0.0;0.0
2024-03-12 02:00:00;-1.236;75.739;0.0;0.0
2024-03-12 03:00:00;-1.266;75.694;0.0;0.0
2024-03-12 04:00:00;-1.166;74.763;0.0;0.0
2024-03-12 05:00:00;-1.318;74.829;0.0;0.0
2024-03-12 06:00:00;-1.361;77.216;0.006;0.0
2024-03-12 07:00:00;-1.481;79.224;0.01;0.0
2024-03-12 08:00:00;-1.416;79.467;0.001;6.716
2024-03-12 09:00:00;-0.822;76.769;0.001;43.656
2024-03-12 10:00:00;-0.514;74.609;0.0;80.595
