Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-12 08:00:00;-3.702;80.287;0.0;nan
2024-03-12 09:00:00;-2.517;79.558;0.0;157.622
2024-03-12 10:00:00;1.083;67.346;0.0;340.64
2024-03-12 11:00:00;3.086;59.854;0.0;504.978
2024-03-12 12:00:00;4.697;53.976;0.0;627.13
2024-03-12 13:00:00;6.403;49.826;0.0;699.046
2024-03-12 14:00:00;7.724;49.483;0.0;712.94
2024-03-12 15:00:00;8.894;41.879;0.0;665.445
2024-03-12 16:00:00;9.424;37.187;0.0;563.501
2024-03-12 17:00:00;9.296;39.994;0.0;415.026
2024-03-12 18:00:00;7.97;44.138;0.0;231.469
2024-03-12 19:00:00;5.276;57.375;0.0;63.499
2024-03-12 20:00:00;5.037;58.05;0.0;0.0
2024-03-12 21:00:00;4.662;54.57;0.0;0.0
2024-03-12 22:00:00;0.241;72.221;0.0;0.0
2024-03-12 23:00:00;-1.827;82.791;0.0;0.0
2024-03-13 00:00:00;-0.672;77.535;0.0;0.0
2024-03-13 01:00:00;-0.52;74.795;0.0;0.0
2024-03-13 02:00:00;-0.095;69.621;0.0;0.0
2024-03-13 03:00:00;-0.048;66.973;0.0;0.0
2024-03-13 04:00:00;-0.265;63.388;0.0;0.0
2024-03-13 05:00:00;-1.247;58.743;0.0;0.0
2024-03-13 06:00:00;-1.394;57.292;0.0;0.0
2024-03-13 07:00:00;-1.238;58.697;0.0;0.0
2024-03-13 08:00:00;-1.091;58.401;0.0;13.192
2024-03-13 09:00:00;-0.172;57.38;0.0;102.272
2024-03-13 10:00:00;1.244;56.195;0.0;166.76
2024-03-13 11:00:00;3.663;52.061;0.0;452.303
2024-03-13 12:00:00;5.661;50.434;0.0;592.376
2024-03-13 13:00:00;7.167;50.214;0.0;665.424
2024-03-13 14:00:00;8.383;50.191;0.0;664.306
2024-03-13 15:00:00;9.182;50.392;0.0;634.859
2024-03-13 16:00:00;9.354;51.731;0.0;532.335
2024-03-13 17:00:00;8.882;55.257;0.0;366.834
2024-03-13 18:00:00;7.789;59.431;0.0;203.1
2024-03-13 19:00:00;5.771;66.753;0.0;65.418
2024-03-13 20:00:00;3.618;74.892;0.0;4.607
2024-03-13 21:00:00;2.215;79.382;0.0;0.0
2024-03-13 22:00:00;1.092;84.151;0.0;0.0
2024-03-13 23:00:00;0.222;86.771;0.0;0.0
2024-03-14 00:00:00;0.063;86.389;0.0;0.0
2024-03-14 01:00:00;-0.309;89.079;0.0;0.0
2024-03-14 02:00:00;-1.078;93.472;0.0;0.0
2024-03-14 03:00:00;-0.867;88.907;0.0;0.0
2024-03-14 04:00:00;-1.275;89.285;0.0;0.0
2024-03-14 05:00:00;-1.42;88.624;0.0;0.0
2024-03-14 06:00:00;-1.885;90.51;0.0;0.0
2024-03-14 07:00:00;-2.672;93.588;0.0;0.0
2024-03-14 08:00:00;-2.193;95.699;0.0;0.0
2024-03-14 09:00:00;0.032;87.502;0.0;166.667
2024-03-14 10:00:00;3.463;74.792;0.0;333.333
2024-03-14 11:00:00;6.567;66.38;0.0;500.0
2024-03-14 12:00:00;8.973;58.744;0.0;611.111
2024-03-14 13:00:00;10.709;54.293;0.0;666.667
2024-03-14 14:00:00;11.578;53.227;0.001;666.667
2024-03-14 15:00:00;12.409;51.591;0.0;555.556
2024-03-14 16:00:00;12.699;51.58;0.0;500.0
2024-03-14 17:00:00;12.557;52.19;0.0;388.889
2024-03-14 18:00:00;11.851;56.248;0.0;222.222
2024-03-14 19:00:00;9.878;66.227;0.0;0.0
2024-03-14 20:00:00;8.312;72.934;0.0;0.0
2024-03-14 21:00:00;7.668;76.288;0.004;0.0
2024-03-14 22:00:00;7.121;84.027;0.114;0.0
2024-03-14 23:00:00;6.355;95.448;0.316;0.0
2024-03-15 00:00:00;5.856;95.67;0.247;0.0
2024-03-15 01:00:00;5.3;94.185;0.039;0.0
2024-03-15 02:00:00;4.774;91.401;0.0;0.0
2024-03-15 03:00:00;4.426;88.6;0.0;0.0
2024-03-15 04:00:00;4.143;86.571;0.0;0.0
2024-03-15 05:00:00;3.76;85.251;0.0;0.0
2024-03-15 06:00:00;3.094;86.113;0.0;0.0
2024-03-15 07:00:00;2.568;86.524;0.0;0.0
2024-03-15 08:00:00;2.519;85.03;0.0;55.556
2024-03-15 09:00:00;2.997;82.694;0.005;55.556
2024-03-15 10:00:00;3.354;80.969;0.022;111.111
2024-03-15 11:00:00;3.479;79.664;0.029;222.222
2024-03-15 12:00:00;3.624;78.76;0.056;222.222
2024-03-15 13:00:00;4.092;76.746;0.055;166.667
2024-03-15 14:00:00;4.671;72.523;0.024;333.333
2024-03-15 15:00:00;5.106;68.814;0.021;222.222
2024-03-15 16:00:00;5.585;68.423;0.037;111.111
2024-03-15 17:00:00;5.665;71.527;0.044;111.111
2024-03-15 18:00:00;5.61;71.594;0.022;111.111
2024-03-15 19:00:00;5.059;67.866;0.0;111.111
2024-03-15 20:00:00;4.454;75.301;0.0;37.037
2024-03-15 21:00:00;3.901;78.502;0.029;24.691
2024-03-15 22:00:00;3.348;81.703;0.057;12.346
2024-03-15 23:00:00;2.795;84.905;0.086;0.0
2024-03-16 00:00:00;2.51;88.327;0.275;0.0
2024-03-16 01:00:00;2.224;91.75;0.463;0.0
2024-03-16 02:00:00;1.938;95.173;0.652;0.0
2024-03-16 03:00:00;1.822;95.401;0.694;0.0
2024-03-16 04:00:00;1.705;95.63;0.736;0.0
2024-03-16 05:00:00;1.589;95.859;0.777;0.0
2024-03-16 06:00:00;1.573;95.044;0.585;12.346
2024-03-16 07:00:00;1.557;94.23;0.393;24.691
2024-03-16 08:00:00;1.541;93.415;0.201;37.037
2024-03-16 09:00:00;2.121;88.718;0.148;61.728
2024-03-16 10:00:00;2.701;84.02;0.095;86.42
2024-03-16 11:00:00;3.281;79.323;0.043;111.111
2024-03-16 12:00:00;3.828;75.931;0.037;160.494
2024-03-16 13:00:00;4.376;72.54;0.031;209.877
2024-03-16 14:00:00;4.923;69.148;0.025;259.259
2024-03-16 15:00:00;5.343;67.903;0.017;234.568
2024-03-16 16:00:00;5.764;66.658;0.009;209.877
2024-03-16 17:00:00;6.184;65.414;0.0;185.185
2024-03-16 18:00:00;5.74;69.159;0.01;135.802
2024-03-16 19:00:00;5.296;72.904;0.021;86.42
2024-03-16 20:00:00;4.851;76.649;0.031;37.037
2024-03-16 21:00:00;4.025;83.377;0.228;24.691
2024-03-16 22:00:00;3.198;90.104;0.425;12.346
2024-03-16 23:00:00;2.371;96.832;0.623;0.0
2024-03-17 00:00:00;2.406;97.443;1.499;0.0
2024-03-17 01:00:00;2.44;98.055;2.375;0.0
2024-03-17 02:00:00;2.474;98.667;3.251;0.0
2024-03-17 03:00:00;2.876;98.115;2.469;0.0
2024-03-17 04:00:00;3.278;97.564;1.687;0.0
2024-03-17 05:00:00;3.68;97.013;0.905;0.0
2024-03-17 06:00:00;3.595;96.431;0.636;0.0
2024-03-17 07:00:00;3.509;95.849;0.367;0.0
2024-03-17 08:00:00;3.423;95.267;0.098;0.0
2024-03-17 09:00:00;3.654;94.947;0.255;61.728
2024-03-17 10:00:00;3.886;94.628;0.411;123.457
2024-03-17 11:00:00;4.117;94.308;0.568;185.185
2024-03-17 12:00:00;5.057;83.083;0.449;246.914
2024-03-17 13:00:00;5.997;71.858;0.33;308.642
2024-03-17 14:00:00;6.936;60.632;0.211;370.37
2024-03-17 15:00:00;5.856;66.156;0.164;345.679
2024-03-17 16:00:00;6.284;60.509;0.088;395.062
2024-03-17 17:00:00;6.682;62.019;1.147;370.37
2024-03-17 18:00:00;5.284;61.974;0.013;345.679
2024-03-17 19:00:00;3.855;69.086;0.013;246.914
2024-03-17 20:00:00;2.731;77.275;0.133;111.111
2024-03-17 21:00:00;1.318;83.246;0.009;98.765
2024-03-17 22:00:00;0.21;90.293;0.005;49.383
2024-03-17 23:00:00;2.134;97.862;0.818;0.0
