Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-12 08:00:00;-2.687;70.441;0.0;nan
2024-03-12 09:00:00;-1.893;72.71;0.0;216.809
2024-03-12 10:00:00;0.052;65.363;0.0;391.432
2024-03-12 11:00:00;1.357;61.353;0.0;537.72
2024-03-12 12:00:00;2.309;58.726;0.0;640.563
2024-03-12 13:00:00;3.057;57.712;0.0;688.972
2024-03-12 14:00:00;3.699;56.862;0.0;679.359
2024-03-12 15:00:00;4.149;56.636;0.0;611.715
2024-03-12 16:00:00;4.04;59.6;0.0;487.944
2024-03-12 17:00:00;2.599;71.722;0.0;310.924
2024-03-12 18:00:00;1.864;70.932;0.0;100.501
2024-03-12 19:00:00;0.73;76.675;0.0;11.449
2024-03-12 20:00:00;0.284;79.633;0.0;0.0
2024-03-12 21:00:00;-0.224;82.056;0.0;0.0
2024-03-12 22:00:00;-1.37;85.18;0.0;0.0
2024-03-12 23:00:00;-2.299;79.217;0.0;0.0
2024-03-13 00:00:00;-2.732;73.454;0.0;0.0
2024-03-13 01:00:00;-3.428;70.76;0.0;0.0
2024-03-13 02:00:00;-4.798;75.455;0.0;0.0
2024-03-13 03:00:00;-5.32;76.98;0.0;0.0
2024-03-13 04:00:00;-5.06;74.503;0.0;0.0
2024-03-13 05:00:00;-5.149;74.677;0.0;0.0
2024-03-13 06:00:00;-5.503;75.854;0.0;0.0
2024-03-13 07:00:00;-5.24;72.302;0.0;0.626
2024-03-13 08:00:00;-6.493;86.14;0.0;53.489
2024-03-13 09:00:00;-2.828;79.885;0.0;219.806
2024-03-13 10:00:00;0.477;76.994;0.0;391.754
2024-03-13 11:00:00;1.905;71.061;0.0;536.257
2024-03-13 12:00:00;2.036;70.379;0.0;639.389
2024-03-13 13:00:00;2.57;72.143;0.0;688.932
2024-03-13 14:00:00;3.531;70.828;0.0;677.739
2024-03-13 15:00:00;3.479;73.45;0.0;507.25
2024-03-13 16:00:00;2.608;80.185;0.0;213.313
2024-03-13 17:00:00;2.3;81.797;0.0;148.556
2024-03-13 18:00:00;1.826;85.625;0.0;51.984
2024-03-13 19:00:00;1.362;88.774;0.006;15.046
2024-03-13 20:00:00;0.653;89.166;0.004;0.0
2024-03-13 21:00:00;0.185;91.488;0.002;0.0
2024-03-13 22:00:00;-0.345;92.498;0.0;3.138
2024-03-13 23:00:00;-0.619;93.573;0.0;0.0
2024-03-14 00:00:00;-0.503;93.883;0.003;0.0
2024-03-14 01:00:00;-0.432;94.474;0.004;0.0
2024-03-14 02:00:00;-0.492;95.501;0.0;0.0
2024-03-14 03:00:00;-0.502;96.125;0.0;0.0
2024-03-14 04:00:00;-0.466;96.295;0.0;0.0
2024-03-14 05:00:00;-0.492;96.717;0.0;0.0
2024-03-14 06:00:00;-0.415;97.381;0.047;0.0
2024-03-14 07:00:00;-0.341;98.915;0.29;0.0
2024-03-14 08:00:00;-0.518;95.449;0.0;0.0
2024-03-14 09:00:00;0.032;93.702;0.096;111.111
2024-03-14 10:00:00;0.263;93.867;0.171;111.111
2024-03-14 11:00:00;0.417;93.505;0.21;222.222
2024-03-14 12:00:00;1.348;89.844;0.03;333.333
2024-03-14 13:00:00;2.734;85.468;0.0;555.556
2024-03-14 14:00:00;3.378;84.427;0.0;611.111
2024-03-14 15:00:00;3.784;84.416;0.0;388.889
2024-03-14 16:00:00;4.099;84.305;0.0;388.889
2024-03-14 17:00:00;3.832;85.99;0.0;277.778
2024-03-14 18:00:00;2.351;91.223;0.0;166.667
2024-03-14 19:00:00;0.478;96.677;0.0;55.556
2024-03-14 20:00:00;-0.263;96.759;0.001;0.0
2024-03-14 21:00:00;-0.907;95.788;0.002;0.0
2024-03-14 22:00:00;-1.379;95.502;0.004;0.0
2024-03-14 23:00:00;-1.645;96.048;0.007;0.0
2024-03-15 00:00:00;-1.919;95.995;0.006;0.0
2024-03-15 01:00:00;-2.2;95.56;0.003;0.0
2024-03-15 02:00:00;-2.401;94.376;0.002;0.0
2024-03-15 03:00:00;-2.024;93.5;0.001;0.0
2024-03-15 04:00:00;-1.832;93.546;0.0;0.0
2024-03-15 05:00:00;-1.99;93.351;0.002;0.0
2024-03-15 06:00:00;-2.406;94.088;0.003;0.0
2024-03-15 07:00:00;-2.907;94.224;0.002;0.0
2024-03-15 08:00:00;-2.381;92.98;0.002;0.0
2024-03-15 09:00:00;-0.978;89.544;0.002;166.667
2024-03-15 10:00:00;0.104;88.119;0.001;222.222
2024-03-15 11:00:00;0.604;87.289;0.0;333.333
2024-03-15 12:00:00;0.824;86.81;0.0;444.444
2024-03-15 13:00:00;1.042;86.346;0.0;500.0
2024-03-15 14:00:00;1.496;85.148;0.0;555.556
2024-03-15 15:00:00;1.856;85.014;0.0;555.556
2024-03-15 16:00:00;1.985;85.173;0.0;444.444
2024-03-15 17:00:00;1.515;86.627;0.0;333.333
2024-03-15 18:00:00;0.66;89.519;0.0;222.222
2024-03-15 19:00:00;-0.091;91.891;0.0;0.0
2024-03-15 20:00:00;-0.771;87.301;0.0;37.037
2024-03-15 21:00:00;-0.532;85.169;0.005;24.691
2024-03-15 22:00:00;-0.293;83.037;0.01;12.346
2024-03-15 23:00:00;-0.055;80.905;0.015;0.0
2024-03-16 00:00:00;-0.24;82.744;0.065;0.0
2024-03-16 01:00:00;-0.426;84.583;0.114;0.0
2024-03-16 02:00:00;-0.612;86.423;0.164;0.0
2024-03-16 03:00:00;-0.787;88.318;0.181;0.0
2024-03-16 04:00:00;-0.962;90.213;0.199;0.0
2024-03-16 05:00:00;-1.136;92.109;0.217;0.0
2024-03-16 06:00:00;-1.177;90.877;0.187;0.0
2024-03-16 07:00:00;-1.218;89.646;0.157;0.0
2024-03-16 08:00:00;-1.259;88.415;0.128;0.0
2024-03-16 09:00:00;-0.812;85.718;0.12;61.728
2024-03-16 10:00:00;-0.365;83.02;0.112;123.457
2024-03-16 11:00:00;0.081;80.323;0.104;185.185
2024-03-16 12:00:00;0.545;79.015;0.072;271.605
2024-03-16 13:00:00;1.009;77.706;0.041;358.025
2024-03-16 14:00:00;1.473;76.398;0.009;444.444
2024-03-16 15:00:00;1.377;78.487;0.033;358.025
2024-03-16 16:00:00;1.28;80.575;0.057;271.605
2024-03-16 17:00:00;1.184;82.664;0.081;185.185
2024-03-16 18:00:00;0.798;86.326;0.189;135.802
2024-03-16 19:00:00;0.412;89.987;0.298;86.42
2024-03-16 20:00:00;0.026;93.649;0.407;37.037
2024-03-16 21:00:00;-0.059;94.793;0.766;24.691
2024-03-16 22:00:00;-0.144;95.938;1.126;12.346
2024-03-16 23:00:00;-0.229;97.082;1.486;0.0
2024-03-17 00:00:00;-0.461;97.193;1.153;0.0
2024-03-17 01:00:00;-0.693;97.305;0.819;0.0
2024-03-17 02:00:00;-0.926;97.417;0.486;0.0
2024-03-17 03:00:00;-0.715;97.532;0.962;0.0
2024-03-17 04:00:00;-0.505;97.648;1.439;0.0
2024-03-17 05:00:00;-0.295;97.763;1.916;0.0
2024-03-17 06:00:00;0.045;96.264;1.34;0.0
2024-03-17 07:00:00;0.384;94.766;0.764;0.0
2024-03-17 08:00:00;0.723;93.267;0.188;0.0
2024-03-17 09:00:00;1.338;94.531;1.869;61.728
2024-03-17 10:00:00;1.952;95.795;3.55;123.457
2024-03-17 11:00:00;2.567;97.058;5.231;185.185
2024-03-17 12:00:00;2.44;97.666;5.365;172.84
2024-03-17 13:00:00;2.313;98.274;5.5;160.494
2024-03-17 14:00:00;2.186;98.882;5.634;148.148
2024-03-17 15:00:00;1.348;78.073;0.046;320.988
2024-03-17 16:00:00;1.467;78.593;0.035;271.605
2024-03-17 17:00:00;5.032;82.519;0.28;148.148
2024-03-17 18:00:00;0.867;83.474;0.035;172.84
2024-03-17 19:00:00;0.147;87.836;0.046;123.457
2024-03-17 20:00:00;1.781;98.025;0.101;0.0
2024-03-17 21:00:00;-0.957;92.912;0.066;49.383
2024-03-17 22:00:00;-1.34;93.626;0.076;24.691
2024-03-17 23:00:00;0.934;96.362;0.112;0.0
2024-03-18 00:00:00;-2.606;94.222;0.057;0.0
2024-03-18 01:00:00;-3.489;94.103;0.029;0.0
2024-03-18 02:00:00;1.725;97.685;0.253;0.0
2024-03-18 03:00:00;-4.459;93.932;0.004;0.0
2024-03-18 04:00:00;-4.547;93.879;0.007;0.0
2024-03-18 05:00:00;0.724;92.473;0.099;0.0
2024-03-18 06:00:00;-4.529;92.56;0.019;0.0
2024-03-18 07:00:00;-4.423;91.295;0.028;0.0
2024-03-18 08:00:00;0.379;93.014;0.038;37.037
2024-03-18 09:00:00;-3.662;83.031;0.064;49.383
2024-03-18 10:00:00;-3.007;76.033;0.09;98.765
2024-03-18 11:00:00;1.795;77.751;0.013;259.259
2024-03-18 12:00:00;-2.093;66.626;0.103;271.605
2024-03-18 13:00:00;-1.835;64.218;0.089;395.062
2024-03-18 14:00:00;4.34;75.485;0.029;518.519
2024-03-18 15:00:00;-1.659;61.543;0.058;444.444
2024-03-18 16:00:00;-1.741;61.277;0.04;370.37
2024-03-18 17:00:00;1.469;68.643;0.0;518.519
2024-03-18 18:00:00;-2.341;61.446;0.019;222.222
2024-03-18 19:00:00;-2.86;61.882;0.017;148.148
2024-03-18 20:00:00;1.038;86.957;0.0;37.037
2024-03-18 21:00:00;-4.554;61.723;0.032;49.383
2024-03-18 22:00:00;-5.73;61.13;0.049;24.691
2024-03-18 23:00:00;-0.537;93.61;0.023;0.0
2024-03-19 00:00:00;-7.729;62.737;0.044;0.0
2024-03-19 01:00:00;-8.551;64.938;0.022;0.0
2024-03-19 02:00:00;-2.537;94.083;0.015;0.0
2024-03-19 03:00:00;-9.675;68.285;0.003;0.0
2024-03-19 04:00:00;-9.977;69.431;0.006;0.0
2024-03-19 05:00:00;-3.007;79.232;0.032;0.0
2024-03-19 06:00:00;-10.198;68.885;0.041;0.0
2024-03-19 07:00:00;-10.117;67.193;0.074;0.0
2024-03-19 08:00:00;-4.202;77.342;0.0;74.074
2024-03-19 09:00:00;-8.055;65.151;0.084;98.765
2024-03-19 10:00:00;-6.073;64.802;0.062;197.531
2024-03-19 11:00:00;-2.528;71.704;0.08;222.222
2024-03-19 12:00:00;-3.547;65.381;0.082;345.679
2024-03-19 13:00:00;-3.003;66.31;0.122;395.062
2024-03-19 14:00:00;-1.841;66.971;0.191;444.444
2024-03-19 15:00:00;-2.187;69.564;0.288;370.37
2024-03-19 16:00:00;-1.914;71.889;0.413;296.296
2024-03-19 17:00:00;-1.826;67.407;0.105;296.296
2024-03-19 18:00:00;-1.796;75.508;0.697;148.148
2024-03-19 19:00:00;-1.951;76.802;0.856;74.074
2024-03-19 20:00:00;-3.795;64.035;0.024;74.074
2024-03-19 21:00:00;-2.109;87.46;1.931;0.0
2024-03-19 22:00:00;-2.282;87.335;1.564;0.0
2024-03-19 23:00:00;-4.162;67.126;0.001;0.0
2024-03-20 00:00:00;-2.466;87.48;1.054;0.0
2024-03-20 01:00:00;-2.477;87.75;0.912;0.0
2024-03-20 02:00:00;-6.02;70.62;0.0;0.0
2024-03-20 03:00:00;-2.242;88.493;0.819;0.0
2024-03-20 04:00:00;-1.997;88.966;0.868;0.0
2024-03-20 05:00:00;-4.137;79.069;0.163;0.0
2024-03-20 06:00:00;-1.282;88.627;0.937;0.32
2024-03-20 07:00:00;-0.813;87.813;0.956;0.64
2024-03-20 08:00:00;-7.064;68.368;0.0;74.984
2024-03-20 09:00:00;-3.154;70.134;0.059;128.208
2024-03-20 10:00:00;-2.604;68.803;0.067;181.432
2024-03-20 11:00:00;-1.117;60.18;0.0;382.516
2024-03-20 12:00:00;-1.622;67.352;0.119;283.682
2024-03-20 13:00:00;-1.189;67.232;0.162;332.707
2024-03-20 14:00:00;-2.024;53.629;0.0;751.95
2024-03-20 15:00:00;-0.482;65.976;0.145;381.603
2024-03-20 16:00:00;-0.207;64.841;0.087;381.473
2024-03-20 17:00:00;-1.115;60.515;0.0;458.944
2024-03-20 18:00:00;-0.499;64.803;0.07;257.894
2024-03-20 19:00:00;-1.065;65.901;0.111;134.444
2024-03-20 20:00:00;-3.627;66.892;0.0;13.128
2024-03-20 21:00:00;-2.47;80.867;0.029;11.36
2024-03-20 22:00:00;-2.378;81.823;0.032;11.11
2024-03-20 23:00:00;-2.286;82.78;0.036;10.859
2024-03-21 00:00:00;-1.674;80.23;0.05;11.294
2024-03-21 01:00:00;-1.062;77.681;0.063;11.73
2024-03-21 02:00:00;-1.972;77.16;0.007;10.845
2024-03-21 03:00:00;-0.603;78.448;0.312;12.255
2024-03-21 04:00:00;-0.757;81.765;0.548;12.346
2024-03-21 05:00:00;-0.912;85.083;0.784;12.436
2024-03-21 06:00:00;-0.423;85.229;1.031;11.675
2024-03-21 07:00:00;0.065;85.375;1.277;10.913
2024-03-21 08:00:00;-5.874;74.594;0.016;12.369
2024-03-21 09:00:00;0.684;72.43;0.033;110.767
2024-03-21 10:00:00;2.111;65.594;0.018;210.304
2024-03-21 11:00:00;3.539;58.759;0.004;309.841
2024-03-21 12:00:00;3.883;62.911;0.071;334.536
2024-03-21 13:00:00;4.228;67.064;0.137;359.232
2024-03-21 14:00:00;-0.351;67.583;0.03;456.069
2024-03-21 15:00:00;4.516;77.783;0.403;285.007
2024-03-21 16:00:00;4.458;84.349;0.602;186.087
2024-03-21 17:00:00;4.4;90.916;0.802;87.167
2024-03-21 18:00:00;4.418;91.341;0.638;62.266
2024-03-21 19:00:00;4.436;91.766;0.475;37.365
2024-03-21 20:00:00;-0.684;88.168;0.247;87.195
