Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-11 02:00:00;-6.147;85.728;0.214;nan
2024-03-11 03:00:00;-6.513;86.017;0.189;0.0
2024-03-11 04:00:00;-6.391;84.857;0.164;0.0
2024-03-11 05:00:00;-6.311;84.065;0.126;0.0
2024-03-11 06:00:00;-6.309;82.381;0.098;0.0
2024-03-11 07:00:00;-6.26;81.115;0.07;0.0
2024-03-11 08:00:00;-6.041;81.739;0.073;5.877
2024-03-11 09:00:00;-5.576;78.921;0.042;34.421
2024-03-11 10:00:00;-5.285;77.731;0.01;49.113
2024-03-11 11:00:00;-4.243;73.499;0.001;96.126
2024-03-11 12:00:00;-3.569;70.478;0.0;209.043
2024-03-11 13:00:00;-2.583;67.084;0.0;273.28
2024-03-11 14:00:00;-0.981;59.499;0.0;417.76
2024-03-11 15:00:00;0.921;49.628;0.0;655.07
2024-03-11 16:00:00;1.361;44.273;0.0;555.186
2024-03-11 17:00:00;1.507;43.379;0.0;407.866
2024-03-11 18:00:00;1.001;47.298;0.0;229.302
2024-03-11 19:00:00;-0.328;51.167;0.0;56.941
2024-03-11 20:00:00;-1.2;53.148;0.0;0.0
2024-03-11 21:00:00;-2.177;55.911;0.0;0.366
2024-03-11 22:00:00;-3.162;60.317;0.0;1.209
2024-03-11 23:00:00;-3.838;63.891;0.0;0.0
2024-03-12 00:00:00;-3.356;60.907;0.0;0.0
2024-03-12 01:00:00;-2.927;58.752;0.0;0.0
2024-03-12 02:00:00;-3.036;58.422;0.0;0.0
2024-03-12 03:00:00;-5.206;65.756;0.0;0.0
2024-03-12 04:00:00;-7.367;75.04;0.0;0.0
2024-03-12 05:00:00;-9.048;80.294;0.0;0.0
2024-03-12 06:00:00;-9.572;74.218;0.0;0.0
2024-03-12 07:00:00;-10.048;70.462;0.0;0.0
2024-03-12 08:00:00;-11.173;75.778;0.0;21.828
2024-03-12 09:00:00;-7.958;76.839;0.0;164.548
2024-03-12 10:00:00;-3.399;63.333;0.0;342.529
2024-03-12 11:00:00;-0.357;53.636;0.0;503.719
2024-03-12 12:00:00;2.615;44.228;0.0;623.473
2024-03-12 13:00:00;3.967;32.092;0.0;691.902
2024-03-12 14:00:00;4.838;27.929;0.0;704.358
2024-03-12 15:00:00;5.803;28.416;0.0;657.062
2024-03-12 16:00:00;6.587;31.514;0.0;553.624
2024-03-12 17:00:00;6.493;29.386;0.0;404.3
2024-03-12 18:00:00;5.408;27.965;0.0;225.602
2024-03-12 19:00:00;1.982;36.963;0.0;64.933
2024-03-12 20:00:00;-0.437;46.647;0.0;0.0
2024-03-12 21:00:00;-2.207;55.86;0.0;0.142
2024-03-12 22:00:00;-3.768;61.705;0.0;0.0
2024-03-12 23:00:00;-6.015;69.654;0.0;0.0
2024-03-13 00:00:00;-7.77;80.651;0.0;0.0
2024-03-13 01:00:00;-8.911;82.647;0.0;0.0
2024-03-13 02:00:00;-8.695;88.536;0.0;0.0
2024-03-13 03:00:00;-9.224;87.63;0.0;0.0
2024-03-13 04:00:00;-9.467;87.143;0.0;0.0
2024-03-13 05:00:00;-9.692;87.226;0.0;0.0
2024-03-13 06:00:00;-9.752;86.995;0.0;0.0
2024-03-13 07:00:00;-9.282;84.845;0.0;0.0
2024-03-13 08:00:00;-8.22;79.505;0.0;0.0
2024-03-13 09:00:00;-5.359;68.436;0.0;111.111
2024-03-13 10:00:00;-3.055;63.272;0.061;111.111
2024-03-13 11:00:00;-0.886;61.01;0.036;166.667
2024-03-13 12:00:00;0.96;57.341;0.0;222.222
2024-03-13 13:00:00;2.011;54.754;0.0;222.222
2024-03-13 14:00:00;3.567;51.431;0.0;277.778
2024-03-13 15:00:00;5.23;49.798;0.0;444.444
2024-03-13 16:00:00;6.145;50.67;0.0;333.333
2024-03-13 17:00:00;6.149;55.759;0.008;333.333
2024-03-13 18:00:00;5.483;64.74;0.075;55.556
2024-03-13 19:00:00;4.075;79.496;0.109;0.0
2024-03-13 20:00:00;2.995;85.746;0.01;0.0
2024-03-13 21:00:00;2.38;87.892;0.002;0.0
2024-03-13 22:00:00;1.721;89.048;0.0;0.0
2024-03-13 23:00:00;1.376;89.44;0.007;0.0
2024-03-14 00:00:00;0.839;92.834;0.056;0.0
2024-03-14 01:00:00;0.267;95.566;0.013;0.0
2024-03-14 02:00:00;-0.573;97.236;0.005;0.0
2024-03-14 03:00:00;-1.12;97.192;0.017;0.0
2024-03-14 04:00:00;-1.081;97.737;0.015;0.0
2024-03-14 05:00:00;-0.462;98.474;0.037;0.0
2024-03-14 06:00:00;0.27;99.021;0.053;0.0
2024-03-14 07:00:00;0.859;98.704;0.023;0.0
2024-03-14 08:00:00;1.432;96.124;0.013;55.556
2024-03-14 09:00:00;2.205;89.004;0.022;111.111
2024-03-14 10:00:00;2.829;84.141;0.027;111.111
2024-03-14 11:00:00;3.488;80.732;0.022;222.222
2024-03-14 12:00:00;4.383;76.684;0.011;277.778
2024-03-14 13:00:00;5.285;73.101;0.003;444.444
2024-03-14 14:00:00;6.954;65.353;0.001;555.556
2024-03-14 15:00:00;7.489;60.889;0.001;530.864
2024-03-14 16:00:00;8.024;56.424;0.0;506.173
2024-03-14 17:00:00;8.559;51.96;0.0;481.481
2024-03-14 18:00:00;6.275;62.308;0.0;345.679
2024-03-14 19:00:00;3.99;72.655;0.0;209.877
2024-03-14 20:00:00;1.706;83.003;0.0;74.074
2024-03-14 21:00:00;0.466;87.033;0.0;49.383
2024-03-14 22:00:00;-0.774;91.062;0.0;24.691
2024-03-14 23:00:00;-2.014;95.092;0.0;0.0
2024-03-15 00:00:00;-2.713;95.069;0.0;0.0
2024-03-15 01:00:00;-3.413;95.045;0.0;0.0
2024-03-15 02:00:00;-4.112;95.022;0.0;0.0
2024-03-15 03:00:00;-4.404;94.701;0.0;0.0
2024-03-15 04:00:00;-4.695;94.38;0.0;0.0
2024-03-15 05:00:00;-4.987;94.059;0.0;0.0
2024-03-15 06:00:00;-4.44;91.352;0.0;12.346
2024-03-15 07:00:00;-3.894;88.645;0.0;24.691
2024-03-15 08:00:00;-3.347;85.938;0.0;37.037
2024-03-15 09:00:00;-1.064;77.366;0.0;74.074
2024-03-15 10:00:00;1.219;68.795;0.0;111.111
2024-03-15 11:00:00;3.503;60.223;0.0;148.148
2024-03-15 12:00:00;4.733;57.739;0.0;209.877
2024-03-15 13:00:00;5.964;55.254;0.0;271.605
2024-03-15 14:00:00;7.194;52.77;0.0;333.333
2024-03-15 15:00:00;7.245;53.165;0.0;308.642
2024-03-15 16:00:00;7.296;53.559;0.0;283.951
2024-03-15 17:00:00;7.347;53.954;0.0;259.259
2024-03-15 18:00:00;6.154;62.416;0.05;185.185
2024-03-15 19:00:00;4.962;70.879;0.099;111.111
2024-03-15 20:00:00;3.769;79.341;0.149;37.037
2024-03-15 21:00:00;3.28;84.021;0.238;24.691
2024-03-15 22:00:00;2.791;88.701;0.328;12.346
2024-03-15 23:00:00;2.302;93.381;0.417;0.0
2024-03-16 00:00:00;1.913;94.383;0.581;0.0
2024-03-16 01:00:00;1.524;95.385;0.746;0.0
2024-03-16 02:00:00;1.135;96.387;0.91;0.0
2024-03-16 03:00:00;1.011;96.519;0.945;0.0
2024-03-16 04:00:00;0.886;96.651;0.98;0.0
2024-03-16 05:00:00;0.761;96.783;1.014;0.0
2024-03-16 06:00:00;0.727;95.859;0.687;0.0
2024-03-16 07:00:00;0.692;94.934;0.36;0.0
2024-03-16 08:00:00;0.657;94.01;0.032;0.0
