Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-12 08:00:00;-3.135;68.02;0.0;nan
2024-03-12 09:00:00;-3.385;71.465;0.0;137.683
2024-03-12 10:00:00;-2.068;68.269;0.0;321.541
2024-03-12 11:00:00;-0.475;65.388;0.0;450.829
2024-03-12 12:00:00;0.868;62.277;0.0;583.475
2024-03-12 13:00:00;1.771;59.626;0.0;701.564
2024-03-12 14:00:00;2.621;57.53;0.0;699.508
2024-03-12 15:00:00;3.263;58.458;0.0;643.617
2024-03-12 16:00:00;3.665;60.177;0.0;529.92
2024-03-12 17:00:00;3.192;61.715;0.0;379.766
2024-03-12 18:00:00;2.288;63.599;0.0;197.887
2024-03-12 19:00:00;0.465;65.723;0.0;36.635
2024-03-12 20:00:00;-1.621;68.611;0.0;0.0
2024-03-12 21:00:00;-3.066;72.925;0.0;0.0
2024-03-12 22:00:00;-4.097;77.94;0.0;0.0
2024-03-12 23:00:00;-4.658;77.834;0.0;0.0
2024-03-13 00:00:00;-5.225;75.714;0.0;0.0
2024-03-13 01:00:00;-6.116;76.04;0.0;0.0
2024-03-13 02:00:00;-6.76;74.809;0.0;0.0
2024-03-13 03:00:00;-7.365;73.037;0.0;0.0
2024-03-13 04:00:00;-8.149;74.526;0.0;0.0
2024-03-13 05:00:00;-8.542;74.884;0.0;0.0
2024-03-13 06:00:00;-8.639;73.825;0.0;0.0
2024-03-13 07:00:00;-8.978;73.339;0.0;0.626
2024-03-13 08:00:00;-9.287;81.39;0.0;31.662
2024-03-13 09:00:00;-5.311;88.809;0.0;209.732
2024-03-13 10:00:00;-1.89;83.012;0.0;378.322
2024-03-13 11:00:00;0.367;80.261;0.0;378.425
2024-03-13 12:00:00;1.2;80.617;0.0;276.711
2024-03-13 13:00:00;2.341;76.985;0.0;467.295
2024-03-13 14:00:00;1.937;76.823;0.0;244.541
2024-03-13 15:00:00;2.545;75.134;0.0;201.661
2024-03-13 16:00:00;3.31;75.896;0.003;223.388
2024-03-13 17:00:00;3.793;76.217;0.0;192.212
2024-03-13 18:00:00;3.222;78.823;0.002;102.357
2024-03-13 19:00:00;2.329;83.978;0.001;25.121
2024-03-13 20:00:00;2.372;86.076;0.026;0.0
2024-03-13 21:00:00;2.397;88.213;0.001;0.0
2024-03-13 22:00:00;2.615;91.922;0.0;3.138
2024-03-13 23:00:00;2.373;93.573;0.0;0.0
2024-03-14 00:00:00;2.02;93.053;0.0;0.0
2024-03-14 01:00:00;1.55;91.154;0.0;0.0
