Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-11 02:00:00;-0.681;93.844;1.428;nan
2024-03-11 03:00:00;-0.361;90.675;0.813;0.0
2024-03-11 04:00:00;-0.248;92.351;0.198;0.0
2024-03-11 05:00:00;-0.143;93.842;0.224;0.0
2024-03-11 06:00:00;-0.074;94.441;0.387;0.0
2024-03-11 07:00:00;-0.111;94.419;0.316;0.944
2024-03-11 08:00:00;0.087;93.637;0.058;30.958
2024-03-11 09:00:00;0.546;92.365;0.01;95.287
2024-03-11 10:00:00;0.899;90.921;0.006;119.633
2024-03-11 11:00:00;0.899;91.115;0.068;122.572
2024-03-11 12:00:00;1.09;90.077;0.017;121.732
2024-03-11 13:00:00;1.155;89.704;0.048;173.376
2024-03-11 14:00:00;1.147;90.167;0.046;157.505
2024-03-11 15:00:00;1.062;91.156;0.063;137.919
2024-03-11 16:00:00;0.861;90.252;0.051;132.062
2024-03-11 17:00:00;0.309;89.565;0.071;40.151
2024-03-11 18:00:00;-0.118;88.434;0.307;14.382
2024-03-11 19:00:00;-0.607;95.739;0.717;0.0
2024-03-11 20:00:00;-0.697;94.838;0.754;0.0
2024-03-11 21:00:00;-0.535;91.744;0.263;0.366
2024-03-11 22:00:00;-0.173;87.411;0.016;0.0
2024-03-11 23:00:00;0.108;90.478;0.029;1.195
2024-03-12 00:00:00;0.412;90.237;0.014;0.0
2024-03-12 01:00:00;0.5;91.841;0.04;0.0
2024-03-12 02:00:00;0.561;90.289;0.002;0.0
2024-03-12 03:00:00;0.326;91.097;0.0;0.0
2024-03-12 04:00:00;0.384;90.028;0.012;0.0
2024-03-12 05:00:00;0.282;89.541;0.128;0.0
2024-03-12 06:00:00;0.239;88.169;0.013;0.0
2024-03-12 07:00:00;-0.058;85.519;0.0;1.679
2024-03-12 08:00:00;0.28;84.194;0.0;45.335
2024-03-12 09:00:00;0.944;82.834;0.0;114.176
2024-03-12 10:00:00;1.163;81.457;0.0;151.116
2024-03-12 11:00:00;1.29;82.666;0.031;184.697
2024-03-12 12:00:00;1.229;83.45;0.096;210.424
2024-03-12 13:00:00;1.283;80.953;0.059;228.481
2024-03-12 14:00:00;1.244;79.695;0.039;167.057
2024-03-12 15:00:00;1.176;80.136;0.048;133.194
2024-03-12 16:00:00;1.205;81.205;0.03;76.77
2024-03-12 17:00:00;1.26;81.568;0.015;58.413
2024-03-12 18:00:00;1.232;82.245;0.01;20.757
2024-03-12 19:00:00;1.224;81.858;0.006;1.129
2024-03-12 20:00:00;1.096;83.448;0.003;0.0
2024-03-12 21:00:00;0.965;83.253;0.002;0.143
2024-03-12 22:00:00;0.785;84.072;0.0;0.0
2024-03-12 23:00:00;0.635;84.873;0.0;0.0
2024-03-13 00:00:00;0.69;85.263;0.0;0.0
2024-03-13 01:00:00;0.834;85.622;0.0;0.0
2024-03-13 02:00:00;1.105;78.561;0.013;0.0
2024-03-13 03:00:00;1.076;78.605;0.0;0.0
2024-03-13 04:00:00;1.133;77.993;0.0;0.0
2024-03-13 05:00:00;1.158;77.026;0.0;0.0
2024-03-13 06:00:00;0.923;76.72;0.0;0.0
2024-03-13 07:00:00;0.743;75.32;0.0;0.0
2024-03-13 08:00:00;1.155;73.255;0.0;111.111
2024-03-13 09:00:00;2.191;70.561;0.0;222.222
2024-03-13 10:00:00;3.32;67.797;0.0;444.444
2024-03-13 11:00:00;4.189;65.76;0.0;500.0
2024-03-13 12:00:00;4.81;66.166;0.0;555.556
2024-03-13 13:00:00;5.136;66.979;0.0;611.111
2024-03-13 14:00:00;5.367;66.981;0.0;500.0
2024-03-13 15:00:00;5.255;69.173;0.0;444.444
2024-03-13 16:00:00;4.995;71.595;0.0;277.778
2024-03-13 17:00:00;4.174;75.034;0.0;166.667
2024-03-13 18:00:00;2.733;81.99;0.0;55.556
2024-03-13 19:00:00;1.4;88.446;0.0;0.0
2024-03-13 20:00:00;0.545;92.446;0.0;0.0
2024-03-13 21:00:00;-0.095;92.617;0.0;0.0
2024-03-13 22:00:00;0.196;90.273;0.0;0.0
2024-03-13 23:00:00;0.201;89.84;0.0;0.0
2024-03-14 00:00:00;-0.036;90.509;0.0;0.0
2024-03-14 01:00:00;-0.108;91.241;0.0;0.0
2024-03-14 02:00:00;-0.173;91.911;0.0;0.0
2024-03-14 03:00:00;-0.37;92.217;0.0;0.0
2024-03-14 04:00:00;-0.731;92.237;0.0;0.0
2024-03-14 05:00:00;-1.387;93.074;0.0;0.0
2024-03-14 06:00:00;-1.53;92.221;0.0;0.0
