Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-11 02:00:00;-3.619;78.695;0.0;nan
2024-03-11 03:00:00;-4.331;76.332;0.0;0.0
2024-03-11 04:00:00;-4.377;75.68;0.0;0.0
2024-03-11 05:00:00;-4.393;74.957;0.0;0.0
2024-03-11 06:00:00;-4.47;74.034;0.0;0.0
2024-03-11 07:00:00;-4.438;73.874;0.0;0.0
2024-03-11 08:00:00;-4.291;73.368;0.0;9.235
2024-03-11 09:00:00;-3.915;71.958;0.0;57.088
2024-03-11 10:00:00;-3.526;71.137;0.0;97.386
2024-03-11 11:00:00;-2.74;69.302;0.0;140.202
2024-03-11 12:00:00;-2.031;68.033;0.0;178.82
2024-03-11 13:00:00;-1.866;69.551;0.0;200.241
2024-03-11 14:00:00;-1.097;67.823;0.0;222.989
2024-03-11 15:00:00;0.81;61.088;0.0;468.694
2024-03-11 16:00:00;1.289;59.33;0.0;519.926
2024-03-11 17:00:00;1.924;55.83;0.0;392.754
2024-03-11 18:00:00;2.109;51.518;0.0;215.869
2024-03-11 19:00:00;0.895;52.182;0.0;48.545
2024-03-11 20:00:00;0.02;56.123;0.0;0.0
2024-03-11 21:00:00;-0.682;57.94;0.0;0.366
2024-03-11 22:00:00;-1.203;58.864;0.0;0.0
2024-03-11 23:00:00;-1.273;60.363;0.0;1.196
2024-03-12 00:00:00;-1.509;61.506;0.0;0.0
2024-03-12 01:00:00;-1.709;62.05;0.0;0.0
2024-03-12 02:00:00;-1.71;62.803;0.0;0.0
2024-03-12 03:00:00;-1.598;62.897;0.0;0.0
2024-03-12 04:00:00;-1.732;63.695;0.0;0.0
2024-03-12 05:00:00;-3.122;67.82;0.0;0.0
2024-03-12 06:00:00;-4.115;68.661;0.0;0.0
2024-03-12 07:00:00;-4.852;70.993;0.0;0.0
2024-03-12 08:00:00;-4.982;71.673;0.0;30.223
2024-03-12 09:00:00;-3.2;65.586;0.0;188.055
2024-03-12 10:00:00;-1.007;60.013;0.0;379.468
2024-03-12 11:00:00;0.96;53.751;0.0;544.017
2024-03-12 12:00:00;2.764;49.554;0.0;663.771
2024-03-12 13:00:00;4.327;43.299;0.0;728.841
2024-03-12 14:00:00;5.475;37.936;0.0;727.864
2024-03-12 15:00:00;6.058;35.794;0.0;680.569
2024-03-12 16:00:00;6.421;37.578;0.0;560.341
2024-03-12 17:00:00;5.791;35.382;0.0;407.658
2024-03-12 18:00:00;4.15;41.777;0.0;222.244
2024-03-12 19:00:00;1.418;51.997;0.0;48.143
2024-03-12 20:00:00;-0.516;53.126;0.0;1.966
2024-03-12 21:00:00;-1.253;55.883;0.0;0.0
2024-03-12 22:00:00;-1.557;58.546;0.0;0.0
2024-03-12 23:00:00;-1.581;61.607;0.0;0.0
2024-03-13 00:00:00;-1.621;61.42;0.0;0.0
2024-03-13 01:00:00;-3.38;66.091;0.0;0.0
2024-03-13 02:00:00;-5.395;78.061;0.0;0.0
2024-03-13 03:00:00;-5.824;79.28;0.0;0.0
2024-03-13 04:00:00;-6.317;81.943;0.0;0.0
2024-03-13 05:00:00;-6.817;84.026;0.0;0.0
2024-03-13 06:00:00;-7.202;85.67;0.0;0.0
2024-03-13 07:00:00;-7.407;85.77;0.0;0.0
2024-03-13 08:00:00;-6.82;83.93;0.0;55.556
2024-03-13 09:00:00;-4.459;76.961;0.0;166.667
2024-03-13 10:00:00;-2.23;73.397;0.0;222.222
2024-03-13 11:00:00;-0.811;71.26;0.0;166.667
2024-03-13 12:00:00;0.535;69.441;0.0;333.333
2024-03-13 13:00:00;1.661;68.504;0.0;277.778
2024-03-13 14:00:00;2.667;66.056;0.0;388.889
2024-03-13 15:00:00;3.555;64.223;0.0;333.333
2024-03-13 16:00:00;4.02;63.92;0.0;444.444
2024-03-13 17:00:00;4.024;64.234;0.0;222.222
2024-03-13 18:00:00;3.733;66.44;0.067;111.111
2024-03-13 19:00:00;2.75;73.221;0.028;0.0
2024-03-13 20:00:00;2.37;74.496;0.001;0.0
2024-03-13 21:00:00;2.005;78.667;0.051;0.0
2024-03-13 22:00:00;1.746;83.248;0.039;0.0
2024-03-13 23:00:00;1.576;85.74;0.001;0.0
2024-03-14 00:00:00;1.464;88.659;0.0;0.0
2024-03-14 01:00:00;1.417;90.616;0.001;0.0
2024-03-14 02:00:00;1.377;92.061;0.003;0.0
2024-03-14 03:00:00;1.23;95.042;0.082;0.0
2024-03-14 04:00:00;0.669;97.187;0.004;0.0
2024-03-14 05:00:00;-0.412;98.024;0.002;0.0
2024-03-14 06:00:00;-1.23;97.621;0.002;0.0
2024-03-14 07:00:00;-0.716;97.729;0.028;0.0
2024-03-14 08:00:00;0.382;96.999;0.015;111.111
2024-03-14 09:00:00;1.93;91.554;0.001;111.111
2024-03-14 10:00:00;3.479;85.441;0.0;333.333
2024-03-14 11:00:00;4.963;80.157;0.0;500.0
2024-03-14 12:00:00;6.258;75.659;0.0;666.667
2024-03-14 13:00:00;7.26;71.526;0.0;611.111
2024-03-14 14:00:00;7.054;72.603;0.004;555.556
2024-03-14 15:00:00;7.356;71.722;0.003;493.827
2024-03-14 16:00:00;7.657;70.841;0.001;432.099
2024-03-14 17:00:00;7.959;69.96;0.0;370.37
2024-03-14 18:00:00;6.558;76.058;0.0;271.605
