Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-11 02:00:00;0.245;98.364;0.224;nan
2024-03-11 03:00:00;-0.081;99.76;0.279;0.0
2024-03-11 04:00:00;-0.194;99.545;0.334;0.0
2024-03-11 05:00:00;-0.396;98.961;0.773;0.0
2024-03-11 06:00:00;-0.564;98.96;0.96;0.0
2024-03-11 07:00:00;-0.585;98.939;0.719;0.0
2024-03-11 08:00:00;-0.339;98.64;0.168;12.593
2024-03-11 09:00:00;0.301;98.198;0.011;44.495
2024-03-11 10:00:00;0.972;94.218;0.003;77.657
2024-03-11 11:00:00;2.157;87.449;0.011;124.67
2024-03-11 12:00:00;2.527;83.852;0.059;90.669
2024-03-11 13:00:00;2.642;73.425;0.02;87.743
2024-03-11 14:00:00;2.546;68.976;0.006;81.947
2024-03-11 15:00:00;2.46;67.821;0.0;67.398
2024-03-11 16:00:00;2.298;66.939;0.001;46.43
2024-03-11 17:00:00;1.625;68.42;0.001;31.755
2024-03-11 18:00:00;1.001;69.042;0.0;21.098
2024-03-11 19:00:00;0.028;73.949;0.0;8.248
2024-03-11 20:00:00;-0.719;72.725;0.0;0.0
2024-03-11 21:00:00;-1.329;70.669;0.0;0.0
2024-03-11 22:00:00;-1.8;69.31;0.0;0.0
2024-03-11 23:00:00;-2.067;68.019;0.0;1.195
2024-03-12 00:00:00;-2.222;67.64;0.0;0.0
2024-03-12 01:00:00;-2.349;68.276;0.0;0.0
2024-03-12 02:00:00;-2.412;68.776;0.0;0.0
2024-03-12 03:00:00;-2.47;69.33;0.0;0.0
2024-03-12 04:00:00;-2.435;70.29;0.0;0.0
2024-03-12 05:00:00;-2.491;72.662;0.001;0.0
2024-03-12 06:00:00;-2.818;74.403;0.0;0.0
2024-03-12 07:00:00;-3.472;72.607;0.0;0.0
2024-03-12 08:00:00;-3.156;68.607;0.0;45.335
2024-03-12 09:00:00;-1.604;66.232;0.0;213.241
2024-03-12 10:00:00;0.474;66.031;0.0;382.826
2024-03-12 11:00:00;2.539;60.622;0.0;530.584
2024-03-12 12:00:00;3.539;55.734;0.0;633.548
2024-03-12 13:00:00;3.866;54.897;0.0;685.186
2024-03-12 14:00:00;4.179;53.8;0.0;677.492
2024-03-12 15:00:00;4.205;53.964;0.0;613.407
2024-03-12 16:00:00;3.733;55.841;0.0;496.535
2024-03-12 17:00:00;2.755;59.178;0.0;316.989
2024-03-12 18:00:00;1.348;64.513;0.0;124.858
2024-03-12 19:00:00;0.095;69.152;0.0;17.919
2024-03-12 20:00:00;0.052;71.665;0.0;0.0
2024-03-12 21:00:00;-0.011;73.108;0.0;3.501
2024-03-12 22:00:00;0.028;73.903;0.0;0.0
2024-03-12 23:00:00;0.097;75.626;0.0;0.0
2024-03-13 00:00:00;0.149;76.339;0.0;0.0
2024-03-13 01:00:00;0.156;76.329;0.0;0.0
2024-03-13 02:00:00;-6.795;88.261;0.0;0.0
2024-03-13 03:00:00;-7.549;89.305;0.0;0.0
2024-03-13 04:00:00;-8.042;89.318;0.0;0.0
2024-03-13 05:00:00;-8.342;89.176;0.0;0.0
2024-03-13 06:00:00;-8.577;89.045;0.0;0.0
2024-03-13 07:00:00;-8.832;89.095;0.0;0.0
2024-03-13 08:00:00;-7.92;88.48;0.0;55.556
2024-03-13 09:00:00;-5.459;82.711;0.0;222.222
2024-03-13 10:00:00;-3.705;78.472;0.0;388.889
2024-03-13 11:00:00;-1.661;75.885;0.0;555.556
2024-03-13 12:00:00;0.51;71.141;0.0;611.111
2024-03-13 13:00:00;1.761;69.579;0.0;722.222
2024-03-13 14:00:00;2.442;71.431;0.0;666.667
2024-03-13 15:00:00;2.83;73.298;0.0;611.111
2024-03-13 16:00:00;2.845;75.62;0.0;555.556
2024-03-13 17:00:00;2.149;78.509;0.0;277.778
2024-03-13 18:00:00;0.883;83.44;0.0;222.222
2024-03-13 19:00:00;-1.0;88.146;0.0;0.0
2024-03-13 20:00:00;-1.98;89.146;0.0;0.0
2024-03-13 21:00:00;-2.12;88.567;0.0;0.0
2024-03-13 22:00:00;-2.354;89.198;0.0;0.0
2024-03-13 23:00:00;-2.474;89.24;0.0;0.0
2024-03-14 00:00:00;-2.661;89.334;0.0;0.0
2024-03-14 01:00:00;-3.058;90.066;0.0;0.0
2024-03-14 02:00:00;-3.273;90.386;0.0;0.0
2024-03-14 03:00:00;-2.695;90.342;0.0;0.0
2024-03-14 04:00:00;-1.981;90.362;0.0;0.0
2024-03-14 05:00:00;-1.712;90.674;0.0;0.0
2024-03-14 06:00:00;-1.605;90.271;0.004;0.0
2024-03-14 07:00:00;-1.291;89.879;0.108;0.0
2024-03-14 08:00:00;-0.743;88.324;0.018;0.0
2024-03-14 09:00:00;0.03;87.404;0.201;111.111
2024-03-14 10:00:00;0.304;89.341;0.719;166.667
2024-03-14 11:00:00;0.488;90.132;0.45;222.222
2024-03-14 12:00:00;0.558;90.884;0.387;166.667
2024-03-14 13:00:00;0.885;90.251;0.245;277.778
2024-03-14 14:00:00;2.655;80.603;0.031;333.333
2024-03-14 15:00:00;2.823;81.472;0.026;320.988
2024-03-14 16:00:00;2.991;82.341;0.021;308.642
2024-03-14 17:00:00;3.159;83.21;0.017;296.296
2024-03-14 18:00:00;2.366;88.141;0.075;222.222
2024-03-14 19:00:00;1.574;93.072;0.133;148.148
2024-03-14 20:00:00;0.781;98.003;0.191;74.074
2024-03-14 21:00:00;-0.176;97.699;0.131;49.383
2024-03-14 22:00:00;-1.132;97.396;0.071;24.691
2024-03-14 23:00:00;-2.089;97.092;0.011;0.0
2024-03-15 00:00:00;-1.88;96.569;0.015;0.0
2024-03-15 01:00:00;-1.671;96.045;0.019;0.0
2024-03-15 02:00:00;-1.462;95.522;0.024;0.0
2024-03-15 03:00:00;-1.371;95.284;0.038;0.0
2024-03-15 04:00:00;-1.279;95.047;0.053;0.0
2024-03-15 05:00:00;-1.187;94.809;0.068;0.0
2024-03-15 06:00:00;-1.174;93.852;0.065;0.0
2024-03-15 07:00:00;-1.16;92.895;0.062;0.0
2024-03-15 08:00:00;-1.147;91.938;0.06;0.0
2024-03-15 09:00:00;-0.18;90.116;0.051;98.765
2024-03-15 10:00:00;0.786;88.295;0.042;197.531
2024-03-15 11:00:00;1.753;86.473;0.033;296.296
2024-03-15 12:00:00;2.416;85.322;0.024;407.407
2024-03-15 13:00:00;3.08;84.171;0.014;518.519
2024-03-15 14:00:00;3.744;83.02;0.005;629.63
2024-03-15 15:00:00;3.778;82.498;0.003;567.901
2024-03-15 16:00:00;3.813;81.976;0.002;506.173
2024-03-15 17:00:00;3.847;81.454;0.0;444.444
2024-03-15 18:00:00;2.513;84.833;0.0;308.642
2024-03-15 19:00:00;1.178;88.212;0.0;172.84
2024-03-15 20:00:00;-0.156;91.591;0.0;37.037
2024-03-15 21:00:00;0.197;89.354;0.004;24.691
2024-03-15 22:00:00;0.55;87.117;0.007;12.346
2024-03-15 23:00:00;0.902;84.881;0.011;0.0
2024-03-16 00:00:00;0.93;86.383;0.047;0.0
2024-03-16 01:00:00;0.958;87.885;0.084;0.0
2024-03-16 02:00:00;0.985;89.387;0.12;0.0
2024-03-16 03:00:00;0.886;91.769;0.976;0.0
2024-03-16 04:00:00;0.786;94.151;1.831;0.0
2024-03-16 05:00:00;0.686;96.533;2.687;0.0
2024-03-16 06:00:00;0.727;96.525;3.578;0.0
2024-03-16 07:00:00;0.767;96.517;4.47;0.0
2024-03-16 08:00:00;0.807;96.51;5.362;0.0
2024-03-16 09:00:00;0.915;95.787;6.138;37.037
2024-03-16 10:00:00;1.023;95.064;6.914;74.074
2024-03-16 11:00:00;1.131;94.342;7.69;111.111
2024-03-16 12:00:00;1.353;94.123;5.933;135.802
2024-03-16 13:00:00;1.575;93.903;4.176;160.494
2024-03-16 14:00:00;1.797;93.684;2.419;185.185
2024-03-16 15:00:00;1.742;94.084;1.985;172.84
2024-03-16 16:00:00;1.688;94.484;1.551;160.494
2024-03-16 17:00:00;1.633;94.884;1.117;148.148
2024-03-16 18:00:00;-0.138;83.838;0.01;222.222
2024-03-16 19:00:00;-1.183;87.153;0.006;148.148
2024-03-16 20:00:00;1.273;95.937;0.79;37.037
2024-03-16 21:00:00;-2.202;89.307;0.004;49.383
2024-03-16 22:00:00;-2.175;88.147;0.006;24.691
2024-03-16 23:00:00;0.968;96.755;0.718;0.0
2024-03-17 00:00:00;-2.017;86.317;0.006;0.0
2024-03-17 01:00:00;-1.884;85.647;0.004;0.0
2024-03-17 02:00:00;0.487;98.229;1.889;0.0
2024-03-17 03:00:00;-1.705;85.115;0.004;0.0
2024-03-17 04:00:00;-1.658;85.254;0.005;0.0
2024-03-17 05:00:00;0.145;98.802;1.838;0.0
2024-03-17 06:00:00;-1.463;85.228;0.059;0.0
2024-03-17 07:00:00;-1.315;85.063;0.111;0.0
2024-03-17 08:00:00;0.483;97.982;2.325;0.0
2024-03-17 09:00:00;-0.61;82.337;0.118;49.383
2024-03-17 10:00:00;-0.053;79.776;0.073;98.765
2024-03-17 11:00:00;1.593;89.886;1.765;148.148
2024-03-17 12:00:00;1.045;76.327;0.02;246.914
2024-03-17 13:00:00;1.586;75.44;0.011;345.679
2024-03-17 14:00:00;4.557;89.878;0.372;333.333
2024-03-17 15:00:00;2.039;75.573;0.002;444.444
2024-03-17 16:00:00;1.951;76.593;0.001;444.444
2024-03-17 17:00:00;2.513;93.619;1.273;222.222
2024-03-17 18:00:00;0.967;82.058;0.002;296.296
2024-03-17 19:00:00;0.072;86.503;0.004;148.148
