Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-11 02:00:00;-3.671;90.57;0.664;nan
2024-03-11 03:00:00;-3.926;84.08;0.348;0.0
2024-03-11 04:00:00;-3.888;83.128;0.032;0.0
2024-03-11 05:00:00;-3.79;82.635;0.011;0.0
2024-03-11 06:00:00;-3.763;82.497;0.001;0.0
2024-03-11 07:00:00;-3.692;82.521;0.003;0.0
2024-03-11 08:00:00;-3.599;82.5;0.006;7.766
2024-03-11 09:00:00;-3.397;82.011;0.006;45.964
2024-03-11 10:00:00;-3.054;81.836;0.002;96.546
2024-03-11 11:00:00;-2.524;81.754;0.0;154.474
2024-03-11 12:00:00;-2.038;82.145;0.0;214.081
2024-03-11 13:00:00;-1.696;81.68;0.001;214.513
2024-03-11 14:00:00;-1.019;80.989;0.0;184.37
2024-03-11 15:00:00;0.269;78.728;0.0;367.951
2024-03-11 16:00:00;1.122;75.978;0.0;456.121
2024-03-11 17:00:00;1.936;72.156;0.0;402.829
2024-03-11 18:00:00;1.508;70.01;0.0;217.548
2024-03-11 19:00:00;0.438;71.874;0.0;48.545
2024-03-11 20:00:00;-0.485;73.832;0.0;1.349
2024-03-11 21:00:00;-1.12;74.658;0.0;0.366
2024-03-11 22:00:00;-1.094;74.959;0.0;0.0
2024-03-11 23:00:00;-1.117;75.305;0.0;0.0
2024-03-12 00:00:00;-1.056;75.295;0.0;0.0
2024-03-12 01:00:00;-0.912;74.709;0.0;0.0
2024-03-12 02:00:00;-0.87;75.117;0.0;0.0
2024-03-12 03:00:00;-0.954;76.155;0.0;0.0
2024-03-12 04:00:00;-1.059;77.346;0.0;0.0
2024-03-12 05:00:00;-1.158;78.427;0.0;0.0
2024-03-12 06:00:00;-1.297;79.268;0.0;0.0
2024-03-12 07:00:00;-1.706;80.447;0.0;0.0
2024-03-12 08:00:00;-2.147;81.565;0.0;20.149
2024-03-12 09:00:00;-1.194;81.427;0.0;186.376
2024-03-12 10:00:00;0.467;78.667;0.0;376.11
2024-03-12 11:00:00;1.587;73.304;0.0;540.658
2024-03-12 12:00:00;2.748;69.777;0.0;653.696
2024-03-12 13:00:00;4.141;65.527;0.0;722.126
2024-03-12 14:00:00;5.332;62.954;0.0;721.148
2024-03-12 15:00:00;6.254;62.288;0.0;663.778
2024-03-12 16:00:00;6.855;64.003;0.0;556.982
2024-03-12 17:00:00;6.888;65.081;0.0;397.584
2024-03-12 18:00:00;5.974;68.433;0.0;215.528
2024-03-12 19:00:00;3.772;72.657;0.0;48.143
2024-03-12 20:00:00;1.475;74.294;0.0;1.966
2024-03-12 21:00:00;-0.198;73.223;0.0;0.0
2024-03-12 22:00:00;-0.718;65.855;0.0;0.0
2024-03-12 23:00:00;-2.422;67.071;0.0;0.0
2024-03-13 00:00:00;-3.464;66.816;0.0;0.0
2024-03-13 01:00:00;-4.412;68.927;0.0;0.0
2024-03-13 02:00:00;-3.37;77.211;0.0;0.0
2024-03-13 03:00:00;-4.099;77.58;0.0;0.0
2024-03-13 04:00:00;-4.567;77.593;0.0;0.0
2024-03-13 05:00:00;-5.142;79.551;0.0;0.0
2024-03-13 06:00:00;-5.327;79.745;0.0;0.0
2024-03-13 07:00:00;-5.132;78.995;0.0;0.0
2024-03-13 08:00:00;-4.595;77.28;0.0;55.556
2024-03-13 09:00:00;-2.359;71.786;0.0;166.667
2024-03-13 10:00:00;-0.08;68.172;0.0;222.222
2024-03-13 11:00:00;1.214;66.86;0.0;111.111
2024-03-13 12:00:00;2.635;64.166;0.0;222.222
2024-03-13 13:00:00;3.361;64.679;0.0;333.333
2024-03-13 14:00:00;4.067;64.431;0.0;333.333
2024-03-13 15:00:00;5.18;61.998;0.0;388.889
2024-03-13 16:00:00;6.02;60.995;0.0;333.333
2024-03-13 17:00:00;6.049;62.959;0.0;333.333
2024-03-13 18:00:00;5.158;68.065;0.005;55.556
2024-03-13 19:00:00;4.075;72.196;0.0;55.556
2024-03-13 20:00:00;3.695;74.496;0.0;0.0
2024-03-13 21:00:00;3.28;78.092;0.0;0.0
2024-03-13 22:00:00;2.646;82.248;0.0;0.0
2024-03-13 23:00:00;1.951;85.64;0.0;0.0
2024-03-14 00:00:00;0.664;91.609;0.0;0.0
2024-03-14 01:00:00;-0.383;95.716;0.003;0.0
2024-03-14 02:00:00;-0.848;96.711;0.011;0.0
2024-03-14 03:00:00;-0.62;97.192;0.001;0.0
2024-03-14 04:00:00;-0.581;97.437;0.0;0.0
2024-03-14 05:00:00;-0.937;97.474;0.0;0.0
2024-03-14 06:00:00;-0.93;97.571;0.0;0.0
2024-03-14 07:00:00;-1.016;97.104;0.003;0.0
2024-03-14 08:00:00;-0.318;95.049;0.022;0.0
