Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-11 02:00:00;-3.177;90.316;0.246;nan
2024-03-11 03:00:00;-4.178;86.27;0.154;0.0
2024-03-11 04:00:00;-4.209;81.813;0.062;0.0
2024-03-11 05:00:00;-4.479;87.339;0.162;0.0
2024-03-11 06:00:00;-4.566;85.264;0.263;0.0
2024-03-11 07:00:00;-4.63;84.135;0.258;0.0
2024-03-11 08:00:00;-4.517;83.422;0.181;8.395
2024-03-11 09:00:00;-4.095;81.55;0.143;49.952
2024-03-11 10:00:00;-3.314;77.293;0.078;121.312
2024-03-11 11:00:00;-2.479;73.752;0.057;198.129
2024-03-11 12:00:00;-1.616;69.832;0.031;251.02
2024-03-11 13:00:00;-0.377;65.977;0.012;393.333
2024-03-11 14:00:00;-0.192;65.61;0.004;459.737
2024-03-11 15:00:00;-0.774;70.219;0.015;258.811
2024-03-11 16:00:00;-0.86;72.012;0.014;165.643
2024-03-11 17:00:00;-0.505;72.986;0.016;97.239
2024-03-11 18:00:00;-0.158;71.601;0.003;41.247
2024-03-11 19:00:00;-0.732;70.882;0.0;28.396
2024-03-11 20:00:00;-1.121;69.727;0.0;0.0
2024-03-11 21:00:00;-1.508;62.575;0.0;0.367
2024-03-11 22:00:00;-1.888;64.26;0.0;0.0
2024-03-11 23:00:00;-2.265;66.289;0.0;0.0
2024-03-12 00:00:00;-2.705;67.432;0.0;0.0
2024-03-12 01:00:00;-3.202;68.552;0.0;0.0
2024-03-12 02:00:00;-3.773;70.159;0.0;0.0
2024-03-12 03:00:00;-4.225;70.898;0.0;0.0
2024-03-12 04:00:00;-4.578;72.065;0.0;0.0
2024-03-12 05:00:00;-4.951;73.769;0.0;0.0
2024-03-12 06:00:00;-5.35;75.464;0.0;0.0
2024-03-12 07:00:00;-5.807;77.034;0.0;0.0
2024-03-12 08:00:00;-5.828;75.709;0.0;35.26
2024-03-12 09:00:00;-4.27;69.229;0.0;201.488
2024-03-12 10:00:00;-2.272;64.878;0.0;389.543
2024-03-12 11:00:00;-0.542;60.415;0.0;547.375
2024-03-12 12:00:00;0.763;53.221;0.0;667.129
2024-03-12 13:00:00;2.18;48.694;0.0;722.125
2024-03-12 14:00:00;3.645;50.895;0.0;727.864
2024-03-12 15:00:00;5.116;46.194;0.0;667.137
2024-03-12 16:00:00;5.56;42.49;0.0;550.266
2024-03-12 17:00:00;5.249;44.628;0.0;394.226
2024-03-12 18:00:00;4.324;47.911;0.0;208.811
2024-03-12 19:00:00;2.553;50.152;0.0;41.427
2024-03-12 20:00:00;1.157;52.365;0.0;1.966
2024-03-12 21:00:00;0.217;55.676;0.0;0.143
2024-03-12 22:00:00;-0.698;59.099;0.0;0.0
2024-03-12 23:00:00;-1.507;60.085;0.0;0.0
2024-03-13 00:00:00;-2.396;65.271;0.0;0.0
2024-03-13 01:00:00;-3.593;73.355;0.0;0.0
2024-03-13 02:00:00;-8.87;86.436;0.0;0.0
2024-03-13 03:00:00;-9.924;86.805;0.0;0.0
2024-03-13 04:00:00;-10.892;87.218;0.0;0.0
2024-03-13 05:00:00;-11.767;87.251;0.0;0.0
2024-03-13 06:00:00;-12.352;87.045;0.0;0.0
2024-03-13 07:00:00;-12.757;86.995;0.0;0.0
2024-03-13 08:00:00;-12.37;86.455;0.0;55.556
2024-03-13 09:00:00;-9.259;84.386;0.0;222.222
2024-03-13 10:00:00;-5.43;81.847;0.0;333.333
2024-03-13 11:00:00;-1.861;82.16;0.0;555.556
2024-03-13 12:00:00;0.36;79.291;0.0;555.556
2024-03-13 13:00:00;1.261;78.629;0.0;388.889
2024-03-13 14:00:00;1.967;77.806;0.0;388.889
2024-03-13 15:00:00;2.38;77.773;0.0;333.333
2024-03-13 16:00:00;2.745;78.52;0.0;388.889
2024-03-13 17:00:00;2.674;81.134;0.0;222.222
2024-03-13 18:00:00;2.083;84.765;0.0;166.667
2024-03-13 19:00:00;0.675;89.621;0.0;55.556
2024-03-13 20:00:00;-0.005;91.371;0.043;0.0
2024-03-13 21:00:00;0.805;92.192;0.11;0.0
2024-03-13 22:00:00;1.371;91.898;0.0;0.0
2024-03-13 23:00:00;1.576;93.14;0.011;0.0
2024-03-14 00:00:00;1.789;94.459;0.016;0.0
2024-03-14 01:00:00;1.867;94.691;0.0;0.0
2024-03-14 02:00:00;1.502;95.961;0.0;0.0
2024-03-14 03:00:00;0.455;98.042;0.0;0.0
2024-03-14 04:00:00;-0.906;98.562;0.0;0.0
2024-03-14 05:00:00;-1.737;97.574;0.001;0.0
2024-03-14 06:00:00;-2.03;97.396;0.003;0.0
2024-03-14 07:00:00;-1.566;97.654;0.06;0.0
2024-03-14 08:00:00;-0.743;97.774;0.022;0.0
2024-03-14 09:00:00;0.88;94.929;0.03;166.667
2024-03-14 10:00:00;2.654;89.341;0.02;166.667
2024-03-14 11:00:00;4.363;82.807;0.007;388.889
2024-03-14 12:00:00;6.283;75.534;0.0;500.0
2024-03-14 13:00:00;7.86;69.351;0.0;611.111
2024-03-14 14:00:00;4.505;90.353;0.112;296.296
2024-03-14 15:00:00;4.939;90.222;0.076;308.642
2024-03-14 16:00:00;5.374;90.091;0.039;320.988
2024-03-14 17:00:00;5.809;89.96;0.003;333.333
2024-03-14 18:00:00;4.925;92.224;0.003;234.568
2024-03-14 19:00:00;4.04;94.488;0.002;135.802
2024-03-14 20:00:00;3.156;96.753;0.002;37.037
2024-03-14 21:00:00;2.591;96.783;0.001;24.691
2024-03-14 22:00:00;2.026;96.812;0.001;12.346
2024-03-14 23:00:00;1.461;96.842;0.0;0.0
2024-03-15 00:00:00;1.228;97.152;0.0;0.0
2024-03-15 01:00:00;0.996;97.462;0.0;0.0
2024-03-15 02:00:00;0.763;97.772;0.0;0.0
2024-03-15 03:00:00;0.571;98.034;0.0;0.0
2024-03-15 04:00:00;0.38;98.297;0.0;0.0
2024-03-15 05:00:00;0.188;98.559;0.0;0.0
2024-03-15 06:00:00;-0.124;98.352;0.0;0.0
2024-03-15 07:00:00;-0.435;98.145;0.001;0.0
2024-03-15 08:00:00;-0.747;97.938;0.001;0.0
2024-03-15 09:00:00;0.42;96.866;0.008;49.383
2024-03-15 10:00:00;1.586;95.795;0.016;98.765
2024-03-15 11:00:00;2.753;94.723;0.023;148.148
2024-03-15 12:00:00;3.566;94.072;0.115;185.185
2024-03-15 13:00:00;4.38;93.421;0.207;222.222
2024-03-15 14:00:00;5.194;92.77;0.298;259.259
2024-03-15 15:00:00;5.678;91.581;0.201;271.605
2024-03-15 16:00:00;6.163;90.393;0.103;283.951
2024-03-15 17:00:00;6.647;89.204;0.006;296.296
2024-03-15 18:00:00;5.854;91.333;0.211;209.877
2024-03-15 19:00:00;5.062;93.462;0.417;123.457
2024-03-15 20:00:00;4.269;95.591;0.623;37.037
2024-03-15 21:00:00;4.322;95.687;0.816;24.691
2024-03-15 22:00:00;4.375;95.784;1.009;12.346
2024-03-15 23:00:00;4.427;95.881;1.202;0.0
2024-03-16 00:00:00;4.322;96.549;2.818;0.0
2024-03-16 01:00:00;4.216;97.218;4.435;0.0
2024-03-16 02:00:00;4.11;97.887;6.051;0.0
2024-03-16 03:00:00;3.902;97.769;5.231;0.0
2024-03-16 04:00:00;3.694;97.651;4.41;0.0
2024-03-16 05:00:00;3.486;97.533;3.59;0.0
2024-03-16 06:00:00;3.427;97.859;3.107;0.0
2024-03-16 07:00:00;3.367;98.184;2.624;0.0
2024-03-16 08:00:00;3.307;98.51;2.141;0.0
2024-03-16 09:00:00;3.432;97.704;1.618;37.037
2024-03-16 10:00:00;3.557;96.898;1.096;74.074
2024-03-16 11:00:00;3.681;96.092;0.574;111.111
2024-03-16 12:00:00;4.103;94.123;0.443;135.802
2024-03-16 13:00:00;4.525;92.153;0.313;160.494
2024-03-16 14:00:00;4.947;90.184;0.182;185.185
2024-03-16 15:00:00;5.459;90.334;0.224;222.222
2024-03-16 16:00:00;5.971;90.484;0.265;259.259
2024-03-16 17:00:00;6.483;90.634;0.307;296.296
2024-03-16 18:00:00;2.279;94.172;0.013;246.914
2024-03-16 19:00:00;1.15;96.069;0.007;197.531
2024-03-16 20:00:00;4.973;97.937;1.143;37.037
2024-03-16 21:00:00;-1.06;97.557;0.001;98.765
2024-03-16 22:00:00;-2.142;97.147;0.001;49.383
2024-03-16 23:00:00;4.418;95.255;0.75;0.0
2024-03-17 00:00:00;-3.633;96.15;0.003;0.0
2024-03-17 01:00:00;-4.042;95.563;0.005;0.0
2024-03-17 02:00:00;3.487;94.979;0.001;0.0
2024-03-17 03:00:00;-4.513;94.532;0.031;0.0
2024-03-17 04:00:00;-4.575;94.087;0.055;0.0
2024-03-17 05:00:00;2.995;93.802;0.435;0.0
2024-03-17 06:00:00;-4.363;93.728;0.1;0.0
2024-03-17 07:00:00;-4.09;93.813;0.122;0.0
2024-03-17 08:00:00;3.633;93.482;0.164;0.0
2024-03-17 09:00:00;-2.343;94.087;0.173;49.383
2024-03-17 10:00:00;-0.87;94.276;0.203;98.765
2024-03-17 11:00:00;4.193;90.636;0.454;148.148
2024-03-17 12:00:00;1.311;95.744;1.018;172.84
2024-03-17 13:00:00;2.02;97.024;1.804;197.531
2024-03-17 14:00:00;6.807;85.128;0.358;444.444
2024-03-17 15:00:00;3.106;97.906;2.066;197.531
2024-03-17 16:00:00;3.484;97.509;1.543;172.84
2024-03-17 17:00:00;4.913;84.619;0.19;444.444
2024-03-17 18:00:00;3.05;97.641;0.757;123.457
2024-03-17 19:00:00;2.239;98.17;0.495;98.765
2024-03-17 20:00:00;1.402;85.187;0.007;0.0
2024-03-17 21:00:00;0.902;98.912;0.166;49.383
2024-03-17 22:00:00;0.377;99.126;0.099;24.691
2024-03-17 23:00:00;0.972;98.097;0.642;0.0
2024-03-18 00:00:00;-0.056;99.055;0.074;0.0
2024-03-18 01:00:00;0.036;98.77;0.117;0.0
2024-03-18 02:00:00;2.702;94.968;0.54;0.0
2024-03-18 03:00:00;0.424;98.432;0.242;0.0
2024-03-18 04:00:00;0.72;98.379;0.325;0.0
2024-03-18 05:00:00;-0.417;94.618;0.884;0.0
2024-03-18 06:00:00;0.988;98.56;0.341;0.0
2024-03-18 07:00:00;0.96;98.795;0.274;0.0
2024-03-18 08:00:00;-4.394;82.554;0.118;74.074
2024-03-18 09:00:00;-0.129;92.281;0.19;74.074
2024-03-18 10:00:00;-1.19;85.533;0.173;148.148
2024-03-18 11:00:00;3.657;90.38;0.357;148.148
2024-03-18 12:00:00;-2.026;78.543;0.146;246.914
