Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-12 08:00:00;-2.497;80.955;0.0;nan
2024-03-12 09:00:00;-1.897;79.996;0.0;72.829
2024-03-12 10:00:00;-1.255;78.714;0.0;126.979
2024-03-12 11:00:00;-0.776;77.471;0.0;201.488
2024-03-12 12:00:00;-0.435;76.873;0.0;262.774
2024-03-12 13:00:00;0.098;76.344;0.0;355.677
2024-03-12 14:00:00;0.426;76.784;0.0;494.662
2024-03-12 15:00:00;0.649;78.127;0.0;294.372
2024-03-12 16:00:00;0.611;79.892;0.0;178.996
2024-03-12 17:00:00;0.526;81.43;0.0;89.288
2024-03-12 18:00:00;0.494;82.6;0.0;29.981
2024-03-12 19:00:00;0.497;83.685;0.005;6.411
2024-03-12 20:00:00;0.478;84.614;0.002;0.0
2024-03-12 21:00:00;0.593;84.823;0.0;0.0
2024-03-12 22:00:00;0.65;85.134;0.0;0.0
2024-03-12 23:00:00;0.736;85.512;0.001;0.0
2024-03-13 00:00:00;0.747;86.39;0.001;0.0
2024-03-13 01:00:00;0.625;88.031;0.002;0.0
2024-03-13 02:00:00;0.408;89.498;0.0;0.0
2024-03-13 03:00:00;0.184;90.377;0.0;0.0
2024-03-13 04:00:00;0.002;90.736;0.0;0.0
2024-03-13 05:00:00;-0.101;90.933;0.0;0.0
2024-03-13 06:00:00;-0.611;91.856;0.0;0.0
2024-03-13 07:00:00;-0.983;92.316;0.0;0.626
2024-03-13 08:00:00;-0.606;91.836;0.0;35.02
2024-03-13 09:00:00;0.123;89.777;0.0;122.42
2024-03-13 10:00:00;0.27;89.445;0.0;264.145
2024-03-13 11:00:00;0.428;90.545;0.0;465.736
2024-03-13 12:00:00;0.579;92.054;0.0;636.031
2024-03-13 13:00:00;0.525;92.088;0.0;685.573
2024-03-13 14:00:00;0.535;91.097;0.0;671.022
2024-03-13 15:00:00;0.643;91.159;0.0;597.92
2024-03-13 16:00:00;0.703;91.529;0.0;485.322
