Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-12 08:00:00;-0.606;68.827;0.0;nan
2024-03-12 09:00:00;-0.847;78.682;0.0;181.549
2024-03-12 10:00:00;0.646;78.299;0.0;366.666
2024-03-12 11:00:00;2.001;72.651;0.0;532.263
2024-03-12 12:00:00;2.934;66.658;0.0;652.316
2024-03-12 13:00:00;3.8;64.515;0.0;717.516
2024-03-12 14:00:00;4.595;63.641;0.0;721.335
2024-03-12 15:00:00;5.237;63.715;0.0;667.124
2024-03-12 16:00:00;5.63;61.168;0.0;556.785
2024-03-12 17:00:00;5.68;60.908;0.0;403.273
2024-03-12 18:00:00;5.206;64.36;0.0;221.394
2024-03-12 19:00:00;3.887;61.872;0.0;51.746
2024-03-12 20:00:00;3.047;61.878;0.0;0.0
2024-03-12 21:00:00;2.3;62.179;0.0;0.0
2024-03-12 22:00:00;1.502;63.344;0.0;0.0
2024-03-12 23:00:00;0.194;67.204;0.0;0.0
2024-03-13 00:00:00;-1.531;70.18;0.0;0.0
2024-03-13 01:00:00;-2.719;72.927;0.0;0.0
2024-03-13 02:00:00;-3.009;74.025;0.0;0.0
2024-03-13 03:00:00;-2.785;72.83;0.0;0.0
2024-03-13 04:00:00;-2.588;69.845;0.0;0.0
2024-03-13 05:00:00;-2.462;70.319;0.0;0.0
2024-03-13 06:00:00;-2.525;71.795;0.0;0.0
2024-03-13 07:00:00;-2.717;74.884;0.0;0.626
2024-03-13 08:00:00;-2.939;77.539;0.0;26.624
2024-03-13 09:00:00;-1.786;76.035;0.0;177.829
2024-03-13 10:00:00;-0.664;77.824;0.0;267.503
2024-03-13 11:00:00;0.403;78.578;0.0;317.979
2024-03-13 12:00:00;1.645;80.548;0.0;568.868
2024-03-13 13:00:00;2.76;79.014;0.0;453.862
2024-03-13 14:00:00;3.377;78.76;0.0;466.177
2024-03-13 15:00:00;3.838;78.477;0.0;574.413
2024-03-13 16:00:00;4.153;77.118;0.0;488.679
2024-03-13 17:00:00;4.027;74.718;0.0;202.286
2024-03-13 18:00:00;4.07;74.926;0.0;122.506
2024-03-13 19:00:00;3.239;78.26;0.0;35.194
2024-03-13 20:00:00;1.991;80.772;0.0;1.248
2024-03-13 21:00:00;0.681;83.832;0.0;0.0
2024-03-13 22:00:00;0.178;83.805;0.0;0.0
2024-03-13 23:00:00;-0.077;83.819;0.0;0.0
2024-03-14 00:00:00;-0.323;85.236;0.0;0.0
2024-03-14 01:00:00;-1.376;88.087;0.0;0.0
2024-03-14 02:00:00;-1.985;89.99;0.0;0.0
2024-03-14 03:00:00;-2.09;89.392;0.0;0.0
2024-03-14 04:00:00;-1.912;88.87;0.0;0.0
2024-03-14 05:00:00;-1.795;88.924;0.0;0.0
2024-03-14 06:00:00;-1.683;89.034;0.0;0.0
2024-03-14 07:00:00;-2.227;91.628;0.0;0.0
2024-03-14 08:00:00;-3.768;94.924;0.0;0.0
2024-03-14 09:00:00;-2.343;94.527;0.008;222.222
2024-03-14 10:00:00;-0.312;93.317;0.005;333.333
2024-03-14 11:00:00;2.017;86.28;0.0;500.0
2024-03-14 12:00:00;4.098;79.519;0.0;666.667
2024-03-14 13:00:00;5.759;75.343;0.0;611.111
2024-03-14 14:00:00;7.053;72.852;0.0;722.222
2024-03-14 15:00:00;7.959;72.841;0.0;666.667
2024-03-14 16:00:00;8.249;76.355;0.0;611.111
2024-03-14 17:00:00;7.907;79.465;0.0;333.333
2024-03-14 18:00:00;6.827;83.248;0.0;222.222
2024-03-14 19:00:00;5.078;87.152;0.0;0.0
2024-03-14 20:00:00;3.762;89.884;0.0;0.0
2024-03-14 21:00:00;2.843;92.538;0.0;0.0
2024-03-14 22:00:00;2.021;94.427;0.0;0.0
2024-03-14 23:00:00;1.58;95.048;0.0;0.0
2024-03-15 00:00:00;1.081;95.995;0.0;0.0
2024-03-15 01:00:00;0.525;97.235;0.0;0.0
2024-03-15 02:00:00;1.224;94.251;0.0;0.0
2024-03-15 03:00:00;1.751;92.075;0.0;0.0
2024-03-15 04:00:00;1.868;93.096;0.0;0.0
2024-03-15 05:00:00;1.735;93.976;0.0;0.0
2024-03-15 06:00:00;1.469;93.738;0.0;0.0
2024-03-15 07:00:00;1.143;93.449;0.0;0.0
2024-03-15 08:00:00;1.069;93.455;0.0;111.111
2024-03-15 09:00:00;1.272;92.144;0.0;55.556
2024-03-15 10:00:00;1.504;89.694;0.0;222.222
2024-03-15 11:00:00;2.079;86.914;0.0;277.778
2024-03-15 12:00:00;2.799;84.635;0.0;388.889
2024-03-15 13:00:00;3.392;83.421;0.0;333.333
2024-03-15 14:00:00;4.196;81.423;0.0;444.444
2024-03-15 15:00:00;4.856;80.639;0.0;555.556
2024-03-15 16:00:00;5.385;79.873;0.0;444.444
2024-03-15 17:00:00;5.615;79.177;0.0;333.333
2024-03-15 18:00:00;5.16;82.594;0.0;222.222
2024-03-15 19:00:00;3.734;86.466;0.0;0.0
2024-03-15 20:00:00;2.104;85.801;0.0;37.037
2024-03-15 21:00:00;1.085;88.919;0.0;24.691
2024-03-15 22:00:00;0.065;92.037;0.0;12.346
2024-03-15 23:00:00;-0.955;95.155;0.0;0.0
2024-03-16 00:00:00;-0.99;95.327;0.0;0.0
2024-03-16 01:00:00;-1.026;95.5;0.0;0.0
2024-03-16 02:00:00;-1.062;95.673;0.0;0.0
2024-03-16 03:00:00;-0.845;92.901;0.0;0.0
2024-03-16 04:00:00;-0.628;90.13;0.0;0.0
2024-03-16 05:00:00;-0.411;87.359;0.0;0.0
2024-03-16 06:00:00;-0.36;86.544;0.002;0.0
2024-03-16 07:00:00;-0.31;85.73;0.003;0.0
2024-03-16 08:00:00;-0.259;84.915;0.005;0.0
2024-03-16 09:00:00;0.205;84.468;0.044;61.728
2024-03-16 10:00:00;0.668;84.02;0.082;123.457
2024-03-16 11:00:00;1.131;83.573;0.12;185.185
2024-03-16 12:00:00;2.262;80.931;0.08;308.642
2024-03-16 13:00:00;3.392;78.29;0.04;432.099
2024-03-16 14:00:00;4.523;75.648;0.0;555.556
2024-03-16 15:00:00;5.093;74.237;0.0;481.481
2024-03-16 16:00:00;5.664;72.825;0.0;407.407
2024-03-16 17:00:00;6.234;71.414;0.0;333.333
2024-03-16 18:00:00;5.898;73.242;0.009;246.914
2024-03-16 19:00:00;5.562;75.071;0.018;160.494
2024-03-16 20:00:00;5.226;76.899;0.027;74.074
2024-03-16 21:00:00;4.858;74.627;0.018;49.383
2024-03-16 22:00:00;4.49;72.354;0.009;24.691
2024-03-16 23:00:00;4.121;70.082;0.0;0.0
2024-03-17 00:00:00;4.089;70.527;0.009;0.0
2024-03-17 01:00:00;4.057;70.972;0.018;0.0
2024-03-17 02:00:00;4.024;71.417;0.027;0.0
2024-03-17 03:00:00;4.018;79.199;0.661;0.0
2024-03-17 04:00:00;4.012;86.981;1.294;0.0
2024-03-17 05:00:00;4.005;94.763;1.928;0.0
2024-03-17 06:00:00;4.028;95.264;1.883;0.0
2024-03-17 07:00:00;4.05;95.766;1.838;0.0
2024-03-17 08:00:00;4.073;96.267;1.792;0.0
2024-03-17 09:00:00;4.454;95.364;1.292;49.383
2024-03-17 10:00:00;4.836;94.461;0.791;98.765
2024-03-17 11:00:00;5.217;93.558;0.291;148.148
2024-03-17 12:00:00;5.673;91.666;0.495;185.185
2024-03-17 13:00:00;6.13;89.774;0.7;222.222
2024-03-17 14:00:00;6.586;87.882;0.904;259.259
2024-03-17 15:00:00;5.573;88.323;0.601;246.914
2024-03-17 16:00:00;5.917;84.593;0.455;345.679
2024-03-17 17:00:00;4.513;72.119;0.37;444.444
2024-03-17 18:00:00;5.334;83.808;0.244;320.988
2024-03-17 19:00:00;4.405;86.753;0.179;197.531
2024-03-17 20:00:00;4.506;93.525;0.669;37.037
2024-03-17 21:00:00;3.16;91.746;0.098;49.383
2024-03-17 22:00:00;2.843;93.793;0.082;24.691
2024-03-17 23:00:00;2.384;83.862;0.021;0.0
2024-03-18 00:00:00;2.461;96.305;0.177;0.0
2024-03-18 01:00:00;2.395;96.77;0.289;0.0
2024-03-18 02:00:00;1.475;84.685;0.033;0.0
2024-03-18 03:00:00;1.991;97.182;0.423;0.0
2024-03-18 04:00:00;1.653;97.129;0.446;0.0
2024-03-18 05:00:00;0.783;97.368;4.47;0.0
2024-03-18 06:00:00;1.138;96.727;0.398;0.0
2024-03-18 07:00:00;0.96;96.378;0.328;0.0
