Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-11 02:00:00;-2.995;79.779;0.002;nan
2024-03-11 03:00:00;-3.798;77.347;0.001;0.0
2024-03-11 04:00:00;-3.825;76.833;0.0;0.0
2024-03-11 05:00:00;-3.844;77.078;0.0;0.0
2024-03-11 06:00:00;-3.884;76.501;0.0;0.0
2024-03-11 07:00:00;-3.885;76.341;0.0;0.0
2024-03-11 08:00:00;-3.72;75.905;0.0;10.284
2024-03-11 09:00:00;-3.363;74.656;0.0;60.656
2024-03-11 10:00:00;-2.883;73.419;0.0;123.411
2024-03-11 11:00:00;-2.184;72.0;0.0;208.624
2024-03-11 12:00:00;-1.733;71.561;0.0;196.45
2024-03-11 13:00:00;-1.443;72.133;0.0;202.759
2024-03-11 14:00:00;-0.561;70.175;0.0;251.533
2024-03-11 15:00:00;0.732;66.369;0.0;366.271
2024-03-11 16:00:00;1.345;64.172;0.0;540.075
2024-03-11 17:00:00;1.965;60.834;0.0;397.791
2024-03-11 18:00:00;1.914;56.498;0.0;215.869
2024-03-11 19:00:00;0.822;56.263;0.0;45.187
2024-03-11 20:00:00;-0.052;60.112;0.0;0.0
2024-03-11 21:00:00;-0.792;62.114;0.0;0.366
2024-03-11 22:00:00;-1.337;64.56;0.0;0.0
2024-03-11 23:00:00;-1.259;65.344;0.0;1.195
2024-03-12 00:00:00;-1.396;65.449;0.0;0.0
2024-03-12 01:00:00;-1.394;66.938;0.0;0.0
2024-03-12 02:00:00;-1.267;67.784;0.0;0.0
2024-03-12 03:00:00;-1.189;67.416;0.0;0.0
2024-03-12 04:00:00;-1.305;67.707;0.0;0.0
2024-03-12 05:00:00;-2.624;70.333;0.0;0.0
2024-03-12 06:00:00;-3.498;72.512;0.0;0.0
2024-03-12 07:00:00;-4.193;75.351;0.0;0.0
2024-03-12 08:00:00;-4.211;76.147;0.0;28.544
2024-03-12 09:00:00;-2.787;71.812;0.0;194.771
2024-03-12 10:00:00;-1.128;68.037;0.0;382.826
2024-03-12 11:00:00;0.739;60.23;0.0;547.375
2024-03-12 12:00:00;2.243;53.982;0.0;667.129
2024-03-12 13:00:00;3.448;49.939;0.0;738.916
2024-03-12 14:00:00;4.465;47.528;0.0;731.222
2024-03-12 15:00:00;5.198;45.087;0.0;683.927
2024-03-12 16:00:00;5.873;49.661;0.0;563.699
2024-03-12 17:00:00;6.026;43.752;0.0;400.942
2024-03-12 18:00:00;4.641;43.991;0.0;225.602
2024-03-12 19:00:00;1.624;53.15;0.0;48.143
2024-03-12 20:00:00;-0.414;60.021;0.0;1.966
2024-03-12 21:00:00;-1.682;59.088;0.0;0.0
2024-03-12 22:00:00;-3.056;65.994;0.0;0.0
2024-03-12 23:00:00;-4.211;72.352;0.0;0.0
2024-03-13 00:00:00;-4.826;74.725;0.0;0.0
2024-03-13 01:00:00;-5.169;74.277;0.0;0.0
2024-03-13 02:00:00;-5.995;81.061;0.0;0.0
2024-03-13 03:00:00;-6.599;83.455;0.0;0.0
2024-03-13 04:00:00;-7.067;86.068;0.0;0.0
2024-03-13 05:00:00;-7.517;87.276;0.0;0.0
2024-03-13 06:00:00;-7.827;87.62;0.0;0.0
2024-03-13 07:00:00;-8.032;87.695;0.0;0.0
2024-03-13 08:00:00;-7.22;85.63;0.0;55.556
2024-03-13 09:00:00;-4.434;77.886;0.0;166.667
2024-03-13 10:00:00;-2.03;75.372;0.0;222.222
2024-03-13 11:00:00;-0.636;74.235;0.0;166.667
2024-03-13 12:00:00;0.71;72.566;0.0;333.333
2024-03-13 13:00:00;1.786;70.754;0.0;277.778
2024-03-13 14:00:00;2.867;68.206;0.0;277.778
2024-03-13 15:00:00;3.73;67.473;0.0;388.889
2024-03-13 16:00:00;4.12;67.495;0.0;333.333
2024-03-13 17:00:00;4.074;67.809;0.0;333.333
2024-03-13 18:00:00;3.808;69.065;0.024;111.111
2024-03-13 19:00:00;2.825;75.271;0.025;0.0
2024-03-13 20:00:00;2.345;76.596;0.0;0.0
2024-03-13 21:00:00;1.955;79.267;0.04;0.0
2024-03-13 22:00:00;1.771;82.998;0.038;0.0
2024-03-13 23:00:00;1.601;86.065;0.0;0.0
2024-03-14 00:00:00;1.364;89.484;0.0;0.0
2024-03-14 01:00:00;1.142;92.491;0.0;0.0
2024-03-14 02:00:00;0.977;94.086;0.0;0.0
2024-03-14 03:00:00;0.98;95.267;0.028;0.0
2024-03-14 04:00:00;0.244;97.687;0.013;0.0
2024-03-14 05:00:00;-0.312;98.449;0.001;0.0
2024-03-14 06:00:00;-1.48;97.646;0.002;0.0
2024-03-14 07:00:00;-1.391;97.404;0.024;0.0
2024-03-14 08:00:00;0.057;96.749;0.028;0.0
2024-03-14 09:00:00;2.03;89.429;0.007;222.222
2024-03-14 10:00:00;3.479;84.091;0.0;277.778
2024-03-14 11:00:00;4.988;79.682;0.0;444.444
2024-03-14 12:00:00;6.483;75.509;0.0;666.667
2024-03-14 13:00:00;7.635;71.876;0.0;666.667
2024-03-14 14:00:00;6.505;76.103;0.008;481.481
2024-03-14 15:00:00;6.906;74.806;0.005;444.444
2024-03-14 16:00:00;7.307;73.508;0.003;407.407
2024-03-14 17:00:00;7.709;72.21;0.001;370.37
2024-03-14 18:00:00;6.341;78.058;0.001;259.259
2024-03-14 19:00:00;4.974;83.905;0.0;148.148
2024-03-14 20:00:00;3.606;89.753;0.0;37.037
2024-03-14 21:00:00;2.741;92.199;0.0;24.691
2024-03-14 22:00:00;1.876;94.646;0.0;12.346
2024-03-14 23:00:00;1.011;97.092;0.0;0.0
2024-03-15 00:00:00;0.37;97.486;0.0;0.0
2024-03-15 01:00:00;-0.271;97.879;0.0;0.0
2024-03-15 02:00:00;-0.912;98.272;0.0;0.0
2024-03-15 03:00:00;-1.121;98.118;0.0;0.0
2024-03-15 04:00:00;-1.329;97.963;0.0;0.0
2024-03-15 05:00:00;-1.537;97.809;0.0;0.0
2024-03-15 06:00:00;-1.14;97.519;0.004;0.0
2024-03-15 07:00:00;-0.744;97.228;0.007;0.0
2024-03-15 08:00:00;-0.347;96.938;0.011;0.0
2024-03-15 09:00:00;0.353;96.116;0.213;49.383
2024-03-15 10:00:00;1.053;95.295;0.415;98.765
2024-03-15 11:00:00;1.753;94.473;0.618;148.148
2024-03-15 12:00:00;2.483;92.905;0.486;172.84
2024-03-15 13:00:00;3.214;91.338;0.354;197.531
2024-03-15 14:00:00;3.944;89.77;0.222;222.222
2024-03-15 15:00:00;4.395;88.415;0.154;246.914
2024-03-15 16:00:00;4.846;87.059;0.085;271.605
2024-03-15 17:00:00;5.297;85.704;0.017;296.296
2024-03-15 18:00:00;4.904;89.666;0.508;209.877
2024-03-15 19:00:00;4.512;93.629;0.998;123.457
2024-03-15 20:00:00;4.119;97.591;1.489;37.037
2024-03-15 21:00:00;4.113;97.687;2.049;24.691
2024-03-15 22:00:00;4.108;97.784;2.609;12.346
2024-03-15 23:00:00;4.102;97.881;3.169;0.0
2024-03-16 00:00:00;3.88;97.966;4.825;0.0
2024-03-16 01:00:00;3.658;98.052;6.481;0.0
2024-03-16 02:00:00;3.436;98.137;8.136;0.0
2024-03-16 03:00:00;3.177;98.186;6.621;0.0
2024-03-16 04:00:00;2.919;98.234;5.106;0.0
2024-03-16 05:00:00;2.661;98.283;3.591;0.0
2024-03-16 06:00:00;2.343;97.775;2.682;0.0
2024-03-16 07:00:00;2.025;97.267;1.773;0.0
2024-03-16 08:00:00;1.707;96.76;0.864;0.0
2024-03-16 09:00:00;2.449;93.537;0.601;49.383
2024-03-16 10:00:00;3.19;90.314;0.337;98.765
2024-03-16 11:00:00;3.931;87.092;0.073;148.148
2024-03-16 12:00:00;4.786;84.373;0.09;234.568
2024-03-16 13:00:00;5.642;81.653;0.107;320.988
2024-03-16 14:00:00;6.497;78.934;0.124;407.407
2024-03-16 15:00:00;6.542;79.834;0.111;345.679
2024-03-16 16:00:00;6.588;80.734;0.097;283.951
2024-03-16 17:00:00;6.633;81.634;0.083;222.222
2024-03-16 18:00:00;4.129;85.422;0.008;222.222
2024-03-16 19:00:00;2.85;91.069;0.006;148.148
2024-03-16 20:00:00;4.623;94.687;0.073;74.074
2024-03-16 21:00:00;0.69;97.057;0.047;49.383
2024-03-16 22:00:00;-0.192;97.397;0.088;24.691
2024-03-16 23:00:00;4.118;94.005;0.243;0.0
2024-03-17 00:00:00;-1.033;97.984;0.207;0.0
2024-03-17 01:00:00;-0.992;98.23;0.284;0.0
2024-03-17 02:00:00;3.187;91.979;0.001;0.0
2024-03-17 03:00:00;-1.122;98.032;0.309;0.0
2024-03-17 04:00:00;-1.292;97.587;0.257;0.0
2024-03-17 05:00:00;2.895;97.302;2.045;0.0
2024-03-17 06:00:00;-1.496;96.561;0.297;0.0
2024-03-17 07:00:00;-1.531;95.98;0.388;0.0
2024-03-17 08:00:00;3.883;93.482;0.182;0.0
2024-03-17 09:00:00;-0.843;94.67;0.881;49.383
2024-03-17 10:00:00;-0.12;93.942;1.282;98.765
2024-03-17 11:00:00;4.143;75.136;0.098;222.222
2024-03-17 12:00:00;1.361;93.744;1.836;172.84
2024-03-17 13:00:00;2.12;94.274;1.988;197.531
2024-03-17 14:00:00;5.507;82.378;0.494;481.481
2024-03-17 15:00:00;3.556;92.99;1.525;246.914
2024-03-17 16:00:00;4.234;91.176;0.911;271.605
2024-03-17 17:00:00;4.163;87.369;0.559;444.444
2024-03-17 18:00:00;3.95;91.141;0.226;197.531
2024-03-17 19:00:00;2.989;92.92;0.156;98.765
2024-03-17 20:00:00;1.877;75.187;0.02;74.074
2024-03-17 21:00:00;1.135;95.829;0.057;0.0
2024-03-17 22:00:00;0.243;96.96;0.029;0.0
2024-03-17 23:00:00;1.772;95.847;0.817;0.0
2024-03-18 00:00:00;-0.564;97.972;0.003;0.0
2024-03-18 01:00:00;-0.48;97.853;0.004;0.0
2024-03-18 02:00:00;2.702;94.968;0.516;37.037
2024-03-18 03:00:00;0.099;97.932;0.027;0.0
2024-03-18 04:00:00;0.595;98.129;0.049;0.0
2024-03-18 05:00:00;0.258;96.868;1.782;0.0
2024-03-18 06:00:00;1.121;98.31;0.103;0.0
2024-03-18 07:00:00;1.152;98.295;0.136;0.0
2024-03-18 08:00:00;-4.694;68.054;0.02;0.0
2024-03-18 09:00:00;0.104;86.531;0.143;98.765
2024-03-18 10:00:00;-0.973;74.783;0.116;197.531
2024-03-18 11:00:00;3.657;84.13;0.133;222.222
2024-03-18 12:00:00;-1.643;61.543;0.073;345.679
2024-03-18 13:00:00;-1.235;60.051;0.056;395.062
2024-03-18 14:00:00;4.391;80.716;0.358;370.37
2024-03-18 15:00:00;-0.942;58.46;0.033;345.679
2024-03-18 16:00:00;-1.057;58.36;0.027;246.914
2024-03-18 17:00:00;4.633;71.817;0.095;296.296
2024-03-18 18:00:00;-1.508;59.696;0.016;148.148
2024-03-18 19:00:00;-1.843;61.132;0.011;148.148
2024-03-18 20:00:00;2.383;78.738;0.164;74.074
2024-03-18 21:00:00;-3.254;62.64;0.004;98.765
2024-03-18 22:00:00;-4.33;62.713;0.002;49.383
2024-03-18 23:00:00;1.557;78.5;0.136;0.0
2024-03-19 00:00:00;-6.396;65.571;0.0;0.0
2024-03-19 01:00:00;-7.385;68.355;0.0;0.0
2024-03-19 02:00:00;0.051;92.5;0.107;0.0
2024-03-19 03:00:00;-9.058;72.868;0.0;0.0
2024-03-19 04:00:00;-9.743;74.598;0.0;0.0
2024-03-19 05:00:00;-1.599;89.204;0.027;0.0
2024-03-19 06:00:00;-10.464;74.885;0.0;24.691
2024-03-19 07:00:00;-10.501;73.443;0.0;49.383
2024-03-19 08:00:00;-1.724;82.795;0.007;0.0
2024-03-19 09:00:00;-8.105;66.651;0.006;148.148
2024-03-19 10:00:00;-5.673;61.302;0.012;222.222
2024-03-19 11:00:00;0.54;66.776;0.063;296.296
2024-03-19 12:00:00;-2.497;55.048;0.025;345.679
2024-03-19 13:00:00;-1.753;54.144;0.031;395.062
2024-03-19 14:00:00;1.129;55.62;0.011;444.444
2024-03-19 15:00:00;-0.737;53.314;0.025;419.753
2024-03-19 16:00:00;-0.464;53.389;0.013;395.062
2024-03-19 17:00:00;0.559;52.275;0.002;370.37
2024-03-19 18:00:00;-0.646;54.425;0.0;246.914
2024-03-19 19:00:00;-1.101;55.386;0.0;123.457
2024-03-19 20:00:00;-2.636;77.335;0.499;74.074
2024-03-19 21:00:00;-2.007;64.718;0.685;49.383
2024-03-19 22:00:00;-2.456;73.089;0.871;24.691
2024-03-19 23:00:00;-2.906;81.461;1.057;0.0
2024-03-20 00:00:00;-2.683;81.314;0.92;0.0
2024-03-20 01:00:00;-2.46;81.167;0.784;0.0
2024-03-20 02:00:00;-3.112;65.992;0.0;0.0
2024-03-20 03:00:00;-1.609;81.493;0.588;0.0
2024-03-20 04:00:00;-0.98;81.966;0.529;0.0
2024-03-20 05:00:00;-3.826;70.122;0.009;0.0
2024-03-20 06:00:00;-0.099;79.21;0.348;0.32
2024-03-20 07:00:00;0.154;75.98;0.226;0.64
2024-03-20 08:00:00;-3.754;70.966;0.162;149.057
2024-03-20 09:00:00;-0.563;69.324;0.16;54.167
2024-03-20 10:00:00;-1.534;65.898;0.214;107.375
2024-03-20 11:00:00;-2.504;62.471;0.269;160.583
2024-03-20 12:00:00;-2.055;60.685;0.235;209.608
2024-03-20 13:00:00;-1.606;58.898;0.202;258.633
2024-03-20 14:00:00;-1.157;57.112;0.169;307.657
2024-03-20 15:00:00;-0.749;55.643;0.134;282.837
2024-03-20 16:00:00;-0.341;54.174;0.099;258.016
2024-03-20 17:00:00;0.067;52.705;0.064;233.195
2024-03-20 18:00:00;-0.324;54.136;0.043;183.819
2024-03-20 19:00:00;-0.715;55.567;0.021;134.444
2024-03-20 20:00:00;-1.107;56.998;0.0;85.068
