Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-12 08:00:00;-4.89;74.706;0.0;nan
2024-03-12 09:00:00;-4.042;70.773;0.0;206.105
2024-03-12 10:00:00;-2.465;65.133;0.0;384.506
2024-03-12 11:00:00;-1.292;61.145;0.0;523.448
2024-03-12 12:00:00;0.002;57.435;0.0;634.686
2024-03-12 13:00:00;1.127;55.014;0.0;699.886
2024-03-12 14:00:00;2.0;53.864;0.0;697.828
2024-03-12 15:00:00;2.691;53.293;0.0;638.58
2024-03-12 16:00:00;3.067;52.867;0.0;519.846
2024-03-12 17:00:00;3.171;52.976;0.0;366.333
2024-03-12 18:00:00;2.689;55.783;0.0;186.134
2024-03-12 19:00:00;0.952;63.394;0.0;29.919
2024-03-12 20:00:00;-0.984;71.447;0.0;0.0
2024-03-12 21:00:00;-2.714;80.119;0.0;0.0
2024-03-12 22:00:00;-3.989;85.296;0.0;0.0
2024-03-12 23:00:00;-5.025;85.443;0.0;0.0
2024-03-13 00:00:00;-5.644;82.77;0.0;0.0
2024-03-13 01:00:00;-5.68;76.916;0.0;0.0
2024-03-13 02:00:00;-6.184;75.294;0.0;0.0
2024-03-13 03:00:00;-6.513;73.937;0.0;0.0
2024-03-13 04:00:00;-6.576;72.012;0.0;0.0
2024-03-13 05:00:00;-6.556;70.526;0.0;0.0
2024-03-13 06:00:00;-7.017;72.118;0.0;0.0
2024-03-13 07:00:00;-7.153;71.541;0.0;0.626
2024-03-13 08:00:00;-7.788;82.912;0.0;43.415
2024-03-13 09:00:00;-3.07;78.963;0.0;211.411
2024-03-13 10:00:00;1.632;64.45;0.0;378.322
2024-03-13 11:00:00;4.6;55.381;0.0;539.615
2024-03-13 12:00:00;5.7;52.624;0.0;521.854
2024-03-13 13:00:00;5.82;56.97;0.0;235.584
2024-03-13 14:00:00;6.564;54.941;0.0;291.554
2024-03-13 15:00:00;7.69;51.291;0.0;399.79
2024-03-13 16:00:00;7.125;53.368;0.0;193.164
2024-03-13 17:00:00;6.72;59.315;0.002;64.603
2024-03-13 18:00:00;6.522;61.898;0.0;75.492
2024-03-13 19:00:00;5.152;69.82;0.0;8.329
2024-03-13 20:00:00;4.572;71.411;0.0;0.0
2024-03-13 21:00:00;3.288;79.244;0.0;0.0
2024-03-13 22:00:00;3.745;81.223;0.083;3.138
2024-03-13 23:00:00;4.063;86.471;0.084;2.018
2024-03-14 00:00:00;3.544;86.551;0.0;0.0
2024-03-14 01:00:00;2.945;85.412;0.0;0.0
2024-03-14 02:00:00;2.731;86.117;0.0;0.0
2024-03-14 03:00:00;2.058;87.639;0.0;0.0
2024-03-14 04:00:00;1.437;91.06;0.0;0.0
2024-03-14 05:00:00;0.772;95.933;0.0;0.0
2024-03-14 06:00:00;0.435;97.865;0.001;0.0
2024-03-14 07:00:00;0.195;99.214;0.001;0.0
2024-03-14 08:00:00;-0.843;98.149;0.054;0.0
2024-03-14 09:00:00;-0.268;96.327;0.017;55.556
2024-03-14 10:00:00;0.713;92.242;0.019;222.222
2024-03-14 11:00:00;2.017;87.98;0.019;277.778
2024-03-14 12:00:00;3.323;83.219;0.014;388.889
2024-03-14 13:00:00;4.684;78.268;0.007;444.444
2024-03-14 14:00:00;6.153;73.202;0.001;444.444
2024-03-14 15:00:00;7.309;68.491;0.0;555.556
2024-03-14 16:00:00;7.749;65.555;0.0;500.0
2024-03-14 17:00:00;7.507;67.115;0.0;388.889
2024-03-14 18:00:00;6.276;76.923;0.0;166.667
2024-03-14 19:00:00;3.253;91.427;0.0;55.556
2024-03-14 20:00:00;1.237;95.884;0.0;0.0
2024-03-14 21:00:00;0.343;95.613;0.0;0.0
2024-03-14 22:00:00;0.021;94.752;0.0;0.0
2024-03-14 23:00:00;0.13;93.873;0.0;0.0
2024-03-15 00:00:00;0.606;93.67;0.0;0.0
2024-03-15 01:00:00;1.05;93.61;0.001;0.0
2024-03-15 02:00:00;0.724;96.076;0.004;0.0
2024-03-15 03:00:00;-0.624;96.9;0.0;0.0
2024-03-15 04:00:00;-1.857;96.271;0.0;0.0
2024-03-15 05:00:00;-2.665;95.526;0.0;0.0
2024-03-15 06:00:00;-3.206;95.013;0.0;0.0
2024-03-15 07:00:00;-3.432;94.899;0.0;0.0
2024-03-15 08:00:00;-2.356;94.255;0.0;0.0
2024-03-15 09:00:00;0.197;88.494;0.0;111.111
2024-03-15 10:00:00;1.729;86.294;0.009;166.667
2024-03-15 11:00:00;2.604;85.514;0.019;166.667
2024-03-15 12:00:00;3.599;84.01;0.006;222.222
2024-03-15 13:00:00;4.417;82.521;0.001;277.778
2024-03-15 14:00:00;5.421;79.748;0.001;333.333
2024-03-15 15:00:00;6.481;76.439;0.0;333.333
2024-03-15 16:00:00;6.735;75.723;0.0;333.333
2024-03-15 17:00:00;6.515;76.352;0.0;333.333
2024-03-15 18:00:00;5.435;81.119;0.0;111.111
2024-03-15 19:00:00;3.159;91.641;0.0;0.0
2024-03-15 20:00:00;-0.565;86.868;0.0;74.074
2024-03-15 21:00:00;-0.678;86.647;0.0;49.383
2024-03-15 22:00:00;-0.791;86.427;0.0;24.691
2024-03-15 23:00:00;-0.904;86.206;0.0;0.0
2024-03-16 00:00:00;-0.396;87.053;0.15;0.0
2024-03-16 01:00:00;0.111;87.901;0.3;0.0
2024-03-16 02:00:00;0.619;88.748;0.451;0.0
2024-03-16 03:00:00;0.745;90.078;1.125;0.0
2024-03-16 04:00:00;0.87;91.409;1.799;0.0
2024-03-16 05:00:00;0.996;92.74;2.474;0.0
2024-03-16 06:00:00;1.146;91.743;1.943;0.0
2024-03-16 07:00:00;1.296;90.747;1.413;0.0
2024-03-16 08:00:00;1.447;89.751;0.882;0.0
2024-03-16 09:00:00;2.057;85.293;0.639;24.691
2024-03-16 10:00:00;2.667;80.835;0.397;49.383
2024-03-16 11:00:00;3.277;76.376;0.154;74.074
2024-03-16 12:00:00;3.91;72.783;0.104;148.148
2024-03-16 13:00:00;4.543;69.19;0.053;222.222
2024-03-16 14:00:00;5.175;65.597;0.003;296.296
2024-03-16 15:00:00;5.405;64.852;0.002;283.951
2024-03-16 16:00:00;5.635;64.107;0.001;271.605
2024-03-16 17:00:00;5.865;63.362;0.0;259.259
2024-03-16 18:00:00;4.723;69.742;0.0;172.84
2024-03-16 19:00:00;3.581;76.123;0.001;86.42
2024-03-16 20:00:00;2.439;82.504;0.001;0.0
2024-03-16 21:00:00;2.126;83.426;0.01;0.0
2024-03-16 22:00:00;1.814;84.348;0.019;0.0
2024-03-16 23:00:00;1.501;85.27;0.029;0.0
2024-03-17 00:00:00;1.518;89.746;0.382;0.0
2024-03-17 01:00:00;1.536;94.221;0.735;0.0
2024-03-17 02:00:00;1.553;98.696;1.089;0.0
2024-03-17 03:00:00;1.553;98.482;1.132;0.0
2024-03-17 04:00:00;1.552;98.269;1.176;0.0
2024-03-17 05:00:00;1.552;98.055;1.22;0.0
2024-03-17 06:00:00;1.808;97.287;0.948;12.346
2024-03-17 07:00:00;2.064;96.52;0.677;24.691
2024-03-17 08:00:00;2.32;95.752;0.405;37.037
2024-03-17 09:00:00;3.034;91.552;0.28;74.074
2024-03-17 10:00:00;3.747;87.352;0.155;111.111
2024-03-17 11:00:00;4.461;83.152;0.03;148.148
2024-03-17 12:00:00;4.982;81.652;0.097;197.531
2024-03-17 13:00:00;5.504;80.151;0.164;246.914
2024-03-17 14:00:00;6.025;78.651;0.232;296.296
2024-03-17 15:00:00;4.281;82.156;0.872;320.988
2024-03-17 16:00:00;3.534;90.259;1.473;271.605
2024-03-17 17:00:00;2.263;92.369;1.645;222.222
2024-03-17 18:00:00;2.292;98.891;2.251;148.148
2024-03-17 19:00:00;1.797;99.42;2.428;74.074
2024-03-17 20:00:00;3.951;94.373;1.032;0.0
2024-03-17 21:00:00;1.052;99.912;2.089;0.0
2024-03-17 22:00:00;0.802;99.876;1.573;0.0
2024-03-17 23:00:00;3.513;97.409;2.048;0.0
2024-03-18 00:00:00;0.327;99.555;0.752;0.0
2024-03-18 01:00:00;0.103;99.27;0.447;0.0
2024-03-18 02:00:00;2.404;98.36;5.13;0.0
2024-03-18 03:00:00;-0.426;98.015;0.116;0.0
2024-03-18 04:00:00;-0.73;97.046;0.09;0.0
2024-03-18 05:00:00;-2.467;94.618;0.024;0.0
2024-03-18 06:00:00;-1.046;94.81;0.06;0.0
2024-03-18 07:00:00;-1.057;93.545;0.056;0.0
2024-03-18 08:00:00;0.847;96.685;1.232;0.0
2024-03-18 09:00:00;-1.829;82.948;0.189;49.383
2024-03-18 10:00:00;-2.59;73.616;0.326;98.765
2024-03-18 11:00:00;3.103;85.16;0.11;148.148
2024-03-18 12:00:00;-3.026;63.793;0.453;197.531
2024-03-18 13:00:00;-2.702;63.301;0.443;246.914
2024-03-18 14:00:00;2.459;72.72;0.288;444.444
2024-03-18 15:00:00;-2.459;63.043;0.401;246.914
2024-03-18 16:00:00;-2.541;63.277;0.367;197.531
2024-03-18 17:00:00;2.383;98.317;3.778;148.148
2024-03-18 18:00:00;-2.991;63.696;0.299;123.457
2024-03-18 19:00:00;-3.36;63.882;0.263;98.765
2024-03-18 20:00:00;-0.247;95.437;3.755;74.074
2024-03-18 21:00:00;-5.721;65.057;0.152;49.383
2024-03-18 22:00:00;-7.714;66.047;0.076;24.691
2024-03-18 23:00:00;0.189;94.859;0.57;0.0
2024-03-19 00:00:00;-10.496;70.571;0.0;0.0
2024-03-19 01:00:00;-11.285;74.105;0.0;0.0
2024-03-19 02:00:00;-1.614;88.25;0.376;0.0
2024-03-19 03:00:00;-12.642;79.785;0.0;0.0
2024-03-19 04:00:00;-13.21;81.931;0.0;0.0
