Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-12 08:00:00;0.315;59.28;0.0;nan
2024-03-12 09:00:00;-0.896;67.314;0.0;195.401
2024-03-12 10:00:00;1.217;62.181;0.0;384.296
2024-03-12 11:00:00;2.648;56.903;0.0;549.474
2024-03-12 12:00:00;3.661;54.045;0.0;669.946
2024-03-12 13:00:00;4.865;49.942;0.0;731.788
2024-03-12 14:00:00;5.937;47.131;0.0;734.768
2024-03-12 15:00:00;6.712;44.554;0.0;673.841
2024-03-12 16:00:00;7.275;49.293;0.0;558.464
2024-03-12 17:00:00;7.402;52.976;0.0;399.915
2024-03-12 18:00:00;6.4;55.437;0.0;216.357
2024-03-12 19:00:00;4.085;61.088;0.0;46.709
2024-03-12 20:00:00;2.127;66.282;0.0;0.0
2024-03-12 21:00:00;0.243;66.261;0.0;0.0
2024-03-12 22:00:00;-1.878;70.492;0.0;0.0
2024-03-12 23:00:00;-2.294;63.883;0.0;0.0
2024-03-13 00:00:00;-2.497;58.973;0.0;0.0
2024-03-13 01:00:00;-4.366;72.605;0.0;0.0
2024-03-13 02:00:00;-5.484;82.534;0.0;0.0
2024-03-13 03:00:00;-5.243;74.675;0.0;0.0
2024-03-13 04:00:00;-4.212;69.683;0.0;0.0
2024-03-13 05:00:00;-4.792;73.501;0.0;0.0
2024-03-13 06:00:00;-5.676;78.067;0.0;0.0
2024-03-13 07:00:00;-5.909;80.626;0.0;0.0
2024-03-13 08:00:00;-5.21;79.476;0.0;26.624
2024-03-13 09:00:00;-2.452;68.241;0.0;150.964
2024-03-13 10:00:00;1.011;61.521;0.0;371.606
2024-03-13 11:00:00;3.764;57.503;0.001;364.992
2024-03-13 12:00:00;4.938;57.789;0.0;421.111
2024-03-13 13:00:00;6.613;54.572;0.001;443.788
2024-03-13 14:00:00;7.093;54.411;0.001;446.028
2024-03-13 15:00:00;6.971;58.67;0.001;322.553
2024-03-13 16:00:00;7.268;57.634;0.0;260.327
2024-03-13 17:00:00;7.473;58.393;0.0;252.658
2024-03-13 18:00:00;6.913;65.841;0.001;95.641
2024-03-13 19:00:00;5.974;86.284;0.0;21.762
2024-03-13 20:00:00;4.152;91.518;0.0;0.0
2024-03-13 21:00:00;2.397;90.911;0.0;4.716
2024-03-13 22:00:00;0.567;95.703;0.0;0.0
2024-03-13 23:00:00;-0.729;94.334;0.0;2.018
2024-03-14 00:00:00;-0.381;91.232;0.001;0.0
