Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-11 02:00:00;-2.636;90.316;0.441;nan
2024-03-11 03:00:00;-3.855;88.23;0.37;0.0
2024-03-11 04:00:00;-4.064;86.079;0.299;0.0
2024-03-11 05:00:00;-4.125;86.44;0.201;0.0
2024-03-11 06:00:00;-4.318;88.33;0.356;0.0
2024-03-11 07:00:00;-4.538;88.862;0.516;0.0
2024-03-11 08:00:00;-4.519;88.356;0.485;6.506
2024-03-11 09:00:00;-4.232;87.799;0.378;35.89
2024-03-11 10:00:00;-3.625;83.173;0.223;75.558
2024-03-11 11:00:00;-2.87;80.232;0.116;122.991
2024-03-11 12:00:00;-2.043;76.75;0.072;166.227
2024-03-11 13:00:00;-1.167;74.093;0.05;198.562
2024-03-11 14:00:00;-0.194;69.875;0.03;254.891
2024-03-11 15:00:00;-0.796;73.932;0.04;228.588
2024-03-11 16:00:00;-1.1;76.808;0.133;137.1
2024-03-11 17:00:00;-1.284;80.549;0.181;87.165
2024-03-11 18:00:00;-0.968;79.833;0.183;36.209
2024-03-11 19:00:00;-0.532;73.811;0.043;6.569
2024-03-11 20:00:00;-0.849;71.503;0.0;1.349
2024-03-11 21:00:00;-2.079;74.127;0.0;0.367
2024-03-11 22:00:00;-2.78;67.949;0.0;0.0
2024-03-11 23:00:00;-3.04;68.365;0.0;1.195
2024-03-12 00:00:00;-3.379;69.992;0.0;0.0
2024-03-12 01:00:00;-3.816;71.319;0.0;0.0
2024-03-12 02:00:00;-4.279;72.488;0.0;0.0
2024-03-12 03:00:00;-4.692;73.757;0.0;0.0
2024-03-12 04:00:00;-5.106;74.971;0.0;0.0
2024-03-12 05:00:00;-5.614;76.628;0.0;0.0
2024-03-12 06:00:00;-6.184;78.277;0.0;0.0
2024-03-12 07:00:00;-6.724;79.109;0.0;0.0
2024-03-12 08:00:00;-6.638;76.631;0.0;35.26
2024-03-12 09:00:00;-4.735;68.169;0.0;203.167
2024-03-12 10:00:00;-2.628;62.341;0.0;389.543
2024-03-12 11:00:00;-1.112;57.417;0.0;547.375
2024-03-12 12:00:00;0.057;53.659;0.0;657.055
2024-03-12 13:00:00;1.445;52.038;0.0;722.125
2024-03-12 14:00:00;2.76;48.474;0.0;721.148
2024-03-12 15:00:00;3.956;51.359;0.0;660.421
