Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-12 08:00:00;-4.546;69.38;0.0;nan
2024-03-12 09:00:00;-3.202;65.354;0.0;201.907
2024-03-12 10:00:00;-1.044;58.1;0.0;382.407
2024-03-12 11:00:00;0.112;53.767;0.0;537.3
2024-03-12 12:00:00;1.129;51.647;0.0;633.847
2024-03-12 13:00:00;2.355;48.673;0.0;698.206
2024-03-12 14:00:00;3.624;43.972;0.0;702.866
2024-03-12 15:00:00;4.618;41.717;0.0;643.617
2024-03-12 16:00:00;5.191;41.269;0.0;534.957
2024-03-12 17:00:00;5.25;42.484;0.0;378.087
2024-03-12 18:00:00;4.211;44.968;0.0;199.567
2024-03-12 19:00:00;1.527;51.311;0.0;38.314
2024-03-12 20:00:00;-0.262;52.701;0.0;0.0
2024-03-12 21:00:00;-0.924;54.985;0.0;0.0
2024-03-12 22:00:00;-1.816;60.392;0.0;0.0
2024-03-12 23:00:00;-3.323;69.878;0.0;0.0
2024-03-13 00:00:00;-5.049;80.372;0.0;0.0
2024-03-13 01:00:00;-6.378;85.863;0.0;0.0
2024-03-13 02:00:00;-7.436;87.123;0.0;0.0
2024-03-13 03:00:00;-8.15;85.166;0.0;0.0
2024-03-13 04:00:00;-8.802;84.026;0.0;0.0
2024-03-13 05:00:00;-8.364;79.335;0.0;0.0
2024-03-13 06:00:00;-7.539;72.602;0.0;0.0
2024-03-13 07:00:00;-7.289;69.35;0.0;0.626
2024-03-13 08:00:00;-7.016;73.919;0.0;36.699
2024-03-13 09:00:00;-3.108;76.772;0.0;197.978
2024-03-13 10:00:00;1.64;63.481;0.0;385.038
2024-03-13 11:00:00;4.38;57.618;0.0;475.811
2024-03-13 12:00:00;4.605;56.89;0.0;202.833
2024-03-13 13:00:00;5.212;54.688;0.0;262.449
2024-03-13 14:00:00;7.115;49.476;0.012;399.015
2024-03-13 15:00:00;7.677;47.879;0.0;477.027
2024-03-13 16:00:00;7.54;51.984;0.008;162.942
2024-03-13 17:00:00;7.555;53.504;0.0;209.002
2024-03-13 18:00:00;6.764;58.001;0.0;82.208
2024-03-13 19:00:00;5.559;64.494;0.0;31.837
2024-03-13 20:00:00;3.85;87.113;0.823;0.0
2024-03-13 21:00:00;2.979;91.188;0.239;0.0
2024-03-13 22:00:00;2.699;92.844;0.0;3.139
2024-03-13 23:00:00;0.287;95.694;0.0;0.0
2024-03-14 00:00:00;-1.245;93.307;0.0;0.0
2024-03-14 01:00:00;-1.661;93.483;0.0;0.0
2024-03-14 02:00:00;-0.627;94.026;0.0;0.0
2024-03-14 03:00:00;-0.524;94.672;0.0;0.0
2024-03-14 04:00:00;-1.521;96.733;0.0;0.0
2024-03-14 05:00:00;-1.942;98.285;0.0;0.0
2024-03-14 06:00:00;-1.347;98.326;0.002;0.0
