Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-12 08:00:00;-2.462;63.108;0.0;nan
2024-03-12 09:00:00;-2.88;65.239;0.0;153.215
2024-03-12 10:00:00;-1.073;58.838;0.0;371.913
2024-03-12 11:00:00;0.512;54.159;0.0;524.288
2024-03-12 12:00:00;1.869;50.978;0.0;633.007
2024-03-12 13:00:00;3.15;48.789;0.0;690.651
2024-03-12 14:00:00;4.199;47.269;0.0;687.754
2024-03-12 15:00:00;5.105;46.375;0.0;630.185
2024-03-12 16:00:00;5.556;46.664;0.0;518.167
2024-03-12 17:00:00;5.285;49.148;0.0;362.975
2024-03-12 18:00:00;3.403;56.244;0.0;186.134
2024-03-12 19:00:00;-0.007;68.789;0.0;36.634
2024-03-12 20:00:00;-1.898;76.52;0.0;0.0
2024-03-12 21:00:00;-3.074;81.11;0.0;0.0
2024-03-12 22:00:00;-3.515;84.235;0.0;0.0
2024-03-12 23:00:00;-3.383;84.843;0.0;0.0
2024-03-13 00:00:00;-3.425;86.574;0.0;0.0
2024-03-13 01:00:00;-3.39;86.993;0.0;0.0
2024-03-13 02:00:00;-3.583;87.422;0.0;0.0
2024-03-13 03:00:00;-4.34;90.239;0.0;0.0
2024-03-13 04:00:00;-5.156;90.943;0.0;0.0
2024-03-13 05:00:00;-5.778;90.795;0.0;0.0
2024-03-13 06:00:00;-6.366;90.657;0.0;0.0
2024-03-13 07:00:00;-7.109;90.333;0.0;0.0
2024-03-13 08:00:00;-6.784;90.198;0.0;40.057
2024-03-13 09:00:00;-3.799;78.202;0.0;174.472
2024-03-13 10:00:00;-1.321;70.906;0.0;267.503
2024-03-13 11:00:00;0.553;66.426;0.0;348.202
2024-03-13 12:00:00;0.841;67.889;0.0;212.907
2024-03-13 13:00:00;3.03;61.328;0.0;373.267
2024-03-13 14:00:00;3.953;58.746;0.0;348.642
2024-03-13 15:00:00;4.466;59.316;0.0;184.871
2024-03-13 16:00:00;5.445;58.948;0.0;337.564
2024-03-13 17:00:00;5.072;62.313;0.0;178.779
2024-03-13 18:00:00;4.58;66.164;0.0;135.938
2024-03-13 19:00:00;3.063;74.755;0.007;4.972
2024-03-13 20:00:00;2.624;78.605;0.005;0.0
2024-03-13 21:00:00;2.169;83.763;0.002;4.716
2024-03-13 22:00:00;1.735;82.237;0.001;0.0
2024-03-13 23:00:00;1.504;80.798;0.0;2.018
2024-03-14 00:00:00;1.208;81.524;0.004;0.0
2024-03-14 01:00:00;0.828;84.536;0.001;0.0
2024-03-14 02:00:00;0.497;86.901;0.0;0.0
2024-03-14 03:00:00;0.356;87.985;0.0;0.0
2024-03-14 04:00:00;0.364;88.778;0.0;0.0
2024-03-14 05:00:00;0.411;89.316;0.0;0.0
2024-03-14 06:00:00;0.5;89.656;0.0;0.0
2024-03-14 07:00:00;0.549;90.729;0.001;0.0
2024-03-14 08:00:00;0.557;96.399;0.0;0.0
2024-03-14 09:00:00;2.182;92.902;0.0;111.111
2024-03-14 10:00:00;4.063;84.242;0.0;388.889
2024-03-14 11:00:00;5.742;74.905;0.0;555.556
2024-03-14 12:00:00;7.073;68.869;0.0;555.556
2024-03-14 13:00:00;7.634;66.718;0.0;500.0
2024-03-14 14:00:00;8.478;64.502;0.0;555.556
2024-03-14 15:00:00;9.059;63.466;0.0;500.0
2024-03-14 16:00:00;8.549;67.505;0.0;444.444
2024-03-14 17:00:00;7.607;73.165;0.0;277.778
2024-03-14 18:00:00;6.226;81.048;0.0;222.222
2024-03-14 19:00:00;3.778;93.977;0.001;0.0
2024-03-14 20:00:00;1.812;97.384;0.0;0.0
2024-03-14 21:00:00;0.693;98.363;0.0;0.0
2024-03-14 22:00:00;-0.254;98.777;0.0;0.0
2024-03-14 23:00:00;-0.495;97.698;0.0;0.0
2024-03-15 00:00:00;0.006;96.545;0.0;0.0
2024-03-15 01:00:00;-0.175;96.46;0.0;0.0
2024-03-15 02:00:00;-0.251;96.451;0.0;0.0
2024-03-15 03:00:00;-0.724;96.625;0.0;0.0
2024-03-15 04:00:00;-1.482;95.921;0.0;0.0
2024-03-15 05:00:00;-2.265;95.051;0.0;0.0
2024-03-15 06:00:00;-2.606;93.938;0.0;0.0
2024-03-15 07:00:00;-2.132;92.949;0.0;0.0
2024-03-15 08:00:00;-1.106;90.98;0.0;55.556
2024-03-15 09:00:00;0.772;84.919;0.0;166.667
2024-03-15 10:00:00;2.504;74.344;0.0;333.333
2024-03-15 11:00:00;4.154;64.964;0.0;500.0
2024-03-15 12:00:00;5.374;59.635;0.0;611.111
2024-03-15 13:00:00;6.242;57.521;0.0;666.667
2024-03-15 14:00:00;6.846;56.398;0.0;555.556
2024-03-15 15:00:00;7.356;55.864;0.0;555.556
2024-03-15 16:00:00;7.46;56.348;0.0;555.556
2024-03-15 17:00:00;7.015;58.452;0.0;333.333
2024-03-15 18:00:00;5.76;66.144;0.0;111.111
2024-03-15 19:00:00;3.209;73.716;0.0;0.0
2024-03-15 20:00:00;0.229;87.051;0.0;74.074
2024-03-15 21:00:00;-0.607;87.252;0.0;49.383
2024-03-15 22:00:00;-1.443;87.453;0.0;24.691
2024-03-15 23:00:00;-2.28;87.655;0.0;0.0
2024-03-16 00:00:00;-2.774;88.077;0.0;0.0
2024-03-16 01:00:00;-3.268;88.5;0.0;0.0
2024-03-16 02:00:00;-3.762;88.923;0.0;0.0
2024-03-16 03:00:00;-3.67;88.651;0.0;0.0
2024-03-16 04:00:00;-3.578;88.38;0.0;0.0
2024-03-16 05:00:00;-3.486;88.109;0.0;0.0
2024-03-16 06:00:00;-3.21;87.544;0.001;0.0
2024-03-16 07:00:00;-2.935;86.98;0.001;0.0
2024-03-16 08:00:00;-2.659;86.415;0.002;0.0
2024-03-16 09:00:00;-1.145;83.885;0.028;61.728
2024-03-16 10:00:00;0.368;81.354;0.053;123.457
2024-03-16 11:00:00;1.881;78.823;0.079;185.185
2024-03-16 12:00:00;2.545;77.931;0.087;234.568
2024-03-16 13:00:00;3.209;77.04;0.096;283.951
2024-03-16 14:00:00;3.873;76.148;0.105;333.333
2024-03-16 15:00:00;3.977;77.32;0.072;308.642
2024-03-16 16:00:00;4.08;78.492;0.039;283.951
2024-03-16 17:00:00;4.184;79.664;0.006;259.259
2024-03-16 18:00:00;3.373;85.159;0.006;172.84
2024-03-16 19:00:00;2.562;90.654;0.006;86.42
2024-03-16 20:00:00;1.751;96.149;0.007;0.0
2024-03-16 21:00:00;1.341;97.127;0.015;0.0
2024-03-16 22:00:00;0.931;98.104;0.024;0.0
2024-03-16 23:00:00;0.521;99.082;0.033;0.0
2024-03-17 00:00:00;0.656;99.027;0.457;0.0
2024-03-17 01:00:00;0.79;98.972;0.882;0.0
2024-03-17 02:00:00;0.924;98.917;1.306;0.0
2024-03-17 03:00:00;1.26;98.449;1.006;0.0
