Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-11 02:00:00;-3.406;91.631;0.275;nan
2024-03-11 03:00:00;-4.286;88.53;0.173;0.0
2024-03-11 04:00:00;-4.299;85.71;0.071;0.0
2024-03-11 05:00:00;-4.489;88.561;0.182;0.0
2024-03-11 06:00:00;-4.566;87.385;0.261;0.0
2024-03-11 07:00:00;-4.569;86.164;0.204;0.0
2024-03-11 08:00:00;-4.448;85.774;0.149;11.124
2024-03-11 09:00:00;-4.036;85.055;0.105;64.434
2024-03-11 10:00:00;-3.374;83.127;0.068;145.659
2024-03-11 11:00:00;-2.55;80.232;0.042;236.328
2024-03-11 12:00:00;-1.599;76.75;0.018;321.541
2024-03-11 13:00:00;-0.7;74.854;0.004;474.768
2024-03-11 14:00:00;-1.035;76.793;0.005;417.76
2024-03-11 15:00:00;-0.964;77.69;0.013;292.393
2024-03-11 16:00:00;-0.612;77.915;0.013;200.904
2024-03-11 17:00:00;-0.145;76.56;0.003;120.746
2024-03-11 18:00:00;-0.049;75.66;0.0;123.521
2024-03-11 19:00:00;-0.921;74.641;0.0;40.15
2024-03-11 20:00:00;-1.39;72.84;0.0;1.349
2024-03-11 21:00:00;-1.739;71.545;0.0;0.0
2024-03-11 22:00:00;-2.097;72.676;0.0;2.887
2024-03-11 23:00:00;-2.567;73.276;0.0;0.0
2024-03-12 00:00:00;-3.057;73.082;0.0;0.0
2024-03-12 01:00:00;-3.586;73.487;0.0;0.0
2024-03-12 02:00:00;-4.035;74.679;0.0;0.0
2024-03-12 03:00:00;-4.301;76.317;0.0;0.0
2024-03-12 04:00:00;-4.581;76.862;0.0;0.0
2024-03-12 05:00:00;-4.984;77.389;0.0;0.0
2024-03-12 06:00:00;-5.542;78.715;0.0;0.0
2024-03-12 07:00:00;-6.244;80.4;0.0;0.0
2024-03-12 08:00:00;-6.068;79.536;0.0;36.939
2024-03-12 09:00:00;-3.866;76.424;0.0;203.167
2024-03-12 10:00:00;-1.771;74.908;0.0;396.259
2024-03-12 11:00:00;-0.285;70.007;0.0;557.449
2024-03-12 12:00:00;0.946;64.704;0.0;673.845
2024-03-12 13:00:00;1.96;64.328;0.0;735.558
2024-03-12 14:00:00;2.944;62.539;0.0;734.581
2024-03-12 15:00:00;3.809;62.265;0.0;673.853
2024-03-12 16:00:00;4.592;61.905;0.0;560.341
2024-03-12 17:00:00;4.661;61.622;0.0;397.584
2024-03-12 18:00:00;3.522;64.536;0.0;212.169
2024-03-12 19:00:00;1.229;67.723;0.0;41.427
2024-03-12 20:00:00;-0.675;65.67;0.0;1.966
2024-03-12 21:00:00;-1.522;65.153;0.0;0.143
2024-03-12 22:00:00;-2.694;71.436;0.0;0.0
2024-03-12 23:00:00;-3.798;76.987;0.0;0.0
2024-03-13 00:00:00;-4.778;77.677;0.0;0.0
2024-03-13 01:00:00;-6.082;82.393;0.0;0.0
2024-03-13 02:00:00;-8.37;87.136;0.0;0.0
2024-03-13 03:00:00;-9.449;87.455;0.0;0.0
2024-03-13 04:00:00;-10.367;87.668;0.0;0.0
2024-03-13 05:00:00;-11.092;87.526;0.0;0.0
2024-03-13 06:00:00;-11.602;87.245;0.0;0.0
2024-03-13 07:00:00;-12.032;87.17;0.0;0.0
2024-03-13 08:00:00;-11.62;86.18;0.0;0.0
2024-03-13 09:00:00;-8.334;81.211;0.0;222.222
2024-03-13 10:00:00;-3.93;75.047;0.0;388.889
2024-03-13 11:00:00;-0.261;72.46;0.0;500.0
2024-03-13 12:00:00;1.785;69.891;0.0;500.0
2024-03-13 13:00:00;2.536;69.129;0.0;277.778
2024-03-13 14:00:00;3.292;68.156;0.0;388.889
2024-03-13 15:00:00;3.78;67.323;0.0;388.889
2024-03-13 16:00:00;4.12;68.02;0.0;333.333
2024-03-13 17:00:00;4.049;69.684;0.0;277.778
2024-03-13 18:00:00;3.333;74.015;0.0;166.667
