Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-12 08:00:00;-1.659;58.865;0.0;nan
2024-03-12 09:00:00;-2.432;67.176;0.0;190.364
2024-03-12 10:00:00;-0.142;60.821;0.0;380.098
2024-03-12 11:00:00;1.889;53.352;0.0;546.115
2024-03-12 12:00:00;3.619;47.796;0.0;666.588
2024-03-12 13:00:00;4.727;41.756;0.0;727.59
2024-03-12 14:00:00;5.441;39.798;0.0;733.089
2024-03-12 15:00:00;6.053;39.665;0.0;675.52
2024-03-12 16:00:00;6.367;39.147;0.0;558.464
2024-03-12 17:00:00;5.468;40.732;0.0;404.952
2024-03-12 18:00:00;3.31;50.202;0.0;219.715
2024-03-12 19:00:00;0.64;59.335;0.0;51.747
2024-03-12 20:00:00;-1.522;56.874;0.0;0.0
2024-03-12 21:00:00;-2.569;61.488;0.0;0.0
2024-03-12 22:00:00;-2.783;63.874;0.0;0.0
2024-03-12 23:00:00;-2.707;64.759;0.0;0.0
2024-03-13 00:00:00;-2.365;65.015;0.0;0.0
2024-03-13 01:00:00;-3.128;69.907;0.0;0.0
2024-03-13 02:00:00;-3.728;71.673;0.0;0.0
2024-03-13 03:00:00;-4.513;74.306;0.0;0.0
2024-03-13 04:00:00;-5.065;75.932;0.0;0.0
2024-03-13 05:00:00;-5.35;76.706;0.0;0.0
2024-03-13 06:00:00;-5.667;76.799;0.0;0.0
2024-03-13 07:00:00;-6.064;78.412;0.0;0.0
2024-03-13 08:00:00;-5.483;79.753;0.0;33.341
2024-03-13 09:00:00;-3.275;75.527;0.0;184.546
2024-03-13 10:00:00;-1.369;74.434;0.0;160.043
2024-03-13 11:00:00;0.829;71.222;0.0;361.634
2024-03-13 12:00:00;2.59;67.059;0.0;364.023
2024-03-13 13:00:00;3.161;67.439;0.001;299.389
2024-03-13 14:00:00;4.293;64.326;0.002;325.136
2024-03-13 15:00:00;4.567;64.665;0.0;309.121
2024-03-13 16:00:00;5.179;65.174;0.0;307.341
2024-03-13 17:00:00;4.808;68.377;0.001;245.942
2024-03-13 18:00:00;3.983;74.304;0.002;55.343
2024-03-13 19:00:00;2.965;75.723;0.0;15.046
2024-03-13 20:00:00;1.364;81.326;0.0;1.248
2024-03-13 21:00:00;0.496;84.04;0.0;1.357
2024-03-13 22:00:00;0.595;84.751;0.0;3.139
2024-03-13 23:00:00;0.552;85.249;0.003;0.0
2024-03-14 00:00:00;0.465;84.568;0.0;0.0
2024-03-14 01:00:00;-0.224;88.664;0.0;0.0
2024-03-14 02:00:00;-0.734;90.359;0.0;0.0
2024-03-14 03:00:00;-0.845;89.115;0.0;0.0
2024-03-14 04:00:00;-0.681;87.279;0.0;0.0
2024-03-14 05:00:00;0.293;83.228;0.0;0.0
2024-03-14 06:00:00;0.861;81.171;0.0;0.0
