Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-12 08:00:00;-2.01;63.223;0.0;nan
2024-03-12 09:00:00;-2.831;68.398;0.0;204.426
2024-03-12 10:00:00;-0.931;62.389;0.0;391.222
2024-03-12 11:00:00;0.205;55.173;0.0;551.153
2024-03-12 12:00:00;1.25;51.232;0.0;668.267
2024-03-12 13:00:00;2.512;51.556;0.0;729.269
2024-03-12 14:00:00;3.595;48.491;0.0;728.052
2024-03-12 15:00:00;4.664;45.868;0.0;668.804
2024-03-12 16:00:00;5.096;45.996;0.0;553.427
2024-03-12 17:00:00;4.808;46.865;0.0;391.52
2024-03-12 18:00:00;3.951;49.211;0.0;206.282
2024-03-12 19:00:00;1.974;53.894;0.0;43.351
2024-03-12 20:00:00;0.187;58.235;0.0;0.0
2024-03-12 21:00:00;-1.643;72.487;0.0;0.0
2024-03-12 22:00:00;-2.809;80.2;0.0;0.0
2024-03-12 23:00:00;-3.676;74.098;0.0;0.0
2024-03-13 00:00:00;-4.507;72.347;0.0;0.0
2024-03-13 01:00:00;-5.284;73.412;0.0;0.0
2024-03-13 02:00:00;-5.968;77.484;0.0;0.0
2024-03-13 03:00:00;-6.497;82.906;0.0;0.0
2024-03-13 04:00:00;-6.315;81.259;0.0;0.0
2024-03-13 05:00:00;-6.266;78.943;0.0;0.0
2024-03-13 06:00:00;-6.075;76.707;0.0;0.0
2024-03-13 07:00:00;-5.907;74.677;0.0;0.626
2024-03-13 08:00:00;-6.412;81.92;0.0;31.662
2024-03-13 09:00:00;-3.221;69.763;0.0;196.299
2024-03-13 10:00:00;1.309;61.452;0.0;354.815
2024-03-13 11:00:00;4.773;60.915;0.0;532.899
2024-03-13 12:00:00;7.134;56.314;0.0;615.882
2024-03-13 13:00:00;7.202;59.161;0.0;470.653
2024-03-13 14:00:00;8.445;60.752;0.0;452.744
2024-03-13 15:00:00;7.702;70.315;0.0;275.539
2024-03-13 16:00:00;7.611;67.526;0.0;223.388
2024-03-13 17:00:00;7.781;62.174;0.0;145.198
2024-03-13 18:00:00;7.144;52.191;0.0;112.431
2024-03-13 19:00:00;5.357;49.137;0.003;31.837
2024-03-13 20:00:00;3.688;62.879;0.0;0.0
2024-03-13 21:00:00;2.367;88.605;0.0;4.716
2024-03-13 22:00:00;1.576;84.059;0.0;0.0
2024-03-13 23:00:00;1.658;72.889;0.0;2.017
2024-03-14 00:00:00;1.708;74.445;0.0;0.0
2024-03-14 01:00:00;-0.962;97.034;0.411;0.0
2024-03-14 02:00:00;-0.549;98.084;0.209;0.0
2024-03-14 03:00:00;-0.47;98.477;0.002;0.0
2024-03-14 04:00:00;-1.2;98.785;0.0;0.0
2024-03-14 05:00:00;-1.598;98.47;0.0;0.0
2024-03-14 06:00:00;-1.209;98.741;0.0;0.0
2024-03-14 07:00:00;-1.199;98.615;0.0;0.0
2024-03-14 08:00:00;-0.968;95.099;0.0;0.0
2024-03-14 09:00:00;0.157;88.777;0.01;111.111
2024-03-14 10:00:00;2.413;79.467;0.004;333.333
2024-03-14 11:00:00;4.992;70.955;0.0;500.0
2024-03-14 12:00:00;7.448;62.769;0.0;555.556
2024-03-14 13:00:00;9.309;58.568;0.0;777.778
2024-03-14 14:00:00;10.428;56.802;0.0;611.111
2024-03-14 15:00:00;11.034;55.091;0.0;666.667
2024-03-14 16:00:00;11.299;53.68;0.0;500.0
2024-03-14 17:00:00;11.132;53.04;0.0;388.889
2024-03-14 18:00:00;10.376;58.273;0.0;222.222
2024-03-14 19:00:00;7.578;67.777;0.0;55.556
2024-03-14 20:00:00;4.762;82.559;0.0;0.0
2024-03-14 21:00:00;3.043;93.888;0.0;0.0
2024-03-14 22:00:00;2.221;95.827;0.0;0.0
2024-03-14 23:00:00;1.755;95.648;0.0;0.0
2024-03-15 00:00:00;1.481;95.895;0.0;0.0
2024-03-15 01:00:00;0.8;97.86;0.0;0.0
2024-03-15 02:00:00;0.349;99.101;0.0;0.0
2024-03-15 03:00:00;0.101;98.825;0.0;0.0
2024-03-15 04:00:00;-0.732;98.946;0.0;0.0
2024-03-15 05:00:00;-1.515;98.001;0.0;0.0
2024-03-15 06:00:00;-1.606;97.588;0.0;0.0
2024-03-15 07:00:00;-1.432;97.549;0.0;0.0
2024-03-15 08:00:00;-0.756;94.655;0.002;0.0
2024-03-15 09:00:00;0.747;88.969;0.003;166.667
2024-03-15 10:00:00;2.154;83.494;0.0;222.222
2024-03-15 11:00:00;3.479;78.589;0.0;277.778
2024-03-15 12:00:00;4.924;73.985;0.0;333.333
2024-03-15 13:00:00;6.567;68.996;0.0;500.0
2024-03-15 14:00:00;7.671;66.348;0.0;444.444
2024-03-15 15:00:00;8.106;65.014;0.0;444.444
2024-03-15 16:00:00;8.135;64.398;0.0;333.333
2024-03-15 17:00:00;7.815;65.277;0.0;444.444
2024-03-15 18:00:00;7.185;67.294;0.0;111.111
2024-03-15 19:00:00;5.809;70.491;0.0;111.111
2024-03-15 20:00:00;2.185;89.618;0.0;74.074
2024-03-15 21:00:00;2.072;89.064;0.022;49.383
2024-03-15 22:00:00;1.959;88.51;0.045;24.691
2024-03-15 23:00:00;1.846;87.956;0.067;0.0
2024-03-16 00:00:00;1.77;90.97;0.837;0.0
2024-03-16 01:00:00;1.695;93.984;1.608;0.0
2024-03-16 02:00:00;1.619;96.998;2.378;0.0
2024-03-16 03:00:00;1.728;97.495;3.231;0.0
2024-03-16 04:00:00;1.837;97.992;4.083;0.0
2024-03-16 05:00:00;1.946;98.49;4.936;0.0
2024-03-16 06:00:00;2.196;98.077;4.023;0.0
2024-03-16 07:00:00;2.446;97.664;3.111;0.0
2024-03-16 08:00:00;2.697;97.251;2.198;0.0
2024-03-16 09:00:00;3.29;96.126;1.628;37.037
2024-03-16 10:00:00;3.884;95.001;1.058;74.074
2024-03-16 11:00:00;4.477;93.876;0.488;111.111
2024-03-16 12:00:00;5.093;90.033;0.382;148.148
2024-03-16 13:00:00;5.709;86.19;0.276;185.185
2024-03-16 14:00:00;6.325;82.347;0.17;222.222
2024-03-16 15:00:00;6.238;84.435;0.209;197.531
2024-03-16 16:00:00;6.152;86.523;0.249;172.84
2024-03-16 17:00:00;6.065;88.612;0.289;148.148
2024-03-16 18:00:00;5.44;92.076;0.255;98.765
2024-03-16 19:00:00;4.814;95.54;0.221;49.383
2024-03-16 20:00:00;4.189;99.004;0.187;0.0
2024-03-16 21:00:00;3.86;98.593;0.209;0.0
2024-03-16 22:00:00;3.53;98.182;0.231;0.0
2024-03-16 23:00:00;3.201;97.77;0.253;0.0
2024-03-17 00:00:00;2.91;97.662;0.197;0.0
2024-03-17 01:00:00;2.619;97.554;0.142;0.0
2024-03-17 02:00:00;2.328;97.446;0.086;0.0
2024-03-17 03:00:00;2.403;97.066;0.059;0.0
2024-03-17 04:00:00;2.477;96.686;0.033;0.0
2024-03-17 05:00:00;2.552;96.305;0.006;0.0
2024-03-17 06:00:00;2.925;94.871;0.026;24.691
2024-03-17 07:00:00;3.297;93.436;0.045;49.383
2024-03-17 08:00:00;3.67;92.002;0.065;74.074
2024-03-17 09:00:00;4.717;88.802;0.047;123.457
2024-03-17 10:00:00;5.764;85.602;0.029;172.84
2024-03-17 11:00:00;6.811;82.402;0.011;222.222
2024-03-17 12:00:00;7.049;84.402;0.183;259.259
2024-03-17 13:00:00;7.287;86.401;0.356;296.296
2024-03-17 14:00:00;7.525;88.401;0.529;333.333
2024-03-17 15:00:00;3.381;98.073;2.033;172.84
2024-03-17 16:00:00;3.634;97.843;1.715;197.531
2024-03-17 17:00:00;4.713;85.369;0.22;370.37
2024-03-17 18:00:00;3.15;97.974;1.011;148.148
2024-03-17 19:00:00;2.414;98.336;0.625;74.074
2024-03-17 20:00:00;6.201;97.623;3.11;0.0
2024-03-17 21:00:00;1.127;98.912;0.175;0.0
2024-03-17 22:00:00;0.577;99.126;0.111;0.0
2024-03-17 23:00:00;5.838;97.159;7.638;0.0
2024-03-18 00:00:00;0.052;99.222;0.102;0.0
2024-03-18 01:00:00;0.078;99.103;0.158;0.0
2024-03-18 02:00:00;4.754;96.36;0.131;0.0
2024-03-18 03:00:00;0.399;98.849;0.333;0.0
2024-03-18 04:00:00;0.695;98.712;0.452;0.0
2024-03-18 05:00:00;-0.717;93.368;0.628;0.0
2024-03-18 06:00:00;1.021;98.644;0.453;0.0
2024-03-18 07:00:00;1.052;98.712;0.335;0.0
2024-03-18 08:00:00;1.747;95.685;1.492;0.0
2024-03-18 09:00:00;-0.062;91.698;0.22;49.383
2024-03-18 10:00:00;-1.207;84.616;0.224;98.765
2024-03-18 11:00:00;3.803;89.66;0.11;222.222
2024-03-18 12:00:00;-2.11;77.376;0.222;197.531
2024-03-18 13:00:00;-1.868;77.218;0.216;246.914
2024-03-18 14:00:00;3.809;89.22;0.837;296.296
2024-03-18 15:00:00;-1.575;76.96;0.21;320.988
2024-03-18 16:00:00;-1.524;76.86;0.209;345.679
2024-03-18 17:00:00;3.869;74.393;0.004;370.37
2024-03-18 18:00:00;-1.899;77.03;0.15;296.296
2024-03-18 19:00:00;-2.326;77.298;0.092;222.222
2024-03-18 20:00:00;0.653;85.437;0.061;148.148
2024-03-18 21:00:00;-3.388;75.973;0.142;98.765
2024-03-18 22:00:00;-4.022;74.38;0.249;49.383
2024-03-18 23:00:00;1.039;97.359;2.018;0.0
2024-03-19 00:00:00;-5.337;74.237;0.238;0.0
2024-03-19 01:00:00;-6.018;75.688;0.119;0.0
2024-03-19 02:00:00;0.186;91.0;0.416;0.0
2024-03-19 03:00:00;-7.275;77.202;0.0;0.0
2024-03-19 04:00:00;-7.852;77.265;0.0;0.0
2024-03-19 05:00:00;-3.307;84.232;0.0;0.0
2024-03-19 06:00:00;-8.773;76.135;0.0;0.0
2024-03-19 07:00:00;-9.117;74.943;0.0;0.0
2024-03-19 08:00:00;-2.557;85.289;0.205;0.0
2024-03-19 09:00:00;-7.655;70.068;0.019;98.765
2024-03-19 10:00:00;-5.848;66.385;0.038;197.531
2024-03-19 11:00:00;-2.278;78.704;0.3;222.222
2024-03-19 12:00:00;-3.43;62.298;0.081;296.296
2024-03-19 13:00:00;-2.82;61.894;0.105;296.296
2024-03-19 14:00:00;-1.641;78.971;0.731;296.296
2024-03-19 15:00:00;-1.803;61.231;0.092;296.296
2024-03-19 16:00:00;-1.397;60.973;0.055;296.296
2024-03-19 17:00:00;-1.101;75.407;0.228;222.222
2024-03-19 18:00:00;-1.313;61.925;0.049;222.222
2024-03-19 19:00:00;-1.635;63.136;0.08;148.148
2024-03-19 20:00:00;-2.795;61.035;0.005;74.074
2024-03-19 21:00:00;-2.44;71.884;0.374;49.383
2024-03-19 22:00:00;-2.923;79.422;0.637;24.691
2024-03-19 23:00:00;-3.312;73.626;0.004;0.0
2024-03-20 00:00:00;-3.333;87.564;1.006;0.0
2024-03-20 01:00:00;-3.26;88.167;1.111;0.0
2024-03-20 02:00:00;-4.22;73.12;0.001;0.0
2024-03-20 03:00:00;-2.742;89.326;1.576;0.0
2024-03-20 04:00:00;-2.297;89.883;1.935;0.0
2024-03-20 05:00:00;-4.765;74.148;0.001;0.0
2024-03-20 06:00:00;-1.332;89.96;2.039;0.32
2024-03-20 07:00:00;-0.813;89.48;1.783;0.64
2024-03-20 08:00:00;-5.889;71.368;0.0;74.984
2024-03-20 09:00:00;-1.147;85.074;1.126;54.167
2024-03-20 10:00:00;-2.001;81.148;0.724;107.375
2024-03-20 11:00:00;-2.715;65.676;0.0;381.61
2024-03-20 12:00:00;-2.538;76.352;0.324;234.299
2024-03-20 13:00:00;-2.223;75.482;0.325;308.016
2024-03-20 14:00:00;0.426;60.629;0.0;751.95
2024-03-20 15:00:00;-1.749;74.476;0.317;356.911
2024-03-20 16:00:00;-1.591;74.341;0.307;332.09
2024-03-20 17:00:00;0.889;62.61;0.0;381.955
2024-03-20 18:00:00;-1.616;72.97;0.297;208.511
2024-03-20 19:00:00;-1.799;71.734;0.295;109.752
2024-03-20 20:00:00;-0.497;67.94;0.0;85.677
2024-03-20 21:00:00;1.013;66.2;0.009;57.123
2024-03-20 22:00:00;0.664;68.99;0.019;28.561
2024-03-20 23:00:00;0.314;71.78;0.028;0.0
2024-03-21 00:00:00;0.41;77.48;0.41;4.055
2024-03-21 01:00:00;0.505;83.181;0.792;8.11
2024-03-21 02:00:00;-0.872;74.16;0.0;0.0
2024-03-21 03:00:00;0.813;91.031;1.368;12.255
2024-03-21 04:00:00;1.026;93.182;1.562;12.346
2024-03-21 05:00:00;1.239;95.333;1.757;12.436
2024-03-21 06:00:00;1.727;95.562;2.425;11.675
2024-03-21 07:00:00;2.215;95.791;3.093;10.913
2024-03-21 08:00:00;0.956;69.015;0.0;11.23
2024-03-21 09:00:00;3.132;88.933;2.543;60.666
2024-03-21 10:00:00;3.56;81.846;1.325;111.179
2024-03-21 11:00:00;3.989;74.759;0.108;161.693
2024-03-21 12:00:00;4.883;73.995;0.093;260.462
