Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-11 02:00:00;-1.071;96.104;0.81;nan
2024-03-11 03:00:00;-1.587;95.332;0.888;0.0
2024-03-11 04:00:00;-2.419;95.233;0.966;0.0
2024-03-11 05:00:00;-2.977;94.556;1.099;0.0
2024-03-11 06:00:00;-3.482;94.072;1.177;0.0
2024-03-11 07:00:00;-3.876;93.681;1.241;0.0
2024-03-11 08:00:00;-3.903;93.66;1.368;8.395
2024-03-11 09:00:00;-3.392;93.425;1.151;43.656
2024-03-11 10:00:00;-3.043;92.489;0.803;85.632
2024-03-11 11:00:00;-2.858;92.107;0.791;119.214
2024-03-11 12:00:00;-2.759;91.046;0.653;94.867
2024-03-11 13:00:00;-2.318;87.444;0.467;89.422
2024-03-11 14:00:00;-2.217;85.094;0.112;75.231
2024-03-11 15:00:00;-2.303;88.827;0.652;114.412
2024-03-11 16:00:00;-2.87;91.635;1.002;88.407
2024-03-11 17:00:00;-3.357;87.812;0.759;55.262
2024-03-11 18:00:00;-3.788;88.48;0.294;16.061
2024-03-11 19:00:00;-4.27;88.868;0.645;6.569
2024-03-11 20:00:00;-4.238;79.827;0.346;0.0
2024-03-11 21:00:00;-4.664;84.227;0.097;0.0
2024-03-11 22:00:00;-4.897;85.22;0.335;0.0
2024-03-11 23:00:00;-4.9;84.69;0.173;1.195
2024-03-12 00:00:00;-4.973;84.542;0.19;0.0
2024-03-12 01:00:00;-5.136;85.777;0.251;0.0
2024-03-12 02:00:00;-5.284;86.531;0.267;0.0
2024-03-12 03:00:00;-5.358;86.255;0.205;0.0
2024-03-12 04:00:00;-5.384;85.785;0.165;0.0
2024-03-12 05:00:00;-5.424;85.713;0.142;0.0
2024-03-12 06:00:00;-5.485;86.047;0.153;0.0
2024-03-12 07:00:00;-5.7;90.477;0.541;0.0
2024-03-12 08:00:00;-5.56;90.097;0.695;16.791
2024-03-12 09:00:00;-4.885;83.71;0.09;88.99
2024-03-12 10:00:00;-3.239;74.263;0.0;319.022
2024-03-12 11:00:00;-2.15;69.246;0.0;439.915
2024-03-12 12:00:00;-0.998;66.272;0.007;529.446
2024-03-12 13:00:00;-0.55;65.781;0.001;473.624
2024-03-12 14:00:00;-0.441;67.059;0.001;361.828
2024-03-12 15:00:00;0.384;65.032;0.0;341.398
2024-03-12 16:00:00;0.496;65.963;0.0;258.108
2024-03-12 17:00:00;0.617;66.695;0.001;189.381
2024-03-12 18:00:00;0.449;68.64;0.003;114.784
2024-03-12 19:00:00;-0.625;73.372;0.002;21.278
2024-03-12 20:00:00;-1.097;75.793;0.001;1.966
2024-03-12 21:00:00;-1.949;79.149;0.0;0.0
2024-03-12 22:00:00;-2.58;80.982;0.0;0.0
2024-03-12 23:00:00;-4.185;88.447;0.0;0.0
2024-03-13 00:00:00;-5.471;88.422;0.0;0.0
2024-03-13 01:00:00;-6.49;88.596;0.0;0.0
2024-03-13 02:00:00;-6.62;88.736;0.092;0.0
2024-03-13 03:00:00;-7.174;89.13;0.0;0.0
2024-03-13 04:00:00;-7.617;89.243;0.0;0.0
2024-03-13 05:00:00;-7.917;89.151;0.0;0.0
2024-03-13 06:00:00;-8.052;88.87;0.0;0.0
2024-03-13 07:00:00;-7.982;88.345;0.0;0.0
2024-03-13 08:00:00;-6.47;84.93;0.0;0.0
2024-03-13 09:00:00;-2.259;68.186;0.0;222.222
2024-03-13 10:00:00;1.395;56.972;0.0;388.889
2024-03-13 11:00:00;3.139;56.085;0.0;555.556
2024-03-13 12:00:00;4.485;54.816;0.0;611.111
2024-03-13 13:00:00;5.586;52.804;0.0;722.222
2024-03-13 14:00:00;6.492;51.156;0.0;666.667
2024-03-13 15:00:00;7.13;50.248;0.0;611.111
2024-03-13 16:00:00;7.22;51.495;0.0;555.556
2024-03-13 17:00:00;6.574;56.184;0.0;277.778
2024-03-13 18:00:00;4.733;68.69;0.0;222.222
2024-03-13 19:00:00;1.175;89.896;0.0;0.0
2024-03-13 20:00:00;-1.155;96.121;0.0;0.0
2024-03-13 21:00:00;-2.195;95.117;0.0;0.0
2024-03-13 22:00:00;-2.454;93.723;0.0;0.0
2024-03-13 23:00:00;-2.024;92.19;0.0;0.0
2024-03-14 00:00:00;-1.286;93.209;0.0;0.0
2024-03-14 01:00:00;-0.608;91.716;0.0;0.0
2024-03-14 02:00:00;0.402;84.111;0.0;0.0
2024-03-14 03:00:00;0.78;80.617;0.0;0.0
2024-03-14 04:00:00;0.819;84.262;0.0;0.0
2024-03-14 05:00:00;0.788;91.474;0.038;0.0
2024-03-14 06:00:00;0.845;94.346;0.197;0.0
2024-03-14 07:00:00;0.884;95.454;0.101;0.0
2024-03-14 08:00:00;1.482;96.874;0.288;0.0
2024-03-14 09:00:00;2.705;95.754;0.096;111.111
2024-03-14 10:00:00;3.404;96.191;0.209;111.111
2024-03-14 11:00:00;3.088;97.107;0.386;111.111
2024-03-14 12:00:00;2.283;97.109;0.195;166.667
2024-03-14 13:00:00;2.11;92.726;0.082;222.222
2024-03-14 14:00:00;5.005;75.353;0.039;259.259
2024-03-14 15:00:00;4.839;76.306;0.05;246.914
2024-03-14 16:00:00;4.674;77.258;0.062;234.568
2024-03-14 17:00:00;4.509;78.21;0.073;222.222
2024-03-14 18:00:00;3.325;84.391;0.051;148.148
2024-03-14 19:00:00;2.14;90.572;0.028;74.074
2024-03-14 20:00:00;0.956;96.753;0.006;0.0
2024-03-14 21:00:00;-0.109;96.783;0.004;0.0
2024-03-14 22:00:00;-1.174;96.812;0.002;0.0
2024-03-14 23:00:00;-2.239;96.842;0.0;0.0
2024-03-15 00:00:00;-2.588;96.486;0.0;0.0
2024-03-15 01:00:00;-2.938;96.129;0.0;0.0
2024-03-15 02:00:00;-3.287;95.772;0.0;0.0
2024-03-15 03:00:00;-3.471;95.784;0.007;0.0
2024-03-15 04:00:00;-3.654;95.797;0.014;0.0
2024-03-15 05:00:00;-3.837;95.809;0.021;0.0
2024-03-15 06:00:00;-3.09;95.769;0.033;0.0
2024-03-15 07:00:00;-2.344;95.728;0.045;0.0
2024-03-15 08:00:00;-1.597;95.688;0.057;0.0
2024-03-15 09:00:00;0.236;91.533;0.048;74.074
2024-03-15 10:00:00;2.069;87.378;0.039;148.148
2024-03-15 11:00:00;3.903;83.223;0.031;222.222
2024-03-15 12:00:00;4.866;74.989;0.02;308.642
