Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-12 08:00:00;-3.52;63.177;0.0;nan
2024-03-12 09:00:00;-3.425;65.723;0.0;215.55
2024-03-12 10:00:00;-1.661;57.593;0.0;400.667
2024-03-12 11:00:00;-0.432;53.167;0.0;557.449
2024-03-12 12:00:00;0.76;49.618;0.0;669.946
2024-03-12 13:00:00;1.747;47.267;0.0;725.911
2024-03-12 14:00:00;2.303;45.701;0.0;721.335
2024-03-12 15:00:00;2.619;46.883;0.0;657.05
2024-03-12 16:00:00;2.659;45.535;0.0;543.352
2024-03-12 17:00:00;2.587;48.641;0.0;384.803
2024-03-12 18:00:00;2.029;51.817;0.0;194.529
2024-03-12 19:00:00;0.696;52.21;0.0;34.956
2024-03-12 20:00:00;-0.316;56.136;0.0;0.0
2024-03-12 21:00:00;-1.197;60.588;0.0;0.0
2024-03-12 22:00:00;-2.448;68.486;0.0;0.0
2024-03-12 23:00:00;-3.771;72.253;0.0;0.0
2024-03-13 00:00:00;-4.699;74.169;0.0;0.0
2024-03-13 01:00:00;-5.438;75.464;0.0;0.0
2024-03-13 02:00:00;-5.649;74.371;0.0;0.0
2024-03-13 03:00:00;-5.611;71.746;0.0;0.0
2024-03-13 04:00:00;-5.583;70.145;0.0;0.0
2024-03-13 05:00:00;-5.621;68.659;0.0;0.0
2024-03-13 06:00:00;-5.601;67.345;0.0;0.0
2024-03-13 07:00:00;-5.949;68.797;0.0;0.626
2024-03-13 08:00:00;-5.872;74.634;0.0;43.415
2024-03-13 09:00:00;-3.083;76.012;0.0;214.769
2024-03-13 10:00:00;2.459;60.876;0.0;398.471
2024-03-13 11:00:00;5.396;54.574;0.0;553.047
2024-03-13 12:00:00;7.31;49.165;0.0;666.254
2024-03-13 13:00:00;8.929;44.173;0.0;715.797
2024-03-13 14:00:00;9.631;37.232;0.0;704.604
2024-03-13 15:00:00;8.386;41.169;0.001;225.167
2024-03-13 16:00:00;9.778;38.703;0.0;364.429
2024-03-13 17:00:00;9.462;33.444;0.0;256.017
2024-03-13 18:00:00;7.729;42.068;0.0;109.073
2024-03-13 19:00:00;5.761;55.57;0.0;15.046
2024-03-13 20:00:00;4.596;62.602;0.011;0.0
2024-03-13 21:00:00;4.55;65.201;0.0;1.358
2024-03-13 22:00:00;4.427;69.555;0.001;3.138
2024-03-13 23:00:00;3.683;73.604;0.01;0.0
2024-03-14 00:00:00;2.414;78.181;0.001;0.0
2024-03-14 01:00:00;2.11;78.748;0.0;0.0
